	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0100
	(0.00743)
2.treated	0.0125*
	(0.00719)
1.ID	-0
	(0.00539)
2.ID	1.588***
	(0.00539)
3.ID	-0.392***
	(0.00539)
4.ID	1.588***
	(0.00539)
5.ID	-0.177***
	(0.00539)
6.ID	-0.392***
	(0.00539)
7.ID	1.588***
	(0.00539)
8.ID	-0.177***
	(0.00539)
9.ID	-0.392***
	(0.00539)
10.ID	2.096***
	(0.00539)
12.ID	-0.177***
	(0.00539)
13.ID	-0.392***
	(0.00539)
14.ID	1.588***
	(0.00539)
15.ID	-0.392***
	(0.00539)
16.ID	1.588***
	(0.00539)
18.ID	-0.392***
	(0.00539)
19.ID	-0.177***
	(0.00539)
20.ID	1.588***
	(0.00539)
21.ID	-0.177***
	(0.00539)
22.ID	-0
	(0.00539)
23.ID	1.588***
	(0.00539)
24.ID	1.588***
	(0.00539)
25.ID	-0.177***
	(0.00539)
26.ID	-1.046***
	(0.00539)
27.ID	-0.392***
	(0.00539)
28.ID	-0.392***
	(0.00539)
29.ID	-0.392***
	(0.00539)
30.ID	-0.392***
	(0.00539)
31.ID	0.680***
	(0.00539)
32.ID	1.588***
	(0.00539)
33.ID	1.588***
	(0.00539)
34.ID	1.588***
	(0.00539)
35.ID	-0.392***
	(0.00539)
36.ID	-0.392***
	(0.00539)
37.ID	-0.392***
	(0.00539)
39.ID	1.588***
	(0.00539)
40.ID	1.588***
	(0.00539)
41.ID	-0
	(0.00539)
42.ID	2.096***
	(0.00539)
43.ID	-0.392***
	(0.00539)
46.ID	-0.177***
	(0.00539)
47.ID	-0.666***
	(0.00539)
48.ID	1.588***
	(0.00539)
49.ID	1.588***
	(0.00539)
50.ID	1.588***
	(0.00539)
51.ID	-0.392***
	(0.00539)
52.ID	-0.177***
	(0.00539)
53.ID	1.588***
	(0.00539)
54.ID	-0.392***
	(0.00539)
55.ID	-0.392***
	(0.00539)
56.ID	1.588***
	(0.00539)
57.ID	-0.392***
	(0.00539)
58.ID	1.588***
	(0.00539)
60.ID	-0.392***
	(0.00539)
61.ID	-0.392***
	(0.00539)
62.ID	-0.177***
	(0.00539)
63.ID	-0.392***
	(0.00539)
64.ID	1.588***
	(0.00539)
66.ID	-0.177***
	(0.00539)
67.ID	1.588***
	(0.00539)
68.ID	1.185***
	(0.00539)
69.ID	-0.392***
	(0.00539)
70.ID	2.096***
	(0.00539)
71.ID	2.096***
	(0.00539)
72.ID	2.096***
	(0.00539)
73.ID	-0.392***
	(0.00539)
74.ID	0.500***
	(0.00539)
75.ID	2.096***
	(0.00539)
76.ID	-0.392***
	(0.00539)
77.ID	1.588***
	(0.00539)
78.ID	-0.392***
	(0.00539)
79.ID	-0.392***
	(0.00539)
81.ID	-0.392***
	(0.00539)
82.ID	-0
	(0.00539)
83.ID	-0.177***
	(0.00539)
84.ID	1.588***
	(0.00539)
85.ID	1.588***
	(0.00539)
86.ID	1.588***
	(0.00539)
87.ID	1.588***
	(0.00539)
88.ID	2.096***
	(0.00539)
89.ID	-0.392***
	(0.00539)
90.ID	-0.392***
	(0.00539)
91.ID	0.964***
	(0.00539)
92.ID	-1.046***
	(0.00539)
93.ID	-0
	(0.00539)
94.ID	-0.392***
	(0.00539)
95.ID	2.096***
	(0.00539)
96.ID	-0.392***
	(0.00539)
97.ID	-1.308***
	(0.00539)
98.ID	0.500***
	(0.00539)
99.ID	-0.392***
	(0.00539)
100.ID	-0.177***
	(0.00539)
102.ID	-1.046***
	(0.00539)
103.ID	-0.392***
	(0.00539)
104.ID	-0.392***
	(0.00539)
105.ID	-0.392***
	(0.00539)
106.ID	2.096***
	(0.00539)
107.ID	2.096***
	(0.00539)
108.ID	2.096***
	(0.00539)
109.ID	-0.177***
	(0.00539)
110.ID	-1.046***
	(0.00539)
111.ID	-1.252***
	(0.203)
112.ID	1.588***
	(0.00539)
113.ID	-0.392***
	(0.00539)
114.ID	1.588***
	(0.00539)
115.ID	1.588***
	(0.00539)
116.ID	-0.177***
	(0.00539)
117.ID	1.588***
	(0.00539)
118.ID	1.588***
	(0.00539)
119.ID	2.096***
	(0.00539)
120.ID	0.832***
	(0.00539)
121.ID	0.928
	(0.662)
122.ID	2.096***
	(0.00539)
123.ID	2.096***
	(0.00539)
124.ID	2.096***
	(0.00539)
126.ID	1.588***
	(0.00539)
127.ID	-1.046***
	(0.00539)
128.ID	-0.177***
	(0.00539)
129.ID	1.588***
	(0.00539)
130.ID	-0.392***
	(0.00539)
131.ID	-0.177***
	(0.00539)
132.ID	-1.046***
	(0.00539)
133.ID	1.757***
	(0.174)
134.ID	0.500***
	(0.00539)
135.ID	1.588***
	(0.00539)
136.ID	1.588***
	(0.00539)
137.ID	1.588***
	(0.00539)
138.ID	2.096***
	(0.00539)
139.ID	-0.392***
	(0.00539)
140.ID	-0
	(0.00539)
141.ID	1.588***
	(0.00539)
142.ID	-0.392***
	(0.00539)
143.ID	-0.390***
	(0.00615)
144.ID	-0.249***
	(0.0732)
145.ID	-0.177***
	(0.00539)
146.ID	2.096***
	(0.00539)
147.ID	2.096***
	(0.00539)
149.ID	-1.046***
	(0.00539)
150.ID	-0.392***
	(0.00539)
151.ID	-0.177***
	(0.00539)
152.ID	1.588***
	(0.00539)
153.ID	1.588***
	(0.00539)
154.ID	1.588***
	(0.00539)
155.ID	-0.392***
	(0.00539)
156.ID	-0.392***
	(0.00539)
157.ID	1.588***
	(0.00539)
158.ID	1.588***
	(0.00539)
159.ID	-0.177***
	(0.00539)
160.ID	1.588***
	(0.00539)
161.ID	-0.177***
	(0.00539)
162.ID	-0
	(0.00539)
163.ID	0.500***
	(0.00539)
164.ID	-0.392***
	(0.00539)
165.ID	-0.392***
	(0.00539)
166.ID	1.588***
	(0.00539)
167.ID	-0.392***
	(0.00539)
168.ID	1.588***
	(0.00539)
169.ID	1.588***
	(0.00539)
170.ID	-0.177***
	(0.00539)
171.ID	-0.177***
	(0.00539)
172.ID	-0.392***
	(0.00539)
173.ID	1.588***
	(0.00539)
174.ID	1.588***
	(0.00539)
175.ID	-0.177***
	(0.00539)
176.ID	-0.392***
	(0.00539)
177.ID	1.588***
	(0.00539)
178.ID	-1.046***
	(0.00539)
179.ID	-0.392***
	(0.00539)
180.ID	0.759***
	(0.00539)
181.ID	-1.046***
	(0.00539)
182.ID	-0.392***
	(0.00539)
183.ID	-0.177***
	(0.00539)
184.ID	-0.392***
	(0.00539)
185.ID	-0.177***
	(0.00539)
186.ID	1.319***
	(0.133)
187.ID	2.096***
	(0.00539)
188.ID	1.588***
	(0.00539)
189.ID	-0.177***
	(0.00539)
190.ID	-0.392***
	(0.00539)
191.ID	-0.177***
	(0.00539)
192.ID	-0.392***
	(0.00539)
194.ID	1.588***
	(0.00539)
196.ID	-0.392***
	(0.00539)
197.ID	1.588***
	(0.00539)
198.ID	-0.392***
	(0.00539)
199.ID	-0.392***
	(0.00539)
200.ID	2.096***
	(0.00539)
201.ID	-0.392***
	(0.00539)
202.ID	1.588***
	(0.00539)
203.ID	2.096***
	(0.00539)
204.ID	2.096***
	(0.00539)
205.ID	1.382***
	(0.107)
206.ID	-0.392***
	(0.00539)
207.ID	-0.392***
	(0.00539)
208.ID	-0.392***
	(0.00539)
209.ID	1.757***
	(0.174)
210.ID	-0.392***
	(0.00539)
212.ID	-0.392***
	(0.00539)
213.ID	2.096***
	(0.00539)
214.ID	-0.392***
	(0.00539)
217.ID	1.588***
	(0.00539)
218.ID	-0.392***
	(0.00539)
219.ID	0.411
	(0.586)
220.ID	1.588***
	(0.00539)
221.ID	1.588***
	(0.00539)
223.ID	-0.177***
	(0.00539)
224.ID	1.588***
	(0.00539)
225.ID	-0.392***
	(0.00539)
226.ID	-0.666***
	(0.00539)
227.ID	1.588***
	(0.00539)
228.ID	1.927***
	(0.171)
229.ID	1.588***
	(0.00539)
230.ID	1.588***
	(0.00539)
231.ID	0.411
	(0.588)
232.ID	-0.392***
	(0.00539)
233.ID	-0.177***
	(0.00539)
234.ID	1.588***
	(0.00539)
235.ID	0.500***
	(0.00539)
236.ID	2.096***
	(0.00539)
237.ID	1.588***
	(0.00539)
239.ID	1.683***
	(0.0994)
240.ID	1.588***
	(0.00539)
241.ID	1.588***
	(0.00539)
242.ID	-0.392***
	(0.00539)
243.ID	1.588***
	(0.00539)
244.ID	1.683***
	(0.0944)
245.ID	-0.392***
	(0.00539)
246.ID	1.588***
	(0.00539)
248.ID	-0
	(0.00539)
249.ID	-0.392***
	(0.00539)
250.ID	2.096***
	(0.00539)
251.ID	-0.392***
	(0.00539)
252.ID	-0.177***
	(0.00539)
253.ID	-0.392***
	(0.00539)
254.ID	-0.392***
	(0.00539)
255.ID	2.096***
	(0.00539)
256.ID	1.588***
	(0.00539)
257.ID	1.588***
	(0.00539)
258.ID	-0.392***
	(0.00539)
261.ID	-1.046***
	(0.00539)
263.ID	-0.392***
	(0.00539)
264.ID	2.096***
	(0.00539)
266.ID	1.588***
	(0.00539)
267.ID	-0.177***
	(0.00539)
268.ID	1.588***
	(0.00539)
269.ID	-0.392***
	(0.00539)
271.ID	0.411
	(0.586)
272.ID	2.096***
	(0.00539)
274.ID	-0.392***
	(0.00539)
275.ID	-0.177***
	(0.00539)
276.ID	1.185***
	(0.00539)
277.ID	1.588***
	(0.00539)
278.ID	-0.838***
	(0.00539)
279.ID	-0.177***
	(0.00539)
280.ID	1.588***
	(0.00539)
281.ID	1.588***
	(0.00539)
282.ID	-0.666***
	(0.00539)
283.ID	-0.392***
	(0.00539)
284.ID	-0.392***
	(0.00539)
285.ID	-0.392***
	(0.00539)
286.ID	-0.392***
	(0.00539)
288.ID	1.588***
	(0.00539)
289.ID	1.588***
	(0.00539)
290.ID	1.588***
	(0.00539)
291.ID	-0.392***
	(0.00539)
292.ID	1.874***
	(0.00539)
293.ID	-0.392***
	(0.00539)
294.ID	-0
	(0.00539)
295.ID	0.268
	(0.659)
297.ID	1.588***
	(0.00539)
298.ID	1.588***
	(0.00539)
299.ID	2.096***
	(0.00539)
300.ID	0.411
	(0.586)
301.ID	-0.392***
	(0.00539)
302.ID	0.581
	(0.756)
303.ID	-0
	(0.00539)
304.ID	2.096***
	(0.00539)
305.ID	1.588***
	(0.00539)
306.ID	-0
	(0.00539)
307.ID	0.150***
	(0.00539)
308.ID	0.500***
	(0.00539)
309.ID	-0.177***
	(0.00539)
310.ID	-0.392***
	(0.00539)
311.ID	-1.665***
	(0.00539)
312.ID	1.588***
	(0.00539)
313.ID	-0.249***
	(0.0744)
314.ID	-0.392***
	(0.00539)
315.ID	-0.392***
	(0.00539)
317.ID	1.588***
	(0.00539)
318.ID	1.588***
	(0.00539)
319.ID	1.588***
	(0.00539)
320.ID	-0.392***
	(0.00539)
321.ID	-0
	(0.00539)
322.ID	2.096***
	(0.00539)
323.ID	-0.177***
	(0.00539)
324.ID	1.588***
	(0.00539)
326.ID	1.588***
	(0.00539)
327.ID	1.588***
	(0.00539)
328.ID	1.588***
	(0.00539)
329.ID	-0.392***
	(0.00539)
330.ID	1.874***
	(0.00539)
331.ID	-0.392***
	(0.00539)
332.ID	1.588***
	(0.00539)
333.ID	1.588***
	(0.00539)
334.ID	-0.392***
	(0.00539)
335.ID	-0.392***
	(0.00539)
336.ID	1.519***
	(0.00539)
337.ID	-0.392***
	(0.00539)
338.ID	1.588***
	(0.00539)
339.ID	1.588***
	(0.00539)
340.ID	2.096***
	(0.00539)
341.ID	-0.177***
	(0.00539)
342.ID	-0.392***
	(0.00539)
343.ID	1.588***
	(0.00539)
345.ID	1.757***
	(0.174)
346.ID	-1.665***
	(0.00539)
347.ID	-0
	(0.00539)
348.ID	-0.392***
	(0.00539)
349.ID	-1.665***
	(0.00539)
350.ID	0.268
	(0.659)
351.ID	-1.669***
	(0.00447)
352.ID	1.588***
	(0.00539)
353.ID	1.185***
	(0.00539)
354.ID	-0.392***
	(0.00539)
355.ID	-0
	(0.00539)
356.ID	-0.177***
	(0.00539)
357.ID	1.588***
	(0.00539)
358.ID	-0.392***
	(0.00539)
359.ID	1.588***
	(0.00539)
360.ID	-1.669***
	(0.00447)
361.ID	-0.392***
	(0.00539)
364.ID	1.683***
	(0.0994)
365.ID	-0.392***
	(0.00539)
366.ID	2.096***
	(0.00539)
370.ID	1.588***
	(0.00539)
371.ID	-0.392***
	(0.00539)
373.ID	-0.392***
	(0.00539)
374.ID	1.588***
	(0.00539)
375.ID	-0.392***
	(0.00539)
377.ID	1.588***
	(0.00539)
378.ID	-0.392***
	(0.00539)
379.ID	-0.177***
	(0.00539)
381.ID	-1.046***
	(0.00539)
382.ID	-1.665***
	(0.00539)
383.ID	-0.392***
	(0.00539)
385.ID	1.588***
	(0.00539)
386.ID	-1.046***
	(0.00539)
387.ID	-0.392***
	(0.00539)
388.ID	-0.177***
	(0.00539)
389.ID	1.588***
	(0.00539)
390.ID	2.096***
	(0.00539)
391.ID	-0.392***
	(0.00539)
392.ID	-1.665***
	(0.00539)
393.ID	1.588***
	(0.00539)
395.ID	1.588***
	(0.00539)
397.ID	-0.392***
	(0.00539)
398.ID	-1.046***
	(0.00539)
399.ID	-0.177***
	(0.00539)
400.ID	-0.392***
	(0.00539)
401.ID	0.500***
	(0.00539)
402.ID	-0.392***
	(0.00539)
403.ID	-0.392***
	(0.00539)
404.ID	-0
	(0.00539)
405.ID	-0.392***
	(0.00539)
406.ID	1.319***
	(0.133)
407.ID	1.588***
	(0.00539)
408.ID	2.096***
	(0.00539)
409.ID	-1.046***
	(0.00539)
410.ID	-0.392***
	(0.00539)
411.ID	-0.392***
	(0.00539)
413.ID	-0
	(0.00539)
414.ID	-0.392***
	(0.00539)
415.ID	-0.392***
	(0.00539)
417.ID	-1.046***
	(0.00539)
418.ID	-0.392***
	(0.00539)
419.ID	-0.392***
	(0.00539)
420.ID	-0.177***
	(0.00539)
421.ID	-0.392***
	(0.00539)
423.ID	1.588***
	(0.00539)
424.ID	1.588***
	(0.00539)
426.ID	-0.392***
	(0.00539)
428.ID	-0.392***
	(0.00539)
429.ID	-0.392***
	(0.00539)
430.ID	2.096***
	(0.00539)
431.ID	-0.177***
	(0.00539)
432.ID	1.588***
	(0.00539)
433.ID	-0.392***
	(0.00539)
434.ID	-0.392***
	(0.00539)
435.ID	2.096***
	(0.00539)
436.ID	-0.177***
	(0.00539)
437.ID	-1.046***
	(0.00539)
438.ID	1.588***
	(0.00539)
439.ID	1.588***
	(0.00539)
440.ID	-0.249***
	(0.0681)
441.ID	1.588***
	(0.00539)
443.ID	-0.392***
	(0.00539)
444.ID	1.874***
	(0.00539)
447.ID	0.500***
	(0.00539)
448.ID	1.588***
	(0.00539)
450.ID	-0.392***
	(0.00539)
451.ID	1.588***
	(0.00539)
452.ID	-0.177***
	(0.00539)
453.ID	2.096***
	(0.00539)
454.ID	-0.177***
	(0.00539)
455.ID	1.588***
	(0.00539)
456.ID	-1.665***
	(0.00539)
457.ID	-0.177***
	(0.00539)
458.ID	2.096***
	(0.00539)
459.ID	-0.177***
	(0.00539)
460.ID	-0.392***
	(0.00539)
461.ID	2.096***
	(0.00539)
462.ID	1.588***
	(0.00539)
463.ID	2.096***
	(0.00539)
465.ID	0.500***
	(0.00539)
466.ID	1.588***
	(0.00539)
467.ID	1.588***
	(0.00539)
468.ID	2.096***
	(0.00539)
469.ID	-0.392***
	(0.00539)
470.ID	1.588***
	(0.00539)
471.ID	2.096***
	(0.00539)
472.ID	2.096***
	(0.00539)
473.ID	1.588***
	(0.00539)
474.ID	1.588***
	(0.00539)
475.ID	-0.392***
	(0.00539)
