	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	3.509**
	(1.736)
1.ID	-168***
	(0)
2.ID	-90***
	(0)
3.ID	-156***
	(0)
4.ID	-60***
	(0)
5.ID	-156***
	(0)
6.ID	-151***
	(0)
7.ID	-15***
	(0)
8.ID	-159***
	(0)
9.ID	-158***
	(0)
10.ID	132***
	(0)
12.ID	-3***
	(0)
14.ID	-156***
	(0)
15.ID	-161***
	(0)
16.ID	12***
	(0)
18.ID	-126***
	(0)
19.ID	-144***
	(0)
20.ID	-72***
	(0)
21.ID	-154***
	(0)
22.ID	-168***
	(0)
23.ID	12***
	(0)
24.ID	-60***
	(0)
25.ID	-42***
	(0)
26.ID	-156***
	(0)
27.ID	-163***
	(0)
28.ID	-159***
	(0)
29.ID	-150***
	(0)
30.ID	-159***
	(0)
31.ID	-120***
	(0)
32.ID	-168***
	(0)
33.ID	-6***
	(0)
34.ID	-24***
	(0)
35.ID	-162***
	(0)
36.ID	-132***
	(0)
37.ID	-152***
	(0)
38.ID	-162***
	(0)
39.ID	-53***
	(0)
40.ID	-112***
	(0)
41.ID	-132***
	(0)
42.ID	-72***
	(0)
43.ID	-159***
	(0)
46.ID	-144***
	(0)
47.ID	-162***
	(0)
48.ID	-14***
	(0)
49.ID	12***
	(0)
50.ID	12***
	(0)
51.ID	-156***
	(0)
52.ID	-36***
	(0)
53.ID	-33***
	(0)
54.ID	-156***
	(0)
55.ID	-158***
	(0)
56.ID	-78***
	(0)
57.ID	-156***
	(0)
58.ID	-120***
	(0)
59.ID	-168***
	(0)
60.ID	-162***
	(0)
61.ID	-158***
	(0)
62.ID	-156***
	(0)
63.ID	-144***
	(0)
64.ID	-60***
	(0)
65.ID	-162***
	(0)
66.ID	-130***
	(0)
67.ID	-54***
	(0)
68.ID	-120***
	(0)
69.ID	-156***
	(0)
70.ID	33***
	(0)
71.ID	36***
	(0)
72.ID	102***
	(0)
73.ID	-162***
	(0)
74.ID	-135***
	(0)
76.ID	-152***
	(0)
77.ID	-150***
	(0)
78.ID	-144***
	(0)
79.ID	-158***
	(0)
80.ID	-12***
	(0)
81.ID	-156***
	(0)
82.ID	-168***
	(0)
83.ID	-156***
	(0)
84.ID	12***
	(0)
85.ID	-9***
	(0)
86.ID	-66***
	(0)
87.ID	-24***
	(0)
88.ID	105***
	(0)
89.ID	-153***
	(0)
90.ID	-146***
	(0)
91.ID	-132***
	(0)
92.ID	-156***
	(0)
93.ID	-168***
	(0)
94.ID	-139***
	(0)
95.ID	108***
	(0)
96.ID	-144***
	(0)
97.ID	-166***
	(0)
98.ID	-150***
	(0)
99.ID	-163***
	(0)
100.ID	-162***
	(0)
101.ID	-168***
	(0)
102.ID	-168***
	(0)
103.ID	-152***
	(0)
104.ID	-120***
	(0)
105.ID	-144***
	(0)
106.ID	-30***
	(0)
107.ID	90***
	(0)
108.ID	74***
	(0)
109.ID	-150***
	(0)
110.ID	-162***
	(0)
111.ID	-156***
	(0)
113.ID	-156***
	(0)
114.ID	-159***
	(0)
115.ID	-126***
	(0)
116.ID	-156***
	(0)
117.ID	-1***
	(0)
118.ID	-156***
	(0)
119.ID	84***
	(0)
120.ID	-84***
	(0)
121.ID	12***
	(0)
122.ID	-12***
	(0)
123.ID	81***
	(0)
125.ID	-67***
	(0)
126.ID	-168***
	(0)
127.ID	-166***
	(0)
128.ID	-162***
	(0)
129.ID	12***
	(0)
130.ID	-165***
	(0)
131.ID	-154***
	(0)
132.ID	-164***
	(0)
133.ID	-30***
	(0)
134.ID	-114***
	(0)
135.ID	-144***
	(0)
136.ID	-162***
	(0)
137.ID	-73***
	(0)
138.ID	106***
	(0)
139.ID	-144***
	(0)
140.ID	-156***
	(0)
142.ID	-126***
	(0)
144.ID	-162***
	(0)
145.ID	-155***
	(0)
146.ID	-24***
	(0)
147.ID	106***
	(0)
148.ID	-18***
	(0)
149.ID	-165***
	(0)
150.ID	-156***
	(0)
151.ID	-150***
	(0)
152.ID	-42***
	(0)
153.ID	-120***
	(0)
154.ID	-132***
	(0)
155.ID	-162***
	(0)
156.ID	-138***
	(0)
157.ID	-142***
	(0)
158.ID	-36***
	(0)
159.ID	-152***
	(0)
160.ID	-90***
	(0)
161.ID	54***
	(0)
163.ID	-90***
	(0)
164.ID	-156***
	(0)
165.ID	-154***
	(0)
166.ID	3***
	(0)
167.ID	-156***
	(0)
168.ID	-2***
	(0)
169.ID	-12***
	(0)
170.ID	-120***
	(0)
171.ID	-93***
	(0)
172.ID	-162***
	(0)
173.ID	-78***
	(0)
174.ID	-54***
	(0)
175.ID	-157***
	(0)
176.ID	-144***
	(0)
177.ID	12***
	(0)
178.ID	-162***
	(0)
179.ID	-90***
	(0)
180.ID	-168***
	(0)
181.ID	-156***
	(0)
182.ID	-156***
	(0)
183.ID	-160***
	(0)
184.ID	-168***
	(0)
185.ID	-6***
	(0)
186.ID	-48***
	(0)
187.ID	10***
	(0)
188.ID	-24***
	(0)
189.ID	-150***
	(0)
190.ID	-154***
	(0)
191.ID	-164***
	(0)
192.ID	-158***
	(0)
194.ID	-108***
	(0)
196.ID	-150***
	(0)
197.ID	12***
	(0)
198.ID	-144***
	(0)
199.ID	-150***
	(0)
200.ID	-108***
	(0)
201.ID	-162***
	(0)
202.ID	-132***
	(0)
203.ID	30***
	(0)
204.ID	42***
	(0)
205.ID	-72***
	(0)
206.ID	-168***
	(0)
207.ID	-156***
	(0)
208.ID	-168***
	(0)
209.ID	-108***
	(0)
210.ID	-156***
	(0)
212.ID	-144***
	(0)
213.ID	132***
	(0)
214.ID	-162***
	(0)
217.ID	-24***
	(0)
218.ID	-150***
	(0)
219.ID	-153***
	(0)
220.ID	-48***
	(0)
221.ID	-48***
	(0)
222.ID	-33***
	(0)
223.ID	-33***
	(0)
224.ID	12***
	(0)
225.ID	-108***
	(0)
226.ID	-164***
	(0)
227.ID	-21***
	(0)
228.ID	12***
	(0)
229.ID	-120***
	(0)
230.ID	-120***
	(0)
231.ID	-140***
	(0)
232.ID	-138***
	(0)
233.ID	-166***
	(0)
234.ID	-54***
	(0)
235.ID	-162***
	(0)
236.ID	120***
	(0)
237.ID	-168***
	(0)
238.ID	-93***
	(0)
239.ID	-126***
	(0)
240.ID	-144***
	(0)
241.ID	12***
	(0)
242.ID	-144***
	(0)
243.ID	-48***
	(0)
244.ID	12***
	(0)
245.ID	-152***
	(0)
246.ID	-168***
	(0)
247.ID	-24***
	(0)
248.ID	-156***
	(0)
249.ID	-162***
	(0)
250.ID	66***
	(0)
251.ID	-152***
	(0)
252.ID	-160***
	(0)
253.ID	-156***
	(0)
254.ID	-153***
	(0)
255.ID	60***
	(0)
256.ID	-72***
	(0)
257.ID	12***
	(0)
258.ID	-144***
	(0)
259.ID	12***
	(0)
260.ID	-42***
	(0)
261.ID	-161***
	(0)
263.ID	-144***
	(0)
264.ID	42***
	(0)
265.ID	132***
	(0)
266.ID	-24***
	(0)
267.ID	-144***
	(0)
268.ID	12***
	(0)
269.ID	-153***
	(0)
270.ID	-24***
	(0)
271.ID	-163***
	(0)
272.ID	36***
	(0)
274.ID	-96***
	(0)
275.ID	78***
	(0)
276.ID	-90***
	(0)
277.ID	12***
	(0)
278.ID	-163***
	(0)
279.ID	-145***
	(0)
280.ID	12***
	(0)
281.ID	12***
	(0)
282.ID	-165***
	(0)
283.ID	-144***
	(0)
284.ID	-160***
	(0)
285.ID	-155***
	(0)
286.ID	-156***
	(0)
288.ID	12***
	(0)
289.ID	12***
	(0)
290.ID	12***
	(0)
291.ID	-150***
	(0)
292.ID	-18***
	(0)
293.ID	-168***
	(0)
294.ID	-156***
	(0)
295.ID	-108***
	(0)
296.ID	-156***
	(0)
297.ID	12***
	(0)
298.ID	-132***
	(0)
299.ID	96***
	(0)
300.ID	-168***
	(0)
301.ID	-144***
	(0)
302.ID	-3***
	(0)
303.ID	-168***
	(0)
304.ID	-108***
	(0)
305.ID	12***
	(0)
306.ID	-162***
	(0)
307.ID	-160***
	(0)
308.ID	-162***
	(0)
309.ID	-164***
	(0)
310.ID	-164***
	(0)
311.ID	-162***
	(0)
312.ID	-72***
	(0)
313.ID	-138***
	(0)
314.ID	-150***
	(0)
315.ID	-156***
	(0)
317.ID	-138***
	(0)
318.ID	-12***
	(0)
319.ID	-78***
	(0)
320.ID	-159***
	(0)
321.ID	-168***
	(0)
322.ID	48***
	(0)
323.ID	-156***
	(0)
324.ID	-144***
	(0)
325.ID	-156***
	(0)
326.ID	-110***
	(0)
327.ID	-108***
	(0)
328.ID	-132***
	(0)
329.ID	-160***
	(0)
330.ID	12***
	(0)
331.ID	-150***
	(0)
332.ID	12***
	(0)
333.ID	-60***
	(0)
334.ID	-156***
	(0)
335.ID	-150***
	(0)
336.ID	-168***
	(0)
337.ID	-144***
	(0)
338.ID	-168***
	(0)
339.ID	-150***
	(0)
340.ID	66***
	(0)
341.ID	-93***
	(0)
342.ID	-156***
	(0)
343.ID	12***
	(0)
344.ID	-168***
	(0)
345.ID	-54***
	(0)
346.ID	-168***
	(0)
347.ID	-168***
	(0)
348.ID	-153***
	(0)
349.ID	-162***
	(0)
350.ID	-144***
	(0)
352.ID	-24***
	(0)
353.ID	-74***
	(0)
354.ID	-152***
	(0)
355.ID	-162***
	(0)
356.ID	-126***
	(0)
357.ID	-42***
	(0)
358.ID	-151***
	(0)
359.ID	-154***
	(0)
361.ID	-150***
	(0)
364.ID	-72***
	(0)
365.ID	-144***
	(0)
366.ID	24***
	(0)
369.ID	2***
	(0)
370.ID	-132***
	(0)
372.ID	-48***
	(0)
373.ID	-144***
	(0)
374.ID	-25.75***
	(0.868)
375.ID	-126***
	(0)
377.ID	-155***
	(0)
378.ID	-150***
	(0)
379.ID	-153***
	(0)
381.ID	-153***
	(0)
382.ID	-162***
	(0)
383.ID	-156***
	(0)
385.ID	-72***
	(0)
386.ID	-162***
	(0)
387.ID	-152***
	(0)
388.ID	-153***
	(0)
389.ID	6***
	(0)
390.ID	2***
	(0)
391.ID	-151***
	(0)
393.ID	-36***
	(0)
394.ID	-150***
