	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	1.697
	(1.051)
4.ID	-48***
	(0)
5.ID	-144***
	(0)
7.ID	-3***
	(0)
9.ID	-146***
	(0)
12.ID	144***
	(0)
14.ID	-144***
	(0)
18.ID	-114***
	(0)
19.ID	-132***
	(0)
20.ID	-60***
	(0)
21.ID	-142***
	(0)
22.ID	-156***
	(0)
24.ID	-48***
	(0)
25.ID	-33***
	(0)
27.ID	-154***
	(0)
30.ID	-147***
	(0)
31.ID	-108***
	(0)
32.ID	-156***
	(0)
34.ID	-12***
	(0)
35.ID	-150***
	(0)
36.ID	-120***
	(0)
37.ID	-140***
	(0)
40.ID	-100***
	(0)
43.ID	-147***
	(0)
46.ID	-132***
	(0)
47.ID	-144***
	(0)
49.ID	24***
	(0)
51.ID	-144***
	(0)
52.ID	-24***
	(0)
55.ID	-146***
	(0)
56.ID	6***
	(0)
57.ID	-144***
	(0)
58.ID	-108***
	(0)
59.ID	-156***
	(0)
60.ID	-150***
	(0)
61.ID	-68***
	(0)
62.ID	-144***
	(0)
64.ID	-48***
	(0)
65.ID	-150***
	(0)
68.ID	-132***
	(0)
71.ID	47.15***
	(0.526)
72.ID	114***
	(0)
73.ID	-72***
	(0)
74.ID	-54***
	(0)
78.ID	-132***
	(0)
79.ID	-146***
	(0)
80.ID	0
	(0)
83.ID	-144***
	(0)
85.ID	3***
	(0)
86.ID	-54***
	(0)
88.ID	117***
	(0)
93.ID	-156***
	(0)
94.ID	-127***
	(0)
95.ID	120***
	(0)
97.ID	-154***
	(0)
100.ID	-150***
	(0)
101.ID	-156***
	(0)
102.ID	-156***
	(0)
105.ID	-132***
	(0)
110.ID	-150***
	(0)
111.ID	-144***
	(0)
113.ID	-144***
	(0)
114.ID	9***
	(0)
115.ID	-114***
	(0)
116.ID	-150***
	(0)
117.ID	11***
	(0)
119.ID	96***
	(0)
120.ID	-72***
	(0)
121.ID	24***
	(0)
123.ID	93***
	(0)
125.ID	-55***
	(0)
126.ID	-156***
	(0)
128.ID	-150***
	(0)
129.ID	24***
	(0)
131.ID	-142***
	(0)
132.ID	-152***
	(0)
134.ID	-102***
	(0)
135.ID	-132***
	(0)
137.ID	17***
	(0)
138.ID	118***
	(0)
139.ID	-132***
	(0)
142.ID	-114***
	(0)
147.ID	118***
	(0)
149.ID	-153***
	(0)
151.ID	-138***
	(0)
152.ID	-78***
	(0)
153.ID	-108***
	(0)
154.ID	-120***
	(0)
155.ID	-150***
	(0)
156.ID	-126***
	(0)
158.ID	-24***
	(0)
159.ID	-140***
	(0)
160.ID	-12***
	(0)
163.ID	-108***
	(0)
164.ID	-144***
	(0)
166.ID	15***
	(0)
168.ID	10***
	(0)
169.ID	0
	(0)
170.ID	-54***
	(0)
171.ID	-151***
	(0)
172.ID	-150***
	(0)
175.ID	-145***
	(0)
176.ID	-132***
	(0)
178.ID	-144***
	(0)
179.ID	-78***
	(0)
180.ID	-156***
	(0)
181.ID	-144***
	(0)
183.ID	-148***
	(0)
185.ID	6***
	(0)
188.ID	-12***
	(0)
190.ID	-142***
	(0)
191.ID	-152***
	(0)
196.ID	-138***
	(0)
197.ID	24***
	(0)
199.ID	-132***
	(0)
200.ID	-108***
	(0)
201.ID	-150***
	(0)
202.ID	-120***
	(0)
203.ID	42***
	(0)
206.ID	-156***
	(0)
207.ID	-144***
	(0)
213.ID	144***
	(0)
214.ID	6***
	(0)
218.ID	-138***
	(0)
219.ID	-138***
	(0)
222.ID	-21***
	(0)
224.ID	24***
	(0)
225.ID	-96***
	(0)
230.ID	-108***
	(0)
231.ID	-128***
	(0)
232.ID	-126***
	(0)
233.ID	-154***
	(0)
239.ID	6***
	(0)
240.ID	-132***
	(0)
242.ID	-132***
	(0)
243.ID	-36***
	(0)
244.ID	54***
	(0)
245.ID	-140***
	(0)
247.ID	-12***
	(0)
251.ID	-140***
	(0)
254.ID	-141***
	(0)
255.ID	72***
	(0)
258.ID	-132***
	(0)
259.ID	24***
	(0)
260.ID	-30***
	(0)
261.ID	-152***
	(0)
264.ID	-6***
	(0)
266.ID	-12***
	(0)
269.ID	15***
	(0)
271.ID	-139***
	(0)
278.ID	-151***
	(0)
279.ID	-133***
	(0)
280.ID	24***
	(0)
281.ID	24***
	(0)
282.ID	-153***
	(0)
284.ID	-148***
	(0)
285.ID	-143***
	(0)
286.ID	-144***
	(0)
288.ID	24***
	(0)
289.ID	24***
	(0)
292.ID	-6***
	(0)
293.ID	-156***
	(0)
294.ID	-144***
	(0)
296.ID	-144***
	(0)
303.ID	-144***
	(0)
304.ID	-96***
	(0)
305.ID	24***
	(0)
306.ID	-150***
	(0)
310.ID	-152***
	(0)
312.ID	-60***
	(0)
313.ID	-126***
	(0)
316.ID	-120***
	(0)
317.ID	-126***
	(0)
318.ID	0
	(0)
322.ID	90***
	(0)
323.ID	-144***
	(0)
325.ID	-144***
	(0)
330.ID	84***
	(0)
331.ID	-138***
	(0)
332.ID	24***
	(0)
334.ID	-144***
	(0)
337.ID	-132***
	(0)
339.ID	-138***
	(0)
341.ID	-138***
	(0)
342.ID	-144***
	(0)
343.ID	24***
	(0)
345.ID	78***
	(0)
347.ID	-156***
	(0)
349.ID	-150***
	(0)
352.ID	-12***
	(0)
353.ID	-62***
	(0)
355.ID	-150***
	(0)
358.ID	-139***
	(0)
359.ID	14***
	(0)
364.ID	-30***
	(0)
365.ID	-132***
	(0)
366.ID	36***
	(0)
369.ID	14***
	(0)
375.ID	-114***
	(0)
377.ID	-78***
	(0)
379.ID	-138***
	(0)
381.ID	-138***
	(0)
382.ID	-150***
	(0)
383.ID	-144***
	(0)
386.ID	-150***
	(0)
387.ID	-143***
	(0)
388.ID	-138***
	(0)
397.ID	-150***
	(0)
398.ID	-144***
	(0)
399.ID	-126***
	(0)
404.ID	-137***
	(0)
405.ID	-150***
	(0)
408.ID	-36***
	(0)
410.ID	-142***
	(0)
411.ID	-150***
	(0)
412.ID	-24***
	(0)
416.ID	-136***
	(0)
417.ID	-156***
	(0)
418.ID	-54***
	(0)
419.ID	-132***
	(0)
420.ID	-137***
	(0)
421.ID	-144***
	(0)
423.ID	-24***
	(0)
424.ID	0
	(0)
425.ID	-42***
	(0)
426.ID	-24***
	(0)
428.ID	-142***
	(0)
429.ID	-138***
	(0)
431.ID	-140***
	(0)
434.ID	-132***
	(0)
437.ID	-141***
	(0)
442.ID	-75***
	(0)
446.ID	6***
	(0)
449.ID	-36***
	(0)
454.ID	-142***
	(0)
455.ID	24***
	(0)
462.ID	24***
	(0)
466.ID	-156***
	(0)
469.ID	-149***
	(0)
474.ID	16***
	(0)
477.ID	2***
	(0)
483.ID	-144***
	(0)
488.ID	90***
	(0)
489.ID	-138***
	(0)
491.ID	-144.8***
	(0.526)
493.ID	-132***
	(0)
497.ID	-126***
	(0)
499.ID	-156***
	(0)
502.ID	-150***
	(0)
503.ID	-126***
	(0)
504.ID	24***
	(0)
505.ID	-156***
	(0)
514.ID	77***
	(0)
518.ID	-144***
	(0)
519.ID	-147***
	(0)
520.ID	6***
	(0)
521.ID	-96***
	(0)
524.ID	-144***
	(0)
526.ID	-60***
	(0)
527.ID	24***
	(0)
530.ID	-147***
	(0)
535.ID	-144***
	(0)
536.ID	24***
	(0)
538.ID	-42***
	(0)
539.ID	-24***
	(0)
540.ID	-138***
	(0)
544.ID	-150***
	(0)
546.ID	-153***
	(0)
550.ID	-36***
	(0)
552.ID	-144***
	(0)
553.ID	-12***
	(0)
555.ID	24***
	(0)
558.ID	-72***
	(0)
559.ID	-18***
	(0)
560.ID	116***
	(0)
565.ID	-154***
	(0)
568.ID	-148***
	(0)
573.ID	-142***
	(0)
574.ID	-126***
	(0)
575.ID	-12***
	(0)
577.ID	-42***
	(0)
578.ID	-138***
	(0)
579.ID	12***
	(0)
580.ID	-68***
	(0)
581.ID	24***
	(0)
583.ID	-152***
	(0)
585.ID	-72***
	(0)
587.ID	-156***
	(0)
588.ID	-156***
	(0)
590.ID	-96***
	(0)
594.ID	-144***
	(0)
599.ID	-156***
	(0)
600.ID	-115***
	(0)
604.ID	-120***
	(0)
606.ID	108***
	(0)
607.ID	-156***
	(0)
608.ID	-144***
	(0)
610.ID	-129***
	(0)
611.ID	-156***
	(0)
612.ID	-24***
	(0)
613.ID	-24***
	(0)
614.ID	-138***
	(0)
615.ID	-156***
	(0)
616.ID	-156***
	(0)
617.ID	-132***
	(0)
622.ID	-138***
	(0)
623.ID	2***
	(0)
626.ID	-144***
	(0)
627.ID	-141***
	(0)
628.ID	-48***
	(0)
629.ID	84***
	(0)
630.ID	-150***
	(0)
631.ID	-38***
	(0)
634.ID	-120***
	(0)
635.ID	24***
	(0)
636.ID	-152***
	(0)
638.ID	-60***
	(0)
639.ID	-135***
	(0)
640.ID	13***
	(0)
641.ID	-85***
	(0)
642.ID	-48***
	(0)
643.ID	24***
	(0)
644.ID	-138***
	(0)
645.ID	-96***
	(0)
647.ID	-138***
	(0)
648.ID	24***
	(0)
649.ID	-110***
	(0)
651.ID	-150***
	(0)
652.ID	-153***
	(0)
653.ID	-144***
	(0)
654.ID	-120***
	(0)
655.ID	-120***
	(0)
656.ID	-144***
	(0)
658.ID	-146***
	(0)
659.ID	12***
	(0)
660.ID	-132***
	(0)
662.ID	-84***
	(0)
663.ID	-150***
	(0)
664.ID	-141***
	(0)
666.ID	-144***
	(0)
670.ID	-54***
	(0)
672.ID	-144***
	(0)
674.ID	-146***
	(0)
675.ID	-144***
	(0)
676.ID	-133***
	(0)
680.ID	-132***
	(0)
683.ID	-147***
	(0)
687.ID	-138***
	(0)
688.ID	-14***
	(0)
690.ID	-148***
	(0)
691.ID	-144***
	(0)
692.ID	-60***
	(0)
695.ID	144***
	(0)
696.ID	-42***
	(0)
697.ID	-144***
	(0)
698.ID	-132***
	(0)
699.ID	-144***
	(0)
700.ID	-96***
	(0)
702.ID	54***
	(0)
703.ID	-144***
	(0)
705.ID	-147***
	(0)
706.ID	-152***
	(0)
707.ID	-139***
	(0)
708.ID	-156***
	(0)
715.ID	-6***
