	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	-0.298
	(1.062)
1.ID	-90***
	(0)
2.ID	66***
	(0)
3.ID	-78***
	(0)
4.ID	18***
	(0)
5.ID	-78***
	(0)
6.ID	-73***
	(0)
7.ID	63***
	(0)
8.ID	-81***
	(0)
9.ID	-80***
	(0)
10.ID	210***
	(0)
12.ID	210***
	(0)
15.ID	-83***
	(0)
16.ID	90***
	(0)
18.ID	-48***
	(0)
19.ID	-66***
	(0)
20.ID	6***
	(0)
21.ID	-76***
	(0)
22.ID	-90***
	(0)
23.ID	90***
	(0)
24.ID	18***
	(0)
25.ID	36***
	(0)
26.ID	-78***
	(0)
27.ID	-88***
	(0)
28.ID	-75***
	(0)
29.ID	-72***
	(0)
30.ID	-81***
	(0)
31.ID	-42***
	(0)
32.ID	-90***
	(0)
33.ID	72***
	(0)
34.ID	54***
	(0)
35.ID	-84***
	(0)
36.ID	-54***
	(0)
37.ID	-74***
	(0)
38.ID	-84***
	(0)
39.ID	25***
	(0)
40.ID	-34***
	(0)
41.ID	-54***
	(0)
42.ID	66***
	(0)
43.ID	-81***
	(0)
46.ID	-66***
	(0)
47.ID	-78***
	(0)
48.ID	64***
	(0)
49.ID	90***
	(0)
50.ID	90***
	(0)
51.ID	-78***
	(0)
52.ID	42***
	(0)
53.ID	36***
	(0)
54.ID	-78***
	(0)
55.ID	-80***
	(0)
56.ID	72***
	(0)
57.ID	-78***
	(0)
58.ID	-42***
	(0)
59.ID	-90***
	(0)
60.ID	-84***
	(0)
61.ID	-80***
	(0)
62.ID	-78***
	(0)
63.ID	-66***
	(0)
64.ID	48***
	(0)
65.ID	-84***
	(0)
66.ID	-52***
	(0)
67.ID	24***
	(0)
68.ID	-66***
	(0)
69.ID	-78***
	(0)
70.ID	141***
	(0)
71.ID	114***
	(0)
72.ID	180***
	(0)
73.ID	-84***
	(0)
74.ID	12***
	(0)
76.ID	-74***
	(0)
77.ID	-60***
	(0)
78.ID	-66***
	(0)
79.ID	-80***
	(0)
80.ID	66***
	(0)
81.ID	-78***
	(0)
82.ID	-90***
	(0)
83.ID	-78***
	(0)
85.ID	69***
	(0)
86.ID	12***
	(0)
87.ID	54***
	(0)
88.ID	183***
	(0)
89.ID	-78***
	(0)
90.ID	-86***
	(0)
91.ID	-54***
	(0)
92.ID	-78***
	(0)
93.ID	-90***
	(0)
94.ID	-61***
	(0)
95.ID	186***
	(0)
96.ID	-66***
	(0)
97.ID	-88***
	(0)
98.ID	-72***
	(0)
99.ID	-85***
	(0)
100.ID	-84***
	(0)
101.ID	-90***
	(0)
102.ID	-90***
	(0)
103.ID	-74***
	(0)
104.ID	-42***
	(0)
105.ID	-66***
	(0)
106.ID	108***
	(0)
107.ID	168***
	(0)
108.ID	152***
	(0)
109.ID	-72***
	(0)
110.ID	-84***
	(0)
111.ID	-78***
	(0)
112.ID	90***
	(0)
113.ID	-78***
	(0)
114.ID	75***
	(0)
115.ID	-48***
	(0)
116.ID	-78***
	(0)
117.ID	77***
	(0)
118.ID	-78***
	(0)
119.ID	162***
	(0)
120.ID	-6***
	(0)
121.ID	90***
	(0)
122.ID	6***
	(0)
123.ID	159***
	(0)
125.ID	11***
	(0)
126.ID	-90***
	(0)
127.ID	-88***
	(0)
128.ID	-84***
	(0)
129.ID	90***
	(0)
130.ID	-84***
	(0)
131.ID	-76***
	(0)
132.ID	-86***
	(0)
133.ID	48***
	(0)
134.ID	-36***
	(0)
135.ID	90***
	(0)
136.ID	72***
	(0)
137.ID	83***
	(0)
138.ID	184***
	(0)
139.ID	-66***
	(0)
140.ID	-78***
	(0)
142.ID	-48***
	(0)
143.ID	-66***
	(0)
144.ID	-84***
	(0)
145.ID	-77***
	(0)
146.ID	54***
	(0)
147.ID	184***
	(0)
148.ID	60***
	(0)
149.ID	-87***
	(0)
150.ID	-78***
	(0)
151.ID	-72***
	(0)
152.ID	36***
	(0)
153.ID	-42***
	(0)
154.ID	6***
	(0)
155.ID	-84***
	(0)
156.ID	-60***
	(0)
157.ID	-64***
	(0)
158.ID	42***
	(0)
159.ID	-74***
	(0)
160.ID	-12***
	(0)
161.ID	132***
	(0)
163.ID	-27***
	(0)
164.ID	-78***
	(0)
165.ID	-76***
	(0)
166.ID	81***
	(0)
167.ID	-78***
	(0)
168.ID	76***
	(0)
169.ID	66***
	(0)
170.ID	12***
	(0)
171.ID	-85***
	(0)
172.ID	-84***
	(0)
173.ID	-0
	(0)
174.ID	24***
	(0)
175.ID	-79***
	(0)
176.ID	-66***
	(0)
178.ID	-78***
	(0)
179.ID	-12***
	(0)
180.ID	-90***
	(0)
181.ID	-78***
	(0)
182.ID	-78***
	(0)
183.ID	-82***
	(0)
184.ID	-90***
	(0)
185.ID	45***
	(0)
186.ID	60***
	(0)
187.ID	88***
	(0)
188.ID	54***
	(0)
189.ID	-15***
	(0)
190.ID	-76***
	(0)
191.ID	-86***
	(0)
192.ID	-80***
	(0)
194.ID	-30***
	(0)
196.ID	-72***
	(0)
197.ID	90***
	(0)
198.ID	-66***
	(0)
199.ID	-66***
	(0)
201.ID	-84***
	(0)
202.ID	-54***
	(0)
203.ID	108***
	(0)
204.ID	120***
	(0)
205.ID	6***
	(0)
206.ID	-90***
	(0)
207.ID	-78***
	(0)
208.ID	-90***
	(0)
209.ID	-30***
	(0)
210.ID	-78***
	(0)
212.ID	-66***
	(0)
213.ID	210***
	(0)
214.ID	72***
	(0)
217.ID	54***
	(0)
218.ID	-72***
	(0)
219.ID	-72***
	(0)
220.ID	30***
	(0)
221.ID	30***
	(0)
222.ID	170***
	(0)
223.ID	-78***
	(0)
224.ID	90***
	(0)
225.ID	-30***
	(0)
226.ID	-86***
	(0)
227.ID	57***
	(0)
228.ID	150***
	(0)
229.ID	-42***
	(0)
230.ID	-42***
	(0)
231.ID	32***
	(0)
232.ID	-60***
	(0)
233.ID	-88***
	(0)
234.ID	24***
	(0)
235.ID	-84***
	(0)
236.ID	198***
	(0)
237.ID	-90***
	(0)
238.ID	42***
	(0)
239.ID	-48***
	(0)
240.ID	-66***
	(0)
241.ID	90***
	(0)
242.ID	-66***
	(0)
243.ID	30***
	(0)
244.ID	120***
	(0)
245.ID	-74***
	(0)
247.ID	54***
	(0)
248.ID	-78***
	(0)
249.ID	-84***
	(0)
250.ID	174***
	(0)
251.ID	-71***
	(0)
252.ID	-82***
	(0)
253.ID	-78***
	(0)
254.ID	-75***
	(0)
255.ID	138***
	(0)
256.ID	6***
	(0)
257.ID	90***
	(0)
258.ID	-66***
	(0)
259.ID	90***
	(0)
260.ID	36***
	(0)
261.ID	-86***
	(0)
263.ID	-66***
	(0)
264.ID	120***
	(0)
267.ID	9***
	(0)
268.ID	90***
	(0)
269.ID	3***
	(0)
270.ID	54***
	(0)
271.ID	-73***
	(0)
272.ID	114***
	(0)
274.ID	-18***
	(0)
275.ID	-66***
	(0)
276.ID	18***
	(0)
277.ID	90***
	(0)
278.ID	-85***
	(0)
279.ID	-67***
	(0)
280.ID	90***
	(0)
281.ID	90***
	(0)
282.ID	-87***
	(0)
283.ID	-66***
	(0)
284.ID	-82***
	(0)
285.ID	-77***
	(0)
286.ID	-78***
	(0)
288.ID	90***
	(0)
289.ID	90***
	(0)
290.ID	90***
	(0)
291.ID	-72***
	(0)
292.ID	120***
	(0)
293.ID	-90***
	(0)
294.ID	-78***
	(0)
295.ID	-30***
	(0)
296.ID	-78***
	(0)
297.ID	90***
	(0)
298.ID	-54***
	(0)
299.ID	174***
	(0)
300.ID	-18***
	(0)
301.ID	-66***
	(0)
302.ID	210***
	(0)
303.ID	-78***
	(0)
304.ID	-30***
	(0)
305.ID	90***
	(0)
306.ID	-84***
	(0)
307.ID	-88***
	(0)
308.ID	-84***
	(0)
309.ID	-86***
	(0)
310.ID	-86***
	(0)
311.ID	-84***
	(0)
312.ID	6***
	(0)
313.ID	-60***
	(0)
314.ID	-72***
	(0)
315.ID	-78***
	(0)
316.ID	-54***
	(0)
317.ID	-60***
	(0)
318.ID	66***
	(0)
319.ID	-0
	(0)
320.ID	-81***
	(0)
321.ID	-90***
	(0)
322.ID	96***
	(0)
323.ID	-78***
	(0)
324.ID	12***
	(0)
325.ID	-78***
	(0)
326.ID	-32***
	(0)
327.ID	-30***
	(0)
328.ID	-54***
	(0)
329.ID	-82***
	(0)
330.ID	150***
	(0)
331.ID	-72***
	(0)
332.ID	90***
	(0)
333.ID	90***
	(0)
334.ID	-78***
	(0)
335.ID	-72***
	(0)
336.ID	-90***
	(0)
337.ID	-66***
	(0)
338.ID	-90***
	(0)
339.ID	-72***
	(0)
340.ID	144***
	(0)
341.ID	-72***
	(0)
342.ID	-78***
	(0)
343.ID	90***
	(0)
344.ID	-87***
	(0)
345.ID	144***
	(0)
346.ID	-90***
	(0)
347.ID	-90***
	(0)
348.ID	-72***
	(0)
349.ID	-84***
	(0)
350.ID	-66***
	(0)
352.ID	54***
	(0)
353.ID	4***
	(0)
354.ID	-74***
	(0)
355.ID	-84***
	(0)
356.ID	-48***
	(0)
357.ID	36***
	(0)
358.ID	-73***
	(0)
359.ID	80***
	(0)
361.ID	-72***
	(0)
364.ID	66***
	(0)
365.ID	-66***
	(0)
366.ID	42***
	(0)
369.ID	80***
	(0)
370.ID	30***
	(0)
372.ID	30***
	(0)
373.ID	-66***
	(0)
375.ID	-48***
	(0)
377.ID	53***
	(0)
378.ID	-72***
	(0)
379.ID	-72***
	(0)
381.ID	-72***
	(0)
382.ID	-84***
	(0)
383.ID	-78***
	(0)
385.ID	6***
	(0)
386.ID	-84***
	(0)
387.ID	-74***
	(0)
388.ID	-72***
	(0)
389.ID	84***
	(0)
390.ID	200***
	(0)
391.ID	-73***
	(0)
393.ID	42***
	(0)
394.ID	-72***
	(0)
395.ID	36***
	(0)
396.ID	75***
	(0)
397.ID	-84***
	(0)
398.ID	-78***
	(0)
399.ID	-60***
	(0)
400.ID	42***
	(0)
401.ID	-78***
	(0)
402.ID	-78***
	(0)
403.ID	-81***
	(0)
404.ID	-71***
	(0)
405.ID	-84***
