	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00244
	(0.0110)
3.ID	-1.980***
	(0.00173)
4.ID	0
	(0.00173)
6.ID	-1.980***
	(0.00173)
8.ID	-1.765***
	(0.00173)
12.ID	0.509***
	(0.00173)
15.ID	-1.980***
	(0.00173)
16.ID	0
	(0.00173)
30.ID	-1.980***
	(0.00173)
32.ID	0
	(0.00173)
39.ID	0
	(0.00173)
43.ID	-1.980***
	(0.00173)
49.ID	0
	(0.00173)
55.ID	-1.980***
	(0.00173)
61.ID	-1.980***
	(0.00173)
64.ID	0
	(0.00173)
65.ID	-1.980***
	(0.00173)
66.ID	-1.765***
	(0.00173)
67.ID	0
	(0.00173)
71.ID	0.507***
	(0.00562)
73.ID	-1.980***
	(0.00173)
74.ID	-0.544
	(0.544)
79.ID	-1.980***
	(0.00173)
80.ID	0
	(0.00173)
81.ID	-1.980***
	(0.00173)
83.ID	-1.765***
	(0.00173)
91.ID	-0.312
	(0.314)
100.ID	-1.765***
	(0.00173)
102.ID	-2.634***
	(0.00173)
103.ID	-1.980***
	(0.00173)
105.ID	-1.980***
	(0.00173)
108.ID	0.509***
	(0.00173)
109.ID	-0.882
	(0.883)
110.ID	-2.634***
	(0.00173)
111.ID	-2.634***
	(0.00173)
112.ID	0
	(0.00173)
117.ID	0
	(0.00173)
118.ID	0
	(0.00173)
119.ID	0.509***
	(0.00173)
122.ID	0.509***
	(0.00173)
123.ID	0.509***
	(0.00173)
125.ID	0
	(0.00173)
127.ID	-2.634***
	(0.00173)
128.ID	-1.765***
	(0.00173)
131.ID	-1.765***
	(0.00173)
132.ID	-2.634***
	(0.00173)
135.ID	-0.990
	(0.991)
136.ID	0
	(0.00173)
137.ID	0
	(0.00173)
140.ID	-1.588***
	(0.00173)
142.ID	-1.980***
	(0.00173)
147.ID	0.509***
	(0.00173)
148.ID	0
	(0.00173)
149.ID	-2.444***
	(0.191)
150.ID	-1.980***
	(0.00173)
153.ID	0
	(0.00173)
154.ID	0
	(0.00173)
156.ID	-1.980***
	(0.00173)
157.ID	0
	(0.00173)
158.ID	-0.882
	(0.886)
159.ID	-1.765***
	(0.00173)
163.ID	-1.088***
	(0.00173)
165.ID	-1.980***
	(0.00173)
167.ID	-1.980***
	(0.00173)
168.ID	0
	(0.00173)
178.ID	-2.634***
	(0.00173)
181.ID	-2.444***
	(0.191)
182.ID	-1.980***
	(0.00173)
184.ID	-1.980***
	(0.00173)
189.ID	-1.765***
	(0.00173)
194.ID	0
	(0.00173)
197.ID	0
	(0.00173)
202.ID	0
	(0.00173)
204.ID	0.509***
	(0.00173)
206.ID	-1.980***
	(0.00173)
207.ID	-1.980***
	(0.00173)
208.ID	-1.980***
	(0.00173)
209.ID	0
	(0.00173)
214.ID	-0.990
	(0.991)
218.ID	-1.980***
	(0.00173)
219.ID	-1.765***
	(0.00173)
226.ID	-2.254***
	(0.00173)
227.ID	0
	(0.00173)
229.ID	0
	(0.00173)
233.ID	-1.765***
	(0.00173)
234.ID	0
	(0.00173)
235.ID	-1.088***
	(0.00173)
237.ID	0
	(0.00173)
240.ID	0
	(0.00173)
245.ID	-1.980***
	(0.00173)
246.ID	0
	(0.00173)
247.ID	0
	(0.00173)
257.ID	0
	(0.00173)
260.ID	0
	(0.00173)
269.ID	-1.980***
	(0.00173)
270.ID	0
	(0.00173)
277.ID	0
	(0.00173)
282.ID	-1.980***
	(0.00173)
285.ID	-1.980***
	(0.00173)
286.ID	-1.980***
	(0.00173)
290.ID	0
	(0.00173)
291.ID	-1.980***
	(0.00173)
296.ID	-1.307***
	(0.00173)
298.ID	0
	(0.00173)
299.ID	0.509***
	(0.00173)
300.ID	-0.794
	(0.795)
301.ID	-1.980***
	(0.00173)
304.ID	0.509***
	(0.00173)
305.ID	0
	(0.00173)
309.ID	-1.765***
	(0.00173)
310.ID	-1.980***
	(0.00173)
314.ID	-1.588***
	(0.00173)
315.ID	-1.980***
	(0.00173)
317.ID	0
	(0.00173)
318.ID	0
	(0.00173)
319.ID	0
	(0.00173)
321.ID	-1.588***
	(0.00173)
325.ID	-1.980***
	(0.00173)
326.ID	0
	(0.00173)
327.ID	0
	(0.00173)
329.ID	-1.980***
	(0.00173)
335.ID	-1.980***
	(0.00173)
336.ID	-0.0686***
	(0.00173)
337.ID	-1.980***
	(0.00173)
338.ID	0
	(0.00173)
339.ID	0
	(0.00173)
342.ID	-1.980***
	(0.00173)
343.ID	0
	(0.00173)
347.ID	-1.588***
	(0.00173)
348.ID	-1.980***
	(0.00173)
349.ID	-3.253***
	(0.00173)
353.ID	-0.403***
	(0.00173)
369.ID	0
	(0.00173)
378.ID	-1.980***
	(0.00173)
389.ID	0
	(0.00173)
391.ID	-1.980***
	(0.00173)
398.ID	-2.634***
	(0.00173)
400.ID	0
	(0.00173)
403.ID	-1.980***
	(0.00173)
404.ID	-1.588***
	(0.00173)
407.ID	0
	(0.00173)
409.ID	-2.634***
	(0.00173)
413.ID	-1.588***
	(0.00173)
414.ID	-1.980***
	(0.00173)
415.ID	-1.980***
	(0.00173)
416.ID	-1.765***
	(0.00173)
417.ID	-2.634***
	(0.00173)
421.ID	-1.980***
	(0.00173)
424.ID	0
	(0.00173)
428.ID	-1.980***
	(0.00173)
429.ID	-1.980***
	(0.00173)
435.ID	0.509***
	(0.00173)
436.ID	-1.765***
	(0.00173)
442.ID	0
	(0.00173)
445.ID	-1.980***
	(0.00173)
446.ID	0
	(0.00173)
450.ID	-1.980***
	(0.00173)
456.ID	-2.635***
	(0.00562)
459.ID	-1.765***
	(0.00173)
460.ID	-1.980***
	(0.00173)
462.ID	0
	(0.00173)
473.ID	0
	(0.00173)
474.ID	0
	(0.00173)
479.ID	0
	(0.00173)
486.ID	-0.990
	(0.994)
489.ID	-2.254***
	(0.00173)
490.ID	-1.980***
	(0.00173)
501.ID	-1.765***
	(0.00173)
504.ID	0
	(0.00173)
507.ID	0
	(0.00173)
514.ID	0.509***
	(0.00173)
523.ID	0
	(0.00173)
525.ID	-1.765***
	(0.00173)
530.ID	-1.765***
	(0.00173)
532.ID	0
	(0.00173)
542.ID	0.509***
	(0.00173)
543.ID	0
	(0.00173)
544.ID	-1.980***
	(0.00173)
545.ID	-2.634***
	(0.00173)
546.ID	-1.980***
	(0.00173)
550.ID	0
	(0.00173)
551.ID	0
	(0.00173)
553.ID	0
	(0.00173)
554.ID	-1.980***
	(0.00173)
555.ID	0
	(0.00173)
559.ID	0
	(0.00173)
560.ID	0.509***
	(0.00173)
563.ID	-0.454***
	(0.00173)
569.ID	0
	(0.00173)
570.ID	-2.896***
	(0.00173)
573.ID	-1.980***
	(0.00173)
582.ID	-1.980***
	(0.00173)
583.ID	-1.980***
	(0.00173)
584.ID	0
	(0.00173)
591.ID	-0.908***
	(0.00173)
592.ID	-1.765***
	(0.00173)
593.ID	-1.980***
	(0.00173)
594.ID	-2.632***
	(0.00562)
596.ID	-1.980***
	(0.00173)
597.ID	0
	(0.00173)
598.ID	-0.403***
	(0.00173)
605.ID	-1.980***
	(0.00173)
607.ID	0
	(0.00173)
618.ID	0
	(0.00173)
621.ID	-1.588***
	(0.00173)
622.ID	-1.980***
	(0.00173)
624.ID	0
	(0.00173)
628.ID	0
	(0.00173)
634.ID	-1.980***
	(0.00173)
637.ID	0.509***
	(0.00173)
640.ID	0
	(0.00173)
642.ID	0
	(0.00173)
645.ID	-1.980***
	(0.00173)
653.ID	-1.980***
	(0.00173)
658.ID	-1.980***
	(0.00173)
660.ID	-1.980***
	(0.00173)
661.ID	0.509***
	(0.00173)
662.ID	-1.980***
	(0.00173)
665.ID	-1.980***
	(0.00173)
667.ID	0
	(0.00173)
670.ID	0
	(0.00173)
671.ID	-1.588***
	(0.00173)
677.ID	-1.980***
	(0.00173)
679.ID	0.509***
	(0.00173)
681.ID	-1.980***
	(0.00173)
687.ID	-1.980***
	(0.00173)
691.ID	-1.980***
	(0.00173)
693.ID	0
	(0.00173)
699.ID	-1.980***
	(0.00173)
700.ID	-1.980***
	(0.00173)
704.ID	-1.765***
	(0.00173)
706.ID	-1.980***
	(0.00173)
707.ID	-1.980***
	(0.00173)
710.ID	-2.634***
	(0.00173)
711.ID	0.509***
	(0.00173)
720.ID	0
	(0.00173)
731.ID	0
	(0.00173)
733.ID	-1.980***
	(0.00173)
735.ID	-1.307***
	(0.00173)
739.ID	-1.588***
	(0.00173)
740.ID	-1.980***
	(0.00173)
742.ID	-1.980***
	(0.00173)
745.ID	0.509***
	(0.00173)
748.ID	0
	(0.00173)
758.ID	0
	(0.00173)
767.ID	0
	(0.00173)
768.ID	0
	(0.00173)
770.ID	-1.784***
	(0.195)
772.ID	-1.980***
	(0.00173)
776.ID	0
	(0.00173)
782.ID	0.509***
	(0.00173)
785.ID	0
	(0.00173)
790.ID	-1.588***
	(0.00173)
792.ID	0.509***
	(0.00173)
795.ID	-1.980***
	(0.00173)
816.ID	0
	(0.00173)
823.ID	-0.990
	(0.991)
831.ID	-1.980***
	(0.00173)
836.ID	-1.765***
	(0.00173)
837.ID	0.509***
	(0.00173)
838.ID	0.509***
	(0.00173)
840.ID	0
	(0.00173)
841.ID	-1.138***
	(0.00173)
845.ID	-1.980***
	(0.00173)
847.ID	-1.765***
	(0.00173)
848.ID	-1.765***
	(0.00173)
849.ID	-3.253***
	(0.00173)
852.ID	0
	(0.00173)
863.ID	-1.980***
	(0.00173)
868.ID	-3.253***
	(0.00173)
872.ID	0
	(0.00173)
875.ID	0
	(0.00173)
878.ID	-1.980***
	(0.00173)
884.ID	0
	(0.00173)
903.ID	-1.980***
	(0.00173)
904.ID	-1.980***
	(0.00173)
907.ID	0
	(0.00173)
911.ID	0
	(0.00173)
912.ID	-1.980***
	(0.00173)
917.ID	-1.765***
	(0.00173)
918.ID	0
	(0.00173)
922.ID	0
	(0.00173)
924.ID	0
	(0.00173)
927.ID	0
	(0.00173)
929.ID	0
	(0.00173)
939.ID	0
	(0.00173)
945.ID	-1.980***
	(0.00173)
949.ID	0
	(0.00173)
951.ID	-1.980***
	(0.00173)
953.ID	0
	(0.00173)
960.ID	-1.588***
	(0.00173)
961.ID	0
	(0.00173)
964.ID	-1.088***
	(0.00173)
975.ID	-1.980***
	(0.00173)
977.ID	0
	(0.00173)
980.ID	-2.634***
	(0.00173)
988.ID	-1.588***
	(0.00173)
989.ID	-2.634***
	(0.00173)
990.ID	-1.765***
	(0.00173)
991.ID	-0.990
	(0.991)
993.ID	-1.980***
	(0.00173)
995.ID	-1.980***
	(0.00173)
1000.ID	0
	(0.00173)
1004.ID	0
	(0.00173)
1005.ID	0
	(0.00173)
1007.ID	0
	(0.00173)
1019.ID	-0.00122
	(0.00562)
1020.ID	-1.980***
	(0.00173)
1021.ID	0.286***
	(0.00173)
1023.ID	-0.990
	(0.994)
1024.ID	-1.980***
	(0.00173)
1025.ID	-1.980***
	(0.00173)
1026.ID	-1.088***
	(0.00173)
1027.ID	0
	(0.00173)
1028.ID	0
	(0.00173)
1029.ID	0
	(0.00173)
1033.ID	0
	(0.00173)
1034.ID	0
	(0.00173)
1038.ID	0
	(0.00173)
1039.ID	0.509***
	(0.00173)
1047.ID	-1.980***
	(0.00173)
1051.ID	-0.756***
	(0.00173)
1052.ID	0
	(0.00173)
1054.ID	-1.765***
	(0.00173)
1057.ID	-2.634***
	(0.00173)
1062.ID	0
	(0.00173)
1067.ID	-2.254***
	(0.00173)
1076.ID	0
	(0.00173)
1084.ID	0
	(0.00173)
1089.ID	-1.980***
	(0.00173)
1094.ID	-1.980***
	(0.00173)
1095.ID	0
	(0.00173)
1096.ID	-1.980***
	(0.00173)
1097.ID	-1.980***
	(0.00173)
1100.ID	0
	(0.00173)
1101.ID	0
	(0.00173)
1106.ID	0.509***
	(0.00173)
1107.ID	-3.253***
	(0.00173)
1115.ID	0
	(0.00173)
1118.ID	-0.624***
	(0.00173)
1121.ID	-1.980***
	(0.00173)
1125.ID	0
	(0.00173)
1129.ID	0
	(0.00173)
1133.ID	-2.254***
	(0.00173)
1139.ID	-1.980***
	(0.00173)
1144.ID	0
	(0.00173)
1146.ID	0
	(0.00173)
1148.ID	-1.980***
	(0.00173)
1150.ID	-2.254***
	(0.00173)
1153.ID	0
	(0.00173)
1158.ID	-1.765***
	(0.00173)
1163.ID	-2.634***
	(0.00173)
1164.ID	-1.980***
	(0.00173)
1167.ID	-1.765***
	(0.00173)
1169.ID	0
	(0.00173)
1174.ID	0
	(0.00173)
1175.ID	-2.896***
	(0.00173)
1176.ID	-2.634***
	(0.00173)
1177.ID	-1.980***
	(0.00173)
1179.ID	0
	(0.00173)
1180.ID	-1.980***
	(0.00173)
1187.ID	-0.882
	(0.883)
1189.ID	0.143
	(0.142)
1191.ID	-1.980***
	(0.00173)
1192.ID	0
	(0.00173)
1197.ID	-1.765***
	(0.00173)
1201.ID	0.286***
	(0.00173)
1206.ID	0
	(0.00173)
1207.ID	-2.634***
	(0.00173)
1209.ID	-2.634***
	(0.00173)
1212.ID	-1.980***
	(0.00173)
1214.ID	-2.254***
	(0.00173)
1220.ID	-1.980***
	(0.00173)
1224.ID	-1.980***
	(0.00173)
1227.ID	-1.980***
	(0.00173)
1228.ID	0.509***
	(0.00173)
1229.ID	0
	(0.00173)
1230.ID	0.286***
	(0.00173)
1231.ID	-2.254***
	(0.00173)
1232.ID	-1.872***
	(0.109)
1233.ID	-1.980***
	(0.00173)
1240.ID	-1.980***
	(0.00173)
1242.ID	-1.980***
	(0.00173)
1247.ID	-1.980***
	(0.00173)
1249.ID	-1.765***
	(0.00173)
1251.ID	0.509***
	(0.00173)
1253.ID	-2.254***
	(0.00173)
1260.ID	0
	(0.00173)
1262.ID	-1.588***
	(0.00173)
1263.ID	-1.980***
	(0.00173)
1266.ID	-1.980***
	(0.00173)
1271.ID	-1.980***
	(0.00173)
1277.ID	-1.980***
	(0.00173)
1288.ID	-1.980***
	(0.00173)
1289.ID	0
	(0.00173)
1290.ID	-1.765***
	(0.00173)
1293.ID	-1.588***
	(0.00173)
1299.ID	-1.980***
	(0.00173)
1302.ID	-1.676***
	(0.0875)
1304.ID	0.509***
	(0.00173)
1305.ID	-1.980***
	(0.00173)
1307.ID	0
	(0.00173)
1308.ID	0
	(0.00173)
1310.ID	0.286***
	(0.00173)
1316.ID	0
	(0.00173)
1319.ID	-3.253***
	(0.00173)
1320.ID	-1.676***
	(0.0875)
1321.ID	-1.980***
	(0.00173)
1322.ID	-2.634***
	(0.00173)
1323.ID	-1.980***
	(0.00173)
1328.ID	-1.980***
	(0.00173)
1330.ID	-1.588***
	(0.00173)
1332.ID	-1.980***
	(0.00173)
1333.ID	-1.980***
	(0.00173)
1334.ID	0
	(0.00173)
1336.ID	-1.980***
	(0.00173)
1338.ID	-1.980***
	(0.00173)
1340.ID	-2.254***
	(0.00173)
1341.ID	-1.980***
	(0.00173)
1344.ID	-3.119***
	(0.00173)
1345.ID	0
	(0.00173)
1347.ID	-1.980***
	(0.00173)
1354.ID	-1.980***
	(0.00173)
1357.ID	-1.980***
	(0.00173)
1359.ID	-1.980***
	(0.00173)
1366.ID	-1.980***
	(0.00173)
1368.ID	-2.307***
	(0.329)
1369.ID	0
	(0.00173)
1370.ID	-1.980***
	(0.00173)
1375.ID	-1.980***
	(0.00173)
1376.ID	-1.980***
	(0.00173)
1382.ID	-1.980***
	(0.00173)
1384.ID	0
	(0.00173)
1387.ID	-1.980***
	(0.00173)
1393.ID	-1.980***
	(0.00173)
1395.ID	-1.980***
	(0.00173)
1397.ID	-1.980***
	(0.00173)
1398.ID	-3.253***
	(0.00173)
