	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0282**
	(0.0112)
1.ID	-1.588***
	(0.0200)
2.ID	-0
	(0.0200)
3.ID	-1.980***
	(0.0200)
4.ID	-0
	(0.0200)
5.ID	-1.765***
	(0.0200)
6.ID	-1.980***
	(0.0200)
7.ID	-0
	(0.0200)
8.ID	-1.765***
	(0.0200)
9.ID	-1.980***
	(0.0200)
10.ID	0.509***
	(0.0200)
12.ID	-0.628
	(1.124)
14.ID	-0
	(0.0200)
15.ID	-1.980***
	(0.0200)
16.ID	-0
	(0.0200)
17.ID	-0
	(0.0200)
18.ID	-1.980***
	(0.0200)
19.ID	-1.765***
	(0.0200)
20.ID	-0
	(0.0200)
21.ID	-1.765***
	(0.0200)
22.ID	-1.588***
	(0.0200)
23.ID	-0
	(0.0200)
24.ID	-0
	(0.0200)
25.ID	-1.765***
	(0.0200)
26.ID	-2.634***
	(0.0200)
27.ID	-1.980***
	(0.0200)
28.ID	-2.117***
	(0.124)
29.ID	-1.980***
	(0.0200)
30.ID	-1.980***
	(0.0200)
31.ID	-0.908***
	(0.0200)
32.ID	-0
	(0.0200)
33.ID	-0.990
	(1.005)
34.ID	-0
	(0.0200)
35.ID	-1.980***
	(0.0200)
36.ID	-1.980***
	(0.0200)
37.ID	-1.980***
	(0.0200)
38.ID	-1.980***
	(0.0200)
39.ID	-0
	(0.0200)
40.ID	-0
	(0.0200)
41.ID	-1.588***
	(0.0200)
42.ID	-0
	(0.0200)
43.ID	-1.980***
	(0.0200)
46.ID	-1.765***
	(0.0200)
47.ID	-2.254***
	(0.0200)
48.ID	-0
	(0.0200)
49.ID	-0
	(0.0200)
50.ID	-0
	(0.0200)
51.ID	-1.980***
	(0.0200)
52.ID	-1.765***
	(0.0200)
53.ID	0.254
	(0.241)
54.ID	-1.980***
	(0.0200)
55.ID	-1.980***
	(0.0200)
56.ID	-0
	(0.0200)
57.ID	-1.980***
	(0.0200)
58.ID	-0
	(0.0200)
59.ID	-1.307***
	(0.0200)
60.ID	-1.980***
	(0.0200)
61.ID	-1.980***
	(0.0200)
62.ID	-1.765***
	(0.0200)
63.ID	-1.980***
	(0.0200)
64.ID	-0
	(0.0200)
65.ID	-0
	(0.0200)
66.ID	-1.765***
	(0.0200)
67.ID	-0
	(0.0200)
68.ID	-0.403***
	(0.0200)
69.ID	-1.980***
	(0.0200)
70.ID	0.509***
	(0.0200)
71.ID	0.509***
	(0.0200)
72.ID	0.509***
	(0.0200)
73.ID	-1.980***
	(0.0200)
74.ID	-0
	(0.0200)
76.ID	-1.980***
	(0.0200)
77.ID	-1.765***
	(0.0200)
78.ID	-1.980***
	(0.0200)
79.ID	-1.980***
	(0.0200)
80.ID	-0
	(0.0200)
81.ID	-1.980***
	(0.0200)
82.ID	-1.588***
	(0.0200)
83.ID	-1.765***
	(0.0200)
84.ID	-0
	(0.0200)
85.ID	-0
	(0.0200)
86.ID	-0
	(0.0200)
87.ID	-0
	(0.0200)
88.ID	0.509***
	(0.0200)
89.ID	-1.980***
	(0.0200)
90.ID	-1.980***
	(0.0200)
91.ID	-0.624***
	(0.0200)
92.ID	-2.634***
	(0.0200)
93.ID	-1.588***
	(0.0200)
94.ID	-1.980***
	(0.0200)
95.ID	0.509***
	(0.0200)
96.ID	-1.980***
	(0.0200)
97.ID	-2.896***
	(0.0200)
98.ID	-1.088***
	(0.0200)
99.ID	-1.872***
	(0.123)
100.ID	-1.765***
	(0.0200)
101.ID	-0.990
	(0.977)
102.ID	-2.634***
	(0.0200)
103.ID	-1.980***
	(0.0200)
104.ID	-1.980***
	(0.0200)
105.ID	-1.980***
	(0.0200)
106.ID	0.254
	(0.269)
107.ID	0.509***
	(0.0200)
108.ID	0.509***
	(0.0200)
109.ID	-1.765***
	(0.0200)
110.ID	-2.634***
	(0.0200)
111.ID	-2.634***
	(0.0200)
112.ID	-0
	(0.0200)
113.ID	-1.980***
	(0.0200)
114.ID	-0
	(0.0200)
115.ID	-0
	(0.0200)
116.ID	-1.588***
	(0.0200)
117.ID	-0
	(0.0200)
118.ID	-0
	(0.0200)
119.ID	0.509***
	(0.0200)
120.ID	-0.756***
	(0.0200)
121.ID	-0
	(0.0200)
122.ID	0.509***
	(0.0200)
123.ID	0.509***
	(0.0200)
125.ID	-0
	(0.0200)
126.ID	-0
	(0.0200)
127.ID	-2.634***
	(0.0200)
128.ID	-1.765***
	(0.0200)
129.ID	-0
	(0.0200)
130.ID	-1.980***
	(0.0200)
131.ID	-1.765***
	(0.0200)
132.ID	-2.634***
	(0.0200)
133.ID	-0
	(0.0200)
134.ID	-1.088***
	(0.0200)
135.ID	-0.990
	(0.977)
136.ID	-0.990
	(1.005)
137.ID	-0
	(0.0200)
138.ID	0.509***
	(0.0200)
139.ID	-1.980***
	(0.0200)
140.ID	-1.588***
	(0.0200)
142.ID	-1.980***
	(0.0200)
144.ID	-1.980***
	(0.0200)
145.ID	-1.765***
	(0.0200)
146.ID	-0
	(0.0200)
147.ID	0.509***
	(0.0200)
148.ID	-0
	(0.0200)
149.ID	-2.634***
	(0.0200)
150.ID	-1.980***
	(0.0200)
151.ID	-1.872***
	(0.123)
152.ID	-0
	(0.0200)
153.ID	-0
	(0.0200)
154.ID	-0
	(0.0200)
155.ID	-1.980***
	(0.0200)
156.ID	-0.990
	(0.977)
157.ID	-0
	(0.0200)
158.ID	-0
	(0.0200)
159.ID	-1.765***
	(0.0200)
160.ID	-0
	(0.0200)
161.ID	0.286***
	(0.0200)
163.ID	-1.088***
	(0.0200)
164.ID	-1.980***
	(0.0200)
165.ID	-1.980***
	(0.0200)
166.ID	-0
	(0.0200)
167.ID	-1.980***
	(0.0200)
168.ID	-0
	(0.0200)
169.ID	-0
	(0.0200)
170.ID	-0.882
	(0.897)
171.ID	-0.882
	(0.869)
172.ID	-1.980***
	(0.0200)
173.ID	-0
	(0.0200)
174.ID	-0
	(0.0200)
175.ID	-1.765***
	(0.0200)
176.ID	-1.980***
	(0.0200)
177.ID	-0
	(0.0200)
178.ID	-2.307***
	(0.314)
179.ID	-0
	(0.0200)
180.ID	-0.829***
	(0.0200)
181.ID	-2.444***
	(0.205)
182.ID	-1.980***
	(0.0200)
183.ID	-1.765***
	(0.0200)
184.ID	-1.980***
	(0.0200)
185.ID	0.509***
	(0.0200)
186.ID	-0.403***
	(0.0200)
187.ID	0.254
	(0.269)
188.ID	-0
	(0.0200)
189.ID	-1.765***
	(0.0200)
190.ID	-1.980***
	(0.0200)
191.ID	-1.765***
	(0.0200)
192.ID	-1.980***
	(0.0200)
194.ID	-0
	(0.0200)
196.ID	-1.980***
	(0.0200)
197.ID	-0
	(0.0200)
198.ID	-1.980***
	(0.0200)
199.ID	-1.980***
	(0.0200)
200.ID	-0
	(0.0200)
201.ID	-1.980***
	(0.0200)
202.ID	-0
	(0.0200)
203.ID	0.509***
	(0.0200)
204.ID	0.509***
	(0.0200)
205.ID	-0
	(0.0200)
206.ID	-1.980***
	(0.0200)
207.ID	-1.980***
	(0.0200)
208.ID	-1.980***
	(0.0200)
209.ID	0.254
	(0.269)
210.ID	-1.980***
	(0.0200)
212.ID	-1.980***
	(0.0200)
213.ID	0.509***
	(0.0200)
214.ID	-1.980***
	(0.0200)
217.ID	-0
	(0.0200)
218.ID	-1.980***
	(0.0200)
219.ID	-1.765***
	(0.0200)
220.ID	-0
	(0.0200)
221.ID	-0
	(0.0200)
222.ID	0.509***
	(0.0200)
223.ID	0.254
	(0.269)
224.ID	-0
	(0.0200)
225.ID	-0
	(0.0200)
226.ID	-2.254***
	(0.0200)
227.ID	-0
	(0.0200)
228.ID	0.509***
	(0.0200)
229.ID	-0
	(0.0200)
230.ID	-0
	(0.0200)
231.ID	-0
	(0.0200)
232.ID	-0
	(0.0200)
233.ID	-1.676***
	(0.104)
234.ID	-0
	(0.0200)
235.ID	-0.544
	(0.559)
236.ID	0.509***
	(0.0200)
237.ID	-0
	(0.0200)
238.ID	-0
	(0.0200)
239.ID	-0
	(0.0200)
240.ID	-0
	(0.0200)
241.ID	-0
	(0.0200)
242.ID	-1.980***
	(0.0200)
243.ID	-0.403***
	(0.0200)
244.ID	-0
	(0.0200)
245.ID	-1.980***
	(0.0200)
246.ID	-0
	(0.0200)
247.ID	-0
	(0.0200)
248.ID	-1.588***
	(0.0200)
249.ID	-0.990
	(0.977)
250.ID	0.509***
	(0.0200)
251.ID	-1.980***
	(0.0200)
252.ID	-1.765***
	(0.0200)
253.ID	-1.980***
	(0.0200)
254.ID	-1.980***
	(0.0200)
255.ID	0.509***
	(0.0200)
256.ID	-0
	(0.0200)
257.ID	-0
	(0.0200)
258.ID	-1.980***
	(0.0200)
259.ID	-0
	(0.0200)
260.ID	-0
	(0.0200)
261.ID	-2.634***
	(0.0200)
263.ID	-1.980***
	(0.0200)
264.ID	0.254
	(0.241)
265.ID	0.509***
	(0.0200)
266.ID	-0
	(0.0200)
267.ID	-1.765***
	(0.0200)
268.ID	-0
	(0.0200)
269.ID	-0.990
	(0.977)
270.ID	-0
	(0.0200)
271.ID	-0.990
	(0.977)
272.ID	0.509***
	(0.0200)
274.ID	-1.980***
	(0.0200)
275.ID	0.509***
	(0.0200)
276.ID	-0.403***
	(0.0200)
277.ID	-0
	(0.0200)
278.ID	-2.426***
	(0.0200)
279.ID	-1.765***
	(0.0200)
280.ID	-0
	(0.0200)
281.ID	-0
	(0.0200)
282.ID	-2.254***
	(0.0200)
283.ID	-1.980***
	(0.0200)
284.ID	-1.980***
	(0.0200)
285.ID	-1.980***
	(0.0200)
286.ID	-1.980***
	(0.0200)
288.ID	-0
	(0.0200)
289.ID	-0
	(0.0200)
290.ID	-0
	(0.0200)
291.ID	-1.980***
	(0.0200)
292.ID	0.143
	(0.158)
293.ID	-1.980***
	(0.0200)
294.ID	-1.588***
	(0.0200)
295.ID	-1.980***
	(0.0200)
296.ID	-1.307***
	(0.0200)
297.ID	-0
	(0.0200)
298.ID	-0
	(0.0200)
299.ID	0.509***
	(0.0200)
300.ID	-0
	(0.0200)
301.ID	-1.980***
	(0.0200)
302.ID	0.509***
	(0.0200)
303.ID	-1.588***
	(0.0200)
304.ID	0.509***
	(0.0200)
305.ID	-0
	(0.0200)
306.ID	-1.588***
	(0.0200)
307.ID	-1.601***
	(0.178)
308.ID	-1.088***
	(0.0200)
309.ID	-1.765***
	(0.0200)
310.ID	-1.980***
	(0.0200)
311.ID	-3.253***
	(0.0200)
312.ID	-0
	(0.0200)
313.ID	-1.765***
	(0.0200)
314.ID	-1.980***
	(0.0200)
315.ID	-1.980***
	(0.0200)
316.ID	-1.602***
	(0.0152)
317.ID	-0
	(0.0200)
318.ID	-0
	(0.0200)
319.ID	-0
	(0.0200)
320.ID	-1.765***
	(0.0200)
321.ID	-1.588***
	(0.0200)
322.ID	0.509***
	(0.0200)
323.ID	-1.765***
	(0.0200)
324.ID	-0
	(0.0200)
325.ID	-1.980***
	(0.0200)
326.ID	-0
	(0.0200)
327.ID	-0
	(0.0200)
328.ID	-0
	(0.0200)
329.ID	-1.980***
	(0.0200)
330.ID	-0
	(0.0200)
331.ID	-1.980***
	(0.0200)
332.ID	-0
	(0.0200)
333.ID	-0
	(0.0200)
334.ID	-1.980***
	(0.0200)
335.ID	-1.980***
	(0.0200)
336.ID	-0.0686***
	(0.0200)
337.ID	-1.980***
	(0.0200)
338.ID	-0
	(0.0200)
339.ID	-0
	(0.0200)
340.ID	0.509***
	(0.0200)
341.ID	-1.765***
	(0.0200)
342.ID	-1.980***
	(0.0200)
343.ID	-0
	(0.0200)
344.ID	-1.588***
	(0.0200)
345.ID	0.254
	(0.241)
346.ID	-3.253***
	(0.0200)
347.ID	-1.588***
	(0.0200)
348.ID	-1.980***
	(0.0200)
349.ID	-3.253***
	(0.0200)
350.ID	-1.980***
	(0.0200)
352.ID	-0
	(0.0200)
353.ID	-0.403***
	(0.0200)
354.ID	-1.980***
	(0.0200)
355.ID	-1.588***
	(0.0200)
356.ID	-1.765***
	(0.0200)
357.ID	-0
	(0.0200)
358.ID	-1.980***
	(0.0200)
359.ID	-0
	(0.0200)
361.ID	-1.980***
	(0.0200)
364.ID	0.143
	(0.130)
365.ID	-1.980***
	(0.0200)
366.ID	0.509***
	(0.0200)
369.ID	-0
	(0.0200)
370.ID	-0
	(0.0200)
372.ID	-0
	(0.0200)
373.ID	-1.980***
	(0.0200)
374.ID	-0
	(0.0200)
375.ID	-1.980***
	(0.0200)
377.ID	-1.980***
	(0.0200)
378.ID	-1.980***
	(0.0200)
379.ID	-1.765***
	(0.0200)
381.ID	-2.634***
	(0.0200)
382.ID	-3.253***
	(0.0200)
383.ID	-1.980***
	(0.0200)
385.ID	-0
	(0.0200)
386.ID	-2.634***
	(0.0200)
387.ID	-1.980***
	(0.0200)
388.ID	-1.676***
	(0.104)
389.ID	-0
	(0.0200)
390.ID	-0
	(0.0200)
391.ID	-1.980***
	(0.0200)
393.ID	-0
	(0.0200)
394.ID	-0
	(0.0200)
395.ID	-0
	(0.0200)
396.ID	-0
	(0.0200)
397.ID	-1.980***
	(0.0200)
398.ID	-2.634***
	(0.0200)
399.ID	-1.765***
	(0.0200)
400.ID	-0
	(0.0200)
401.ID	-1.088***
	(0.0200)
402.ID	-1.980***
	(0.0200)
403.ID	-1.980***
	(0.0200)
404.ID	-1.588***
	(0.0200)
405.ID	-1.980***
	(0.0200)
406.ID	-0.201
	(0.188)
407.ID	-0
	(0.0200)
408.ID	0.509***
	(0.0200)
409.ID	-2.634***
	(0.0200)
410.ID	-1.980***
	(0.0200)
411.ID	-2.254***
	(0.0200)
412.ID	-0
	(0.0200)
413.ID	-1.588***
	(0.0200)
414.ID	-1.980***
	(0.0200)
415.ID	-1.980***
	(0.0200)
416.ID	-1.765***
	(0.0200)
417.ID	-2.634***
	(0.0200)
418.ID	-0
	(0.0200)
419.ID	-1.980***
	(0.0200)
420.ID	-1.765***
	(0.0200)
421.ID	-1.980***
	(0.0200)
423.ID	-0
	(0.0200)
424.ID	-0
	(0.0200)
425.ID	-0
	(0.0200)
426.ID	-1.980***
	(0.0200)
428.ID	-1.980***
	(0.0200)
429.ID	-1.980***
	(0.0200)
430.ID	0.509***
	(0.0200)
431.ID	-1.676***
	(0.104)
432.ID	-0
	(0.0200)
433.ID	-1.980***
	(0.0200)
434.ID	-1.980***
	(0.0200)
435.ID	0.509***
	(0.0200)
436.ID	-0.882
	(0.897)
437.ID	-2.254***
	(0.0200)
438.ID	-0
	(0.0200)
439.ID	-0
	(0.0200)
440.ID	-1.765***
	(0.0200)
441.ID	-0
	(0.0200)
442.ID	-0
	(0.0200)
445.ID	-1.980***
	(0.0200)
446.ID	-0
	(0.0200)
447.ID	-1.088***
	(0.0200)
448.ID	-0
	(0.0200)
449.ID	-0
	(0.0200)
450.ID	-1.980***
	(0.0200)
451.ID	-0
	(0.0200)
452.ID	-1.765***
	(0.0200)
453.ID	0.254
	(0.241)
454.ID	-1.765***
	(0.0200)
455.ID	-0
	(0.0200)
456.ID	-2.634***
	(0.0200)
457.ID	0.509***
	(0.0200)
458.ID	0.509***
	(0.0200)
459.ID	-1.765***
	(0.0200)
460.ID	-1.980***
	(0.0200)
461.ID	0.509***
	(0.0200)
462.ID	-0
	(0.0200)
463.ID	0.509***
	(0.0200)
464.ID	-0
	(0.0200)
465.ID	-1.088***
	(0.0200)
466.ID	-0
	(0.0200)
467.ID	-0
	(0.0200)
468.ID	-0
	(0.0200)
469.ID	-1.980***
	(0.0200)
470.ID	-0
	(0.0200)
471.ID	0.509***
	(0.0200)
472.ID	0.509***
