	(1)
VARIABLES	lgxq_llm
	
2.treated	-0.0165
	(0.0130)
4.ID	1.980***
	(0.00782)
6.ID	-0
	(0.00782)
8.ID	0.215***
	(0.00782)
9.ID	-0
	(0.00782)
10.ID	2.319***
	(0.173)
12.ID	2.488***
	(0.00782)
14.ID	2.149***
	(0.175)
15.ID	0.660
	(0.658)
16.ID	1.980***
	(0.00782)
17.ID	-0
	(0.00782)
18.ID	-0
	(0.00782)
20.ID	1.980***
	(0.00782)
21.ID	0.215***
	(0.00782)
22.ID	0.392***
	(0.00782)
23.ID	1.980***
	(0.00782)
24.ID	1.980***
	(0.00782)
28.ID	-0.183**
	(0.0892)
29.ID	-0
	(0.00782)
30.ID	-0
	(0.00782)
31.ID	1.072***
	(0.00782)
32.ID	1.980***
	(0.00782)
33.ID	1.980***
	(0.00782)
35.ID	-0
	(0.00782)
36.ID	-0
	(0.00782)
39.ID	1.980***
	(0.00782)
40.ID	1.980***
	(0.00782)
41.ID	0.392***
	(0.00782)
42.ID	2.488***
	(0.00782)
43.ID	-0
	(0.00782)
46.ID	0.215***
	(0.00782)
48.ID	1.320**
	(0.664)
49.ID	1.980***
	(0.00782)
50.ID	1.980***
	(0.00782)
53.ID	2.414***
	(0.0773)
54.ID	0.660
	(0.658)
55.ID	-0
	(0.00782)
57.ID	-0
	(0.00782)
59.ID	0.673***
	(0.00782)
60.ID	-0
	(0.00782)
61.ID	-0
	(0.00782)
63.ID	0.0717
	(0.0695)
64.ID	1.980***
	(0.00782)
65.ID	-0
	(0.00782)
66.ID	0.215***
	(0.00782)
67.ID	1.980***
	(0.00782)
69.ID	-0
	(0.00782)
70.ID	2.340***
	(0.0800)
71.ID	2.491***
	(0.00932)
72.ID	2.488***
	(0.00782)
73.ID	-0
	(0.00782)
74.ID	1.255***
	(0.360)
76.ID	-0
	(0.00782)
77.ID	0.215***
	(0.00782)
78.ID	-0
	(0.00782)
79.ID	-0
	(0.00782)
80.ID	1.980***
	(0.00782)
81.ID	-0
	(0.00782)
82.ID	0.392***
	(0.00782)
83.ID	0.274***
	(0.0568)
86.ID	1.980***
	(0.00782)
88.ID	2.414***
	(0.0773)
89.ID	-0
	(0.00782)
90.ID	-0
	(0.00782)
91.ID	1.356***
	(0.00782)
96.ID	-0
	(0.00782)
98.ID	0.892***
	(0.00782)
99.ID	0.143*
	(0.0749)
100.ID	0.215***
	(0.00782)
102.ID	-0.654***
	(0.00782)
103.ID	-0
	(0.00782)
104.ID	-0
	(0.00782)
105.ID	-0
	(0.00782)
106.ID	2.488***
	(0.00782)
108.ID	2.488***
	(0.00782)
109.ID	0.215***
	(0.00782)
110.ID	-0.654***
	(0.00782)
111.ID	-0.436*
	(0.224)
112.ID	1.980***
	(0.00782)
113.ID	-0
	(0.00782)
116.ID	0.921*
	(0.527)
117.ID	1.980***
	(0.00782)
118.ID	1.980***
	(0.00782)
119.ID	2.488***
	(0.00782)
120.ID	1.476***
	(0.250)
123.ID	2.488***
	(0.00782)
125.ID	1.980***
	(0.00782)
126.ID	1.980***
	(0.00782)
128.ID	0.215***
	(0.00782)
129.ID	1.980***
	(0.00782)
130.ID	-0
	(0.00782)
131.ID	0.215***
	(0.00782)
132.ID	-0.654***
	(0.00782)
133.ID	1.980***
	(0.00782)
135.ID	1.320**
	(0.656)
136.ID	1.320**
	(0.664)
137.ID	1.320**
	(0.664)
139.ID	-0
	(0.00782)
140.ID	0.392***
	(0.00782)
142.ID	-0
	(0.00782)
143.ID	1.974***
	(0.00703)
144.ID	-0
	(0.00782)
145.ID	0.215***
	(0.00782)
146.ID	1.980***
	(0.00782)
147.ID	2.488***
	(0.00782)
148.ID	1.980***
	(0.00782)
149.ID	-0.654***
	(0.00782)
150.ID	-0
	(0.00782)
153.ID	1.980***
	(0.00782)
154.ID	1.982***
	(0.00932)
156.ID	0.660
	(0.658)
157.ID	1.980***
	(0.00782)
158.ID	1.980***
	(0.00782)
159.ID	0.215***
	(0.00782)
163.ID	0.892***
	(0.00782)
165.ID	-0
	(0.00782)
166.ID	1.980***
	(0.00782)
167.ID	-0
	(0.00782)
168.ID	1.980***
	(0.00782)
171.ID	1.029**
	(0.520)
173.ID	1.980***
	(0.00782)
174.ID	1.980***
	(0.00782)
175.ID	0.215***
	(0.00782)
177.ID	1.980***
	(0.00782)
178.ID	-0.654***
	(0.00782)
179.ID	1.320**
	(0.664)
180.ID	1.151***
	(0.00782)
181.ID	-0.527***
	(0.132)
182.ID	-0
	(0.00782)
183.ID	0.215***
	(0.00782)
184.ID	-0
	(0.00782)
185.ID	2.488***
	(0.00782)
186.ID	1.577***
	(0.00782)
187.ID	2.488***
	(0.00782)
189.ID	0.215***
	(0.00782)
190.ID	-0
	(0.00782)
192.ID	-0
	(0.00782)
194.ID	1.980***
	(0.00782)
196.ID	-0
	(0.00782)
197.ID	1.980***
	(0.00782)
198.ID	-0
	(0.00782)
200.ID	1.980***
	(0.00782)
202.ID	1.980***
	(0.00782)
203.ID	2.319***
	(0.173)
204.ID	2.488***
	(0.00782)
205.ID	1.980***
	(0.00782)
206.ID	-0
	(0.00782)
207.ID	0.660
	(0.658)
208.ID	-0
	(0.00782)
209.ID	2.149***
	(0.175)
210.ID	-0
	(0.00782)
212.ID	0.660
	(0.658)
213.ID	2.488***
	(0.00782)
214.ID	1.320**
	(0.656)
218.ID	0.660
	(0.658)
219.ID	0.215***
	(0.00782)
220.ID	1.980***
	(0.00782)
222.ID	2.488***
	(0.00782)
223.ID	0.973
	(0.756)
224.ID	1.980***
	(0.00782)
225.ID	1.980***
	(0.00782)
226.ID	-0.274***
	(0.00782)
227.ID	1.980***
	(0.00782)
228.ID	2.319***
	(0.173)
229.ID	1.980***
	(0.00782)
230.ID	1.980***
	(0.00782)
232.ID	-0
	(0.00782)
233.ID	0.215***
	(0.00782)
234.ID	1.980***
	(0.00782)
235.ID	0.892***
	(0.00782)
236.ID	2.488***
	(0.00782)
237.ID	1.980***
	(0.00782)
239.ID	1.980***
	(0.00782)
240.ID	1.980***
	(0.00782)
245.ID	-0
	(0.00782)
246.ID	1.980***
	(0.00782)
247.ID	1.980***
	(0.00782)
253.ID	-0
	(0.00782)
254.ID	-0
	(0.00782)
255.ID	2.488***
	(0.00782)
256.ID	1.980***
	(0.00782)
257.ID	1.980***
	(0.00782)
258.ID	0.660
	(0.658)
259.ID	1.980***
	(0.00782)
260.ID	1.980***
	(0.00782)
261.ID	-0.654***
	(0.00782)
263.ID	0.660
	(0.658)
264.ID	2.488***
	(0.00782)
265.ID	1.974***
	(0.00703)
266.ID	1.980***
	(0.00782)
267.ID	0.215***
	(0.00782)
268.ID	1.980***
	(0.00782)
269.ID	0.660
	(0.667)
270.ID	1.980***
	(0.00782)
271.ID	0.442
	(0.792)
272.ID	2.488***
	(0.00782)
274.ID	-0
	(0.00782)
277.ID	1.980***
	(0.00782)
278.ID	-0.446***
	(0.00782)
279.ID	0.215***
	(0.00782)
280.ID	1.980***
	(0.00782)
281.ID	1.811***
	(0.164)
282.ID	-0
	(0.00782)
283.ID	-0
	(0.00782)
284.ID	-0
	(0.00782)
285.ID	-0
	(0.00782)
286.ID	-0
	(0.00782)
289.ID	1.980***
	(0.00782)
290.ID	1.980***
	(0.00782)
291.ID	-0
	(0.00782)
295.ID	0.660
	(0.667)
296.ID	0.673***
	(0.00782)
297.ID	1.980***
	(0.00782)
298.ID	1.980***
	(0.00782)
299.ID	2.319***
	(0.173)
300.ID	1.391**
	(0.592)
301.ID	-0
	(0.00782)
302.ID	2.488***
	(0.00782)
303.ID	0.673***
	(0.00782)
304.ID	2.488***
	(0.00782)
305.ID	1.980***
	(0.00782)
306.ID	0.392***
	(0.00782)
307.ID	0.542***
	(0.00782)
308.ID	0.892***
	(0.00782)
309.ID	0.215***
	(0.00782)
310.ID	-0
	(0.00782)
311.ID	-1.273***
	(0.00782)
312.ID	1.980***
	(0.00782)
313.ID	0.215***
	(0.00782)
314.ID	0.261*
	(0.134)
315.ID	-0
	(0.00782)
317.ID	1.980***
	(0.00782)
318.ID	1.980***
	(0.00782)
319.ID	1.980***
	(0.00782)
320.ID	0.215***
	(0.00782)
321.ID	0.392***
	(0.00782)
322.ID	2.340***
	(0.0800)
325.ID	-0
	(0.00782)
326.ID	1.980***
	(0.00782)
327.ID	1.980***
	(0.00782)
328.ID	1.980***
	(0.00782)
329.ID	-0
	(0.00782)
330.ID	2.170***
	(0.0986)
331.ID	-0
	(0.00782)
332.ID	1.980***
	(0.00782)
333.ID	1.980***
	(0.00782)
335.ID	0.660
	(0.658)
336.ID	1.911***
	(0.00782)
337.ID	-0
	(0.00782)
338.ID	1.980***
	(0.00782)
339.ID	1.980***
	(0.00782)
340.ID	2.488***
	(0.00782)
341.ID	1.391**
	(0.592)
342.ID	0.660
	(0.658)
343.ID	1.980***
	(0.00782)
344.ID	0.392***
	(0.00782)
345.ID	2.149***
	(0.167)
346.ID	-1.273***
	(0.00782)
347.ID	0.392***
	(0.00782)
348.ID	0.660
	(0.658)
349.ID	-1.270***
	(0.00932)
350.ID	-0
	(0.00782)
352.ID	1.980***
	(0.00782)
353.ID	1.711***
	(0.132)
354.ID	-0
	(0.00782)
356.ID	0.215***
	(0.00782)
358.ID	-0
	(0.00782)
359.ID	0.660
	(0.667)
361.ID	-0
	(0.00782)
364.ID	2.266***
	(0.00782)
369.ID	1.980***
	(0.00782)
370.ID	1.980***
	(0.00782)
372.ID	1.980***
	(0.00782)
373.ID	-0
	(0.00782)
374.ID	1.980***
	(0.00782)
375.ID	-0
	(0.00782)
377.ID	-0
	(0.00782)
378.ID	-0
	(0.00782)
379.ID	0.0717
	(0.0776)
382.ID	-1.273***
	(0.00782)
385.ID	1.980***
	(0.00782)
387.ID	-0
	(0.00782)
388.ID	0.392***
	(0.00782)
389.ID	1.980***
	(0.00782)
390.ID	1.980***
	(0.00782)
391.ID	-0
	(0.00782)
393.ID	1.980***
	(0.00782)
394.ID	1.980***
	(0.00782)
395.ID	1.980***
	(0.00782)
398.ID	-0.654***
	(0.00782)
400.ID	1.980***
	(0.00782)
402.ID	-0
	(0.00782)
403.ID	0.660
	(0.667)
404.ID	0.392***
	(0.00782)
405.ID	-0
	(0.00782)
406.ID	1.711***
	(0.140)
407.ID	1.980***
	(0.00782)
409.ID	-0.829***
	(0.0852)
412.ID	1.980***
	(0.00782)
413.ID	0.392***
	(0.00782)
414.ID	-0
	(0.00782)
415.ID	-0
	(0.00782)
416.ID	0.215***
	(0.00782)
417.ID	-0.654***
	(0.00782)
419.ID	-0
	(0.00782)
421.ID	-0
	(0.00782)
423.ID	1.980***
	(0.00782)
424.ID	1.980***
	(0.00782)
425.ID	1.980***
	(0.00782)
428.ID	-0
	(0.00782)
429.ID	-0
	(0.00782)
430.ID	2.488***
	(0.00782)
431.ID	0.215***
	(0.00782)
432.ID	1.980***
	(0.00782)
433.ID	-0
	(0.00782)
434.ID	-0
	(0.00782)
435.ID	2.488***
	(0.00782)
437.ID	-0.401***
	(0.130)
439.ID	1.980***
	(0.00782)
440.ID	0.215***
	(0.00782)
441.ID	1.980***
	(0.00782)
442.ID	1.811***
	(0.172)
445.ID	0.660
	(0.658)
446.ID	1.980***
	(0.00782)
447.ID	0.892***
	(0.00782)
448.ID	1.450***
	(0.533)
450.ID	-0
	(0.00782)
451.ID	1.980***
	(0.00782)
452.ID	0.215***
	(0.00782)
453.ID	2.488***
	(0.00782)
454.ID	0.215***
	(0.00782)
456.ID	-0.659***
	(0.00703)
457.ID	2.488***
	(0.00782)
458.ID	2.488***
	(0.00782)
459.ID	0.803
	(0.586)
460.ID	-0
	(0.00782)
461.ID	2.488***
	(0.00782)
462.ID	1.980***
	(0.00782)
464.ID	1.980***
	(0.00782)
466.ID	1.980***
	(0.00782)
467.ID	1.980***
	(0.00782)
469.ID	-0
	(0.00782)
470.ID	1.980***
	(0.00782)
471.ID	2.488***
	(0.00782)
472.ID	2.488***
	(0.00782)
473.ID	1.980***
	(0.00782)
474.ID	1.980***
	(0.00782)
475.ID	-0
	(0.00782)
476.ID	1.980***
	(0.00782)
477.ID	2.170***
	(0.0986)
478.ID	2.488***
	(0.00782)
479.ID	1.980***
	(0.00782)
480.ID	0.892***
	(0.00782)
481.ID	1.980***
	(0.00782)
482.ID	2.491***
	(0.00932)
484.ID	2.170***
	(0.0986)
485.ID	2.488***
	(0.00782)
486.ID	-0
	(0.00782)
488.ID	2.488***
	(0.00782)
489.ID	-0.183*
	(0.0973)
490.ID	-0
	(0.00782)
493.ID	-0
	(0.00782)
495.ID	2.149***
	(0.175)
497.ID	-0
	(0.00782)
498.ID	2.488***
	(0.00782)
499.ID	0.542***
	(0.00782)
501.ID	0.215***
	(0.00782)
502.ID	-1.273***
	(0.00782)
503.ID	1.356***
	(0.00782)
504.ID	1.980***
	(0.00782)
505.ID	0.892***
	(0.00782)
506.ID	-0
	(0.00782)
507.ID	1.980***
	(0.00782)
508.ID	0.660
	(0.658)
509.ID	-0
	(0.00782)
512.ID	0.660
	(0.658)
514.ID	2.488***
	(0.00782)
515.ID	2.266***
	(0.00782)
521.ID	1.980***
	(0.00782)
523.ID	1.980***
	(0.00782)
525.ID	0.143**
	(0.0665)
526.ID	1.980***
	(0.00782)
527.ID	1.980***
	(0.00782)
528.ID	2.170***
	(0.0986)
529.ID	1.980***
	(0.00782)
530.ID	0.215***
	(0.00782)
532.ID	1.980***
	(0.00782)
536.ID	1.980***
	(0.00782)
541.ID	2.266***
	(0.00782)
542.ID	2.488***
	(0.00782)
543.ID	1.980***
	(0.00782)
544.ID	-0
	(0.00782)
545.ID	-0.654***
	(0.00782)
546.ID	-0
	(0.00782)
548.ID	0.660
	(0.658)
549.ID	1.320**
	(0.664)
550.ID	1.980***
	(0.00782)
551.ID	1.980***
	(0.00782)
553.ID	1.980***
	(0.00782)
554.ID	-0
	(0.00782)
555.ID	1.980***
	(0.00782)
556.ID	-0
	(0.00782)
559.ID	1.501***
	(0.474)
560.ID	2.488***
	(0.00782)
561.ID	1.980***
	(0.00782)
562.ID	-0
	(0.00782)
563.ID	1.526***
	(0.00782)
564.ID	1.980***
	(0.00782)
567.ID	-0
	(0.00782)
569.ID	1.980***
	(0.00782)
570.ID	-0.916***
	(0.00782)
573.ID	-0
	(0.00782)
575.ID	1.980***
	(0.00782)
577.ID	1.980***
	(0.00782)
578.ID	0.215***
	(0.00782)
581.ID	1.980***
	(0.00782)
582.ID	-0
	(0.00782)
583.ID	-0
	(0.00782)
584.ID	1.980***
	(0.00782)
586.ID	-0
	(0.00782)
587.ID	0.803
	(0.595)
589.ID	1.980***
	(0.00782)
591.ID	1.374***
	(0.301)
592.ID	0.215***
	(0.00782)
593.ID	-0
	(0.00782)
594.ID	-0.659***
	(0.00703)
595.ID	-0
	(0.00782)
596.ID	-0
	(0.00782)
597.ID	1.980***
	(0.00782)
598.ID	1.577***
	(0.00782)
599.ID	-0
	(0.00782)
600.ID	-0
	(0.00782)
601.ID	2.488***
	(0.00782)
603.ID	1.974***
	(0.00703)
605.ID	-0
	(0.00782)
607.ID	1.980***
	(0.00782)
608.ID	-0
	(0.00782)
610.ID	0.732
	(0.626)
611.ID	0.392***
	(0.00782)
612.ID	1.980***
	(0.00782)
613.ID	1.980***
	(0.00782)
618.ID	1.980***
	(0.00782)
619.ID	-0
	(0.00782)
621.ID	0.392***
	(0.00782)
622.ID	-0
	(0.00782)
624.ID	1.980***
	(0.00782)
625.ID	1.980***
	(0.00782)
627.ID	0.660
	(0.658)
628.ID	1.980***
	(0.00782)
629.ID	2.266***
	(0.00782)
