	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.00187
	(0.0107)
2.treated	-0.0176
	(0.0125)
1.ID	-1.588***
	(0.00790)
2.ID	0
	(0.00790)
3.ID	-1.980***
	(0.00790)
4.ID	0
	(0.00790)
5.ID	-1.765***
	(0.00790)
6.ID	-1.980***
	(0.00790)
7.ID	0
	(0.00790)
8.ID	-1.765***
	(0.00790)
9.ID	-1.980***
	(0.00790)
10.ID	0.339**
	(0.164)
12.ID	-0.321
	(0.825)
14.ID	0
	(0.00790)
15.ID	-1.980***
	(0.00790)
16.ID	0
	(0.00790)
17.ID	0
	(0.00790)
18.ID	-1.980***
	(0.00790)
19.ID	-1.765***
	(0.00790)
20.ID	0
	(0.00790)
21.ID	-1.765***
	(0.00790)
22.ID	-1.588***
	(0.00790)
23.ID	0
	(0.00790)
24.ID	0
	(0.00790)
25.ID	-1.765***
	(0.00790)
26.ID	-2.634***
	(0.00790)
27.ID	-1.980***
	(0.00790)
28.ID	-2.254***
	(0.00790)
29.ID	-1.980***
	(0.00790)
30.ID	-1.980***
	(0.00790)
31.ID	-0.605**
	(0.301)
32.ID	0
	(0.00790)
33.ID	-0.660
	(0.655)
34.ID	0
	(0.00790)
35.ID	-1.980***
	(0.00790)
36.ID	-1.980***
	(0.00790)
37.ID	-1.980***
	(0.00790)
39.ID	0
	(0.00790)
40.ID	0
	(0.00790)
41.ID	-1.588***
	(0.00790)
42.ID	0.170
	(0.175)
43.ID	-1.980***
	(0.00790)
46.ID	-1.765***
	(0.00790)
47.ID	-2.254***
	(0.00790)
48.ID	0
	(0.00790)
49.ID	0
	(0.00790)
50.ID	0
	(0.00790)
51.ID	-1.980***
	(0.00790)
52.ID	-1.765***
	(0.00790)
53.ID	0.339*
	(0.173)
54.ID	-1.980***
	(0.00790)
55.ID	-1.980***
	(0.00790)
56.ID	0
	(0.00790)
57.ID	-1.980***
	(0.00790)
58.ID	0
	(0.00790)
60.ID	-1.980***
	(0.00790)
61.ID	-1.980***
	(0.00790)
62.ID	-1.765***
	(0.00790)
63.ID	-1.980***
	(0.00790)
64.ID	0
	(0.00790)
66.ID	-1.765***
	(0.00790)
67.ID	0
	(0.00790)
68.ID	-0.403***
	(0.00790)
69.ID	-1.980***
	(0.00790)
70.ID	0.509***
	(0.00790)
71.ID	0.339*
	(0.173)
72.ID	0.509***
	(0.00790)
73.ID	-1.980***
	(0.00790)
74.ID	-0.363
	(0.357)
76.ID	-1.980***
	(0.00790)
77.ID	-0.588
	(0.592)
78.ID	-1.980***
	(0.00790)
79.ID	-1.980***
	(0.00790)
81.ID	-1.980***
	(0.00790)
82.ID	-1.588***
	(0.00790)
83.ID	-1.765***
	(0.00790)
84.ID	0
	(0.00790)
85.ID	0
	(0.00790)
86.ID	0
	(0.00790)
87.ID	0
	(0.00790)
88.ID	0.509***
	(0.00790)
89.ID	-1.980***
	(0.00790)
90.ID	-1.980***
	(0.00790)
91.ID	-0.624***
	(0.00790)
92.ID	-2.634***
	(0.00790)
93.ID	-1.588***
	(0.00790)
94.ID	-1.980***
	(0.00790)
95.ID	0.509***
	(0.00790)
96.ID	-1.980***
	(0.00790)
97.ID	-2.896***
	(0.00790)
98.ID	-1.088***
	(0.00790)
99.ID	-1.765***
	(0.00790)
100.ID	-1.765***
	(0.00790)
102.ID	-2.634***
	(0.00790)
103.ID	-1.980***
	(0.00790)
104.ID	-1.980***
	(0.00790)
105.ID	-1.980***
	(0.00790)
106.ID	0.339**
	(0.172)
107.ID	0.509***
	(0.00790)
108.ID	0.509***
	(0.00790)
109.ID	-1.765***
	(0.00790)
110.ID	-2.634***
	(0.00790)
111.ID	-2.634***
	(0.00790)
112.ID	0
	(0.00790)
113.ID	-1.980***
	(0.00790)
114.ID	0
	(0.00790)
115.ID	0
	(0.00790)
116.ID	-1.777***
	(0.108)
117.ID	0
	(0.00790)
118.ID	0
	(0.00790)
119.ID	0.509***
	(0.00790)
120.ID	-0.756***
	(0.00790)
121.ID	0
	(0.00790)
122.ID	0.509***
	(0.00790)
123.ID	0.509***
	(0.00790)
126.ID	0
	(0.00790)
127.ID	-2.634***
	(0.00790)
128.ID	-1.765***
	(0.00790)
129.ID	0
	(0.00790)
130.ID	-1.980***
	(0.00790)
131.ID	-1.765***
	(0.00790)
132.ID	-2.634***
	(0.00790)
133.ID	0
	(0.00790)
134.ID	-1.088***
	(0.00790)
135.ID	0
	(0.00790)
136.ID	0
	(0.00790)
137.ID	0
	(0.00790)
138.ID	0.509***
	(0.00790)
139.ID	-1.980***
	(0.00790)
140.ID	-1.588***
	(0.00790)
142.ID	-1.980***
	(0.00790)
144.ID	-1.980***
	(0.00790)
145.ID	-1.765***
	(0.00790)
146.ID	0.170
	(0.175)
147.ID	0.509***
	(0.00790)
149.ID	-2.634***
	(0.00790)
150.ID	-1.980***
	(0.00790)
151.ID	-1.765***
	(0.00790)
152.ID	0
	(0.00790)
153.ID	0
	(0.00790)
154.ID	0
	(0.00790)
155.ID	-1.980***
	(0.00790)
156.ID	-1.980***
	(0.00790)
157.ID	0
	(0.00790)
158.ID	0
	(0.00790)
159.ID	-1.765***
	(0.00790)
160.ID	0
	(0.00790)
161.ID	0.286***
	(0.00790)
163.ID	-1.313***
	(0.220)
164.ID	-1.980***
	(0.00790)
165.ID	-1.980***
	(0.00790)
166.ID	0
	(0.00790)
167.ID	-1.980***
	(0.00790)
168.ID	0
	(0.00790)
169.ID	0
	(0.00790)
170.ID	-1.765***
	(0.00790)
171.ID	-1.176**
	(0.595)
172.ID	-1.980***
	(0.00790)
173.ID	0
	(0.00790)
174.ID	0
	(0.00790)
175.ID	-1.765***
	(0.00790)
176.ID	-1.980***
	(0.00790)
177.ID	0
	(0.00790)
178.ID	-2.840***
	(0.201)
179.ID	-0.660
	(0.655)
180.ID	-0.855***
	(0.0297)
181.ID	-2.381***
	(0.121)
182.ID	-1.980***
	(0.00790)
183.ID	-1.176**
	(0.595)
184.ID	-1.980***
	(0.00790)
185.ID	0.509***
	(0.00790)
186.ID	-0.403***
	(0.00790)
187.ID	0.509***
	(0.00790)
188.ID	0
	(0.00790)
189.ID	-1.765***
	(0.00790)
190.ID	-1.980***
	(0.00790)
191.ID	-1.765***
	(0.00790)
192.ID	-1.980***
	(0.00790)
194.ID	0
	(0.00790)
196.ID	-1.980***
	(0.00790)
197.ID	0
	(0.00790)
198.ID	-1.980***
	(0.00790)
199.ID	-1.980***
	(0.00790)
200.ID	0
	(0.00790)
201.ID	-1.980***
	(0.00790)
202.ID	0
	(0.00790)
203.ID	0.509***
	(0.00790)
204.ID	0.509***
	(0.00790)
205.ID	0
	(0.00790)
206.ID	-1.980***
	(0.00790)
207.ID	-1.980***
	(0.00790)
208.ID	-1.980***
	(0.00790)
209.ID	0.509***
	(0.00790)
210.ID	-1.980***
	(0.00790)
212.ID	-1.980***
	(0.00790)
213.ID	0.509***
	(0.00790)
214.ID	-1.980***
	(0.00790)
217.ID	0
	(0.00790)
218.ID	-1.980***
	(0.00790)
219.ID	-1.765***
	(0.00790)
220.ID	0
	(0.00790)
221.ID	0
	(0.00790)
223.ID	0.509***
	(0.00790)
224.ID	0
	(0.00790)
225.ID	0
	(0.00790)
226.ID	-2.254***
	(0.00790)
227.ID	0
	(0.00790)
228.ID	0.509***
	(0.00790)
229.ID	0
	(0.00790)
230.ID	0
	(0.00790)
231.ID	-0.588
	(0.583)
232.ID	-0.660
	(0.655)
233.ID	-1.765***
	(0.00790)
234.ID	0
	(0.00790)
235.ID	-1.088***
	(0.00790)
236.ID	0.509***
	(0.00790)
237.ID	0
	(0.00790)
239.ID	0
	(0.00790)
240.ID	0
	(0.00790)
241.ID	0
	(0.00790)
242.ID	-1.980***
	(0.00790)
243.ID	-0.403***
	(0.00790)
244.ID	0
	(0.00790)
245.ID	-1.980***
	(0.00790)
246.ID	0
	(0.00790)
248.ID	-1.588***
	(0.00790)
249.ID	-1.980***
	(0.00790)
250.ID	0.509***
	(0.00790)
251.ID	-1.980***
	(0.00790)
252.ID	-1.765***
	(0.00790)
253.ID	-1.980***
	(0.00790)
254.ID	-1.980***
	(0.00790)
255.ID	0.509***
	(0.00790)
256.ID	0
	(0.00790)
257.ID	0
	(0.00790)
258.ID	-1.980***
	(0.00790)
259.ID	0
	(0.00790)
261.ID	-2.634***
	(0.00790)
263.ID	-1.980***
	(0.00790)
264.ID	0.509***
	(0.00790)
265.ID	0.339*
	(0.173)
266.ID	0
	(0.00790)
267.ID	-1.765***
	(0.00790)
268.ID	0
	(0.00790)
269.ID	-1.980***
	(0.00790)
271.ID	-0.878
	(0.882)
272.ID	0.509***
	(0.00790)
274.ID	-1.980***
	(0.00790)
275.ID	0.509***
	(0.00790)
276.ID	-0.403***
	(0.00790)
277.ID	0
	(0.00790)
278.ID	-2.426***
	(0.00790)
279.ID	-1.765***
	(0.00790)
280.ID	0
	(0.00790)
281.ID	0
	(0.00790)
282.ID	-2.163***
	(0.0886)
283.ID	-1.980***
	(0.00790)
284.ID	-1.980***
	(0.00790)
285.ID	-1.980***
	(0.00790)
286.ID	-1.980***
	(0.00790)
288.ID	0
	(0.00790)
289.ID	0
	(0.00790)
290.ID	0
	(0.00790)
291.ID	-1.980***
	(0.00790)
292.ID	0.191*
	(0.0982)
293.ID	-1.980***
	(0.00790)
294.ID	-1.588***
	(0.00790)
297.ID	0
	(0.00790)
298.ID	0
	(0.00790)
299.ID	0.509***
	(0.00790)
300.ID	0
	(0.00790)
301.ID	-1.980***
	(0.00790)
302.ID	0.509***
	(0.00790)
303.ID	-1.588***
	(0.00790)
304.ID	0.509***
	(0.00790)
305.ID	0
	(0.00790)
306.ID	-1.588***
	(0.00790)
307.ID	-1.765***
	(0.00790)
308.ID	-1.088***
	(0.00790)
309.ID	-1.765***
	(0.00790)
310.ID	-1.980***
	(0.00790)
311.ID	-3.253***
	(0.00790)
312.ID	0
	(0.00790)
313.ID	-1.765***
	(0.00790)
314.ID	-1.980***
	(0.00790)
315.ID	-1.980***
	(0.00790)
317.ID	0
	(0.00790)
318.ID	0
	(0.00790)
319.ID	0
	(0.00790)
320.ID	-1.765***
	(0.00790)
321.ID	-1.588***
	(0.00790)
322.ID	0.509***
	(0.00790)
323.ID	-1.765***
	(0.00790)
324.ID	0
	(0.00790)
326.ID	0
	(0.00790)
327.ID	0
	(0.00790)
328.ID	0
	(0.00790)
329.ID	-1.980***
	(0.00790)
330.ID	0.0954
	(0.101)
331.ID	-1.980***
	(0.00790)
332.ID	0
	(0.00790)
333.ID	-0.507***
	(0.00790)
334.ID	-1.980***
	(0.00790)
335.ID	-1.980***
	(0.00790)
336.ID	-0.0686***
	(0.00790)
337.ID	-1.980***
	(0.00790)
338.ID	0
	(0.00790)
339.ID	0
	(0.00790)
340.ID	0.509***
	(0.00790)
341.ID	-1.765***
	(0.00790)
342.ID	-1.980***
	(0.00790)
343.ID	0
	(0.00790)
344.ID	-1.588***
	(0.00790)
345.ID	0
	(0.00790)
346.ID	-3.253***
	(0.00790)
347.ID	-1.588***
	(0.00790)
348.ID	-1.980***
	(0.00790)
349.ID	-3.253***
	(0.00790)
350.ID	-1.980***
	(0.00790)
352.ID	0
	(0.00790)
353.ID	-0.403***
	(0.00790)
354.ID	-1.980***
	(0.00790)
355.ID	-1.588***
	(0.00790)
356.ID	-1.765***
	(0.00790)
357.ID	0
	(0.00790)
358.ID	-1.980***
	(0.00790)
359.ID	0
	(0.00790)
361.ID	-1.980***
	(0.00790)
364.ID	0.286***
	(0.00790)
365.ID	-1.980***
	(0.00790)
366.ID	0.265*
	(0.149)
370.ID	-0.660
	(0.655)
373.ID	-1.980***
	(0.00790)
374.ID	0
	(0.00790)
375.ID	-1.980***
	(0.00790)
377.ID	-1.980***
	(0.00790)
378.ID	-1.980***
	(0.00790)
379.ID	-1.765***
	(0.00790)
381.ID	-2.634***
	(0.00790)
382.ID	-3.253***
	(0.00790)
383.ID	-1.980***
	(0.00790)
386.ID	-2.634***
	(0.00790)
387.ID	-1.980***
	(0.00790)
388.ID	-1.647***
	(0.0538)
389.ID	0
	(0.00790)
390.ID	0
	(0.00790)
391.ID	-1.980***
	(0.00790)
393.ID	0
	(0.00790)
394.ID	0
	(0.00790)
395.ID	0
	(0.00790)
397.ID	-1.980***
	(0.00790)
398.ID	-2.634***
	(0.00790)
399.ID	-1.765***
	(0.00790)
400.ID	0
	(0.00790)
401.ID	-1.088***
	(0.00790)
402.ID	-1.980***
	(0.00790)
403.ID	-1.980***
	(0.00790)
404.ID	-1.588***
	(0.00790)
405.ID	-1.980***
	(0.00790)
406.ID	-0.403***
	(0.00790)
407.ID	0
	(0.00790)
408.ID	0.509***
	(0.00790)
409.ID	-1.756**
	(0.876)
410.ID	-1.980***
	(0.00790)
411.ID	-2.254***
	(0.00790)
413.ID	-1.588***
	(0.00790)
414.ID	-1.980***
	(0.00790)
415.ID	-1.980***
	(0.00790)
416.ID	-1.765***
	(0.00790)
417.ID	-2.634***
	(0.00790)
418.ID	-0.660
	(0.664)
419.ID	-1.980***
	(0.00790)
420.ID	-1.765***
	(0.00790)
421.ID	-1.980***
	(0.00790)
423.ID	0
	(0.00790)
424.ID	0
	(0.00790)
426.ID	-1.980***
	(0.00790)
428.ID	-1.980***
	(0.00790)
429.ID	-1.980***
	(0.00790)
430.ID	0.509***
	(0.00790)
431.ID	-1.765***
	(0.00790)
432.ID	0
	(0.00790)
433.ID	-1.980***
	(0.00790)
434.ID	-1.980***
	(0.00790)
435.ID	0.509***
	(0.00790)
436.ID	-0.588
	(0.583)
437.ID	-2.254***
	(0.00790)
438.ID	0
	(0.00790)
439.ID	0
	(0.00790)
440.ID	-1.765***
	(0.00790)
441.ID	0
	(0.00790)
447.ID	-1.088***
	(0.00790)
448.ID	0
	(0.00790)
450.ID	-1.980***
	(0.00790)
451.ID	0
	(0.00790)
452.ID	-1.765***
	(0.00790)
453.ID	0.339*
	(0.173)
454.ID	-1.765***
	(0.00790)
455.ID	0
	(0.00790)
456.ID	-2.840***
	(0.201)
457.ID	-0.249
	(0.761)
458.ID	0.509***
	(0.00790)
459.ID	-1.765***
	(0.00790)
460.ID	-1.980***
	(0.00790)
461.ID	0.339**
	(0.164)
462.ID	0
	(0.00790)
463.ID	0.509***
	(0.00790)
465.ID	-1.088***
	(0.00790)
466.ID	0
	(0.00790)
467.ID	0
	(0.00790)
468.ID	0
	(0.00790)
469.ID	-1.980***
	(0.00790)
470.ID	0
	(0.00790)
471.ID	0.509***
	(0.00790)
472.ID	0.509***
	(0.00790)
473.ID	0
	(0.00790)
474.ID	0
	(0.00790)
475.ID	-1.980***
	(0.00790)
476.ID	0
	(0.00790)
477.ID	0.191**
	(0.0902)
478.ID	0.509***
	(0.00790)
479.ID	0
	(0.00790)
480.ID	-1.088***
	(0.00790)
481.ID	0
	(0.00790)
482.ID	0.509***
	(0.00790)
483.ID	-2.587***
	(0.328)
484.ID	0.286***
	(0.00790)
485.ID	0.509***
	(0.00790)
488.ID	0.509***
	(0.00790)
489.ID	-2.254***
	(0.00790)
490.ID	-1.980***
	(0.00790)
491.ID	-3.257***
	(0.00849)
493.ID	-1.980***
	(0.00790)
494.ID	0
	(0.00790)
495.ID	0
	(0.00790)
497.ID	-1.908***
	(0.0699)
498.ID	0.509***
	(0.00790)
499.ID	-0.958**
	(0.477)
501.ID	-1.765***
	(0.00790)
502.ID	-3.253***
	(0.00790)
503.ID	0
	(0.00790)
504.ID	0
	(0.00790)
505.ID	0
	(0.00790)
506.ID	-1.980***
	(0.00790)
507.ID	0
	(0.00790)
