	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0632***
	(0.0150)
2.treated	-0.0371***
	(0.0139)
1.ID	-1.588***
	(0.0260)
2.ID	-0.660
	(0.646)
3.ID	-1.980***
	(0.0260)
5.ID	-1.765***
	(0.0260)
6.ID	-1.980***
	(0.0260)
7.ID	0
	(0.0260)
8.ID	-1.765***
	(0.0260)
9.ID	-1.980***
	(0.0260)
10.ID	0.509***
	(0.0260)
12.ID	-0.249
	(0.744)
14.ID	0
	(0.0260)
15.ID	-1.980***
	(0.0260)
16.ID	0
	(0.0260)
17.ID	0
	(0.0260)
18.ID	-1.980***
	(0.0260)
19.ID	-1.765***
	(0.0260)
20.ID	0
	(0.0260)
21.ID	-1.765***
	(0.0260)
22.ID	-1.588***
	(0.0260)
23.ID	0
	(0.0260)
24.ID	0
	(0.0260)
25.ID	-1.765***
	(0.0260)
26.ID	-2.634***
	(0.0260)
27.ID	-1.980***
	(0.0260)
28.ID	-2.507***
	(0.112)
29.ID	-1.980***
	(0.0260)
30.ID	-1.980***
	(0.0260)
31.ID	-0.605**
	(0.306)
32.ID	0
	(0.0260)
33.ID	0
	(0.0260)
34.ID	0
	(0.0260)
35.ID	-1.980***
	(0.0260)
36.ID	-1.980***
	(0.0260)
37.ID	-1.980***
	(0.0260)
39.ID	0
	(0.0260)
40.ID	0.509***
	(0.0260)
41.ID	-1.588***
	(0.0260)
42.ID	0
	(0.0260)
43.ID	-1.980***
	(0.0260)
46.ID	-1.765***
	(0.0260)
47.ID	-3.253***
	(0.0260)
48.ID	0
	(0.0260)
49.ID	0
	(0.0260)
50.ID	0
	(0.0260)
51.ID	-1.980***
	(0.0260)
52.ID	-1.765***
	(0.0260)
53.ID	0.435***
	(0.0630)
54.ID	-2.198***
	(0.204)
55.ID	-1.980***
	(0.0260)
56.ID	0
	(0.0260)
57.ID	-1.980***
	(0.0260)
58.ID	0
	(0.0260)
60.ID	-1.980***
	(0.0260)
61.ID	-1.980***
	(0.0260)
62.ID	-1.176*
	(0.604)
63.ID	-1.320**
	(0.644)
64.ID	0
	(0.0260)
66.ID	-1.765***
	(0.0260)
67.ID	0
	(0.0260)
68.ID	-0.928*
	(0.525)
69.ID	-1.320**
	(0.644)
70.ID	0.509***
	(0.0260)
71.ID	0.339**
	(0.170)
72.ID	0.509***
	(0.0260)
73.ID	-1.980***
	(0.0260)
74.ID	0
	(0.0260)
76.ID	-1.980***
	(0.0260)
77.ID	-1.320*
	(0.676)
78.ID	-1.980***
	(0.0260)
79.ID	-1.980***
	(0.0260)
81.ID	-1.980***
	(0.0260)
82.ID	-1.588***
	(0.0260)
83.ID	-1.765***
	(0.0260)
84.ID	0
	(0.0260)
85.ID	-0.588
	(0.588)
86.ID	0
	(0.0260)
87.ID	0
	(0.0260)
88.ID	0.509***
	(0.0260)
89.ID	-1.980***
	(0.0260)
90.ID	-1.980***
	(0.0260)
91.ID	-0.476***
	(0.0626)
92.ID	-2.634***
	(0.0260)
93.ID	-1.588***
	(0.0260)
94.ID	-1.980***
	(0.0260)
95.ID	0.435***
	(0.0630)
96.ID	-1.980***
	(0.0260)
97.ID	-2.896***
	(0.0260)
98.ID	-1.088***
	(0.0260)
99.ID	-1.836***
	(0.0607)
100.ID	-1.765***
	(0.0260)
102.ID	-2.634***
	(0.0260)
103.ID	-1.980***
	(0.0260)
105.ID	-1.980***
	(0.0260)
106.ID	0
	(0.0260)
107.ID	0.509***
	(0.0260)
108.ID	0.509***
	(0.0260)
109.ID	-1.176**
	(0.591)
110.ID	-2.634***
	(0.0260)
111.ID	-2.634***
	(0.0260)
112.ID	0.170
	(0.174)
113.ID	-1.980***
	(0.0260)
114.ID	0
	(0.0260)
115.ID	0
	(0.0260)
116.ID	-1.765***
	(0.0260)
117.ID	0
	(0.0260)
118.ID	0
	(0.0260)
119.ID	0.509***
	(0.0260)
120.ID	-0.756***
	(0.0260)
121.ID	0
	(0.0260)
122.ID	0.509***
	(0.0260)
123.ID	0.509***
	(0.0260)
126.ID	0
	(0.0260)
127.ID	-2.634***
	(0.0260)
128.ID	-1.765***
	(0.0260)
129.ID	0
	(0.0260)
130.ID	-2.071***
	(0.0796)
131.ID	-1.765***
	(0.0260)
132.ID	-2.634***
	(0.0260)
133.ID	0
	(0.0260)
134.ID	-1.088***
	(0.0260)
135.ID	-1.980***
	(0.0260)
136.ID	-0.660
	(0.646)
137.ID	-1.320**
	(0.644)
138.ID	0.509***
	(0.0260)
139.ID	-1.980***
	(0.0260)
140.ID	-1.588***
	(0.0260)
142.ID	-1.980***
	(0.0260)
143.ID	-1.976***
	(0.0199)
144.ID	-1.980***
	(0.0260)
145.ID	-1.765***
	(0.0260)
146.ID	0
	(0.0260)
147.ID	0.509***
	(0.0260)
149.ID	-2.634***
	(0.0260)
150.ID	-1.980***
	(0.0260)
151.ID	-1.765***
	(0.0260)
152.ID	0
	(0.0260)
153.ID	0
	(0.0260)
154.ID	0
	(0.0260)
155.ID	-1.980***
	(0.0260)
156.ID	-1.980***
	(0.0260)
157.ID	0
	(0.0260)
158.ID	0
	(0.0260)
159.ID	-1.765***
	(0.0260)
160.ID	0
	(0.0260)
161.ID	0.286***
	(0.0260)
163.ID	-1.539***
	(0.242)
164.ID	-1.980***
	(0.0260)
165.ID	-1.980***
	(0.0260)
166.ID	0
	(0.0260)
167.ID	-1.980***
	(0.0260)
168.ID	0
	(0.0260)
169.ID	0
	(0.0260)
170.ID	-1.836***
	(0.0607)
171.ID	0
	(0.0260)
172.ID	-1.980***
	(0.0260)
173.ID	0
	(0.0260)
174.ID	0
	(0.0260)
175.ID	-1.765***
	(0.0260)
176.ID	-1.980***
	(0.0260)
177.ID	0
	(0.0260)
178.ID	-3.253***
	(0.0260)
179.ID	-1.320**
	(0.644)
180.ID	-0.829***
	(0.0260)
181.ID	-3.253***
	(0.0260)
182.ID	-1.980***
	(0.0260)
183.ID	-1.765***
	(0.0260)
184.ID	-1.980***
	(0.0260)
185.ID	0.509***
	(0.0260)
186.ID	-0.134
	(0.121)
187.ID	0.339*
	(0.188)
188.ID	0
	(0.0260)
189.ID	-1.908***
	(0.0585)
190.ID	-2.071***
	(0.0796)
191.ID	-1.765***
	(0.0260)
192.ID	-1.980***
	(0.0260)
194.ID	0
	(0.0260)
196.ID	-1.980***
	(0.0260)
197.ID	0
	(0.0260)
198.ID	-1.980***
	(0.0260)
199.ID	-2.071***
	(0.0934)
200.ID	0
	(0.0260)
201.ID	-1.980***
	(0.0260)
202.ID	0
	(0.0260)
203.ID	0.509***
	(0.0260)
204.ID	0.509***
	(0.0260)
205.ID	0
	(0.0260)
206.ID	-1.980***
	(0.0260)
207.ID	-1.980***
	(0.0260)
208.ID	-1.980***
	(0.0260)
209.ID	0.509***
	(0.0260)
210.ID	-1.980***
	(0.0260)
212.ID	-1.320**
	(0.644)
213.ID	0.509***
	(0.0260)
214.ID	-1.320*
	(0.676)
217.ID	0
	(0.0260)
218.ID	-1.980***
	(0.0260)
219.ID	-1.908***
	(0.0585)
220.ID	0
	(0.0260)
221.ID	0
	(0.0260)
223.ID	-1.007
	(0.742)
224.ID	0
	(0.0260)
225.ID	0
	(0.0260)
226.ID	-2.254***
	(0.0260)
227.ID	0
	(0.0260)
228.ID	0.339**
	(0.156)
229.ID	0
	(0.0260)
230.ID	0
	(0.0260)
231.ID	-0.588
	(0.575)
232.ID	-1.980***
	(0.0260)
233.ID	-1.765***
	(0.0260)
234.ID	0
	(0.0260)
235.ID	-0.725*
	(0.379)
236.ID	0.509***
	(0.0260)
237.ID	0
	(0.0260)
239.ID	0
	(0.0260)
240.ID	0
	(0.0260)
241.ID	0
	(0.0260)
242.ID	-1.980***
	(0.0260)
243.ID	-0.268**
	(0.119)
244.ID	0
	(0.0260)
245.ID	-1.980***
	(0.0260)
246.ID	0
	(0.0260)
248.ID	-1.588***
	(0.0260)
249.ID	-0.660
	(0.646)
250.ID	0.360***
	(0.0608)
251.ID	-2.198***
	(0.204)
252.ID	-1.765***
	(0.0260)
253.ID	-1.980***
	(0.0260)
254.ID	-1.980***
	(0.0260)
255.ID	0.509***
	(0.0260)
256.ID	0
	(0.0260)
257.ID	-0.809
	(0.808)
258.ID	-1.980***
	(0.0260)
259.ID	0
	(0.0260)
261.ID	-2.507***
	(0.112)
263.ID	-1.980***
	(0.0260)
264.ID	0.509***
	(0.0260)
265.ID	0.170
	(0.174)
266.ID	0.170
	(0.186)
267.ID	-1.765***
	(0.0260)
268.ID	0
	(0.0260)
269.ID	-1.980***
	(0.0260)
271.ID	-0.878
	(0.864)
272.ID	0.509***
	(0.0260)
274.ID	-1.980***
	(0.0260)
275.ID	-1.007
	(0.761)
276.ID	-0.403***
	(0.0260)
277.ID	0
	(0.0260)
278.ID	-2.495***
	(0.0584)
279.ID	-1.836***
	(0.0607)
280.ID	0
	(0.0260)
281.ID	0
	(0.0260)
282.ID	-2.254***
	(0.0260)
283.ID	-1.980***
	(0.0260)
284.ID	-1.980***
	(0.0260)
285.ID	-1.980***
	(0.0260)
286.ID	-1.980***
	(0.0260)
288.ID	0
	(0.0260)
289.ID	0
	(0.0260)
290.ID	0
	(0.0260)
291.ID	-1.980***
	(0.0260)
292.ID	0
	(0.0260)
293.ID	-1.980***
	(0.0260)
294.ID	-1.588***
	(0.0260)
295.ID	-1.980***
	(0.0260)
297.ID	0
	(0.0260)
298.ID	0
	(0.0260)
299.ID	0.509***
	(0.0260)
300.ID	0
	(0.0260)
301.ID	-1.980***
	(0.0260)
302.ID	-0.249
	(0.776)
303.ID	-1.588***
	(0.0260)
304.ID	0.509***
	(0.0260)
305.ID	0
	(0.0260)
306.ID	-1.588***
	(0.0260)
307.ID	-1.655***
	(0.126)
308.ID	-1.088***
	(0.0260)
309.ID	-1.765***
	(0.0260)
310.ID	-1.980***
	(0.0260)
311.ID	-3.253***
	(0.0260)
312.ID	0
	(0.0260)
313.ID	-1.836***
	(0.0607)
314.ID	-0.660
	(0.646)
315.ID	-1.980***
	(0.0260)
316.ID	-1.621***
	(0.0202)
317.ID	0
	(0.0260)
318.ID	0
	(0.0260)
319.ID	0
	(0.0260)
320.ID	-1.765***
	(0.0260)
321.ID	-1.588***
	(0.0260)
322.ID	0.286***
	(0.0260)
323.ID	-1.765***
	(0.0260)
324.ID	-1.320*
	(0.676)
326.ID	0
	(0.0260)
327.ID	0
	(0.0260)
328.ID	0
	(0.0260)
329.ID	-1.980***
	(0.0260)
330.ID	0
	(0.0260)
331.ID	-1.980***
	(0.0260)
332.ID	0
	(0.0260)
333.ID	-0.338**
	(0.154)
334.ID	-1.980***
	(0.0260)
335.ID	-1.980***
	(0.0260)
336.ID	-0.0686***
	(0.0260)
337.ID	-1.980***
	(0.0260)
338.ID	0
	(0.0260)
339.ID	0
	(0.0260)
340.ID	0.339**
	(0.156)
341.ID	-1.176**
	(0.591)
342.ID	-1.980***
	(0.0260)
343.ID	0
	(0.0260)
344.ID	-1.588***
	(0.0260)
345.ID	0
	(0.0260)
346.ID	-3.253***
	(0.0260)
347.ID	-1.058*
	(0.545)
348.ID	-1.320**
	(0.644)
349.ID	-3.253***
	(0.0260)
350.ID	-1.980***
	(0.0260)
352.ID	0
	(0.0260)
353.ID	-0.403***
	(0.0260)
354.ID	-1.980***
	(0.0260)
355.ID	-1.588***
	(0.0260)
356.ID	-1.765***
	(0.0260)
358.ID	-1.980***
	(0.0260)
359.ID	-1.980***
	(0.0260)
361.ID	-1.980***
	(0.0260)
364.ID	0.191**
	(0.0834)
365.ID	-1.980***
	(0.0260)
366.ID	0.509***
	(0.0260)
370.ID	-1.980***
	(0.0260)
373.ID	-1.980***
	(0.0260)
374.ID	0
	(0.0260)
375.ID	-1.980***
	(0.0260)
377.ID	-1.980***
	(0.0260)
378.ID	-1.980***
	(0.0260)
379.ID	-1.320*
	(0.676)
381.ID	-2.634***
	(0.0260)
382.ID	-3.267***
	(0.0248)
383.ID	-1.980***
	(0.0260)
385.ID	0
	(0.0260)
386.ID	-2.634***
	(0.0260)
387.ID	-1.980***
	(0.0260)
388.ID	-1.706***
	(0.0770)
389.ID	0
	(0.0260)
390.ID	0
	(0.0260)
391.ID	-1.980***
	(0.0260)
393.ID	0
	(0.0260)
394.ID	0
	(0.0260)
395.ID	0
	(0.0260)
397.ID	-1.980***
	(0.0260)
398.ID	-2.634***
	(0.0260)
399.ID	-1.765***
	(0.0260)
400.ID	-1.320**
	(0.644)
401.ID	-1.088***
	(0.0260)
402.ID	-1.980***
	(0.0260)
403.ID	-1.980***
	(0.0260)
404.ID	-1.588***
	(0.0260)
405.ID	-1.980***
	(0.0260)
406.ID	-0.403***
	(0.0260)
407.ID	0
	(0.0260)
409.ID	-2.634***
	(0.0260)
410.ID	-1.980***
	(0.0260)
411.ID	-2.254***
	(0.0260)
413.ID	-1.588***
	(0.0260)
414.ID	-1.980***
	(0.0260)
415.ID	-1.980***
	(0.0260)
416.ID	-1.765***
	(0.0260)
417.ID	-2.416***
	(0.234)
418.ID	0
	(0.0260)
419.ID	-1.980***
	(0.0260)
420.ID	-1.765***
	(0.0260)
421.ID	-1.980***
	(0.0260)
423.ID	0
	(0.0260)
424.ID	0
	(0.0260)
426.ID	-1.980***
	(0.0260)
428.ID	-1.980***
	(0.0260)
429.ID	-1.980***
	(0.0260)
430.ID	0.509***
	(0.0260)
431.ID	-1.836***
	(0.0607)
432.ID	0
	(0.0260)
433.ID	-1.980***
	(0.0260)
434.ID	-1.980***
	(0.0260)
435.ID	0.509***
	(0.0260)
436.ID	-1.176*
	(0.604)
437.ID	-2.381***
	(0.145)
438.ID	0
	(0.0260)
440.ID	-1.765***
	(0.0260)
441.ID	0
	(0.0260)
447.ID	-1.088***
	(0.0260)
448.ID	0
	(0.0260)
450.ID	-1.980***
	(0.0260)
451.ID	0
	(0.0260)
452.ID	-1.765***
	(0.0260)
453.ID	0.170
	(0.154)
454.ID	-1.765***
	(0.0260)
455.ID	0
	(0.0260)
456.ID	-3.254***
	(0.0332)
457.ID	0.509***
	(0.0260)
458.ID	0.509***
	(0.0260)
459.ID	-1.765***
	(0.0260)
460.ID	-1.980***
	(0.0260)
461.ID	0.170
	(0.174)
462.ID	0
	(0.0260)
463.ID	0.509***
	(0.0260)
465.ID	-1.088***
	(0.0260)
466.ID	0
	(0.0260)
467.ID	0
	(0.0260)
468.ID	0
	(0.0260)
469.ID	-1.980***
	(0.0260)
470.ID	0
	(0.0260)
471.ID	0.265*
	(0.141)
472.ID	0.509***
	(0.0260)
473.ID	0
	(0.0260)
474.ID	0
	(0.0260)
475.ID	-1.980***
	(0.0260)
476.ID	0
	(0.0260)
477.ID	0
	(0.0260)
478.ID	0.170
	(0.154)
479.ID	0
	(0.0260)
480.ID	-1.088***
	(0.0260)
481.ID	0
	(0.0260)
482.ID	0.339**
	(0.156)
483.ID	-3.253***
	(0.0260)
484.ID	0.191**
	(0.0834)
485.ID	0.509***
	(0.0260)
488.ID	0.339**
	(0.170)
489.ID	-2.587***
	(0.319)
490.ID	-1.980***
	(0.0260)
493.ID	-1.980***
	(0.0260)
494.ID	0
	(0.0260)
495.ID	0
	(0.0260)
497.ID	-1.980***
	(0.0260)
498.ID	0.339**
	(0.156)
499.ID	-1.437***
	(0.0260)
501.ID	-1.765***
	(0.0260)
502.ID	-3.253***
	(0.0260)
503.ID	-0.208
	(0.194)
504.ID	0
	(0.0260)
505.ID	0
	(0.0260)
506.ID	-1.980***
	(0.0260)
507.ID	0
	(0.0260)
508.ID	-0.660
	(0.660)
509.ID	-1.980***
	(0.0260)
510.ID	0
