	(1)
VARIABLES	lgxq_llm_full
	
1.treated	-0.0143
	(0.00967)
1.ID	0.131***
	(0)
2.ID	1.718***
	(0)
3.ID	-0.261***
	(0)
4.ID	1.718***
	(0)
5.ID	-0.118***
	(0)
6.ID	0.399***
	(0)
7.ID	0.399***
	(0)
8.ID	0.0127***
	(0)
9.ID	-0.261***
	(0)
10.ID	2.227***
	(0)
12.ID	2.227***
	(0)
14.ID	1.718***
	(0)
15.ID	-0.261***
	(0)
16.ID	1.718***
	(0)
17.ID	-0.261***
	(0)
18.ID	-0.261***
	(0)
19.ID	-0.0463***
	(0)
20.ID	1.718***
	(0)
21.ID	-0.0463***
	(0)
22.ID	0.131***
	(0)
23.ID	1.718***
	(0)
24.ID	1.718***
	(0)
25.ID	-0.0463***
	(0)
26.ID	-0.915***
	(0)
27.ID	-0.261***
	(0)
28.ID	-0.261***
	(0)
29.ID	-0.261***
	(0)
30.ID	-0.261***
	(0)
31.ID	0.810***
	(0)
32.ID	1.718***
	(0)
33.ID	1.718***
	(0)
34.ID	1.718***
	(0)
35.ID	-0.261***
	(0)
36.ID	-0.261***
	(0)
37.ID	-0.261***
	(0)
38.ID	-0.261***
	(0)
39.ID	1.718***
	(0)
40.ID	1.718***
	(0)
41.ID	0.131***
	(0)
42.ID	2.227***
	(0)
43.ID	-0.261***
	(0)
44.ID	-1.534***
	(0)
45.ID	-2.382***
	(0)
46.ID	-0.0463***
	(0)
47.ID	-0.536***
	(0)
48.ID	1.718***
	(0)
49.ID	1.718***
	(0)
50.ID	1.718***
	(0)
51.ID	-0.261***
	(0)
52.ID	-0.0463***
	(0)
53.ID	1.888***
	(0)
54.ID	-0.261***
	(0)
55.ID	0.399***
	(0)
56.ID	1.718***
	(0)
57.ID	-0.261***
	(0)
59.ID	0.412***
	(0)
60.ID	-0.261***
	(0)
61.ID	-0.261***
	(0)
62.ID	-0.0463***
	(0)
63.ID	-0.261***
	(0)
64.ID	1.909***
	(0)
65.ID	-0.261***
	(0)
66.ID	-0.0463***
	(0)
67.ID	1.718***
	(0)
68.ID	1.316***
	(0)
69.ID	-0.261***
	(0)
70.ID	2.227***
	(0)
71.ID	2.227***
	(0)
72.ID	2.227***
	(0)
73.ID	-0.261***
	(0)
74.ID	2.227***
	(0)
76.ID	-0.261***
	(0)
77.ID	-0.0463***
	(0)
78.ID	-0.261***
	(0)
79.ID	-0.261***
	(0)
80.ID	1.718***
	(0)
81.ID	-0.261***
	(0)
82.ID	0.131***
	(0)
83.ID	-0.0463***
	(0)
84.ID	2.079***
	(0)
85.ID	1.718***
	(0)
86.ID	1.718***
	(0)
87.ID	1.718***
	(0)
88.ID	2.227***
	(0)
89.ID	-0.261***
	(0)
90.ID	-0.261***
	(0)
91.ID	1.302***
	(0)
92.ID	-0.915***
	(0)
93.ID	0.131***
