	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0855***
	(0.0160)
3.ID	-1.980***
	(0.0606)
4.ID	0
	(0.0606)
6.ID	-1.980***
	(0.0606)
8.ID	-1.765***
	(0.0606)
9.ID	-1.980***
	(0.0606)
10.ID	0.509***
	(0.0606)
12.ID	0.509***
	(0.0606)
15.ID	-1.980***
	(0.0606)
16.ID	0
	(0.0606)
21.ID	-1.765***
	(0.0606)
28.ID	-1.127
	(1.088)
29.ID	-1.980***
	(0.0606)
30.ID	-1.980***
	(0.0606)
32.ID	0
	(0.0606)
36.ID	-1.980***
	(0.0606)
38.ID	-1.980***
	(0.0606)
42.ID	0.509***
	(0.0606)
43.ID	-1.980***
	(0.0606)
46.ID	-1.765***
	(0.0606)
48.ID	0
	(0.0606)
50.ID	0
	(0.0606)
53.ID	0.397**
	(0.160)
54.ID	-1.980***
	(0.0606)
55.ID	-1.980***
	(0.0606)
57.ID	-1.980***
	(0.0606)
61.ID	-1.980***
	(0.0606)
63.ID	-1.980***
	(0.0606)
64.ID	0
	(0.0606)
65.ID	-1.980***
	(0.0606)
66.ID	-1.765***
	(0.0606)
67.ID	0
	(0.0606)
69.ID	-1.980***
	(0.0606)
70.ID	0.286***
	(0.0606)
71.ID	0.551***
	(0.0436)
72.ID	0.509***
	(0.0606)
73.ID	-0.990
	(0.950)
74.ID	-1.088***
	(0.0606)
76.ID	-1.980***
	(0.0606)
78.ID	-1.980***
	(0.0606)
79.ID	-1.980***
	(0.0606)
80.ID	0
	(0.0606)
81.ID	-1.980***
	(0.0606)
82.ID	-0.794
	(0.754)
83.ID	-1.765***
	(0.0606)
89.ID	-1.980***
	(0.0606)
90.ID	-0.990
	(0.950)
91.ID	-0.312
	(0.273)
96.ID	-1.980***
	(0.0606)
98.ID	-1.088***
	(0.0606)
99.ID	-0.882
	(0.843)
100.ID	-0.882
	(0.843)
102.ID	-2.634***
	(0.0606)
103.ID	-1.980***
	(0.0606)
105.ID	-1.980***
	(0.0606)
106.ID	0.509***
	(0.0606)
108.ID	0.509***
	(0.0606)
109.ID	-1.765***
	(0.0606)
110.ID	-2.634***
	(0.0606)
111.ID	-2.634***
	(0.0606)
112.ID	0
	(0.0606)
117.ID	0
	(0.0606)
118.ID	0
	(0.0606)
119.ID	0.254
	(0.301)
120.ID	-0.756***
	(0.0606)
122.ID	0.509***
	(0.0606)
123.ID	0.509***
	(0.0606)
125.ID	0
	(0.0606)
128.ID	-1.765***
	(0.0606)
130.ID	-1.980***
	(0.0606)
131.ID	-1.765***
	(0.0606)
132.ID	-2.634***
	(0.0606)
133.ID	0
	(0.0606)
135.ID	0
	(0.0606)
136.ID	-1.980***
	(0.0606)
137.ID	0
	(0.0606)
140.ID	-1.588***
	(0.0606)
142.ID	-1.980***
	(0.0606)
144.ID	-1.980***
	(0.0606)
145.ID	-1.765***
	(0.0606)
146.ID	0
	(0.0606)
147.ID	0.509***
	(0.0606)
148.ID	0
	(0.0606)
149.ID	-2.634***
	(0.0606)
150.ID	-0.990
	(0.950)
153.ID	0
	(0.0606)
154.ID	0
	(0.0606)
156.ID	-1.980***
	(0.0606)
157.ID	0
	(0.0606)
158.ID	0
	(0.0606)
159.ID	-1.765***
	(0.0606)
161.ID	0.286***
	(0.0606)
163.ID	-1.088***
	(0.0606)
165.ID	-1.980***
	(0.0606)
167.ID	-1.980***
	(0.0606)
168.ID	0
	(0.0606)
173.ID	0
	(0.0606)
174.ID	0
	(0.0606)
175.ID	-1.765***
	(0.0606)
178.ID	-2.634***
	(0.0606)
179.ID	-1.980***
	(0.0606)
181.ID	-2.634***
	(0.0606)
182.ID	-1.980***
	(0.0606)
183.ID	-1.765***
	(0.0606)
184.ID	-1.980***
	(0.0606)
185.ID	0.509***
	(0.0606)
186.ID	-0.403***
	(0.0606)
187.ID	0.509***
	(0.0606)
188.ID	0
	(0.0606)
189.ID	-1.765***
	(0.0606)
192.ID	-1.980***
	(0.0606)
194.ID	0
	(0.0606)
197.ID	0
	(0.0606)
198.ID	-1.980***
	(0.0606)
200.ID	0
	(0.0606)
204.ID	0.509***
	(0.0606)
205.ID	0
	(0.0606)
206.ID	-1.980***
	(0.0606)
207.ID	-1.980***
	(0.0606)
212.ID	-1.980***
	(0.0606)
213.ID	0.509***
	(0.0606)
214.ID	0
	(0.0606)
218.ID	-1.980***
	(0.0606)
219.ID	-1.765***
	(0.0606)
222.ID	0.509***
	(0.0606)
223.ID	0.509***
	(0.0606)
225.ID	0
	(0.0606)
226.ID	-2.254***
	(0.0606)
227.ID	0
	(0.0606)
228.ID	0.509***
	(0.0606)
229.ID	0
	(0.0606)
233.ID	-1.765***
	(0.0606)
234.ID	0
	(0.0606)
235.ID	-1.088***
	(0.0606)
236.ID	0.509***
	(0.0606)
237.ID	0
	(0.0606)
238.ID	0
	(0.0606)
240.ID	0
	(0.0606)
245.ID	-1.980***
	(0.0606)
246.ID	0
	(0.0606)
247.ID	0
	(0.0606)
253.ID	-1.980***
	(0.0606)
255.ID	0.509***
	(0.0606)
257.ID	0
	(0.0606)
258.ID	-0.990
	(0.950)
259.ID	0
	(0.0606)
260.ID	0
	(0.0606)
261.ID	-2.634***
	(0.0606)
263.ID	-1.980***
	(0.0606)
264.ID	0.509***
	(0.0606)
267.ID	-1.765***
	(0.0606)
269.ID	-1.980***
	(0.0606)
270.ID	0
	(0.0606)
277.ID	0
	(0.0606)
278.ID	-2.426***
	(0.0606)
280.ID	0
	(0.0606)
282.ID	-1.980***
	(0.0606)
283.ID	-1.980***
	(0.0606)
284.ID	-1.980***
	(0.0606)
285.ID	-1.980***
	(0.0606)
286.ID	-1.980***
	(0.0606)
289.ID	0
	(0.0606)
290.ID	0
	(0.0606)
291.ID	-0.990
	(0.950)
295.ID	-1.980***
	(0.0606)
296.ID	-1.307***
	(0.0606)
297.ID	0
	(0.0606)
298.ID	0
	(0.0606)
299.ID	0.509***
	(0.0606)
300.ID	0
	(0.0606)
301.ID	-1.980***
	(0.0606)
302.ID	0.509***
	(0.0606)
303.ID	-1.588***
	(0.0606)
304.ID	0.509***
	(0.0606)
305.ID	0
	(0.0606)
307.ID	-1.437***
	(0.0606)
308.ID	-1.088***
	(0.0606)
309.ID	-1.676***
	(0.138)
310.ID	-1.980***
	(0.0606)
311.ID	-3.253***
	(0.0606)
312.ID	0
	(0.0606)
313.ID	-1.765***
	(0.0606)
314.ID	-1.784***
	(0.159)
315.ID	-1.980***
	(0.0606)
317.ID	0
	(0.0606)
318.ID	0
	(0.0606)
319.ID	0
	(0.0606)
320.ID	-1.765***
	(0.0606)
321.ID	-1.588***
	(0.0606)
322.ID	0.397**
	(0.160)
325.ID	-1.980***
	(0.0606)
326.ID	0
	(0.0606)
327.ID	0
	(0.0606)
328.ID	0
	(0.0606)
329.ID	-1.980***
	(0.0606)
330.ID	0.286***
	(0.0606)
331.ID	-0.990
	(0.950)
332.ID	0
	(0.0606)
333.ID	0
	(0.0606)
335.ID	-1.980***
	(0.0606)
336.ID	-0.0686
	(0.0606)
337.ID	-1.980***
	(0.0606)
338.ID	0
	(0.0606)
339.ID	0
	(0.0606)
342.ID	-1.980***
	(0.0606)
343.ID	0
	(0.0606)
344.ID	-1.588***
	(0.0606)
345.ID	0.509***
	(0.0606)
346.ID	-3.253***
	(0.0606)
347.ID	-1.588***
	(0.0606)
348.ID	-1.980***
	(0.0606)
349.ID	-3.253***
	(0.0606)
350.ID	-1.980***
	(0.0606)
353.ID	-0.403***
	(0.0606)
356.ID	-1.765***
	(0.0606)
359.ID	-0.990
	(1.036)
361.ID	-1.980***
	(0.0606)
364.ID	0.286***
	(0.0606)
369.ID	0
	(0.0606)
370.ID	0
	(0.0606)
372.ID	0
	(0.0606)
373.ID	-1.980***
	(0.0606)
374.ID	0
	(0.0606)
375.ID	-1.980***
	(0.0606)
378.ID	-1.980***
	(0.0606)
379.ID	-1.872***
	(0.157)
382.ID	-3.253***
	(0.0606)
385.ID	0
	(0.0606)
387.ID	-1.980***
	(0.0606)
388.ID	-1.588***
	(0.0606)
389.ID	0
	(0.0606)
390.ID	0
	(0.0606)
391.ID	-1.980***
	(0.0606)
394.ID	0
	(0.0606)
395.ID	0
	(0.0606)
396.ID	0
	(0.0606)
398.ID	-2.634***
	(0.0606)
400.ID	0
	(0.0606)
402.ID	-1.980***
	(0.0606)
403.ID	-1.980***
	(0.0606)
404.ID	-1.588***
	(0.0606)
405.ID	-1.980***
	(0.0606)
406.ID	-0.201
	(0.248)
407.ID	0
	(0.0606)
409.ID	-2.634***
	(0.0606)
412.ID	0
	(0.0606)
413.ID	-1.588***
	(0.0606)
414.ID	-1.980***
	(0.0606)
415.ID	-1.980***
	(0.0606)
416.ID	-1.765***
	(0.0606)
417.ID	-2.634***
	(0.0606)
419.ID	-1.980***
	(0.0606)
421.ID	-1.980***
	(0.0606)
424.ID	0
	(0.0606)
425.ID	0
	(0.0606)
428.ID	-1.980***
	(0.0606)
429.ID	-0.990
	(0.950)
432.ID	0
	(0.0606)
433.ID	-0.990
	(0.950)
434.ID	-1.980***
	(0.0606)
435.ID	0.509***
	(0.0606)
436.ID	-1.765***
	(0.0606)
437.ID	-1.317
	(1.278)
439.ID	0
	(0.0606)
440.ID	-1.765***
	(0.0606)
441.ID	0
	(0.0606)
442.ID	0
	(0.0606)
445.ID	-1.980***
	(0.0606)
446.ID	0
	(0.0606)
447.ID	-1.088***
	(0.0606)
448.ID	0
	(0.0606)
450.ID	-1.980***
	(0.0606)
451.ID	0
	(0.0606)
453.ID	0.509***
	(0.0606)
456.ID	-2.634***
	(0.0606)
457.ID	0.509***
	(0.0606)
458.ID	0.509***
	(0.0606)
459.ID	-1.765***
	(0.0606)
460.ID	-1.980***
	(0.0606)
461.ID	0.509***
	(0.0606)
462.ID	0
	(0.0606)
464.ID	0
	(0.0606)
467.ID	0
	(0.0606)
468.ID	0
	(0.0606)
469.ID	-1.980***
	(0.0606)
470.ID	0
	(0.0606)
471.ID	0.509***
	(0.0606)
472.ID	0.509***
	(0.0606)
473.ID	0
	(0.0606)
474.ID	0
	(0.0606)
475.ID	-1.980***
	(0.0606)
476.ID	0
	(0.0606)
478.ID	0.509***
	(0.0606)
479.ID	0
	(0.0606)
480.ID	-1.088***
	(0.0606)
481.ID	0
	(0.0606)
482.ID	0.509***
	(0.0606)
486.ID	-1.980***
	(0.0606)
488.ID	0.509***
	(0.0606)
489.ID	-2.254***
	(0.0606)
490.ID	-0.990
	(0.950)
493.ID	-1.980***
	(0.0606)
495.ID	0
	(0.0606)
497.ID	-1.980***
	(0.0606)
498.ID	0.509***
	(0.0606)
499.ID	-1.437***
	(0.0606)
501.ID	-1.765***
	(0.0606)
502.ID	-3.253***
	(0.0606)
503.ID	0
	(0.0606)
504.ID	0
	(0.0606)
506.ID	-1.980***
	(0.0606)
507.ID	0
	(0.0606)
508.ID	-1.980***
	(0.0606)
509.ID	-1.980***
	(0.0606)
512.ID	-1.980***
	(0.0606)
514.ID	0.509***
	(0.0606)
521.ID	0
	(0.0606)
523.ID	0
	(0.0606)
525.ID	-1.765***
	(0.0606)
526.ID	0
	(0.0606)
528.ID	0.286***
	(0.0606)
529.ID	0
	(0.0606)
530.ID	-1.765***
	(0.0606)
532.ID	0
	(0.0606)
536.ID	0
	(0.0606)
542.ID	0.397**
	(0.160)
543.ID	0
	(0.0606)
544.ID	-1.980***
	(0.0606)
545.ID	-2.634***
	(0.0606)
546.ID	-1.980***
	(0.0606)
548.ID	-1.980***
	(0.0606)
549.ID	0
	(0.0606)
550.ID	0
	(0.0606)
551.ID	0
	(0.0606)
553.ID	0
	(0.0606)
554.ID	-1.980***
	(0.0606)
555.ID	0
	(0.0606)
556.ID	-1.980***
	(0.0606)
559.ID	0
	(0.0606)
560.ID	0.509***
	(0.0606)
561.ID	0
	(0.0606)
563.ID	-0.227
	(0.189)
564.ID	0
	(0.0606)
567.ID	-1.980***
	(0.0606)
569.ID	0
	(0.0606)
570.ID	-2.896***
	(0.0606)
571.ID	0
	(0.0606)
573.ID	-1.980***
	(0.0606)
575.ID	0
	(0.0606)
577.ID	0
	(0.0606)
578.ID	-0.882
	(0.843)
581.ID	0
	(0.0606)
582.ID	-1.980***
	(0.0606)
583.ID	-1.980***
	(0.0606)
584.ID	0
	(0.0606)
586.ID	-1.980***
	(0.0606)
587.ID	-1.765***
	(0.0606)
589.ID	0
	(0.0606)
591.ID	-0.908***
	(0.0606)
592.ID	-1.765***
	(0.0606)
593.ID	-1.980***
	(0.0606)
594.ID	-2.591***
	(0.0436)
596.ID	-1.980***
	(0.0606)
597.ID	0
	(0.0606)
598.ID	-0.403***
	(0.0606)
600.ID	-1.980***
	(0.0606)
601.ID	0.509***
	(0.0606)
605.ID	-1.980***
	(0.0606)
607.ID	0
	(0.0606)
610.ID	-1.980***
	(0.0606)
611.ID	-1.588***
	(0.0606)
618.ID	0
	(0.0606)
619.ID	-1.980***
	(0.0606)
622.ID	-1.980***
	(0.0606)
624.ID	0
	(0.0606)
625.ID	0
	(0.0606)
628.ID	0
	(0.0606)
629.ID	0.143
	(0.191)
630.ID	-0.756***
	(0.0606)
631.ID	0
	(0.0606)
632.ID	-1.765***
	(0.0606)
633.ID	0.509***
	(0.0606)
634.ID	-1.980***
	(0.0606)
635.ID	0
	(0.0606)
637.ID	0.509***
	(0.0606)
639.ID	-2.254***
	(0.0606)
640.ID	0
	(0.0606)
642.ID	-1.626
	(1.588)
645.ID	-1.980***
	(0.0606)
650.ID	-1.980***
	(0.0606)
653.ID	-1.980***
	(0.0606)
656.ID	-0.756***
	(0.0606)
657.ID	0
	(0.0606)
658.ID	-1.980***
	(0.0606)
660.ID	-1.980***
	(0.0606)
661.ID	0.509***
	(0.0606)
662.ID	-1.980***
	(0.0606)
664.ID	-1.980***
	(0.0606)
665.ID	-1.980***
	(0.0606)
667.ID	0
	(0.0606)
668.ID	-1.765***
	(0.0606)
669.ID	-1.980***
	(0.0606)
670.ID	0
	(0.0606)
671.ID	-0.794
	(0.754)
673.ID	-1.765***
	(0.0606)
675.ID	-1.588***
	(0.0606)
677.ID	-1.980***
	(0.0606)
678.ID	-1.088***
	(0.0606)
679.ID	0.509***
	(0.0606)
681.ID	-1.980***
	(0.0606)
684.ID	-1.784***
	(0.159)
687.ID	-1.980***
	(0.0606)
689.ID	0
	(0.0606)
690.ID	-1.980***
	(0.0606)
693.ID	0
	(0.0606)
697.ID	-1.765***
	(0.0606)
699.ID	-1.980***
	(0.0606)
700.ID	-1.980***
	(0.0606)
701.ID	0
	(0.0606)
703.ID	-1.980***
	(0.0606)
704.ID	-1.765***
	(0.0606)
706.ID	-1.980***
	(0.0606)
707.ID	-1.980***
	(0.0606)
710.ID	-2.307***
	(0.373)
711.ID	0.254
	(0.301)
714.ID	0
	(0.0606)
720.ID	0
	(0.0606)
722.ID	-0.756***
	(0.0606)
728.ID	-1.980***
	(0.0606)
729.ID	-1.980***
	(0.0606)
731.ID	0
	(0.0606)
732.ID	0.509***
	(0.0606)
733.ID	-1.980***
	(0.0606)
735.ID	-1.307***
	(0.0606)
736.ID	-1.980***
	(0.0606)
739.ID	-1.588***
	(0.0606)
740.ID	-1.980***
	(0.0606)
742.ID	-1.980***
	(0.0606)
743.ID	0.509***
	(0.0606)
745.ID	0.254
	(0.301)
746.ID	-3.253***
	(0.0606)
748.ID	0
	(0.0606)
749.ID	-0.794
	(0.754)
750.ID	0.509***
	(0.0606)
752.ID	-1.980***
	(0.0606)
755.ID	0
	(0.0606)
756.ID	0
	(0.0606)
758.ID	0
	(0.0606)
