	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0313***
	(0.00923)
2.treated	0.0147
	(0.00970)
1.ID	-1.588***
	(0.0128)
2.ID	-0
	(0.0128)
3.ID	-1.980***
	(0.0128)
4.ID	-0
	(0.0128)
5.ID	-1.765***
	(0.0128)
6.ID	-1.980***
	(0.0128)
7.ID	-0
	(0.0128)
8.ID	-1.765***
	(0.0128)
9.ID	-1.980***
	(0.0128)
10.ID	0.509***
	(0.0128)
12.ID	0.509***
	(0.0128)
14.ID	-0
	(0.0128)
15.ID	-1.980***
	(0.0128)
16.ID	-0
	(0.0128)
17.ID	-1.980***
	(0.0128)
18.ID	-1.980***
	(0.0128)
19.ID	-1.765***
	(0.0128)
20.ID	-0
	(0.0128)
21.ID	-1.765***
	(0.0128)
22.ID	-1.588***
	(0.0128)
23.ID	-0
	(0.0128)
24.ID	-0
	(0.0128)
25.ID	-1.765***
	(0.0128)
26.ID	-2.634***
	(0.0128)
27.ID	-1.980***
	(0.0128)
28.ID	-1.980***
	(0.0128)
29.ID	-1.980***
	(0.0128)
30.ID	-1.980***
	(0.0128)
31.ID	-0.908***
	(0.0128)
32.ID	-0
	(0.0128)
33.ID	-0
	(0.0128)
34.ID	-0
	(0.0128)
35.ID	-1.980***
	(0.0128)
36.ID	-1.980***
	(0.0128)
37.ID	-1.980***
	(0.0128)
38.ID	-1.980***
	(0.0128)
39.ID	-0
	(0.0128)
40.ID	-0.134
	(0.135)
41.ID	-1.588***
	(0.0128)
42.ID	0.509***
	(0.0128)
43.ID	-1.980***
	(0.0128)
46.ID	-1.765***
	(0.0128)
47.ID	-2.254***
	(0.0128)
48.ID	-0
	(0.0128)
49.ID	-0
	(0.0128)
50.ID	-0
	(0.0128)
51.ID	-1.980***
	(0.0128)
52.ID	-1.765***
	(0.0128)
53.ID	0.339**
	(0.170)
54.ID	-1.980***
	(0.0128)
55.ID	-1.980***
	(0.0128)
56.ID	-0
	(0.0128)
57.ID	-1.980***
	(0.0128)
58.ID	-0
	(0.0128)
59.ID	-1.307***
	(0.0128)
60.ID	-1.980***
	(0.0128)
61.ID	-1.980***
	(0.0128)
62.ID	-1.765***
	(0.0128)
63.ID	-1.980***
	(0.0128)
64.ID	-0
	(0.0128)
65.ID	-1.320**
	(0.652)
66.ID	-1.765***
	(0.0128)
67.ID	-0
	(0.0128)
68.ID	-0.403***
	(0.0128)
69.ID	-1.980***
	(0.0128)
70.ID	0.360***
	(0.0825)
71.ID	0.509***
	(0.0128)
72.ID	0.509***
	(0.0128)
73.ID	-1.980***
	(0.0128)
74.ID	-0.363
	(0.371)
76.ID	-1.980***
	(0.0128)
77.ID	-1.765***
	(0.0128)
78.ID	-1.980***
	(0.0128)
79.ID	-1.980***
	(0.0128)
80.ID	-0
	(0.0128)
81.ID	-1.980***
	(0.0128)
82.ID	-1.588***
	(0.0128)
83.ID	-1.765***
	(0.0128)
84.ID	0.339**
	(0.170)
85.ID	-0
	(0.0128)
86.ID	-0
	(0.0128)
87.ID	-0
	(0.0128)
88.ID	0.435***
	(0.0749)
89.ID	-1.980***
	(0.0128)
90.ID	-1.980***
	(0.0128)
91.ID	-0.624***
	(0.0128)
92.ID	-3.489***
	(0.855)
93.ID	-1.588***
	(0.0128)
94.ID	-1.980***
	(0.0128)
95.ID	0.509***
	(0.0128)
96.ID	-1.980***
	(0.0128)
97.ID	-2.896***
	(0.0128)
98.ID	-1.254***
	(0.167)
99.ID	-1.908***
	(0.0732)
100.ID	-1.765***
	(0.0128)
101.ID	-1.980***
	(0.0128)
102.ID	-2.634***
	(0.0128)
103.ID	-1.980***
	(0.0128)
104.ID	-1.980***
	(0.0128)
105.ID	-1.980***
	(0.0128)
106.ID	0.509***
	(0.0128)
107.ID	0.509***
	(0.0128)
108.ID	0.509***
	(0.0128)
109.ID	-1.765***
	(0.0128)
110.ID	-2.634***
	(0.0128)
111.ID	-2.198***
	(0.211)
112.ID	-0
	(0.0128)
113.ID	-1.980***
	(0.0128)
114.ID	-0
	(0.0128)
115.ID	-0
	(0.0128)
116.ID	-1.588***
	(0.0128)
117.ID	-0
	(0.0128)
118.ID	-0
	(0.0128)
119.ID	0.509***
	(0.0128)
120.ID	-0.756***
	(0.0128)
121.ID	-0
	(0.0128)
122.ID	0.509***
	(0.0128)
123.ID	-1.176**
	(0.596)
125.ID	-0
	(0.0128)
126.ID	-0
	(0.0128)
127.ID	-2.634***
	(0.0128)
128.ID	-1.765***
	(0.0128)
129.ID	-0
	(0.0128)
130.ID	-1.980***
	(0.0128)
131.ID	-1.765***
	(0.0128)
132.ID	-2.634***
	(0.0128)
133.ID	-0
	(0.0128)
134.ID	-0.725*
	(0.371)
135.ID	-0.660
	(0.653)
136.ID	-0
	(0.0128)
137.ID	-0
	(0.0128)
138.ID	0.509***
	(0.0128)
139.ID	-1.980***
	(0.0128)
140.ID	-1.588***
	(0.0128)
142.ID	-1.980***
	(0.0128)
144.ID	-1.980***
	(0.0128)
145.ID	-1.765***
	(0.0128)
146.ID	-0
	(0.0128)
147.ID	0.509***
	(0.0128)
148.ID	-0
	(0.0128)
149.ID	-2.507***
	(0.119)
150.ID	-1.980***
	(0.0128)
151.ID	-1.765***
	(0.0128)
152.ID	-0
	(0.0128)
153.ID	-0
	(0.0128)
154.ID	-0
	(0.0128)
155.ID	-1.980***
	(0.0128)
156.ID	-1.980***
	(0.0128)
157.ID	-0
	(0.0128)
158.ID	-0
	(0.0128)
159.ID	-1.765***
	(0.0128)
160.ID	-0
	(0.0128)
161.ID	0.286***
	(0.0128)
163.ID	-1.088***
	(0.0128)
164.ID	-1.980***
	(0.0128)
165.ID	-1.980***
	(0.0128)
166.ID	-0
	(0.0128)
167.ID	-1.320**
	(0.652)
168.ID	-0
	(0.0128)
169.ID	-0
	(0.0128)
170.ID	-1.765***
	(0.0128)
171.ID	-1.765***
	(0.0128)
172.ID	-1.980***
	(0.0128)
173.ID	-0
	(0.0128)
174.ID	-0
	(0.0128)
175.ID	-1.765***
	(0.0128)
176.ID	-1.980***
	(0.0128)
177.ID	-0
	(0.0128)
178.ID	-2.634***
	(0.0128)
179.ID	-1.320**
	(0.661)
180.ID	-0.829***
	(0.0128)
181.ID	-2.634***
	(0.0128)
182.ID	-1.980***
	(0.0128)
183.ID	-1.765***
	(0.0128)
184.ID	-1.980***
	(0.0128)
185.ID	0.509***
	(0.0128)
186.ID	-0.403***
	(0.0128)
187.ID	0.435***
	(0.0673)
188.ID	0.191**
	(0.0884)
189.ID	-1.765***
	(0.0128)
190.ID	-1.980***
	(0.0128)
191.ID	-1.765***
	(0.0128)
192.ID	-1.980***
	(0.0128)
194.ID	-0.121**
	(0.0534)
196.ID	-1.980***
	(0.0128)
197.ID	-0
	(0.0128)
198.ID	-1.980***
	(0.0128)
199.ID	-1.980***
	(0.0128)
200.ID	-0
	(0.0128)
201.ID	-1.980***
	(0.0128)
202.ID	-0
	(0.0128)
204.ID	0.509***
	(0.0128)
205.ID	-0
	(0.0128)
206.ID	-1.980***
	(0.0128)
207.ID	-1.980***
	(0.0128)
208.ID	-1.980***
	(0.0128)
209.ID	-0
	(0.0128)
210.ID	-1.980***
	(0.0128)
212.ID	-1.980***
	(0.0128)
213.ID	0.509***
	(0.0128)
214.ID	-0
	(0.0128)
217.ID	-0
	(0.0128)
218.ID	-1.980***
	(0.0128)
219.ID	-1.765***
	(0.0128)
220.ID	-0
	(0.0128)
221.ID	-0
	(0.0128)
222.ID	-0.249
	(0.758)
223.ID	-1.007
	(0.759)
224.ID	-0
	(0.0128)
225.ID	-0
	(0.0128)
226.ID	-2.254***
	(0.0128)
227.ID	-0
	(0.0128)
228.ID	0.509***
	(0.0128)
229.ID	-0
	(0.0128)
230.ID	-0
	(0.0128)
231.ID	-0
	(0.0128)
232.ID	-1.320**
	(0.661)
233.ID	-1.765***
	(0.0128)
234.ID	-0
	(0.0128)
235.ID	-1.088***
	(0.0128)
236.ID	0.509***
	(0.0128)
237.ID	-0
	(0.0128)
238.ID	-0
	(0.0128)
239.ID	0.509***
	(0.0128)
240.ID	-0
	(0.0128)
241.ID	-0
	(0.0128)
242.ID	-1.980***
	(0.0128)
243.ID	-0.403***
	(0.0128)
244.ID	0.0954
	(0.0881)
245.ID	-1.980***
	(0.0128)
246.ID	-0
	(0.0128)
247.ID	-0
	(0.0128)
248.ID	-1.588***
	(0.0128)
249.ID	-1.980***
	(0.0128)
250.ID	0.509***
	(0.0128)
251.ID	-1.980***
	(0.0128)
252.ID	-1.765***
	(0.0128)
253.ID	-1.980***
	(0.0128)
254.ID	-1.980***
	(0.0128)
255.ID	0.509***
	(0.0128)
256.ID	-0
	(0.0128)
257.ID	-0
	(0.0128)
258.ID	-1.980***
	(0.0128)
259.ID	-0
	(0.0128)
260.ID	-0
	(0.0128)
261.ID	-2.634***
	(0.0128)
263.ID	-1.980***
	(0.0128)
264.ID	0.509***
	(0.0128)
266.ID	-0
	(0.0128)
267.ID	-1.765***
	(0.0128)
268.ID	-0
	(0.0128)
269.ID	-0.660
	(0.653)
270.ID	-0
	(0.0128)
271.ID	-1.765***
	(0.0128)
272.ID	0.509***
	(0.0128)
274.ID	-1.980***
	(0.0128)
275.ID	-1.765***
	(0.0128)
276.ID	-0.403***
	(0.0128)
277.ID	-0
	(0.0128)
278.ID	-2.426***
	(0.0128)
279.ID	-1.765***
	(0.0128)
280.ID	-0
	(0.0128)
281.ID	-0
	(0.0128)
282.ID	-2.163***
	(0.0927)
283.ID	-1.980***
	(0.0128)
284.ID	-1.980***
	(0.0128)
285.ID	-1.980***
	(0.0128)
286.ID	-1.980***
	(0.0128)
288.ID	-0
	(0.0128)
289.ID	-0
	(0.0128)
290.ID	-0
	(0.0128)
291.ID	-1.980***
	(0.0128)
292.ID	0.191*
	(0.104)
293.ID	-1.980***
	(0.0128)
294.ID	-1.588***
	(0.0128)
295.ID	-0
	(0.0128)
296.ID	-1.307***
	(0.0128)
297.ID	-0
	(0.0128)
298.ID	-0
	(0.0128)
299.ID	0.509***
	(0.0128)
300.ID	-0.529
	(0.522)
301.ID	-1.980***
	(0.0128)
302.ID	-0.249
	(0.751)
303.ID	-1.307***
	(0.0128)
304.ID	0.509***
	(0.0128)
305.ID	-0
	(0.0128)
306.ID	-1.588***
	(0.0128)
307.ID	-1.437***
	(0.0128)
308.ID	-1.088***
	(0.0128)
310.ID	-1.980***
	(0.0128)
311.ID	-3.253***
	(0.0128)
312.ID	-0
	(0.0128)
313.ID	-1.765***
	(0.0128)
314.ID	-1.588***
	(0.0128)
315.ID	-1.980***
	(0.0128)
317.ID	-0
	(0.0128)
318.ID	-0
	(0.0128)
319.ID	-0
	(0.0128)
320.ID	-1.765***
	(0.0128)
321.ID	-1.588***
	(0.0128)
322.ID	0.286***
	(0.0128)
323.ID	-0.249
	(0.751)
324.ID	-0
	(0.0128)
325.ID	-1.980***
	(0.0128)
326.ID	-0
	(0.0128)
327.ID	-0
	(0.0128)
328.ID	-0
	(0.0128)
329.ID	-1.980***
	(0.0128)
330.ID	0.286***
	(0.0128)
331.ID	-1.980***
	(0.0128)
333.ID	-0.169
	(0.162)
334.ID	-1.980***
	(0.0128)
335.ID	-1.980***
	(0.0128)
336.ID	-0.0686***
	(0.0128)
337.ID	-1.980***
	(0.0128)
338.ID	-0
	(0.0128)
339.ID	-0
	(0.0128)
340.ID	0.509***
	(0.0128)
341.ID	-1.765***
	(0.0128)
342.ID	-1.980***
	(0.0128)
343.ID	-0
	(0.0128)
344.ID	-1.588***
	(0.0128)
345.ID	-0
	(0.0128)
346.ID	-3.253***
	(0.0128)
347.ID	-1.588***
	(0.0128)
348.ID	-1.980***
	(0.0128)
349.ID	-3.253***
	(0.0128)
350.ID	-1.980***
	(0.0128)
352.ID	-0
	(0.0128)
353.ID	-0.403***
	(0.0128)
354.ID	-1.980***
	(0.0128)
355.ID	-1.588***
	(0.0128)
356.ID	-1.765***
	(0.0128)
357.ID	-0
	(0.0128)
358.ID	-1.980***
	(0.0128)
359.ID	-0
	(0.0128)
361.ID	-1.980***
	(0.0128)
364.ID	0.286***
	(0.0128)
365.ID	-1.980***
	(0.0128)
366.ID	0.509***
	(0.0128)
369.ID	-0
	(0.0128)
370.ID	-0
	(0.0128)
372.ID	-0
	(0.0128)
373.ID	-1.980***
	(0.0128)
374.ID	-0
	(0.0128)
375.ID	-1.980***
	(0.0128)
377.ID	-1.320**
	(0.661)
378.ID	-1.980***
	(0.0128)
379.ID	-1.765***
	(0.0128)
381.ID	-2.198***
	(0.211)
382.ID	-3.253***
	(0.0128)
383.ID	-1.980***
	(0.0128)
385.ID	-0
	(0.0128)
386.ID	-2.634***
	(0.0128)
387.ID	-1.980***
	(0.0128)
388.ID	-1.765***
	(0.0128)
389.ID	-0
	(0.0128)
390.ID	0.509***
	(0.0128)
391.ID	-1.980***
	(0.0128)
393.ID	-0
	(0.0128)
394.ID	-0
	(0.0128)
395.ID	-0
	(0.0128)
396.ID	-0
	(0.0128)
397.ID	-1.980***
	(0.0128)
398.ID	-2.634***
	(0.0128)
399.ID	-1.765***
	(0.0128)
400.ID	-0
	(0.0128)
401.ID	-1.088***
	(0.0128)
402.ID	-1.980***
	(0.0128)
403.ID	-1.980***
	(0.0128)
404.ID	-1.588***
	(0.0128)
405.ID	-1.980***
	(0.0128)
406.ID	-0.403***
	(0.0128)
407.ID	-0
	(0.0128)
408.ID	0.509***
	(0.0128)
409.ID	-2.721***
	(0.0805)
410.ID	-1.980***
	(0.0128)
411.ID	-2.254***
	(0.0128)
412.ID	-0
	(0.0128)
413.ID	-1.588***
	(0.0128)
414.ID	-1.980***
	(0.0128)
415.ID	-1.980***
	(0.0128)
416.ID	-1.765***
	(0.0128)
417.ID	-2.634***
	(0.0128)
418.ID	-1.980***
	(0.0128)
419.ID	-1.980***
	(0.0128)
420.ID	-1.765***
	(0.0128)
421.ID	-1.980***
	(0.0128)
423.ID	-0
	(0.0128)
424.ID	-0
	(0.0128)
425.ID	-0
	(0.0128)
426.ID	-1.980***
	(0.0128)
428.ID	-1.980***
	(0.0128)
429.ID	-1.980***
	(0.0128)
430.ID	0.509***
	(0.0128)
431.ID	-1.765***
	(0.0128)
432.ID	-0
	(0.0128)
433.ID	-1.980***
	(0.0128)
434.ID	-1.980***
	(0.0128)
435.ID	0.509***
	(0.0128)
436.ID	-1.765***
	(0.0128)
437.ID	-2.254***
	(0.0128)
438.ID	-0
	(0.0128)
439.ID	-0
	(0.0128)
440.ID	-1.836***
	(0.0726)
441.ID	-0
	(0.0128)
442.ID	-0.329**
	(0.166)
445.ID	-1.980***
	(0.0128)
446.ID	-0
	(0.0128)
447.ID	-1.088***
	(0.0128)
448.ID	-0
	(0.0128)
449.ID	-0
	(0.0128)
450.ID	-1.980***
	(0.0128)
451.ID	-0
	(0.0128)
452.ID	-1.765***
	(0.0128)
453.ID	0.509***
	(0.0128)
454.ID	-1.765***
	(0.0128)
455.ID	-0
	(0.0128)
456.ID	-2.840***
	(0.199)
457.ID	0.509***
	(0.0128)
458.ID	0.509***
	(0.0128)
459.ID	-1.765***
	(0.0128)
460.ID	-1.980***
	(0.0128)
461.ID	0.509***
	(0.0128)
462.ID	-0
	(0.0128)
464.ID	-0
	(0.0128)
465.ID	-1.088***
	(0.0128)
466.ID	-0
	(0.0128)
468.ID	0.339**
	(0.170)
469.ID	-1.980***
	(0.0128)
470.ID	-0
	(0.0128)
471.ID	0.509***
	(0.0128)
472.ID	0.509***
	(0.0128)
474.ID	-0
	(0.0128)
475.ID	-1.980***
	(0.0128)
476.ID	-0
