	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0562***
	(0.0168)
2.treated	0.0123
	(0.0144)
4.ID	1.980***
	(0.0242)
6.ID	-0
	(0.0242)
8.ID	0.215***
	(0.0242)
9.ID	-0
	(0.0242)
10.ID	2.319***
	(0.187)
12.ID	2.488***
	(0.0242)
14.ID	2.149***
	(0.177)
15.ID	0.660
	(0.645)
16.ID	1.980***
	(0.0242)
17.ID	-0
	(0.0242)
18.ID	-0
	(0.0242)
20.ID	1.980***
	(0.0242)
21.ID	0.215***
	(0.0242)
22.ID	0.392***
	(0.0242)
23.ID	1.980***
	(0.0242)
24.ID	1.980***
	(0.0242)
28.ID	-0.183**
	(0.0769)
29.ID	-0
	(0.0242)
30.ID	-0
	(0.0242)
31.ID	1.072***
	(0.0242)
32.ID	1.980***
	(0.0242)
33.ID	1.980***
	(0.0242)
35.ID	-0
	(0.0242)
36.ID	-0
	(0.0242)
39.ID	1.980***
	(0.0242)
40.ID	1.980***
	(0.0242)
41.ID	0.392***
	(0.0242)
42.ID	2.488***
	(0.0242)
43.ID	-0
	(0.0242)
46.ID	0.215***
	(0.0242)
48.ID	1.320*
	(0.678)
49.ID	1.980***
	(0.0242)
50.ID	1.980***
	(0.0242)
53.ID	2.414***
	(0.0926)
54.ID	0.660
	(0.645)
55.ID	-0
	(0.0242)
57.ID	-0
	(0.0242)
60.ID	-0
	(0.0242)
61.ID	-0
	(0.0242)
63.ID	0.0717
	(0.0860)
64.ID	1.980***
	(0.0242)
66.ID	0.215***
	(0.0242)
67.ID	1.980***
	(0.0242)
69.ID	-0
	(0.0242)
70.ID	2.340***
	(0.0829)
71.ID	2.549***
	(0.0473)
72.ID	2.488***
	(0.0242)
73.ID	-0
	(0.0242)
74.ID	1.255***
	(0.347)
76.ID	-0
	(0.0242)
77.ID	0.215***
	(0.0242)
78.ID	-0
	(0.0242)
79.ID	-0
	(0.0242)
81.ID	-0
	(0.0242)
82.ID	0.392***
	(0.0242)
83.ID	0.274***
	(0.0737)
86.ID	1.980***
	(0.0242)
88.ID	2.414***
	(0.0926)
89.ID	-0
	(0.0242)
90.ID	-0
	(0.0242)
91.ID	1.356***
	(0.0242)
96.ID	-0
	(0.0242)
98.ID	0.892***
	(0.0242)
99.ID	0.143
	(0.0903)
100.ID	0.215***
	(0.0242)
102.ID	-0.654***
	(0.0242)
103.ID	-0
	(0.0242)
104.ID	-0
	(0.0242)
105.ID	-0
	(0.0242)
106.ID	2.488***
	(0.0242)
108.ID	2.488***
	(0.0242)
109.ID	0.215***
	(0.0242)
110.ID	-0.654***
	(0.0242)
111.ID	-0.436*
	(0.225)
112.ID	1.980***
	(0.0242)
113.ID	-0
	(0.0242)
116.ID	0.921*
	(0.514)
117.ID	1.980***
	(0.0242)
118.ID	1.980***
	(0.0242)
119.ID	2.488***
	(0.0242)
120.ID	1.476***
	(0.236)
123.ID	2.488***
	(0.0242)
126.ID	1.980***
	(0.0242)
128.ID	0.215***
	(0.0242)
129.ID	1.980***
	(0.0242)
130.ID	-0
	(0.0242)
131.ID	0.215***
	(0.0242)
132.ID	-0.654***
	(0.0242)
133.ID	1.980***
	(0.0242)
135.ID	1.320**
	(0.656)
136.ID	1.320*
	(0.678)
137.ID	1.320*
	(0.678)
139.ID	-0
	(0.0242)
140.ID	0.392***
	(0.0242)
142.ID	-0
	(0.0242)
143.ID	1.946***
	(0.0200)
144.ID	-0
	(0.0242)
145.ID	0.215***
	(0.0242)
146.ID	1.980***
	(0.0242)
147.ID	2.488***
	(0.0242)
149.ID	-0.654***
	(0.0242)
150.ID	-0
	(0.0242)
153.ID	1.980***
	(0.0242)
154.ID	1.996***
	(0.0186)
156.ID	0.660
	(0.645)
157.ID	1.980***
	(0.0242)
158.ID	1.980***
	(0.0242)
159.ID	0.215***
	(0.0242)
163.ID	0.892***
	(0.0242)
165.ID	-0
	(0.0242)
166.ID	1.980***
	(0.0242)
167.ID	-0
	(0.0242)
168.ID	1.980***
	(0.0242)
171.ID	1.029**
	(0.514)
173.ID	1.980***
	(0.0242)
174.ID	1.980***
	(0.0242)
175.ID	0.215***
	(0.0242)
177.ID	1.980***
	(0.0242)
178.ID	-0.654***
	(0.0242)
179.ID	1.320**
	(0.650)
180.ID	1.151***
	(0.0242)
181.ID	-0.527***
	(0.134)
182.ID	-0
	(0.0242)
183.ID	0.215***
	(0.0242)
184.ID	-0
	(0.0242)
185.ID	2.488***
	(0.0242)
186.ID	1.577***
	(0.0242)
187.ID	2.488***
	(0.0242)
189.ID	0.215***
	(0.0242)
190.ID	-0
	(0.0242)
192.ID	-0
	(0.0242)
194.ID	1.980***
	(0.0242)
196.ID	-0
	(0.0242)
197.ID	1.980***
	(0.0242)
198.ID	-0
	(0.0242)
200.ID	1.980***
	(0.0242)
202.ID	1.980***
	(0.0242)
203.ID	2.319***
	(0.187)
204.ID	2.488***
	(0.0242)
205.ID	1.980***
	(0.0242)
206.ID	-0
	(0.0242)
207.ID	0.660
	(0.645)
208.ID	-0
	(0.0242)
209.ID	2.149***
	(0.177)
210.ID	-0
	(0.0242)
212.ID	0.660
	(0.645)
213.ID	2.488***
	(0.0242)
214.ID	1.320**
	(0.656)
218.ID	0.660
	(0.645)
219.ID	0.215***
	(0.0242)
220.ID	1.980***
	(0.0242)
223.ID	0.973
	(0.771)
224.ID	1.980***
	(0.0242)
225.ID	1.980***
	(0.0242)
226.ID	-0.274***
	(0.0242)
227.ID	1.980***
	(0.0242)
228.ID	2.319***
	(0.187)
229.ID	1.980***
	(0.0242)
230.ID	1.980***
	(0.0242)
232.ID	-0
	(0.0242)
233.ID	0.215***
	(0.0242)
234.ID	1.980***
	(0.0242)
235.ID	0.892***
	(0.0242)
236.ID	2.488***
	(0.0242)
237.ID	1.980***
	(0.0242)
239.ID	1.980***
	(0.0242)
240.ID	1.980***
	(0.0242)
245.ID	-0
	(0.0242)
246.ID	1.980***
	(0.0242)
253.ID	-0
	(0.0242)
254.ID	-0
	(0.0242)
255.ID	2.488***
	(0.0242)
256.ID	1.980***
	(0.0242)
257.ID	1.980***
	(0.0242)
258.ID	0.660
	(0.645)
259.ID	1.980***
	(0.0242)
261.ID	-0.654***
	(0.0242)
263.ID	0.660
	(0.645)
264.ID	2.488***
	(0.0242)
265.ID	1.946***
	(0.0200)
266.ID	1.980***
	(0.0242)
267.ID	0.215***
	(0.0242)
268.ID	1.980***
	(0.0242)
269.ID	0.660
	(0.667)
271.ID	0.442
	(0.776)
272.ID	2.488***
	(0.0242)
274.ID	-0
	(0.0242)
277.ID	1.980***
	(0.0242)
278.ID	-0.446***
	(0.0242)
279.ID	0.215***
	(0.0242)
280.ID	1.980***
	(0.0242)
281.ID	1.811***
	(0.166)
282.ID	-0
	(0.0242)
283.ID	-0
	(0.0242)
284.ID	-0
	(0.0242)
285.ID	-0
	(0.0242)
286.ID	-0
	(0.0242)
289.ID	1.980***
	(0.0242)
290.ID	1.980***
	(0.0242)
291.ID	-0
	(0.0242)
295.ID	0.660
	(0.667)
297.ID	1.980***
	(0.0242)
298.ID	1.980***
	(0.0242)
299.ID	2.319***
	(0.187)
300.ID	1.391**
	(0.606)
301.ID	-0
	(0.0242)
302.ID	2.488***
	(0.0242)
303.ID	0.673***
	(0.0242)
304.ID	2.488***
	(0.0242)
305.ID	1.980***
	(0.0242)
306.ID	0.392***
	(0.0242)
307.ID	0.542***
	(0.0242)
308.ID	0.892***
	(0.0242)
309.ID	0.215***
	(0.0242)
310.ID	-0
	(0.0242)
311.ID	-1.273***
	(0.0242)
312.ID	1.980***
	(0.0242)
313.ID	0.215***
	(0.0242)
314.ID	0.261*
	(0.149)
315.ID	-0
	(0.0242)
317.ID	1.980***
	(0.0242)
318.ID	1.980***
	(0.0242)
319.ID	1.980***
	(0.0242)
320.ID	0.215***
	(0.0242)
321.ID	0.392***
	(0.0242)
322.ID	2.340***
	(0.0829)
326.ID	1.980***
	(0.0242)
327.ID	1.980***
	(0.0242)
328.ID	1.980***
	(0.0242)
329.ID	-0
	(0.0242)
330.ID	2.170***
	(0.114)
331.ID	-0
	(0.0242)
332.ID	1.980***
	(0.0242)
333.ID	1.980***
	(0.0242)
335.ID	0.660
	(0.645)
336.ID	1.911***
	(0.0242)
337.ID	-0
	(0.0242)
338.ID	1.980***
	(0.0242)
339.ID	1.980***
	(0.0242)
340.ID	2.488***
	(0.0242)
341.ID	1.391**
	(0.578)
342.ID	0.660
	(0.645)
343.ID	1.980***
	(0.0242)
344.ID	0.392***
	(0.0242)
345.ID	2.149***
	(0.183)
346.ID	-1.273***
	(0.0242)
347.ID	0.392***
	(0.0242)
348.ID	0.660
	(0.673)
349.ID	-1.256***
	(0.0186)
350.ID	-0
	(0.0242)
352.ID	1.980***
	(0.0242)
353.ID	1.711***
	(0.119)
354.ID	-0
	(0.0242)
356.ID	0.215***
	(0.0242)
358.ID	-0
	(0.0242)
359.ID	0.660
	(0.667)
361.ID	-0
	(0.0242)
364.ID	2.266***
	(0.0242)
370.ID	1.980***
	(0.0242)
373.ID	-0
	(0.0242)
374.ID	1.980***
	(0.0242)
375.ID	-0
	(0.0242)
377.ID	-0
	(0.0242)
378.ID	-0
	(0.0242)
379.ID	0.0717
	(0.0806)
382.ID	-1.273***
	(0.0242)
385.ID	1.980***
	(0.0242)
387.ID	-0
	(0.0242)
388.ID	0.392***
	(0.0242)
389.ID	1.980***
	(0.0242)
390.ID	1.980***
	(0.0242)
391.ID	-0
	(0.0242)
393.ID	1.980***
	(0.0242)
394.ID	1.980***
	(0.0242)
395.ID	1.980***
	(0.0242)
398.ID	-0.654***
	(0.0242)
400.ID	1.980***
	(0.0242)
402.ID	-0
	(0.0242)
403.ID	0.660
	(0.667)
404.ID	0.392***
	(0.0242)
405.ID	-0
	(0.0242)
406.ID	1.711***
	(0.142)
407.ID	1.980***
	(0.0242)
409.ID	-0.829***
	(0.101)
413.ID	0.392***
	(0.0242)
414.ID	-0
	(0.0242)
415.ID	-0
	(0.0242)
416.ID	0.215***
	(0.0242)
417.ID	-0.654***
	(0.0242)
419.ID	-0
	(0.0242)
421.ID	-0
	(0.0242)
423.ID	1.980***
	(0.0242)
424.ID	1.980***
	(0.0242)
425.ID	1.980***
	(0.0242)
428.ID	-0
	(0.0242)
429.ID	-0
	(0.0242)
430.ID	2.488***
	(0.0242)
431.ID	0.215***
	(0.0242)
432.ID	1.980***
	(0.0242)
433.ID	-0
	(0.0242)
434.ID	-0
	(0.0242)
435.ID	2.488***
	(0.0242)
437.ID	-0.401***
	(0.145)
439.ID	1.980***
	(0.0242)
440.ID	0.215***
	(0.0242)
441.ID	1.980***
	(0.0242)
447.ID	0.892***
	(0.0242)
448.ID	1.450***
	(0.547)
450.ID	-0
	(0.0242)
451.ID	1.980***
	(0.0242)
452.ID	0.215***
	(0.0242)
453.ID	2.488***
	(0.0242)
454.ID	0.215***
	(0.0242)
456.ID	-0.631***
	(0.0192)
457.ID	2.488***
	(0.0242)
458.ID	2.488***
	(0.0242)
459.ID	0.803
	(0.573)
460.ID	-0
	(0.0242)
461.ID	2.488***
	(0.0242)
462.ID	1.980***
	(0.0242)
466.ID	1.980***
	(0.0242)
467.ID	1.980***
	(0.0242)
469.ID	-0
	(0.0242)
470.ID	1.980***
	(0.0242)
471.ID	2.488***
	(0.0242)
472.ID	2.488***
	(0.0242)
473.ID	1.980***
	(0.0242)
474.ID	1.980***
	(0.0242)
475.ID	-0
	(0.0242)
476.ID	1.980***
	(0.0242)
477.ID	2.170***
	(0.114)
478.ID	2.488***
	(0.0242)
479.ID	1.980***
	(0.0242)
480.ID	0.892***
	(0.0242)
481.ID	1.980***
	(0.0242)
482.ID	2.549***
	(0.0473)
484.ID	2.170***
	(0.114)
485.ID	2.488***
	(0.0242)
488.ID	2.488***
	(0.0242)
489.ID	-0.183*
	(0.0998)
490.ID	-0
	(0.0242)
493.ID	-0
	(0.0242)
495.ID	2.149***
	(0.177)
497.ID	-0
	(0.0242)
498.ID	2.488***
	(0.0242)
499.ID	0.542***
	(0.0242)
501.ID	0.215***
	(0.0242)
502.ID	-1.273***
	(0.0242)
503.ID	1.356***
	(0.0242)
504.ID	1.980***
	(0.0242)
505.ID	0.892***
	(0.0242)
506.ID	-0
	(0.0242)
507.ID	1.980***
	(0.0242)
508.ID	0.660
	(0.645)
509.ID	-0
	(0.0242)
512.ID	0.660
	(0.645)
515.ID	2.266***
	(0.0242)
521.ID	1.980***
	(0.0242)
523.ID	1.980***
	(0.0242)
525.ID	0.143**
	(0.0706)
527.ID	1.980***
	(0.0242)
528.ID	2.170***
	(0.114)
529.ID	1.980***
	(0.0242)
530.ID	0.215***
	(0.0242)
532.ID	1.980***
	(0.0242)
536.ID	1.980***
	(0.0242)
541.ID	2.266***
	(0.0242)
542.ID	2.488***
	(0.0242)
543.ID	1.980***
	(0.0242)
545.ID	-0.654***
	(0.0242)
546.ID	-0
	(0.0242)
548.ID	0.660
	(0.645)
549.ID	1.320*
	(0.678)
551.ID	1.980***
	(0.0242)
553.ID	1.980***
	(0.0242)
554.ID	-0
	(0.0242)
555.ID	1.980***
	(0.0242)
556.ID	-0
	(0.0242)
559.ID	1.501***
	(0.475)
560.ID	2.488***
	(0.0242)
561.ID	1.980***
	(0.0242)
562.ID	-0
	(0.0242)
563.ID	1.526***
	(0.0242)
564.ID	1.980***
	(0.0242)
567.ID	-0
	(0.0242)
569.ID	1.980***
	(0.0242)
570.ID	-0.916***
	(0.0242)
573.ID	-0
	(0.0242)
575.ID	1.980***
	(0.0242)
577.ID	1.980***
	(0.0242)
578.ID	0.215***
	(0.0242)
581.ID	1.980***
	(0.0242)
582.ID	-0
	(0.0242)
583.ID	-0
	(0.0242)
584.ID	1.980***
	(0.0242)
586.ID	-0
	(0.0242)
587.ID	0.803
	(0.595)
589.ID	1.980***
	(0.0242)
591.ID	1.374***
	(0.287)
592.ID	0.215***
	(0.0242)
593.ID	-0
	(0.0242)
594.ID	-0.659***
	(0.0301)
595.ID	-0
	(0.0242)
596.ID	-0
	(0.0242)
597.ID	1.980***
	(0.0242)
598.ID	1.577***
	(0.0242)
599.ID	-0
	(0.0242)
600.ID	-0
	(0.0242)
603.ID	1.946***
	(0.0200)
605.ID	-0
	(0.0242)
607.ID	1.980***
	(0.0242)
608.ID	-0
	(0.0242)
610.ID	0.732
	(0.641)
611.ID	0.392***
	(0.0242)
612.ID	1.980***
	(0.0242)
613.ID	1.980***
	(0.0242)
618.ID	1.980***
	(0.0242)
619.ID	-0
	(0.0242)
621.ID	0.392***
	(0.0242)
622.ID	-0
	(0.0242)
624.ID	1.980***
	(0.0242)
625.ID	1.980***
	(0.0242)
627.ID	0.660
	(0.645)
628.ID	1.980***
	(0.0242)
629.ID	2.266***
	(0.0242)
630.ID	1.224***
	(0.0242)
631.ID	1.980***
	(0.0242)
632.ID	0.215***
	(0.0242)
633.ID	2.488***
	(0.0242)
634.ID	-0
	(0.0242)
636.ID	0.660
	(0.667)
637.ID	2.488***
	(0.0242)
639.ID	-0.183*
	(0.0998)
640.ID	1.980***
	(0.0242)
642.ID	1.980***
	(0.0242)
645.ID	-0
	(0.0242)
650.ID	-0
	(0.0242)
651.ID	0.542***
	(0.0242)
652.ID	-0.274***
	(0.0242)
653.ID	-0
	(0.0242)
654.ID	-0
	(0.0242)
655.ID	0.215***
	(0.0242)
656.ID	1.476***
	(0.236)
657.ID	1.980***
	(0.0242)
658.ID	-0
	(0.0242)
660.ID	-0
	(0.0242)
661.ID	2.488***
	(0.0242)
662.ID	0.660
	(0.645)
664.ID	-0
	(0.0242)
