	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00302
	(0.00807)
2.treated	0.0221***
	(0.00756)
1.ID	-1.588***
	(0.00978)
2.ID	-0
	(0.00978)
3.ID	-1.980***
	(0.00978)
4.ID	-0
	(0.00978)
5.ID	-1.765***
	(0.00978)
6.ID	-1.980***
	(0.00978)
7.ID	-0.660
	(0.658)
8.ID	-1.765***
	(0.00978)
9.ID	-1.980***
	(0.00978)
10.ID	0.509***
	(0.00978)
12.ID	-1.765***
	(0.00978)
13.ID	-1.980***
	(0.00978)
14.ID	-0
	(0.00978)
15.ID	-1.980***
	(0.00978)
16.ID	-0
	(0.00978)
18.ID	-1.980***
	(0.00978)
19.ID	-1.765***
	(0.00978)
20.ID	-0
	(0.00978)
21.ID	-1.765***
	(0.00978)
22.ID	-1.588***
	(0.00978)
23.ID	-0
	(0.00978)
24.ID	-0
	(0.00978)
25.ID	-1.765***
	(0.00978)
26.ID	-2.634***
	(0.00978)
27.ID	-1.980***
	(0.00978)
28.ID	-1.980***
	(0.00978)
29.ID	-1.980***
	(0.00978)
30.ID	-1.980***
	(0.00978)
31.ID	-0.908***
	(0.00978)
32.ID	-0
	(0.00978)
33.ID	-0
	(0.00978)
34.ID	-0
	(0.00978)
35.ID	-1.980***
	(0.00978)
36.ID	-1.980***
	(0.00978)
37.ID	-1.980***
	(0.00978)
39.ID	-0
	(0.00978)
40.ID	-0
	(0.00978)
41.ID	-1.588***
	(0.00978)
42.ID	0.509***
	(0.00978)
43.ID	-1.980***
	(0.00978)
46.ID	-1.765***
	(0.00978)
47.ID	-2.254***
	(0.00978)
48.ID	-0
	(0.00978)
49.ID	-0
	(0.00978)
50.ID	-0
	(0.00978)
51.ID	-1.980***
	(0.00978)
52.ID	-1.765***
	(0.00978)
53.ID	0.265*
	(0.153)
54.ID	-1.980***
	(0.00978)
55.ID	-1.980***
	(0.00978)
56.ID	-1.176**
	(0.582)
57.ID	-1.980***
	(0.00978)
58.ID	-0
	(0.00978)
60.ID	-1.980***
	(0.00978)
61.ID	-1.980***
	(0.00978)
62.ID	-1.765***
	(0.00978)
63.ID	-1.980***
	(0.00978)
64.ID	-0
	(0.00978)
66.ID	-1.765***
	(0.00978)
67.ID	-0
	(0.00978)
68.ID	-0.403***
	(0.00978)
69.ID	-1.980***
	(0.00978)
70.ID	0.286***
	(0.00978)
71.ID	0.509***
	(0.00978)
72.ID	0.509***
	(0.00978)
73.ID	-1.980***
	(0.00978)
74.ID	-1.088***
	(0.00978)
75.ID	0.509***
	(0.00978)
76.ID	-1.980***
	(0.00978)
77.ID	-1.765***
	(0.00978)
78.ID	-1.980***
	(0.00978)
79.ID	-1.980***
	(0.00978)
81.ID	-1.980***
	(0.00978)
82.ID	-1.588***
	(0.00978)
83.ID	-1.765***
	(0.00978)
84.ID	0.170
	(0.163)
85.ID	-0
	(0.00978)
86.ID	-0
	(0.00978)
87.ID	-0
	(0.00978)
88.ID	0.509***
	(0.00978)
89.ID	-1.980***
	(0.00978)
90.ID	-1.980***
	(0.00978)
91.ID	-0.624***
	(0.00978)
92.ID	-3.489***
	(0.853)
93.ID	-1.588***
	(0.00978)
94.ID	-1.980***
	(0.00978)
95.ID	0.509***
	(0.00978)
96.ID	-1.980***
	(0.00978)
97.ID	-2.896***
	(0.00978)
98.ID	-1.088***
	(0.00978)
99.ID	-1.980***
	(0.00978)
100.ID	-1.765***
	(0.00978)
102.ID	-2.634***
	(0.00978)
103.ID	-1.980***
	(0.00978)
104.ID	-1.980***
	(0.00978)
105.ID	-1.980***
	(0.00978)
106.ID	0.509***
	(0.00978)
107.ID	0.509***
	(0.00978)
108.ID	0.509***
	(0.00978)
109.ID	-1.765***
	(0.00978)
110.ID	-2.634***
	(0.00978)
111.ID	-2.416***
	(0.211)
112.ID	-0
	(0.00978)
113.ID	-1.980***
	(0.00978)
114.ID	-0
	(0.00978)
115.ID	-0
	(0.00978)
116.ID	-1.647***
	(0.0571)
117.ID	-0
	(0.00978)
118.ID	-0
	(0.00978)
119.ID	0.509***
	(0.00978)
120.ID	-0.756***
	(0.00978)
121.ID	-0
	(0.00978)
122.ID	0.509***
	(0.00978)
123.ID	-1.176**
	(0.592)
124.ID	0.509***
	(0.00978)
126.ID	-0
	(0.00978)
127.ID	-2.634***
	(0.00978)
128.ID	-1.765***
	(0.00978)
129.ID	-0
	(0.00978)
130.ID	-2.254***
	(0.00978)
131.ID	-1.765***
	(0.00978)
132.ID	-2.634***
	(0.00978)
133.ID	-0
	(0.00978)
134.ID	-1.088***
	(0.00978)
135.ID	-1.980***
	(0.00978)
136.ID	-0
	(0.00978)
137.ID	-0
	(0.00978)
138.ID	0.509***
	(0.00978)
139.ID	-1.980***
	(0.00978)
140.ID	-1.588***
	(0.00978)
141.ID	-0
	(0.00978)
142.ID	-1.980***
	(0.00978)
144.ID	-1.980***
	(0.00978)
145.ID	-1.765***
	(0.00978)
146.ID	-0
	(0.00978)
147.ID	0.509***
	(0.00978)
149.ID	-2.634***
	(0.00978)
150.ID	-1.980***
	(0.00978)
151.ID	-1.765***
	(0.00978)
152.ID	-0
	(0.00978)
153.ID	-0
	(0.00978)
154.ID	-0
	(0.00978)
155.ID	-1.980***
	(0.00978)
156.ID	-1.980***
	(0.00978)
157.ID	-0
	(0.00978)
158.ID	-0
	(0.00978)
159.ID	-1.765***
	(0.00978)
160.ID	-0
	(0.00978)
161.ID	0.286***
	(0.00978)
162.ID	-1.588***
	(0.00978)
163.ID	-1.088***
	(0.00978)
164.ID	-1.980***
	(0.00978)
165.ID	-1.980***
	(0.00978)
166.ID	-0
	(0.00978)
167.ID	-1.980***
	(0.00978)
168.ID	-0
	(0.00978)
169.ID	-0
	(0.00978)
170.ID	-1.765***
	(0.00978)
171.ID	-1.765***
	(0.00978)
172.ID	-1.980***
	(0.00978)
173.ID	-0
	(0.00978)
174.ID	-0
	(0.00978)
175.ID	-1.765***
	(0.00978)
176.ID	-1.980***
	(0.00978)
177.ID	-0
	(0.00978)
178.ID	-2.634***
	(0.00978)
179.ID	-1.980***
	(0.00978)
180.ID	-0.829***
	(0.00978)
181.ID	-2.507***
	(0.120)
182.ID	-1.980***
	(0.00978)
183.ID	-1.765***
	(0.00978)
184.ID	-1.980***
	(0.00978)
185.ID	-1.765***
	(0.00978)
186.ID	-0.403***
	(0.00978)
187.ID	0.509***
	(0.00978)
188.ID	-0
	(0.00978)
189.ID	-1.765***
	(0.00978)
190.ID	-1.980***
	(0.00978)
191.ID	-1.765***
	(0.00978)
192.ID	-1.980***
	(0.00978)
194.ID	-0
	(0.00978)
196.ID	-1.980***
	(0.00978)
197.ID	-0
	(0.00978)
198.ID	-1.980***
	(0.00978)
199.ID	-1.980***
	(0.00978)
200.ID	-0
	(0.00978)
201.ID	-1.980***
	(0.00978)
202.ID	-0
	(0.00978)
203.ID	0.509***
	(0.00978)
204.ID	0.509***
	(0.00978)
205.ID	-0.308***
	(0.00978)
206.ID	-1.980***
	(0.00978)
207.ID	-1.980***
	(0.00978)
208.ID	-1.980***
	(0.00978)
209.ID	0.509***
	(0.00978)
210.ID	-1.980***
	(0.00978)
212.ID	-1.980***
	(0.00978)
213.ID	0.509***
	(0.00978)
214.ID	-1.980***
	(0.00978)
217.ID	-0
	(0.00978)
218.ID	-1.980***
	(0.00978)
219.ID	-0.588
	(0.585)
220.ID	-0
	(0.00978)
221.ID	-0
	(0.00978)
223.ID	-1.765***
	(0.00978)
224.ID	-0
	(0.00978)
225.ID	-0.660
	(0.656)
226.ID	-2.254***
	(0.00978)
227.ID	-0
	(0.00978)
228.ID	0.509***
	(0.00978)
229.ID	-0
	(0.00978)
230.ID	-0
	(0.00978)
231.ID	-1.765***
	(0.00978)
232.ID	-0.660
	(0.658)
233.ID	-1.765***
	(0.00978)
234.ID	-0
	(0.00978)
235.ID	-1.088***
	(0.00978)
236.ID	0.509***
	(0.00978)
237.ID	-0
	(0.00978)
239.ID	-0
	(0.00978)
240.ID	-0
	(0.00978)
241.ID	-0
	(0.00978)
242.ID	-1.980***
	(0.00978)
243.ID	-0.403***
	(0.00978)
244.ID	-0
	(0.00978)
245.ID	-1.980***
	(0.00978)
246.ID	-0
	(0.00978)
248.ID	-1.588***
	(0.00978)
249.ID	-1.980***
	(0.00978)
250.ID	0.509***
	(0.00978)
251.ID	-1.980***
	(0.00978)
252.ID	-1.765***
	(0.00978)
253.ID	-0.660
	(0.658)
254.ID	-1.980***
	(0.00978)
255.ID	0.509***
	(0.00978)
256.ID	-0
	(0.00978)
257.ID	-0
	(0.00978)
258.ID	-1.980***
	(0.00978)
261.ID	-2.634***
	(0.00978)
263.ID	-1.980***
	(0.00978)
264.ID	0.509***
	(0.00978)
265.ID	0.170
	(0.174)
266.ID	-0
	(0.00978)
267.ID	-1.765***
	(0.00978)
268.ID	-0
	(0.00978)
269.ID	-1.320**
	(0.654)
271.ID	-0
	(0.00978)
272.ID	0.509***
	(0.00978)
274.ID	-1.980***
	(0.00978)
275.ID	-1.765***
	(0.00978)
276.ID	-0.403***
	(0.00978)
277.ID	-0
	(0.00978)
278.ID	-2.426***
	(0.00978)
279.ID	-1.765***
	(0.00978)
280.ID	-0
	(0.00978)
281.ID	-0
	(0.00978)
282.ID	-2.254***
	(0.00978)
283.ID	-1.980***
	(0.00978)
284.ID	-1.980***
	(0.00978)
285.ID	-1.980***
	(0.00978)
286.ID	-1.980***
	(0.00978)
288.ID	-0
	(0.00978)
289.ID	-0
	(0.00978)
290.ID	-0
	(0.00978)
291.ID	-1.980***
	(0.00978)
292.ID	0.286***
	(0.00978)
293.ID	-1.980***
	(0.00978)
294.ID	-1.588***
	(0.00978)
295.ID	-0
	(0.00978)
297.ID	0.509***
	(0.00978)
298.ID	-0
	(0.00978)
299.ID	0.509***
	(0.00978)
300.ID	-0
	(0.00978)
301.ID	-1.980***
	(0.00978)
302.ID	-1.765***
	(0.00978)
303.ID	-1.588***
	(0.00978)
304.ID	0.509***
	(0.00978)
305.ID	-0
	(0.00978)
306.ID	-1.588***
	(0.00978)
307.ID	-1.437***
	(0.00978)
308.ID	-1.088***
	(0.00978)
309.ID	-1.765***
	(0.00978)
310.ID	-1.980***
	(0.00978)
311.ID	-3.253***
	(0.00978)
312.ID	-0
	(0.00978)
313.ID	-1.765***
	(0.00978)
314.ID	-1.980***
	(0.00978)
315.ID	-1.980***
	(0.00978)
317.ID	-0
	(0.00978)
318.ID	-0
	(0.00978)
319.ID	-0
	(0.00978)
320.ID	-1.980***
	(0.00978)
321.ID	-1.588***
	(0.00978)
322.ID	0.509***
	(0.00978)
323.ID	-1.765***
	(0.00978)
324.ID	-0
	(0.00978)
326.ID	-0
	(0.00978)
327.ID	-0
	(0.00978)
328.ID	-0
	(0.00978)
329.ID	-1.980***
	(0.00978)
330.ID	0.286***
	(0.00978)
331.ID	-1.980***
	(0.00978)
332.ID	-0
	(0.00978)
333.ID	-0
	(0.00978)
334.ID	-1.980***
	(0.00978)
335.ID	-1.980***
	(0.00978)
336.ID	-0.0686***
	(0.00978)
337.ID	-1.980***
	(0.00978)
338.ID	-0
	(0.00978)
339.ID	-0
	(0.00978)
340.ID	0.509***
	(0.00978)
341.ID	-1.765***
	(0.00978)
342.ID	-1.980***
	(0.00978)
343.ID	-0
	(0.00978)
345.ID	0.339**
	(0.166)
346.ID	-3.253***
	(0.00978)
347.ID	-1.588***
	(0.00978)
348.ID	-1.980***
	(0.00978)
349.ID	-3.253***
	(0.00978)
350.ID	-1.320**
	(0.663)
352.ID	-0
	(0.00978)
353.ID	-0.403***
	(0.00978)
354.ID	-1.980***
	(0.00978)
355.ID	-1.588***
	(0.00978)
356.ID	-1.765***
	(0.00978)
357.ID	-0
	(0.00978)
358.ID	-1.980***
	(0.00978)
359.ID	-0
	(0.00978)
360.ID	-3.266***
	(0.00822)
361.ID	-1.980***
	(0.00978)
364.ID	0.0954
	(0.0987)
365.ID	-1.980***
	(0.00978)
366.ID	0.509***
	(0.00978)
370.ID	-0
	(0.00978)
371.ID	-1.980***
	(0.00978)
373.ID	-1.980***
	(0.00978)
374.ID	-0
	(0.00978)
375.ID	-1.980***
	(0.00978)
377.ID	-1.980***
	(0.00978)
378.ID	-1.980***
	(0.00978)
379.ID	-1.176**
	(0.593)
381.ID	-2.634***
	(0.00978)
382.ID	-3.253***
	(0.00978)
383.ID	-1.980***
	(0.00978)
385.ID	-0
	(0.00978)
386.ID	-2.634***
	(0.00978)
387.ID	-1.980***
	(0.00978)
388.ID	-1.765***
	(0.00978)
389.ID	-0
	(0.00978)
390.ID	-1.176**
	(0.582)
391.ID	-1.980***
	(0.00978)
392.ID	-3.253***
	(0.00978)
393.ID	-0
	(0.00978)
395.ID	-0
	(0.00978)
397.ID	-1.980***
	(0.00978)
398.ID	-1.980***
	(0.00978)
399.ID	-1.765***
	(0.00978)
400.ID	-0.660
	(0.656)
401.ID	-1.088***
	(0.00978)
402.ID	-1.980***
	(0.00978)
403.ID	-1.980***
	(0.00978)
404.ID	-1.588***
	(0.00978)
405.ID	-1.980***
	(0.00978)
406.ID	-0
	(0.00978)
407.ID	-0
	(0.00978)
408.ID	0.509***
	(0.00978)
409.ID	-2.634***
	(0.00978)
410.ID	-1.980***
	(0.00978)
411.ID	-2.254***
	(0.00978)
413.ID	-1.588***
	(0.00978)
414.ID	-1.980***
	(0.00978)
415.ID	-1.980***
	(0.00978)
417.ID	-2.634***
	(0.00978)
418.ID	-1.980***
	(0.00978)
419.ID	-1.980***
	(0.00978)
420.ID	-1.765***
	(0.00978)
421.ID	-1.980***
	(0.00978)
423.ID	-0
	(0.00978)
424.ID	-0
	(0.00978)
425.ID	-0
	(0.00978)
426.ID	-1.980***
	(0.00978)
428.ID	-1.980***
	(0.00978)
429.ID	-1.980***
	(0.00978)
430.ID	0.509***
	(0.00978)
431.ID	-1.765***
	(0.00978)
432.ID	-0
	(0.00978)
433.ID	-1.980***
	(0.00978)
434.ID	-1.980***
	(0.00978)
435.ID	0.509***
	(0.00978)
436.ID	-1.765***
	(0.00978)
437.ID	-2.634***
	(0.00978)
438.ID	-0
	(0.00978)
439.ID	-0
	(0.00978)
440.ID	-1.765***
	(0.00978)
441.ID	-0
	(0.00978)
443.ID	-1.980***
	(0.00978)
444.ID	0.286***
	(0.00978)
447.ID	-1.088***
	(0.00978)
448.ID	-0
	(0.00978)
450.ID	-1.980***
	(0.00978)
451.ID	-0
	(0.00978)
452.ID	-1.765***
	(0.00978)
453.ID	-0
	(0.00978)
454.ID	-1.765***
	(0.00978)
455.ID	-0
	(0.00978)
456.ID	-3.253***
	(0.00978)
457.ID	-1.765***
	(0.00978)
458.ID	0.170
	(0.163)
459.ID	-1.765***
	(0.00978)
460.ID	-1.980***
	(0.00978)
461.ID	0.509***
	(0.00978)
462.ID	-0
	(0.00978)
463.ID	-0
	(0.00978)
465.ID	-1.088***
	(0.00978)
466.ID	-0
	(0.00978)
467.ID	-0
	(0.00978)
468.ID	0.339**
	(0.166)
469.ID	-1.980***
	(0.00978)
470.ID	-0
	(0.00978)
471.ID	0.509***
	(0.00978)
472.ID	0.509***
	(0.00978)
473.ID	-0
	(0.00978)
474.ID	-0
	(0.00978)
475.ID	-1.980***
	(0.00978)
476.ID	-0
	(0.00978)
477.ID	0.509***
	(0.00978)
478.ID	0.435***
	(0.0706)
479.ID	-0
	(0.00978)
480.ID	-1.088***
	(0.00978)
481.ID	-0
	(0.00978)
482.ID	0.509***
	(0.00978)
483.ID	-2.254***
	(0.00978)
484.ID	0.286***
	(0.00978)
485.ID	0.509***
	(0.00978)
