	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0857***
	(0.0243)
3.ID	-1.980***
	(0)
4.ID	-0
	(0)
6.ID	-1.980***
	(0)
8.ID	-1.765***
	(0)
9.ID	-1.980***
	(0)
10.ID	0.509***
	(0)
12.ID	0.509***
	(0)
15.ID	-1.980***
	(0)
16.ID	-0
	(0)
21.ID	-1.765***
	(0)
28.ID	-1.127***
	(0)
29.ID	-1.980***
	(0)
30.ID	-1.980***
	(0)
32.ID	-0
	(0)
36.ID	-1.980***
	(0)
38.ID	-1.980***
	(0)
42.ID	0.509***
	(0)
43.ID	-1.980***
	(0)
46.ID	-1.765***
	(0)
48.ID	-0
	(0)
50.ID	-0
	(0)
53.ID	0.397***
	(0)
54.ID	-1.980***
	(0)
55.ID	-1.980***
	(0)
57.ID	-1.980***
	(0)
61.ID	-1.980***
	(0)
63.ID	-1.980***
	(0)
64.ID	-0
	(0)
65.ID	-1.980***
	(0)
66.ID	-1.765***
	(0)
67.ID	-0
	(0)
69.ID	-1.980***
	(0)
70.ID	0.286***
	(0)
71.ID	0.551***
	(0.0121)
72.ID	0.509***
	(0)
73.ID	-0.990***
	(0)
74.ID	-1.088***
	(0)
76.ID	-1.980***
	(0)
78.ID	-1.980***
	(0)
79.ID	-1.980***
	(0)
80.ID	-0
	(0)
81.ID	-1.980***
	(0)
82.ID	-0.794***
	(0)
83.ID	-1.765***
	(0)
89.ID	-1.980***
	(0)
90.ID	-0.990***
	(0)
91.ID	-0.312***
	(0)
96.ID	-1.980***
	(0)
98.ID	-1.088***
	(0)
99.ID	-0.882***
	(0)
100.ID	-0.882***
	(0)
102.ID	-2.634***
	(0)
103.ID	-1.980***
	(0)
105.ID	-1.980***
	(0)
106.ID	0.509***
	(0)
108.ID	0.509***
	(0)
109.ID	-1.765***
	(0)
110.ID	-2.634***
	(0)
111.ID	-2.634***
	(0)
112.ID	-0
	(0)
117.ID	-0
	(0)
118.ID	-0
	(0)
119.ID	0.254***
	(0)
120.ID	-0.756***
	(0)
122.ID	0.509***
	(0)
123.ID	0.509***
	(0)
125.ID	-0
	(0)
128.ID	-1.765***
	(0)
130.ID	-1.980***
	(0)
131.ID	-1.765***
	(0)
132.ID	-2.634***
	(0)
133.ID	-0
	(0)
135.ID	-0
	(0)
136.ID	-1.980***
	(0)
137.ID	-0
	(0)
140.ID	-1.588***
	(0)
142.ID	-1.980***
	(0)
144.ID	-1.980***
	(0)
145.ID	-1.765***
	(0)
146.ID	-0
	(0)
147.ID	0.509***
	(0)
148.ID	-0
	(0)
149.ID	-2.634***
	(0)
150.ID	-0.990***
	(0)
153.ID	-0
	(0)
154.ID	-0
	(0)
156.ID	-1.980***
	(0)
157.ID	-0
	(0)
158.ID	-0
	(0)
159.ID	-1.765***
	(0)
161.ID	0.286***
	(0)
163.ID	-1.088***
	(0)
165.ID	-1.980***
	(0)
167.ID	-1.980***
	(0)
168.ID	-0
	(0)
173.ID	-0
	(0)
174.ID	-0
	(0)
175.ID	-1.765***
	(0)
178.ID	-2.634***
	(0)
179.ID	-1.980***
	(0)
181.ID	-2.634***
	(0)
182.ID	-1.980***
	(0)
183.ID	-1.765***
	(0)
184.ID	-1.980***
	(0)
185.ID	0.509***
	(0)
186.ID	-0.403***
	(0)
187.ID	0.509***
	(0)
188.ID	-0
	(0)
189.ID	-1.765***
	(0)
192.ID	-1.980***
	(0)
194.ID	-0
	(0)
197.ID	-0
	(0)
198.ID	-1.980***
	(0)
200.ID	-0
	(0)
204.ID	0.509***
	(0)
205.ID	-0
	(0)
206.ID	-1.980***
	(0)
207.ID	-1.980***
	(0)
212.ID	-1.980***
	(0)
213.ID	0.509***
	(0)
214.ID	-0
	(0)
218.ID	-1.980***
	(0)
219.ID	-1.765***
	(0)
222.ID	0.509***
	(0)
223.ID	0.509***
	(0)
225.ID	-0
	(0)
226.ID	-2.254***
	(0)
227.ID	-0
	(0)
228.ID	0.509***
	(0)
229.ID	-0
	(0)
233.ID	-1.765***
	(0)
234.ID	-0
	(0)
235.ID	-1.088***
	(0)
236.ID	0.509***
	(0)
237.ID	-0
	(0)
238.ID	-0
	(0)
240.ID	-0
	(0)
245.ID	-1.980***
	(0)
246.ID	-0
	(0)
247.ID	-0
	(0)
253.ID	-1.980***
	(0)
255.ID	0.509***
	(0)
257.ID	-0
	(0)
258.ID	-0.990***
	(0)
259.ID	-0
	(0)
260.ID	-0
	(0)
261.ID	-2.634***
	(0)
263.ID	-1.980***
	(0)
264.ID	0.509***
	(0)
267.ID	-1.765***
	(0)
269.ID	-1.980***
	(0)
270.ID	-0
	(0)
277.ID	-0
	(0)
278.ID	-2.426***
	(0)
280.ID	-0
	(0)
282.ID	-1.980***
	(0)
283.ID	-1.980***
	(0)
284.ID	-1.980***
	(0)
285.ID	-1.980***
	(0)
286.ID	-1.980***
	(0)
289.ID	-0
	(0)
290.ID	-0
	(0)
291.ID	-0.990***
	(0)
295.ID	-1.980***
	(0)
296.ID	-1.307***
	(0)
297.ID	-0
	(0)
298.ID	-0
	(0)
299.ID	0.509***
	(0)
300.ID	-0
	(0)
301.ID	-1.980***
	(0)
302.ID	0.509***
	(0)
303.ID	-1.588***
	(0)
304.ID	0.509***
	(0)
305.ID	-0
	(0)
307.ID	-1.437***
	(0)
308.ID	-1.088***
	(0)
309.ID	-1.676***
	(0)
310.ID	-1.980***
	(0)
311.ID	-3.253***
	(0)
312.ID	-0
	(0)
313.ID	-1.765***
	(0)
314.ID	-1.784***
	(0)
315.ID	-1.980***
	(0)
317.ID	-0
	(0)
318.ID	-0
	(0)
319.ID	-0
	(0)
320.ID	-1.765***
	(0)
321.ID	-1.588***
	(0)
322.ID	0.397***
	(0)
325.ID	-1.980***
	(0)
326.ID	-0
	(0)
327.ID	-0
	(0)
328.ID	-0
	(0)
329.ID	-1.980***
	(0)
330.ID	0.286***
	(0)
331.ID	-0.990***
	(0)
332.ID	-0
	(0)
333.ID	-0
	(0)
335.ID	-1.980***
	(0)
336.ID	-0.0686***
	(0)
337.ID	-1.980***
	(0)
338.ID	-0
	(0)
339.ID	-0
	(0)
342.ID	-1.980***
	(0)
343.ID	-0
	(0)
344.ID	-1.588***
	(0)
345.ID	0.509***
	(0)
346.ID	-3.253***
	(0)
347.ID	-1.588***
	(0)
348.ID	-1.980***
	(0)
349.ID	-3.253***
	(0)
350.ID	-1.980***
	(0)
353.ID	-0.403***
	(0)
356.ID	-1.765***
	(0)
359.ID	-0.990***
	(0)
361.ID	-1.980***
	(0)
364.ID	0.286***
	(0)
369.ID	-0
	(0)
370.ID	-0
	(0)
372.ID	-0
	(0)
373.ID	-1.980***
	(0)
374.ID	-0
	(0)
375.ID	-1.980***
	(0)
378.ID	-1.980***
	(0)
379.ID	-1.872***
	(0)
382.ID	-3.253***
	(0)
385.ID	-0
	(0)
387.ID	-1.980***
	(0)
388.ID	-1.588***
	(0)
389.ID	-0
	(0)
390.ID	-0
	(0)
391.ID	-1.980***
	(0)
394.ID	-0
	(0)
395.ID	-0
	(0)
396.ID	-0
	(0)
398.ID	-2.634***
	(0)
400.ID	-0
	(0)
402.ID	-1.980***
	(0)
403.ID	-1.980***
	(0)
404.ID	-1.588***
	(0)
405.ID	-1.980***
	(0)
406.ID	-0.201***
	(0)
407.ID	-0
	(0)
409.ID	-2.634***
	(0)
412.ID	-0
	(0)
413.ID	-1.588***
	(0)
414.ID	-1.980***
	(0)
415.ID	-1.980***
	(0)
416.ID	-1.765***
	(0)
417.ID	-2.634***
	(0)
419.ID	-1.980***
	(0)
421.ID	-1.980***
	(0)
424.ID	-0
	(0)
425.ID	-0
	(0)
428.ID	-1.980***
	(0)
429.ID	-0.990***
	(0)
432.ID	-0
	(0)
433.ID	-0.990***
	(0)
434.ID	-1.980***
	(0)
435.ID	0.509***
	(0)
436.ID	-1.765***
	(0)
437.ID	-1.317***
	(0)
439.ID	-0
	(0)
440.ID	-1.765***
	(0)
441.ID	-0
	(0)
442.ID	-0
	(0)
445.ID	-1.980***
	(0)
446.ID	-0
	(0)
447.ID	-1.088***
	(0)
448.ID	-0
	(0)
450.ID	-1.980***
	(0)
451.ID	-0
	(0)
453.ID	0.509***
	(0)
456.ID	-2.634***
	(0)
457.ID	0.509***
	(0)
458.ID	0.509***
	(0)
459.ID	-1.765***
	(0)
460.ID	-1.980***
	(0)
461.ID	0.509***
	(0)
462.ID	-0
	(0)
464.ID	-0
	(0)
467.ID	-0
	(0)
468.ID	-0
	(0)
469.ID	-1.980***
	(0)
470.ID	-0
	(0)
471.ID	0.509***
	(0)
472.ID	0.509***
	(0)
473.ID	-0
	(0)
474.ID	-0
	(0)
475.ID	-1.980***
	(0)
476.ID	-0
	(0)
478.ID	0.509***
	(0)
479.ID	-0
	(0)
480.ID	-1.088***
	(0)
481.ID	-0
	(0)
482.ID	0.509***
	(0)
486.ID	-1.980***
	(0)
488.ID	0.509***
	(0)
489.ID	-2.254***
	(0)
490.ID	-0.990***
	(0)
493.ID	-1.980***
	(0)
495.ID	-0
	(0)
497.ID	-1.980***
	(0)
498.ID	0.509***
	(0)
499.ID	-1.437***
	(0)
501.ID	-1.765***
	(0)
502.ID	-3.253***
	(0)
503.ID	-0
	(0)
504.ID	-0
	(0)
506.ID	-1.980***
	(0)
507.ID	-0
	(0)
508.ID	-1.980***
	(0)
509.ID	-1.980***
	(0)
512.ID	-1.980***
	(0)
514.ID	0.509***
	(0)
521.ID	-0
	(0)
523.ID	-0
	(0)
525.ID	-1.765***
	(0)
526.ID	-0
	(0)
528.ID	0.286***
	(0)
529.ID	-0
	(0)
530.ID	-1.765***
	(0)
532.ID	-0
	(0)
536.ID	-0
	(0)
542.ID	0.397***
	(0)
543.ID	-0
	(0)
544.ID	-1.980***
	(0)
545.ID	-2.634***
	(0)
546.ID	-1.980***
	(0)
548.ID	-1.980***
	(0)
549.ID	-0
	(0)
550.ID	-0
	(0)
551.ID	-0
	(0)
553.ID	-0
	(0)
554.ID	-1.980***
	(0)
555.ID	-0
	(0)
556.ID	-1.980***
	(0)
559.ID	-0
	(0)
560.ID	0.509***
	(0)
561.ID	-0
	(0)
563.ID	-0.227***
	(0)
564.ID	-0
	(0)
567.ID	-1.980***
	(0)
569.ID	-0
	(0)
570.ID	-2.896***
	(0)
571.ID	-0
	(0)
573.ID	-1.980***
	(0)
575.ID	-0
	(0)
577.ID	-0
	(0)
578.ID	-0.882***
	(0)
581.ID	-0
	(0)
582.ID	-1.980***
	(0)
583.ID	-1.980***
	(0)
584.ID	-0
	(0)
586.ID	-1.980***
	(0)
587.ID	-1.765***
	(0)
589.ID	-0
	(0)
591.ID	-0.908***
	(0)
592.ID	-1.765***
	(0)
593.ID	-1.980***
	(0)
594.ID	-2.591***
	(0.0121)
596.ID	-1.980***
	(0)
597.ID	-0
	(0)
598.ID	-0.403***
	(0)
600.ID	-1.980***
	(0)
601.ID	0.509***
	(0)
605.ID	-1.980***
	(0)
607.ID	-0
	(0)
610.ID	-1.980***
	(0)
611.ID	-1.588***
	(0)
618.ID	-0
	(0)
619.ID	-1.980***
	(0)
622.ID	-1.980***
	(0)
624.ID	-0
	(0)
625.ID	-0
	(0)
628.ID	-0
	(0)
629.ID	0.143***
	(0)
630.ID	-0.756***
	(0)
631.ID	-0
	(0)
632.ID	-1.765***
	(0)
633.ID	0.509***
	(0)
634.ID	-1.980***
	(0)
635.ID	-0
	(0)
637.ID	0.509***
	(0)
639.ID	-2.254***
	(0)
640.ID	-0
	(0)
642.ID	-1.626***
	(0)
645.ID	-1.980***
	(0)
650.ID	-1.980***
	(0)
653.ID	-1.980***
	(0)
656.ID	-0.756***
	(0)
657.ID	-0
	(0)
658.ID	-1.980***
	(0)
660.ID	-1.980***
	(0)
661.ID	0.509***
	(0)
662.ID	-1.980***
	(0)
664.ID	-1.980***
	(0)
665.ID	-1.980***
	(0)
667.ID	-0
	(0)
668.ID	-1.765***
	(0)
669.ID	-1.980***
	(0)
670.ID	-0
	(0)
671.ID	-0.794***
	(0)
673.ID	-1.765***
	(0)
675.ID	-1.588***
	(0)
677.ID	-1.980***
	(0)
678.ID	-1.088***
	(0)
679.ID	0.509***
	(0)
681.ID	-1.980***
	(0)
684.ID	-1.784***
	(0)
687.ID	-1.980***
	(0)
689.ID	-0
	(0)
690.ID	-1.980***
	(0)
693.ID	-0
	(0)
697.ID	-1.765***
	(0)
699.ID	-1.980***
	(0)
700.ID	-1.980***
	(0)
701.ID	-0
	(0)
703.ID	-1.980***
	(0)
704.ID	-1.765***
	(0)
706.ID	-1.980***
	(0)
707.ID	-1.980***
	(0)
710.ID	-2.307***
	(0)
711.ID	0.254***
	(0)
714.ID	-0
	(0)
720.ID	-0
	(0)
722.ID	-0.756***
	(0)
728.ID	-1.980***
	(0)
729.ID	-1.980***
	(0)
731.ID	-0
	(0)
732.ID	0.509***
	(0)
733.ID	-1.980***
	(0)
735.ID	-1.307***
	(0)
736.ID	-1.980***
	(0)
739.ID	-1.588***
	(0)
740.ID	-1.980***
	(0)
742.ID	-1.980***
	(0)
743.ID	0.509***
	(0)
745.ID	0.254***
	(0)
746.ID	-3.253***
	(0)
748.ID	-0
	(0)
749.ID	-0.794***
	(0)
750.ID	0.509***
	(0)
752.ID	-1.980***
	(0)
755.ID	-0
	(0)
756.ID	-0
	(0)
758.ID	-0
	(0)
761.ID	-0
	(0)
763.ID	-1.980***
	(0)
764.ID	-1.765***
	(0)
767.ID	-0
	(0)
768.ID	-0
	(0)
770.ID	-1.588***
	(0)
771.ID	-0
	(0)
772.ID	-1.980***
	(0)
774.ID	-1.980***
	(0)
776.ID	-0
	(0)
781.ID	0.509***
	(0)
782.ID	0.509***
	(0)
785.ID	-0
	(0)
788.ID	-1.980***
	(0)
790.ID	-1.588***
	(0)
791.ID	-0
	(0)
793.ID	-0
	(0)
794.ID	-3.253***
	(0)
795.ID	-1.980***
	(0)
796.ID	-1.980***
	(0)
799.ID	-0
	(0)
800.ID	-0
	(0)
801.ID	-0
	(0)
807.ID	-1.765***
	(0)
808.ID	-0.794***
	(0)
810.ID	-0.403***
	(0)
811.ID	-1.980***
	(0)
812.ID	-0
	(0)
814.ID	-1.980***
	(0)
816.ID	-0
	(0)
822.ID	-1.588***
	(0)
823.ID	-0
	(0)
829.ID	-0
	(0)
830.ID	-1.980***
	(0)
831.ID	-0.990***
	(0)
835.ID	-1.765***
	(0)
836.ID	-0.882***
	(0)
837.ID	0.509***
	(0)
838.ID	0.254***
	(0)
839.ID	-1.980***
	(0)
840.ID	-0
	(0)
841.ID	-1.138***
	(0)
842.ID	-0
	(0)
843.ID	-1.980***
	(0)
845.ID	-1.980***
	(0)
847.ID	-1.765***
	(0)
848.ID	-1.765***
	(0)
850.ID	-1.980***
	(0)
854.ID	-1.980***
	(0)
862.ID	-1.980***
	(0)
863.ID	-1.980***
	(0)
865.ID	-0
	(0)
867.ID	-1.980***
	(0)
868.ID	-1.626***
	(0)
869.ID	-0
	(0)
870.ID	-2.117***
	(0)
871.ID	0.509***
	(0)
872.ID	-0
	(0)
874.ID	-1.980***
	(0)
875.ID	-0
	(0)
877.ID	-1.088***
	(0)
878.ID	-1.980***
	(0)
880.ID	-0
	(0)
884.ID	-0
	(0)
885.ID	-0.403***
	(0)
890.ID	-0.990***
	(0)
903.ID	-1.980***
	(0)
904.ID	-1.980***
	(0)
910.ID	-0
	(0)
911.ID	-0
	(0)
912.ID	-1.980***
	(0)
914.ID	-0.794***
	(0)
917.ID	-1.765***
	(0)
918.ID	-0
	(0)
923.ID	-0
	(0)
924.ID	-0
	(0)
