	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00863
	(0.00844)
2.treated	0.0210**
	(0.00868)
1.ID	-1.588***
	(0.00864)
2.ID	0
	(0.00864)
3.ID	-1.980***
	(0.00864)
4.ID	0
	(0.00864)
5.ID	-1.765***
	(0.00864)
6.ID	-1.980***
	(0.00864)
7.ID	0
	(0.00864)
8.ID	-1.765***
	(0.00864)
9.ID	-1.980***
	(0.00864)
10.ID	0.509***
	(0.00864)
12.ID	0.509***
	(0.00864)
14.ID	0
	(0.00864)
15.ID	-1.980***
	(0.00864)
16.ID	0
	(0.00864)
17.ID	-1.980***
	(0.00864)
18.ID	-1.980***
	(0.00864)
19.ID	-1.765***
	(0.00864)
20.ID	0
	(0.00864)
21.ID	-1.765***
	(0.00864)
22.ID	-1.588***
	(0.00864)
23.ID	0
	(0.00864)
24.ID	0
	(0.00864)
25.ID	-1.765***
	(0.00864)
26.ID	-2.634***
	(0.00864)
27.ID	-1.980***
	(0.00864)
28.ID	-1.980***
	(0.00864)
29.ID	-1.980***
	(0.00864)
30.ID	-1.980***
	(0.00864)
31.ID	-0.908***
	(0.00864)
32.ID	0
	(0.00864)
33.ID	0
	(0.00864)
34.ID	0
	(0.00864)
35.ID	-1.980***
	(0.00864)
36.ID	-1.980***
	(0.00864)
37.ID	-1.980***
	(0.00864)
38.ID	-1.980***
	(0.00864)
39.ID	0
	(0.00864)
40.ID	0
	(0.00864)
41.ID	-1.588***
	(0.00864)
42.ID	0.509***
	(0.00864)
43.ID	-1.980***
	(0.00864)
46.ID	-1.765***
	(0.00864)
47.ID	-2.254***
	(0.00864)
48.ID	0
	(0.00864)
49.ID	0
	(0.00864)
51.ID	-1.980***
	(0.00864)
52.ID	-1.765***
	(0.00864)
53.ID	0
	(0.00864)
54.ID	-1.980***
	(0.00864)
55.ID	-1.980***
	(0.00864)
56.ID	0
	(0.00864)
57.ID	-1.980***
	(0.00864)
58.ID	0
	(0.00864)
59.ID	-1.307***
	(0.00864)
60.ID	-1.980***
	(0.00864)
61.ID	-1.980***
	(0.00864)
62.ID	-1.765***
	(0.00864)
63.ID	-1.980***
	(0.00864)
64.ID	0
	(0.00864)
65.ID	-1.320**
	(0.665)
66.ID	-1.765***
	(0.00864)
67.ID	0
	(0.00864)
68.ID	-0.403***
	(0.00864)
69.ID	-1.980***
	(0.00864)
70.ID	0.286***
	(0.00864)
71.ID	0.509***
	(0.00864)
72.ID	0.509***
	(0.00864)
73.ID	-1.980***
	(0.00864)
74.ID	-0.363
	(0.368)
76.ID	-1.980***
	(0.00864)
77.ID	-1.765***
	(0.00864)
78.ID	-1.980***
	(0.00864)
79.ID	-1.980***
	(0.00864)
80.ID	0
	(0.00864)
81.ID	-1.980***
	(0.00864)
82.ID	-1.718***
	(0.126)
83.ID	-1.765***
	(0.00864)
84.ID	0
	(0.00864)
85.ID	0
	(0.00864)
86.ID	0
	(0.00864)
87.ID	0
	(0.00864)
88.ID	0.509***
	(0.00864)
89.ID	-1.980***
	(0.00864)
90.ID	-1.980***
	(0.00864)
91.ID	-0.416**
	(0.203)
92.ID	-2.634***
	(0.00864)
93.ID	-1.588***
	(0.00864)
94.ID	-1.980***
	(0.00864)
95.ID	0.509***
	(0.00864)
96.ID	-1.980***
	(0.00864)
97.ID	-2.896***
	(0.00864)
98.ID	-1.088***
	(0.00864)
99.ID	-1.765***
	(0.00864)
100.ID	-1.765***
	(0.00864)
101.ID	-1.980***
	(0.00864)
102.ID	-2.634***
	(0.00864)
103.ID	-1.980***
	(0.00864)
104.ID	-1.980***
	(0.00864)
105.ID	-1.980***
	(0.00864)
106.ID	0.509***
	(0.00864)
107.ID	0.509***
	(0.00864)
108.ID	0.509***
	(0.00864)
109.ID	-1.765***
	(0.00864)
110.ID	-2.634***
	(0.00864)
111.ID	-2.634***
	(0.00864)
112.ID	0
	(0.00864)
113.ID	-1.980***
	(0.00864)
114.ID	0
	(0.00864)
115.ID	0
	(0.00864)
116.ID	-1.588***
	(0.00864)
117.ID	0
	(0.00864)
118.ID	0
	(0.00864)
120.ID	-0.756***
	(0.00864)
121.ID	0
	(0.00864)
122.ID	0.509***
	(0.00864)
123.ID	-0.249
	(0.753)
125.ID	0
	(0.00864)
126.ID	0
	(0.00864)
127.ID	-2.634***
	(0.00864)
128.ID	-1.765***
	(0.00864)
129.ID	0
	(0.00864)
130.ID	-1.980***
	(0.00864)
131.ID	-1.765***
	(0.00864)
132.ID	-2.634***
	(0.00864)
133.ID	0
	(0.00864)
134.ID	-1.088***
	(0.00864)
135.ID	-0.660
	(0.660)
136.ID	0
	(0.00864)
137.ID	0
	(0.00864)
138.ID	0.509***
	(0.00864)
139.ID	-1.980***
	(0.00864)
140.ID	-1.588***
	(0.00864)
142.ID	-1.980***
	(0.00864)
145.ID	-1.765***
	(0.00864)
146.ID	0
	(0.00864)
147.ID	0.509***
	(0.00864)
148.ID	0
	(0.00864)
149.ID	-2.634***
	(0.00864)
150.ID	-1.980***
	(0.00864)
151.ID	-1.836***
	(0.0717)
152.ID	0
	(0.00864)
153.ID	0
	(0.00864)
154.ID	0
	(0.00864)
155.ID	-1.980***
	(0.00864)
156.ID	-1.980***
	(0.00864)
157.ID	0
	(0.00864)
158.ID	-0.588
	(0.584)
159.ID	-1.765***
	(0.00864)
160.ID	0
	(0.00864)
161.ID	0.286***
	(0.00864)
163.ID	-1.088***
	(0.00864)
164.ID	-1.980***
	(0.00864)
165.ID	-1.980***
	(0.00864)
166.ID	0
	(0.00864)
167.ID	-1.980***
	(0.00864)
168.ID	0
	(0.00864)
169.ID	0
	(0.00864)
170.ID	-1.765***
	(0.00864)
171.ID	-1.765***
	(0.00864)
172.ID	-1.980***
	(0.00864)
173.ID	0
	(0.00864)
174.ID	0
	(0.00864)
175.ID	-1.765***
	(0.00864)
176.ID	-1.980***
	(0.00864)
177.ID	0
	(0.00864)
178.ID	-2.634***
	(0.00864)
179.ID	0
	(0.00864)
180.ID	-0.829***
	(0.00864)
181.ID	-2.634***
	(0.00864)
182.ID	-1.980***
	(0.00864)
183.ID	-1.765***
	(0.00864)
184.ID	-1.980***
	(0.00864)
185.ID	0.509***
	(0.00864)
188.ID	0
	(0.00864)
189.ID	-1.765***
	(0.00864)
190.ID	-1.980***
	(0.00864)
191.ID	-1.765***
	(0.00864)
192.ID	-1.980***
	(0.00864)
194.ID	0
	(0.00864)
196.ID	-1.980***
	(0.00864)
197.ID	0
	(0.00864)
198.ID	-1.980***
	(0.00864)
199.ID	-1.980***
	(0.00864)
200.ID	0
	(0.00864)
201.ID	-1.980***
	(0.00864)
202.ID	0
	(0.00864)
203.ID	0.509***
	(0.00864)
204.ID	0.509***
	(0.00864)
205.ID	0
	(0.00864)
206.ID	-1.980***
	(0.00864)
207.ID	-1.980***
	(0.00864)
208.ID	-1.980***
	(0.00864)
209.ID	0
	(0.00864)
210.ID	-1.980***
	(0.00864)
212.ID	-1.980***
	(0.00864)
213.ID	0.509***
	(0.00864)
214.ID	0
	(0.00864)
217.ID	0
	(0.00864)
218.ID	-1.980***
	(0.00864)
219.ID	-1.176**
	(0.583)
220.ID	0
	(0.00864)
221.ID	0
	(0.00864)
222.ID	-1.007
	(0.759)
223.ID	-1.765***
	(0.00864)
224.ID	0
	(0.00864)
225.ID	0
	(0.00864)
226.ID	-2.254***
	(0.00864)
227.ID	0
	(0.00864)
229.ID	0
	(0.00864)
230.ID	0
	(0.00864)
231.ID	-0.588
	(0.584)
232.ID	-1.980***
	(0.00864)
233.ID	-1.765***
	(0.00864)
234.ID	0
	(0.00864)
235.ID	-1.088***
	(0.00864)
236.ID	0.509***
	(0.00864)
237.ID	0
	(0.00864)
238.ID	0
	(0.00864)
239.ID	0.339**
	(0.165)
240.ID	0
	(0.00864)
241.ID	0
	(0.00864)
242.ID	-1.980***
	(0.00864)
243.ID	-0.403***
	(0.00864)
244.ID	0.286***
	(0.00864)
245.ID	-1.980***
	(0.00864)
246.ID	0
	(0.00864)
247.ID	0
	(0.00864)
248.ID	-1.588***
	(0.00864)
249.ID	-1.980***
	(0.00864)
250.ID	0.509***
	(0.00864)
251.ID	-1.980***
	(0.00864)
252.ID	-1.765***
	(0.00864)
253.ID	-1.980***
	(0.00864)
254.ID	-1.980***
	(0.00864)
255.ID	0.509***
	(0.00864)
256.ID	0
	(0.00864)
257.ID	0
	(0.00864)
258.ID	-1.980***
	(0.00864)
259.ID	0
	(0.00864)
260.ID	0
	(0.00864)
261.ID	-2.634***
	(0.00864)
263.ID	-1.980***
	(0.00864)
264.ID	0.509***
	(0.00864)
266.ID	0
	(0.00864)
267.ID	-1.765***
	(0.00864)
268.ID	0
	(0.00864)
269.ID	-0.660
	(0.656)
270.ID	0
	(0.00864)
271.ID	-1.765***
	(0.00864)
272.ID	0.509***
	(0.00864)
274.ID	-1.980***
	(0.00864)
275.ID	-1.765***
	(0.00864)
276.ID	-0.403***
	(0.00864)
277.ID	0
	(0.00864)
278.ID	-2.426***
	(0.00864)
279.ID	-1.765***
	(0.00864)
280.ID	0
	(0.00864)
281.ID	0
	(0.00864)
282.ID	-2.254***
	(0.00864)
283.ID	-1.980***
	(0.00864)
284.ID	-1.980***
	(0.00864)
285.ID	-1.980***
	(0.00864)
286.ID	-1.980***
	(0.00864)
288.ID	0
	(0.00864)
289.ID	0
	(0.00864)
290.ID	0
	(0.00864)
291.ID	-1.980***
	(0.00864)
292.ID	0.0954
	(0.0902)
293.ID	-1.980***
	(0.00864)
294.ID	-1.588***
	(0.00864)
295.ID	0
	(0.00864)
296.ID	-1.307***
	(0.00864)
297.ID	0
	(0.00864)
298.ID	0
	(0.00864)
299.ID	0.509***
	(0.00864)
300.ID	-0.660
	(0.660)
301.ID	-1.980***
	(0.00864)
302.ID	-0.249
	(0.764)
303.ID	-1.307***
	(0.00864)
304.ID	0.509***
	(0.00864)
305.ID	0
	(0.00864)
306.ID	-1.588***
	(0.00864)
307.ID	-1.437***
	(0.00864)
308.ID	-1.088***
	(0.00864)
309.ID	-1.765***
	(0.00864)
310.ID	-1.980***
	(0.00864)
311.ID	-3.253***
	(0.00864)
312.ID	0
	(0.00864)
313.ID	-1.765***
	(0.00864)
314.ID	-1.718***
	(0.126)
315.ID	-1.980***
	(0.00864)
316.ID	-1.588***
	(0.0112)
317.ID	0
	(0.00864)
318.ID	0
	(0.00864)
320.ID	-1.765***
	(0.00864)
321.ID	-1.588***
	(0.00864)
322.ID	0.286***
	(0.00864)
323.ID	-1.765***
	(0.00864)
324.ID	0
	(0.00864)
325.ID	-1.980***
	(0.00864)
326.ID	0
	(0.00864)
329.ID	-1.980***
	(0.00864)
330.ID	0.286***
	(0.00864)
331.ID	-1.980***
	(0.00864)
332.ID	0
	(0.00864)
333.ID	-0.507***
	(0.00864)
334.ID	-1.980***
	(0.00864)
335.ID	-1.980***
	(0.00864)
336.ID	-0.0686***
	(0.00864)
337.ID	-1.980***
	(0.00864)
338.ID	0
	(0.00864)
339.ID	0
	(0.00864)
340.ID	0.509***
	(0.00864)
341.ID	-1.765***
	(0.00864)
342.ID	-1.980***
	(0.00864)
343.ID	0
	(0.00864)
344.ID	-1.588***
	(0.00864)
346.ID	-3.253***
	(0.00864)
347.ID	-1.588***
	(0.00864)
348.ID	-1.980***
	(0.00864)
349.ID	-3.253***
	(0.00864)
350.ID	-1.980***
	(0.00864)
352.ID	0
	(0.00864)
353.ID	-0.268**
	(0.129)
354.ID	-1.980***
	(0.00864)
355.ID	-1.588***
	(0.00864)
356.ID	-1.765***
	(0.00864)
358.ID	-1.980***
	(0.00864)
359.ID	0
	(0.00864)
361.ID	-1.980***
	(0.00864)
364.ID	0.286***
	(0.00864)
365.ID	-1.980***
	(0.00864)
366.ID	0.509***
	(0.00864)
369.ID	0
	(0.00864)
370.ID	0
	(0.00864)
372.ID	0
	(0.00864)
373.ID	-1.980***
	(0.00864)
374.ID	0
	(0.00864)
375.ID	-1.980***
	(0.00864)
377.ID	-1.980***
	(0.00864)
378.ID	-1.980***
	(0.00864)
379.ID	-1.765***
	(0.00864)
381.ID	-2.198***
	(0.224)
382.ID	-3.253***
	(0.00864)
383.ID	-1.980***
	(0.00864)
385.ID	0
	(0.00864)
386.ID	-2.634***
	(0.00864)
387.ID	-1.980***
	(0.00864)
388.ID	-1.765***
	(0.00864)
389.ID	0
	(0.00864)
390.ID	0.509***
	(0.00864)
391.ID	-1.980***
	(0.00864)
393.ID	0
	(0.00864)
394.ID	0
	(0.00864)
395.ID	0
	(0.00864)
396.ID	0
	(0.00864)
398.ID	-2.634***
	(0.00864)
399.ID	-1.765***
	(0.00864)
400.ID	0
	(0.00864)
401.ID	-1.088***
	(0.00864)
402.ID	-1.980***
	(0.00864)
403.ID	-1.980***
	(0.00864)
404.ID	-1.588***
	(0.00864)
405.ID	-1.980***
	(0.00864)
406.ID	-0.403***
	(0.00864)
407.ID	0
	(0.00864)
408.ID	0.509***
	(0.00864)
409.ID	-2.634***
	(0.00864)
410.ID	-1.980***
	(0.00864)
411.ID	-1.503**
	(0.746)
412.ID	0
	(0.00864)
413.ID	-1.588***
	(0.00864)
414.ID	-1.980***
	(0.00864)
415.ID	-1.980***
	(0.00864)
416.ID	-1.765***
	(0.00864)
417.ID	-2.634***
	(0.00864)
418.ID	-1.980***
	(0.00864)
419.ID	-1.980***
	(0.00864)
420.ID	-1.765***
	(0.00864)
421.ID	-1.980***
	(0.00864)
423.ID	0
	(0.00864)
424.ID	0
	(0.00864)
425.ID	0
	(0.00864)
426.ID	-1.980***
	(0.00864)
428.ID	-1.980***
	(0.00864)
429.ID	-1.980***
	(0.00864)
430.ID	0.509***
	(0.00864)
431.ID	-1.765***
	(0.00864)
432.ID	0
	(0.00864)
433.ID	-1.980***
	(0.00864)
434.ID	-1.980***
	(0.00864)
435.ID	0.509***
	(0.00864)
436.ID	-1.765***
	(0.00864)
437.ID	-2.507***
	(0.121)
438.ID	0
	(0.00864)
439.ID	0
	(0.00864)
440.ID	-1.765***
	(0.00864)
441.ID	0
	(0.00864)
442.ID	0
	(0.00864)
445.ID	-1.980***
	(0.00864)
446.ID	0
	(0.00864)
447.ID	-1.088***
	(0.00864)
448.ID	0
	(0.00864)
449.ID	0
	(0.00864)
450.ID	-1.980***
	(0.00864)
451.ID	0
	(0.00864)
452.ID	-1.765***
	(0.00864)
454.ID	-1.765***
	(0.00864)
455.ID	0
	(0.00864)
456.ID	-2.628***
	(0.00756)
457.ID	0.509***
	(0.00864)
458.ID	0.509***
	(0.00864)
459.ID	-1.765***
	(0.00864)
460.ID	-1.980***
	(0.00864)
462.ID	0
	(0.00864)
464.ID	0
	(0.00864)
465.ID	-1.088***
	(0.00864)
466.ID	0
	(0.00864)
467.ID	0
	(0.00864)
468.ID	0.509***
	(0.00864)
469.ID	-1.980***
	(0.00864)
470.ID	0
	(0.00864)
471.ID	0.509***
	(0.00864)
472.ID	0.509***
	(0.00864)
473.ID	0
	(0.00864)
474.ID	0
	(0.00864)
475.ID	-1.980***
	(0.00864)
478.ID	0.509***
	(0.00864)
479.ID	0
	(0.00864)
481.ID	0
	(0.00864)
482.ID	0.509***
	(0.00864)
483.ID	-2.634***
	(0.00864)
484.ID	0.286***
	(0.00864)
485.ID	0.509***
	(0.00864)
486.ID	-1.980***
	(0.00864)
488.ID	0.509***
	(0.00864)
489.ID	-2.254***
	(0.00864)
490.ID	-1.980***
	(0.00864)
493.ID	-1.980***
	(0.00864)
494.ID	0
	(0.00864)
495.ID	0
	(0.00864)
497.ID	-1.765***
	(0.00864)
499.ID	-1.437***
	(0.00864)
