	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	-0.166
	(0.798)
2.ID	156***
	(0)
3.ID	12***
	(0)
4.ID	108***
	(0)
5.ID	12***
	(0)
6.ID	17***
	(0)
7.ID	153***
	(0)
8.ID	9***
	(0)
9.ID	10***
	(0)
10.ID	300***
	(0)
12.ID	300***
	(0)
14.ID	12***
	(0)
16.ID	180***
	(0)
18.ID	42***
	(0)
19.ID	24***
	(0)
20.ID	96***
	(0)
21.ID	14***
	(0)
22.ID	0
	(0)
23.ID	180***
	(0)
24.ID	108***
	(0)
25.ID	126***
	(0)
26.ID	12***
	(0)
27.ID	2***
	(0)
28.ID	15***
	(0)
29.ID	18***
	(0)
30.ID	9***
	(0)
31.ID	48***
	(0)
32.ID	0
	(0)
33.ID	162***
	(0)
34.ID	144***
	(0)
35.ID	6***
	(0)
36.ID	36***
	(0)
37.ID	16***
	(0)
38.ID	6***
	(0)
39.ID	115***
	(0)
40.ID	56***
	(0)
41.ID	36***
	(0)
43.ID	9***
	(0)
46.ID	24***
	(0)
47.ID	12***
	(0)
48.ID	154***
	(0)
49.ID	180***
	(0)
50.ID	180***
	(0)
51.ID	12***
	(0)
52.ID	132***
	(0)
53.ID	186***
	(0)
54.ID	12***
	(0)
55.ID	10***
	(0)
56.ID	162***
	(0)
57.ID	12***
	(0)
58.ID	48***
	(0)
59.ID	0
	(0)
60.ID	6***
	(0)
61.ID	10***
	(0)
62.ID	12***
	(0)
63.ID	24***
	(0)
64.ID	108***
	(0)
65.ID	6***
	(0)
66.ID	38***
	(0)
67.ID	114***
	(0)
68.ID	24***
	(0)
69.ID	12***
	(0)
70.ID	201***
	(0)
71.ID	204***
	(0)
72.ID	270***
	(0)
73.ID	6***
	(0)
74.ID	162***
	(0)
76.ID	16***
	(0)
77.ID	30***
	(0)
78.ID	24***
	(0)
79.ID	10***
	(0)
80.ID	156***
	(0)
81.ID	12***
	(0)
82.ID	0
	(0)
83.ID	12***
	(0)
84.ID	210***
	(0)
85.ID	159***
	(0)
86.ID	102***
	(0)
87.ID	144***
	(0)
88.ID	273***
	(0)
89.ID	12***
	(0)
90.ID	4***
	(0)
91.ID	36***
	(0)
93.ID	0
	(0)
94.ID	29***
	(0)
95.ID	276***
	(0)
96.ID	24***
	(0)
97.ID	2***
	(0)
98.ID	18***
	(0)
99.ID	2***
	(0)
100.ID	6***
	(0)
101.ID	0
	(0)
102.ID	0
	(0)
103.ID	16***
	(0)
104.ID	48***
	(0)
105.ID	24***
	(0)
106.ID	198***
	(0)
107.ID	258***
	(0)
108.ID	242***
	(0)
109.ID	15***
	(0)
110.ID	6***
	(0)
111.ID	12***
	(0)
112.ID	180***
	(0)
113.ID	12***
	(0)
114.ID	165***
	(0)
115.ID	42***
	(0)
116.ID	9***
	(0)
117.ID	167***
	(0)
118.ID	12***
	(0)
119.ID	252***
	(0)
120.ID	84***
	(0)
121.ID	180***
	(0)
122.ID	156***
	(0)
123.ID	249***
	(0)
125.ID	101***
	(0)
126.ID	0
	(0)
127.ID	2***
	(0)
128.ID	6***
	(0)
129.ID	180***
	(0)
130.ID	6***
	(0)
131.ID	14***
	(0)
132.ID	4***
	(0)
133.ID	138***
	(0)
134.ID	54***
	(0)
135.ID	180***
	(0)
136.ID	162***
	(0)
137.ID	173***
	(0)
138.ID	274***
	(0)
139.ID	24***
	(0)
140.ID	12***
	(0)
142.ID	42***
	(0)
144.ID	6***
	(0)
145.ID	10***
	(0)
146.ID	144***
	(0)
147.ID	274***
	(0)
148.ID	150***
	(0)
149.ID	3***
	(0)
150.ID	12***
	(0)
151.ID	18***
	(0)
152.ID	126***
	(0)
153.ID	48***
	(0)
154.ID	36***
	(0)
155.ID	6***
	(0)
156.ID	30***
	(0)
157.ID	26***
	(0)
158.ID	132***
	(0)
159.ID	16***
	(0)
160.ID	144***
	(0)
161.ID	222***
	(0)
163.ID	63***
	(0)
164.ID	12***
	(0)
165.ID	14***
	(0)
166.ID	171***
	(0)
167.ID	12***
	(0)
168.ID	166***
	(0)
169.ID	156***
	(0)
170.ID	102***
	(0)
171.ID	5***
	(0)
172.ID	6***
	(0)
173.ID	90***
	(0)
174.ID	114***
	(0)
175.ID	11***
	(0)
176.ID	24***
	(0)
177.ID	180***
	(0)
178.ID	12***
	(0)
179.ID	126***
	(0)
180.ID	0
	(0)
181.ID	9***
	(0)
182.ID	12***
	(0)
183.ID	5***
	(0)
184.ID	0
	(0)
185.ID	162***
	(0)
186.ID	120***
	(0)
187.ID	178***
	(0)
188.ID	144***
	(0)
189.ID	18***
	(0)
190.ID	14***
	(0)
191.ID	4***
	(0)
192.ID	10***
	(0)
194.ID	45***
	(0)
196.ID	18***
	(0)
197.ID	180***
	(0)
198.ID	24***
	(0)
199.ID	24***
	(0)
200.ID	48***
	(0)
201.ID	6***
	(0)
202.ID	36***
	(0)
203.ID	198***
	(0)
204.ID	210***
	(0)
206.ID	0
	(0)
207.ID	12***
	(0)
208.ID	0
	(0)
209.ID	60***
	(0)
210.ID	12***
	(0)
212.ID	24***
	(0)
213.ID	300***
	(0)
214.ID	6***
	(0)
217.ID	144***
	(0)
218.ID	18***
	(0)
219.ID	18***
	(0)
220.ID	120***
	(0)
221.ID	120***
	(0)
222.ID	260***
	(0)
223.ID	12***
	(0)
224.ID	180***
	(0)
225.ID	60***
	(0)
226.ID	4***
	(0)
227.ID	147***
	(0)
228.ID	240***
	(0)
229.ID	48***
	(0)
230.ID	48***
	(0)
231.ID	122***
	(0)
232.ID	30***
	(0)
233.ID	2***
	(0)
234.ID	114***
	(0)
235.ID	6***
	(0)
236.ID	288***
	(0)
237.ID	0
	(0)
238.ID	132***
	(0)
239.ID	42***
	(0)
241.ID	180***
	(0)
242.ID	24***
	(0)
243.ID	120***
	(0)
244.ID	240***
	(0)
245.ID	16***
	(0)
246.ID	0
	(0)
247.ID	144***
	(0)
248.ID	12***
	(0)
249.ID	6***
	(0)
251.ID	16***
	(0)
252.ID	8***
	(0)
253.ID	12***
	(0)
254.ID	15***
	(0)
255.ID	228***
	(0)
256.ID	96***
	(0)
257.ID	180***
	(0)
258.ID	24***
	(0)
259.ID	180***
	(0)
260.ID	126***
	(0)
261.ID	4***
	(0)
263.ID	24***
	(0)
264.ID	210***
	(0)
266.ID	144***
	(0)
267.ID	24***
	(0)
268.ID	180***
	(0)
269.ID	171***
	(0)
270.ID	144***
	(0)
271.ID	173***
	(0)
272.ID	204***
	(0)
274.ID	72***
	(0)
275.ID	24***
	(0)
276.ID	78***
	(0)
277.ID	180***
	(0)
278.ID	5***
	(0)
279.ID	23***
	(0)
280.ID	180***
	(0)
281.ID	180***
	(0)
282.ID	3***
	(0)
283.ID	24***
	(0)
284.ID	8***
	(0)
285.ID	13***
	(0)
286.ID	12***
	(0)
288.ID	180***
	(0)
289.ID	180***
	(0)
290.ID	180***
	(0)
291.ID	18***
	(0)
292.ID	150***
	(0)
293.ID	0
	(0)
294.ID	12***
	(0)
295.ID	60***
	(0)
296.ID	12***
	(0)
297.ID	180***
	(0)
298.ID	36***
	(0)
299.ID	264***
	(0)
300.ID	144***
	(0)
301.ID	24***
	(0)
302.ID	300***
	(0)
303.ID	12***
	(0)
304.ID	60***
	(0)
305.ID	180***
	(0)
306.ID	6***
	(0)
307.ID	2***
	(0)
308.ID	6***
	(0)
309.ID	4***
	(0)
310.ID	4***
	(0)
311.ID	6***
	(0)
312.ID	96***
	(0)
313.ID	27***
	(0)
314.ID	12***
	(0)
315.ID	12***
	(0)
317.ID	30***
	(0)
318.ID	156***
	(0)
319.ID	90***
	(0)
320.ID	9***
	(0)
321.ID	0
	(0)
323.ID	12***
	(0)
325.ID	90***
	(0)
326.ID	58***
	(0)
327.ID	60***
	(0)
328.ID	36***
	(0)
329.ID	8***
	(0)
330.ID	240***
	(0)
331.ID	18***
	(0)
332.ID	180***
	(0)
334.ID	12***
	(0)
335.ID	18***
	(0)
336.ID	0
	(0)
337.ID	24***
	(0)
338.ID	0
	(0)
339.ID	18***
	(0)
340.ID	234***
	(0)
341.ID	18***
	(0)
342.ID	12***
	(0)
343.ID	180***
	(0)
344.ID	0
	(0)
345.ID	234***
	(0)
346.ID	0
	(0)
347.ID	0
	(0)
348.ID	18***
	(0)
349.ID	6***
	(0)
350.ID	24***
	(0)
352.ID	144***
	(0)
353.ID	94***
	(0)
354.ID	16***
	(0)
355.ID	6***
	(0)
356.ID	42***
	(0)
357.ID	126***
	(0)
358.ID	17***
	(0)
359.ID	170***
	(0)
361.ID	18***
	(0)
364.ID	156***
	(0)
365.ID	24***
	(0)
366.ID	132***
	(0)
369.ID	170***
	(0)
370.ID	120***
	(0)
372.ID	120***
	(0)
373.ID	24***
	(0)
374.ID	144***
	(0)
375.ID	42***
	(0)
377.ID	78***
	(0)
378.ID	18***
	(0)
379.ID	21***
	(0)
381.ID	24***
	(0)
382.ID	6***
	(0)
383.ID	12***
	(0)
385.ID	96***
	(0)
386.ID	6***
	(0)
387.ID	16***
	(0)
388.ID	18***
	(0)
390.ID	290***
	(0)
391.ID	17***
	(0)
393.ID	132***
	(0)
394.ID	18***
	(0)
395.ID	126***
	(0)
396.ID	165***
	(0)
397.ID	6***
	(0)
398.ID	12***
	(0)
399.ID	30***
	(0)
400.ID	78***
	(0)
401.ID	12***
	(0)
402.ID	12***
	(0)
403.ID	9***
	(0)
404.ID	19***
	(0)
405.ID	6***
	(0)
406.ID	30***
	(0)
407.ID	138***
	(0)
408.ID	120***
	(0)
409.ID	4***
	(0)
410.ID	14***
	(0)
412.ID	132***
	(0)
413.ID	0
	(0)
414.ID	0
	(0)
415.ID	7***
	(0)
416.ID	20***
	(0)
417.ID	0
	(0)
418.ID	24***
	(0)
419.ID	24***
	(0)
420.ID	19***
	(0)
421.ID	12***
	(0)
423.ID	132***
	(0)
424.ID	156***
	(0)
425.ID	114***
	(0)
426.ID	132***
	(0)
428.ID	14***
	(0)
429.ID	18***
	(0)
430.ID	228***
	(0)
431.ID	16***
	(0)
432.ID	144***
	(0)
433.ID	17***
	(0)
