	(1)
VARIABLES	sentence_inaccuracy
	
2.treated	-1.264
	(1.194)
4.ID	96***
	(0)
6.ID	5***
	(0)
8.ID	-3***
	(0)
9.ID	-2***
	(0)
10.ID	248***
	(0)
12.ID	288***
	(0)
14.ID	40***
	(0)
15.ID	47***
	(0)
16.ID	168***
	(0)
18.ID	30***
	(0)
20.ID	84***
	(0)
21.ID	2***
	(0)
22.ID	-12***
	(0)
23.ID	168***
	(0)
24.ID	96***
	(0)
28.ID	-1***
	(0)
29.ID	6***
	(0)
30.ID	-3***
	(0)
31.ID	36***
	(0)
32.ID	-12***
	(0)
33.ID	150***
	(0)
35.ID	-6***
	(0)
36.ID	24***
	(0)
39.ID	103***
	(0)
40.ID	44***
	(0)
41.ID	24***
	(0)
42.ID	144***
	(0)
43.ID	-3***
	(0)
46.ID	12***
	(0)
48.ID	91.33***
	(0)
49.ID	168***
	(0)
50.ID	168***
	(0)
53.ID	214***
	(0)
54.ID	52***
	(0)
55.ID	-2***
	(0)
57.ID	0
	(0)
59.ID	-12***
	(0)
60.ID	-6***
	(0)
61.ID	-2***
	(0)
63.ID	10***
	(0)
64.ID	96***
	(0)
65.ID	-6***
	(0)
66.ID	26***
	(0)
67.ID	102***
	(0)
69.ID	0
	(0)
70.ID	179***
	(0)
71.ID	192.2***
	(0.199)
72.ID	258***
	(0)
73.ID	-6***
	(0)
74.ID	34***
	(0)
76.ID	4***
	(0)
77.ID	18***
	(0)
78.ID	12***
	(0)
79.ID	-2***
	(0)
80.ID	144***
	(0)
81.ID	0
	(0)
82.ID	-12***
	(0)
83.ID	2***
	(0)
86.ID	90***
	(0)
88.ID	241***
	(0)
89.ID	0
	(0)
90.ID	-8***
	(0)
91.ID	24***
	(0)
96.ID	12***
	(0)
98.ID	6***
	(0)
99.ID	-6***
	(0)
100.ID	-6***
	(0)
102.ID	-12***
	(0)
103.ID	4***
	(0)
104.ID	36***
	(0)
105.ID	12***
	(0)
106.ID	186***
	(0)
108.ID	230***
	(0)
109.ID	6***
	(0)
110.ID	-6***
	(0)
111.ID	4***
	(0)
112.ID	168***
	(0)
113.ID	0
	(0)
116.ID	38***
	(0)
117.ID	155***
	(0)
118.ID	0
	(0)
119.ID	240***
	(0)
120.ID	104***
	(0)
123.ID	237***
	(0)
125.ID	89***
	(0)
126.ID	-12***
	(0)
128.ID	-6***
	(0)
129.ID	168***
	(0)
130.ID	-6***
	(0)
131.ID	2***
	(0)
132.ID	-8***
	(0)
133.ID	126***
	(0)
135.ID	116***
	(0)
136.ID	98***
	(0)
137.ID	109***
	(0)
139.ID	12***
	(0)
140.ID	0
	(0)
142.ID	30***
	(0)
143.ID	167.6***
	(0.398)
144.ID	-6***
	(0)
145.ID	1***
	(0)
146.ID	132***
	(0)
147.ID	262***
	(0)
148.ID	138***
	(0)
149.ID	-9***
	(0)
150.ID	0
	(0)
153.ID	36***
	(0)
154.ID	24.21***
	(0.199)
156.ID	50***
	(0)
157.ID	14***
	(0)
158.ID	120***
	(0)
159.ID	4***
	(0)
163.ID	36***
	(0)
165.ID	2***
	(0)
166.ID	159***
	(0)
167.ID	0
	(0)
168.ID	154***
	(0)
171.ID	46.33***
	(0)
173.ID	78***
	(0)
174.ID	102***
	(0)
175.ID	-1***
	(0)
177.ID	168***
	(0)
178.ID	0
	(0)
179.ID	82***
	(0)
180.ID	-12***
	(0)
181.ID	2***
	(0)
182.ID	0
	(0)
183.ID	-4***
	(0)
184.ID	-12***
	(0)
185.ID	150***
	(0)
186.ID	108***
	(0)
187.ID	166***
	(0)
189.ID	6***
	(0)
190.ID	2***
	(0)
192.ID	-2***
	(0)
194.ID	48***
	(0)
196.ID	6***
	(0)
197.ID	168***
	(0)
198.ID	12***
	(0)
200.ID	36***
	(0)
202.ID	24***
	(0)
203.ID	146***
	(0)
204.ID	198***
	(0)
205.ID	84***
	(0)
206.ID	-12***
	(0)
207.ID	52***
	(0)
208.ID	-12***
	(0)
209.ID	48***
	(0)
210.ID	0
	(0)
212.ID	64***
	(0)
213.ID	288***
	(0)
214.ID	98***
	(0)
218.ID	58***
	(0)
219.ID	6***
	(0)
220.ID	108***
	(0)
222.ID	248***
	(0)
223.ID	82***
	(0)
224.ID	168***
	(0)
225.ID	48***
	(0)
226.ID	-8***
	(0)
227.ID	135***
	(0)
228.ID	188***
	(0)
229.ID	36***
	(0)
230.ID	36***
	(0)
232.ID	18***
	(0)
233.ID	-10***
	(0)
234.ID	102***
	(0)
235.ID	-6***
	(0)
236.ID	276***
	(0)
237.ID	-12***
	(0)
239.ID	30***
	(0)
240.ID	12***
	(0)
245.ID	4***
	(0)
246.ID	-12***
	(0)
247.ID	132***
	(0)
253.ID	0
	(0)
254.ID	3***
	(0)
255.ID	216***
	(0)
256.ID	84***
	(0)
257.ID	168***
	(0)
258.ID	64***
	(0)
259.ID	168***
	(0)
260.ID	114***
	(0)
261.ID	-8***
	(0)
263.ID	64***
	(0)
264.ID	198***
	(0)
265.ID	167.6***
	(0.398)
266.ID	132***
	(0)
267.ID	12***
	(0)
268.ID	168***
	(0)
269.ID	55***
	(0)
270.ID	132***
	(0)
271.ID	53***
	(0)
272.ID	192***
	(0)
274.ID	60***
	(0)
277.ID	168***
	(0)
278.ID	-7***
	(0)
279.ID	11***
	(0)
280.ID	168***
	(0)
281.ID	144***
	(0)
282.ID	-9***
	(0)
283.ID	12***
	(0)
284.ID	-4***
	(0)
285.ID	1***
	(0)
286.ID	0
	(0)
289.ID	168***
	(0)
290.ID	168***
	(0)
291.ID	6***
	(0)
295.ID	72***
	(0)
296.ID	0
	(0)
297.ID	168***
	(0)
298.ID	24***
	(0)
299.ID	212***
	(0)
300.ID	86***
	(0)
301.ID	12***
	(0)
302.ID	288***
	(0)
303.ID	0
	(0)
304.ID	48***
	(0)
305.ID	168***
	(0)
306.ID	-6***
	(0)
307.ID	-10***
	(0)
308.ID	-6***
	(0)
309.ID	-8***
	(0)
310.ID	-8***
	(0)
311.ID	-6***
	(0)
312.ID	84***
	(0)
313.ID	18***
	(0)
314.ID	-2***
	(0)
315.ID	0
	(0)
317.ID	18***
	(0)
318.ID	144***
	(0)
319.ID	78***
	(0)
320.ID	-3***
	(0)
321.ID	-12***
	(0)
322.ID	194***
	(0)
325.ID	0
	(0)
326.ID	46***
	(0)
327.ID	48***
	(0)
328.ID	24***
	(0)
329.ID	-4***
	(0)
330.ID	208***
	(0)
331.ID	6***
	(0)
332.ID	168***
	(0)
333.ID	168***
	(0)
335.ID	46***
	(0)
336.ID	-12***
	(0)
337.ID	12***
	(0)
338.ID	-12***
	(0)
339.ID	6***
	(0)
340.ID	222***
	(0)
341.ID	82***
	(0)
342.ID	52***
	(0)
343.ID	168***
	(0)
344.ID	-12***
	(0)
345.ID	142***
	(0)
346.ID	-12***
	(0)
347.ID	-12***
	(0)
348.ID	58***
	(0)
349.ID	-5.789***
	(0.199)
350.ID	12***
	(0)
352.ID	132***
	(0)
353.ID	102***
	(0)
354.ID	4***
	(0)
356.ID	30***
	(0)
358.ID	5***
	(0)
359.ID	54***
	(0)
361.ID	6***
	(0)
364.ID	144***
	(0)
369.ID	158***
	(0)
370.ID	108***
	(0)
372.ID	108***
	(0)
373.ID	12***
	(0)
374.ID	132***
	(0)
375.ID	30***
	(0)
377.ID	1***
	(0)
378.ID	6***
	(0)
379.ID	5***
	(0)
382.ID	-6***
	(0)
385.ID	84***
	(0)
387.ID	4***
	(0)
388.ID	0
	(0)
389.ID	162***
	(0)
390.ID	158***
	(0)
391.ID	5***
	(0)
393.ID	120***
	(0)
394.ID	6***
	(0)
395.ID	114***
	(0)
398.ID	0
	(0)
400.ID	120***
	(0)
402.ID	0
	(0)
403.ID	49***
	(0)
404.ID	7***
	(0)
405.ID	-6***
	(0)
406.ID	20***
	(0)
407.ID	126***
	(0)
409.ID	-10***
	(0)
412.ID	120***
	(0)
413.ID	-12***
	(0)
414.ID	-12***
	(0)
415.ID	-5***
	(0)
416.ID	8***
	(0)
417.ID	-12***
	(0)
419.ID	12***
	(0)
421.ID	0
	(0)
423.ID	120***
	(0)
424.ID	144***
	(0)
425.ID	102***
	(0)
428.ID	2***
	(0)
429.ID	6***
	(0)
430.ID	216***
	(0)
431.ID	4***
	(0)
432.ID	132***
	(0)
433.ID	5***
	(0)
434.ID	12***
	(0)
435.ID	288***
	(0)
437.ID	4***
	(0)
439.ID	120***
	(0)
440.ID	-9***
	(0)
441.ID	42***
	(0)
442.ID	45***
	(0)
445.ID	54***
	(0)
446.ID	150***
	(0)
447.ID	6***
	(0)
448.ID	84***
	(0)
450.ID	0
	(0)
451.ID	132***
	(0)
452.ID	-11***
	(0)
453.ID	156***
	(0)
454.ID	2***
	(0)
456.ID	-0.421
	(0.398)
457.ID	264***
	(0)
458.ID	120***
	(0)
459.ID	64***
	(0)
460.ID	-2***
	(0)
461.ID	120***
	(0)
462.ID	168***
	(0)
464.ID	96***
	(0)
466.ID	-12***
	(0)
467.ID	12***
	(0)
469.ID	-5***
	(0)
470.ID	132***
	(0)
471.ID	258***
	(0)
472.ID	267***
	(0)
473.ID	133***
	(0)
474.ID	160***
	(0)
475.ID	-2***
	(0)
476.ID	126***
	(0)
477.ID	126***
	(0)
478.ID	192***
	(0)
479.ID	153***
	(0)
480.ID	12***
	(0)
481.ID	132***
	(0)
482.ID	268.2***
	(0.199)
484.ID	172***
	(0)
485.ID	288***
	(0)
486.ID	0
	(0)
488.ID	234***
	(0)
489.ID	8***
	(0)
490.ID	5***
	(0)
493.ID	12***
	(0)
495.ID	88***
	(0)
497.ID	12***
	(0)
498.ID	156***
	(0)
499.ID	-12***
	(0)
501.ID	3***
	(0)
502.ID	-6***
	(0)
503.ID	18***
	(0)
504.ID	168***
	(0)
505.ID	-12***
	(0)
506.ID	-5***
	(0)
507.ID	-12***
	(0)
508.ID	55***
	(0)
509.ID	-6***
	(0)
512.ID	51***
	(0)
514.ID	221***
	(0)
515.ID	192***
	(0)
521.ID	-12***
	(0)
523.ID	168***
	(0)
525.ID	-1***
	(0)
