	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0248**
	(0.0105)
2.treated	0.00146
	(0.0105)
1.ID	-1.588***
	(0.0121)
2.ID	0
	(0.0121)
3.ID	-1.980***
	(0.0121)
4.ID	0
	(0.0121)
5.ID	-1.765***
	(0.0121)
6.ID	-1.980***
	(0.0121)
7.ID	0
	(0.0121)
8.ID	-1.765***
	(0.0121)
9.ID	-1.980***
	(0.0121)
10.ID	0.509***
	(0.0121)
12.ID	0.509***
	(0.0121)
14.ID	0
	(0.0121)
15.ID	-1.980***
	(0.0121)
16.ID	0
	(0.0121)
17.ID	0
	(0.0121)
18.ID	-1.980***
	(0.0121)
19.ID	-1.765***
	(0.0121)
20.ID	0
	(0.0121)
21.ID	-1.647***
	(0.0639)
22.ID	-1.588***
	(0.0121)
23.ID	0
	(0.0121)
24.ID	0
	(0.0121)
25.ID	-1.765***
	(0.0121)
26.ID	-2.634***
	(0.0121)
27.ID	-1.980***
	(0.0121)
28.ID	-1.980***
	(0.0121)
29.ID	-1.980***
	(0.0121)
30.ID	-1.980***
	(0.0121)
31.ID	-0.908***
	(0.0121)
32.ID	0
	(0.0121)
33.ID	0
	(0.0121)
34.ID	0
	(0.0121)
35.ID	-1.980***
	(0.0121)
36.ID	-1.980***
	(0.0121)
37.ID	-1.980***
	(0.0121)
38.ID	-1.980***
	(0.0121)
39.ID	0
	(0.0121)
40.ID	0.339*
	(0.174)
41.ID	-1.588***
	(0.0121)
42.ID	0.509***
	(0.0121)
43.ID	-1.980***
	(0.0121)
46.ID	-1.765***
	(0.0121)
47.ID	-2.254***
	(0.0121)
48.ID	0
	(0.0121)
49.ID	0
	(0.0121)
50.ID	0
	(0.0121)
51.ID	-1.980***
	(0.0121)
52.ID	-1.765***
	(0.0121)
53.ID	0.509***
	(0.0121)
54.ID	-1.980***
	(0.0121)
55.ID	-1.980***
	(0.0121)
56.ID	0
	(0.0121)
57.ID	-1.980***
	(0.0121)
58.ID	0
	(0.0121)
59.ID	-0.871**
	(0.431)
60.ID	-1.980***
	(0.0121)
61.ID	-1.980***
	(0.0121)
62.ID	-1.765***
	(0.0121)
63.ID	-1.980***
	(0.0121)
64.ID	0
	(0.0121)
65.ID	-1.980***
	(0.0121)
66.ID	-1.765***
	(0.0121)
67.ID	0
	(0.0121)
68.ID	-0.403***
	(0.0121)
69.ID	-1.980***
	(0.0121)
70.ID	0.509***
	(0.0121)
71.ID	0.339*
	(0.174)
72.ID	0.509***
	(0.0121)
73.ID	-1.980***
	(0.0121)
74.ID	-1.088***
	(0.0121)
76.ID	-1.980***
	(0.0121)
77.ID	-1.765***
	(0.0121)
78.ID	-1.980***
	(0.0121)
79.ID	-1.980***
	(0.0121)
80.ID	0
	(0.0121)
81.ID	-1.980***
	(0.0121)
82.ID	-1.588***
	(0.0121)
83.ID	-1.765***
	(0.0121)
84.ID	0.339*
	(0.174)
85.ID	0
	(0.0121)
86.ID	0
	(0.0121)
87.ID	0
	(0.0121)
88.ID	0.509***
	(0.0121)
89.ID	-1.980***
	(0.0121)
90.ID	-1.682***
	(0.293)
91.ID	-0.624***
	(0.0121)
92.ID	-2.634***
	(0.0121)
93.ID	-1.588***
	(0.0121)
94.ID	-1.980***
	(0.0121)
95.ID	0.509***
	(0.0121)
96.ID	-1.980***
	(0.0121)
97.ID	-2.896***
	(0.0121)
98.ID	-1.088***
	(0.0121)
99.ID	-1.765***
	(0.0121)
100.ID	-1.765***
	(0.0121)
101.ID	-1.320**
	(0.656)
102.ID	-2.634***
	(0.0121)
103.ID	-1.980***
	(0.0121)
104.ID	-1.980***
	(0.0121)
105.ID	-1.980***
	(0.0121)
106.ID	0.509***
	(0.0121)
107.ID	0.509***
	(0.0121)
108.ID	0.509***
	(0.0121)
109.ID	-1.765***
	(0.0121)
110.ID	-2.634***
	(0.0121)
111.ID	-2.634***
	(0.0121)
112.ID	0
	(0.0121)
113.ID	-1.980***
	(0.0121)
114.ID	0
	(0.0121)
115.ID	0
	(0.0121)
116.ID	-1.765***
	(0.0121)
117.ID	0
	(0.0121)
118.ID	0
	(0.0121)
119.ID	0.509***
	(0.0121)
120.ID	-0.756***
	(0.0121)
121.ID	0
	(0.0121)
122.ID	0.509***
	(0.0121)
123.ID	0.509***
	(0.0121)
125.ID	0
	(0.0121)
126.ID	0
	(0.0121)
127.ID	-2.634***
	(0.0121)
128.ID	-1.765***
	(0.0121)
129.ID	0
	(0.0121)
130.ID	-2.071***
	(0.0835)
131.ID	-1.765***
	(0.0121)
132.ID	-2.634***
	(0.0121)
133.ID	0
	(0.0121)
134.ID	-1.088***
	(0.0121)
135.ID	0
	(0.0121)
136.ID	0
	(0.0121)
137.ID	0
	(0.0121)
138.ID	-0.249
	(0.750)
139.ID	-1.980***
	(0.0121)
140.ID	-1.588***
	(0.0121)
142.ID	-1.980***
	(0.0121)
144.ID	-1.980***
	(0.0121)
145.ID	-1.765***
	(0.0121)
146.ID	0
	(0.0121)
147.ID	0.509***
	(0.0121)
148.ID	0
	(0.0121)
149.ID	-2.634***
	(0.0121)
150.ID	-1.980***
	(0.0121)
151.ID	-1.765***
	(0.0121)
152.ID	0
	(0.0121)
153.ID	0
	(0.0121)
154.ID	0
	(0.0121)
155.ID	-1.980***
	(0.0121)
156.ID	-1.980***
	(0.0121)
157.ID	0
	(0.0121)
158.ID	0
	(0.0121)
159.ID	-1.765***
	(0.0121)
160.ID	0
	(0.0121)
161.ID	-0.397
	(0.689)
163.ID	-1.765***
	(0.0121)
164.ID	-1.980***
	(0.0121)
165.ID	-1.980***
	(0.0121)
166.ID	0
	(0.0121)
167.ID	-1.980***
	(0.0121)
168.ID	0
	(0.0121)
169.ID	0
	(0.0121)
170.ID	-1.765***
	(0.0121)
171.ID	-1.176**
	(0.584)
172.ID	-1.980***
	(0.0121)
173.ID	0
	(0.0121)
174.ID	0
	(0.0121)
175.ID	-1.765***
	(0.0121)
176.ID	-1.980***
	(0.0121)
177.ID	0
	(0.0121)
178.ID	-3.046***
	(0.202)
179.ID	-0.660
	(0.665)
180.ID	-0.829***
	(0.0121)
181.ID	-2.840***
	(0.198)
182.ID	-1.980***
	(0.0121)
183.ID	-1.765***
	(0.0121)
184.ID	-1.980***
	(0.0121)
185.ID	0.509***
	(0.0121)
186.ID	-0.268**
	(0.130)
187.ID	0.339*
	(0.175)
188.ID	0
	(0.0121)
189.ID	-1.836***
	(0.0638)
190.ID	-1.980***
	(0.0121)
191.ID	-1.765***
	(0.0121)
192.ID	-1.980***
	(0.0121)
194.ID	0
	(0.0121)
196.ID	-1.980***
	(0.0121)
197.ID	0
	(0.0121)
198.ID	-1.980***
	(0.0121)
199.ID	-2.071***
	(0.0961)
200.ID	0
	(0.0121)
201.ID	-1.980***
	(0.0121)
202.ID	0
	(0.0121)
203.ID	0.509***
	(0.0121)
204.ID	0.509***
	(0.0121)
205.ID	0
	(0.0121)
206.ID	-1.980***
	(0.0121)
207.ID	-1.980***
	(0.0121)
208.ID	-1.980***
	(0.0121)
209.ID	0.170
	(0.178)
210.ID	-1.980***
	(0.0121)
212.ID	-1.980***
	(0.0121)
213.ID	0.509***
	(0.0121)
214.ID	-1.980***
	(0.0121)
217.ID	0
	(0.0121)
218.ID	-1.980***
	(0.0121)
219.ID	-1.908***
	(0.0688)
220.ID	0
	(0.0121)
221.ID	0
	(0.0121)
222.ID	0.509***
	(0.0121)
223.ID	0.509***
	(0.0121)
224.ID	0
	(0.0121)
225.ID	0
	(0.0121)
226.ID	-2.254***
	(0.0121)
227.ID	0
	(0.0121)
228.ID	0.509***
	(0.0121)
229.ID	0
	(0.0121)
230.ID	0
	(0.0121)
231.ID	-0.588
	(0.593)
232.ID	0
	(0.0121)
233.ID	-1.765***
	(0.0121)
234.ID	0
	(0.0121)
235.ID	-1.088***
	(0.0121)
236.ID	0.509***
	(0.0121)
237.ID	0
	(0.0121)
238.ID	0
	(0.0121)
239.ID	0
	(0.0121)
240.ID	0
	(0.0121)
241.ID	0
	(0.0121)
242.ID	-1.980***
	(0.0121)
243.ID	-0.403***
	(0.0121)
244.ID	0
	(0.0121)
245.ID	-1.980***
	(0.0121)
246.ID	0
	(0.0121)
247.ID	0
	(0.0121)
248.ID	-1.588***
	(0.0121)
249.ID	-1.320**
	(0.656)
250.ID	0.509***
	(0.0121)
251.ID	-1.980***
	(0.0121)
252.ID	-1.765***
	(0.0121)
253.ID	-1.980***
	(0.0121)
254.ID	-1.980***
	(0.0121)
255.ID	0.509***
	(0.0121)
256.ID	0
	(0.0121)
257.ID	0
	(0.0121)
258.ID	-1.980***
	(0.0121)
259.ID	0
	(0.0121)
260.ID	0
	(0.0121)
261.ID	-2.634***
	(0.0121)
263.ID	-1.980***
	(0.0121)
264.ID	0.509***
	(0.0121)
265.ID	0.509***
	(0.0121)
266.ID	0
	(0.0121)
267.ID	-1.765***
	(0.0121)
268.ID	0
	(0.0121)
269.ID	0
	(0.0121)
270.ID	0
	(0.0121)
271.ID	0
	(0.0121)
272.ID	-0.249
	(0.750)
274.ID	-1.980***
	(0.0121)
275.ID	0.509***
	(0.0121)
276.ID	-0.403***
	(0.0121)
277.ID	0
	(0.0121)
278.ID	-2.426***
	(0.0121)
279.ID	-1.765***
	(0.0121)
280.ID	0
	(0.0121)
281.ID	0
	(0.0121)
282.ID	-1.980***
	(0.0121)
283.ID	-1.980***
	(0.0121)
284.ID	-1.980***
	(0.0121)
285.ID	-1.980***
	(0.0121)
286.ID	-1.980***
	(0.0121)
288.ID	0
	(0.0121)
289.ID	0
	(0.0121)
290.ID	0
	(0.0121)
291.ID	-1.980***
	(0.0121)
292.ID	0
	(0.0121)
293.ID	-1.980***
	(0.0121)
294.ID	-1.588***
	(0.0121)
295.ID	-1.320**
	(0.657)
296.ID	-1.307***
	(0.0121)
297.ID	0
	(0.0121)
298.ID	0
	(0.0121)
299.ID	0.509***
	(0.0121)
300.ID	0
	(0.0121)
301.ID	-1.980***
	(0.0121)
302.ID	0.509***
	(0.0121)
303.ID	-1.588***
	(0.0121)
304.ID	0.509***
	(0.0121)
305.ID	0
	(0.0121)
306.ID	-1.588***
	(0.0121)
307.ID	-1.655***
	(0.118)
308.ID	-1.088***
	(0.0121)
309.ID	-1.765***
	(0.0121)
310.ID	-1.980***
	(0.0121)
311.ID	-3.253***
	(0.0121)
312.ID	0
	(0.0121)
313.ID	-1.765***
	(0.0121)
314.ID	-1.320**
	(0.657)
315.ID	-1.980***
	(0.0121)
316.ID	-2.435***
	(0.0105)
317.ID	0
	(0.0121)
318.ID	0
	(0.0121)
319.ID	0
	(0.0121)
320.ID	-1.765***
	(0.0121)
321.ID	-1.588***
	(0.0121)
322.ID	0.509***
	(0.0121)
323.ID	-1.765***
	(0.0121)
324.ID	-0.660
	(0.652)
325.ID	-1.980***
	(0.0121)
326.ID	0
	(0.0121)
327.ID	0
	(0.0121)
328.ID	0
	(0.0121)
329.ID	-1.980***
	(0.0121)
330.ID	0.286***
	(0.0121)
331.ID	-1.980***
	(0.0121)
332.ID	0
	(0.0121)
333.ID	-0.338**
	(0.165)
334.ID	-1.980***
	(0.0121)
335.ID	-1.980***
	(0.0121)
336.ID	-0.0686***
	(0.0121)
337.ID	-1.980***
	(0.0121)
338.ID	0
	(0.0121)
339.ID	0
	(0.0121)
340.ID	0.509***
	(0.0121)
341.ID	-1.765***
	(0.0121)
342.ID	-1.980***
	(0.0121)
343.ID	-0.363
	(0.368)
344.ID	-1.647***
	(0.0512)
345.ID	0.339*
	(0.174)
346.ID	-3.253***
	(0.0121)
347.ID	-1.588***
	(0.0121)
348.ID	-1.980***
	(0.0121)
349.ID	-3.253***
	(0.0121)
350.ID	-1.980***
	(0.0121)
352.ID	0
	(0.0121)
353.ID	-0.403***
	(0.0121)
354.ID	-1.980***
	(0.0121)
355.ID	-1.588***
	(0.0121)
356.ID	-1.765***
	(0.0121)
357.ID	0
	(0.0121)
358.ID	-1.980***
	(0.0121)
359.ID	0
	(0.0121)
361.ID	-1.980***
	(0.0121)
364.ID	0.286***
	(0.0121)
365.ID	-1.980***
	(0.0121)
366.ID	0.509***
	(0.0121)
369.ID	0
	(0.0121)
370.ID	0
	(0.0121)
372.ID	0
	(0.0121)
373.ID	-1.980***
	(0.0121)
374.ID	0
	(0.0121)
375.ID	-1.980***
	(0.0121)
377.ID	-1.980***
	(0.0121)
378.ID	-1.980***
	(0.0121)
379.ID	-1.765***
	(0.0121)
381.ID	-2.634***
	(0.0121)
382.ID	-3.253***
	(0.0121)
383.ID	-1.980***
	(0.0121)
385.ID	0
	(0.0121)
386.ID	-2.634***
	(0.0121)
387.ID	-1.980***
	(0.0121)
388.ID	-1.765***
	(0.0121)
389.ID	0
	(0.0121)
390.ID	0.339*
	(0.174)
391.ID	-1.980***
	(0.0121)
393.ID	0
	(0.0121)
394.ID	0
	(0.0121)
395.ID	0
	(0.0121)
396.ID	0
	(0.0121)
397.ID	-1.980***
	(0.0121)
398.ID	-2.634***
	(0.0121)
399.ID	-1.765***
	(0.0121)
400.ID	0
	(0.0121)
401.ID	-1.088***
	(0.0121)
402.ID	-1.980***
	(0.0121)
403.ID	-1.980***
	(0.0121)
404.ID	-1.588***
	(0.0121)
405.ID	-1.980***
	(0.0121)
406.ID	-0.403***
	(0.0121)
407.ID	0
	(0.0121)
408.ID	0.509***
	(0.0121)
409.ID	-2.634***
	(0.0121)
410.ID	-1.980***
	(0.0121)
411.ID	-2.254***
	(0.0121)
412.ID	0
	(0.0121)
413.ID	-1.588***
	(0.0121)
414.ID	-1.980***
	(0.0121)
415.ID	-1.980***
	(0.0121)
416.ID	-1.765***
	(0.0121)
417.ID	-2.634***
	(0.0121)
418.ID	0
	(0.0121)
419.ID	-1.980***
	(0.0121)
420.ID	-1.765***
	(0.0121)
421.ID	-1.980***
	(0.0121)
423.ID	0
	(0.0121)
424.ID	0
	(0.0121)
425.ID	0
	(0.0121)
426.ID	-1.980***
	(0.0121)
428.ID	-1.980***
	(0.0121)
429.ID	-1.980***
	(0.0121)
430.ID	0.509***
	(0.0121)
431.ID	-1.706***
	(0.0563)
432.ID	0
	(0.0121)
433.ID	-1.980***
	(0.0121)
434.ID	-1.980***
	(0.0121)
435.ID	0.509***
	(0.0121)
436.ID	-1.007
	(0.754)
437.ID	-2.254***
	(0.0121)
438.ID	0
	(0.0121)
439.ID	0
	(0.0121)
440.ID	-1.765***
	(0.0121)
441.ID	0
	(0.0121)
442.ID	0
	(0.0121)
445.ID	-1.980***
	(0.0121)
446.ID	0
	(0.0121)
447.ID	-1.088***
	(0.0121)
448.ID	0
	(0.0121)
449.ID	0
	(0.0121)
450.ID	-1.980***
	(0.0121)
451.ID	0
	(0.0121)
452.ID	-1.765***
	(0.0121)
453.ID	0.339*
	(0.174)
454.ID	-1.765***
	(0.0121)
455.ID	0
	(0.0121)
456.ID	-2.939***
	(0.257)
457.ID	0.509***
	(0.0121)
458.ID	0.509***
	(0.0121)
459.ID	-1.765***
	(0.0121)
460.ID	-1.980***
	(0.0121)
461.ID	0.509***
	(0.0121)
462.ID	0
	(0.0121)
463.ID	0.509***
	(0.0121)
464.ID	0
	(0.0121)
465.ID	-1.088***
	(0.0121)
466.ID	0
	(0.0121)
467.ID	0
	(0.0121)
468.ID	0
	(0.0121)
469.ID	-1.320**
	(0.669)
470.ID	0
	(0.0121)
471.ID	0.509***
	(0.0121)
472.ID	0.509***
	(0.0121)
473.ID	0
	(0.0121)
474.ID	0
	(0.0121)
475.ID	-1.980***
	(0.0121)
476.ID	0
	(0.0121)
477.ID	0.286***
	(0.0121)
