	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	-2.148
	(1.363)
1.ID	-12***
	(0)
2.ID	144***
	(0)
3.ID	-0
	(0)
4.ID	96***
	(0)
5.ID	-0
	(0)
6.ID	5***
	(0)
7.ID	141***
	(0)
8.ID	132***
	(0)
9.ID	-2***
	(0)
10.ID	288***
	(0)
12.ID	228***
	(0)
14.ID	-0
	(0)
15.ID	-5***
	(0)
16.ID	168***
	(0)
18.ID	30***
	(0)
19.ID	12***
	(0)
20.ID	84***
	(0)
21.ID	2***
	(0)
22.ID	-12***
	(0)
23.ID	168***
	(0)
24.ID	96***
	(0)
25.ID	123***
	(0)
26.ID	-0
	(0)
27.ID	-10***
	(0)
28.ID	3***
	(0)
29.ID	6***
	(0)
30.ID	-3***
	(0)
31.ID	36***
	(0)
32.ID	-13.07***
	(0.682)
33.ID	150***
	(0)
34.ID	132***
	(0)
35.ID	-6***
	(0)
36.ID	24***
	(0)
37.ID	4***
	(0)
38.ID	-6***
	(0)
39.ID	103***
	(0)
40.ID	44***
	(0)
41.ID	24***
	(0)
42.ID	144***
	(0)
43.ID	-3***
	(0)
46.ID	12***
	(0)
47.ID	-0
	(0)
48.ID	142***
	(0)
49.ID	168***
	(0)
50.ID	168***
	(0)
51.ID	-0
	(0)
52.ID	120***
	(0)
53.ID	174***
	(0)
54.ID	-0
	(0)
55.ID	-2***
	(0)
56.ID	150***
	(0)
57.ID	-0
	(0)
58.ID	36***
	(0)
59.ID	-12***
	(0)
60.ID	-6***
	(0)
61.ID	-2***
	(0)
62.ID	-0
	(0)
63.ID	12***
	(0)
64.ID	126***
	(0)
65.ID	-6***
	(0)
66.ID	26***
	(0)
67.ID	102***
	(0)
68.ID	12***
	(0)
69.ID	-0
	(0)
70.ID	219***
	(0)
71.ID	192***
	(0)
72.ID	258***
	(0)
73.ID	-6***
	(0)
74.ID	210***
	(0)
76.ID	4***
	(0)
77.ID	15***
	(0)
78.ID	12***
	(0)
79.ID	-2***
	(0)
80.ID	144***
	(0)
81.ID	-0
	(0)
82.ID	-12***
	(0)
83.ID	-0
	(0)
84.ID	288***
	(0)
85.ID	147***
	(0)
86.ID	90***
	(0)
87.ID	132***
	(0)
88.ID	261***
	(0)
89.ID	-0
	(0)
90.ID	-8***
	(0)
91.ID	24***
	(0)
92.ID	-0
	(0)
93.ID	-12***
	(0)
94.ID	17***
	(0)
95.ID	264***
	(0)
96.ID	12***
	(0)
97.ID	-10***
	(0)
98.ID	6***
	(0)
99.ID	-7***
	(0)
100.ID	-6***
	(0)
101.ID	-12***
	(0)
102.ID	-12***
	(0)
103.ID	4***
	(0)
104.ID	36***
	(0)
105.ID	12***
	(0)
106.ID	186***
	(0)
107.ID	246***
	(0)
108.ID	230***
	(0)
109.ID	6***
	(0)
110.ID	-6***
	(0)
111.ID	-0
	(0)
112.ID	168***
	(0)
113.ID	-0
	(0)
114.ID	153***
	(0)
115.ID	30***
	(0)
116.ID	-0
	(0)
117.ID	155***
	(0)
118.ID	-0
	(0)
119.ID	240***
	(0)
120.ID	72***
	(0)
121.ID	168***
	(0)
122.ID	84***
	(0)
123.ID	237***
	(0)
125.ID	89***
	(0)
126.ID	-12***
	(0)
127.ID	-4***
	(0)
128.ID	-6***
	(0)
129.ID	168***
	(0)
130.ID	-6***
	(0)
131.ID	2***
	(0)
132.ID	-8***
	(0)
133.ID	126***
	(0)
134.ID	42***
	(0)
135.ID	168***
	(0)
136.ID	150***
	(0)
137.ID	161***
	(0)
138.ID	262***
	(0)
139.ID	12***
	(0)
140.ID	-0
	(0)
142.ID	30***
	(0)
144.ID	-6***
	(0)
145.ID	1***
	(0)
146.ID	132***
	(0)
147.ID	262***
	(0)
148.ID	138***
	(0)
149.ID	-9***
	(0)
150.ID	-0
	(0)
151.ID	6***
	(0)
152.ID	114***
	(0)
153.ID	36***
	(0)
154.ID	24***
	(0)
155.ID	-6***
	(0)
156.ID	18***
	(0)
157.ID	14***
	(0)
158.ID	120***
	(0)
159.ID	4***
	(0)
160.ID	132***
	(0)
161.ID	210***
	(0)
163.ID	36***
	(0)
164.ID	-0
	(0)
165.ID	2***
	(0)
166.ID	159***
	(0)
167.ID	-0
	(0)
168.ID	154***
	(0)
169.ID	144***
	(0)
170.ID	90***
	(0)
172.ID	-6***
	(0)
173.ID	78***
	(0)
174.ID	102***
	(0)
175.ID	-1***
	(0)
176.ID	12***
	(0)
177.ID	168***
	(0)
178.ID	-0
	(0)
179.ID	114***
	(0)
180.ID	-12***
	(0)
181.ID	-0
	(0)
182.ID	-0
	(0)
183.ID	-4***
	(0)
184.ID	-12***
	(0)
185.ID	150***
	(0)
186.ID	168***
	(0)
188.ID	132***
	(0)
189.ID	6***
	(0)
190.ID	2***
	(0)
191.ID	-8***
	(0)
192.ID	-2***
	(0)
194.ID	48***
	(0)
196.ID	6***
	(0)
197.ID	168***
	(0)
198.ID	12***
	(0)
199.ID	12***
	(0)
200.ID	36***
	(0)
201.ID	-6***
	(0)
202.ID	24***
	(0)
203.ID	186***
	(0)
204.ID	198***
	(0)
205.ID	84***
	(0)
206.ID	-12***
	(0)
207.ID	-0
	(0)
208.ID	-12***
	(0)
209.ID	48***
	(0)
210.ID	-0
	(0)
212.ID	12***
	(0)
213.ID	288***
	(0)
214.ID	72***
	(0)
215.ID	-7.074***
	(0.682)
217.ID	132***
	(0)
218.ID	6***
	(0)
219.ID	6***
	(0)
220.ID	108***
	(0)
221.ID	108***
	(0)
222.ID	248***
	(0)
223.ID	123***
	(0)
224.ID	168***
	(0)
225.ID	48***
	(0)
226.ID	-8***
	(0)
227.ID	135***
	(0)
228.ID	228***
	(0)
229.ID	36***
	(0)
230.ID	36***
	(0)
231.ID	110***
	(0)
232.ID	18***
	(0)
233.ID	-10***
	(0)
234.ID	102***
	(0)
235.ID	-6***
	(0)
236.ID	276***
	(0)
237.ID	-12***
	(0)
238.ID	120***
	(0)
239.ID	90***
	(0)
240.ID	12***
	(0)
241.ID	168***
	(0)
242.ID	12***
	(0)
243.ID	138***
	(0)
244.ID	228***
	(0)
245.ID	4***
	(0)
246.ID	-12***
	(0)
247.ID	132***
	(0)
248.ID	-0
	(0)
249.ID	-6***
	(0)
250.ID	252***
	(0)
251.ID	4***
	(0)
252.ID	-4***
	(0)
253.ID	-0
	(0)
254.ID	3***
	(0)
255.ID	216***
	(0)
256.ID	84***
	(0)
257.ID	168***
	(0)
258.ID	12***
	(0)
259.ID	168***
	(0)
260.ID	114***
	(0)
261.ID	1***
	(0)
263.ID	12***
	(0)
264.ID	198***
	(0)
266.ID	132***
	(0)
267.ID	12***
	(0)
268.ID	168***
	(0)
269.ID	81***
	(0)
270.ID	132***
	(0)
271.ID	8***
	(0)
272.ID	192***
	(0)
274.ID	60***
	(0)
275.ID	12***
	(0)
276.ID	66***
	(0)
277.ID	168***
	(0)
278.ID	-7***
	(0)
279.ID	11***
	(0)
280.ID	168***
	(0)
281.ID	168***
	(0)
282.ID	-9***
	(0)
283.ID	12***
	(0)
284.ID	-4***
	(0)
285.ID	1***
	(0)
286.ID	-0
	(0)
288.ID	168***
	(0)
289.ID	168***
	(0)
290.ID	168***
	(0)
291.ID	6***
	(0)
292.ID	198***
	(0)
294.ID	-0
	(0)
295.ID	66***
	(0)
296.ID	-0
	(0)
297.ID	168***
	(0)
298.ID	24***
	(0)
299.ID	252***
	(0)
300.ID	132***
	(0)
301.ID	12***
	(0)
302.ID	288***
	(0)
303.ID	-6***
	(0)
304.ID	48***
	(0)
305.ID	168***
	(0)
306.ID	-6***
	(0)
307.ID	2***
	(0)
308.ID	-6***
	(0)
309.ID	-8***
	(0)
310.ID	-8***
	(0)
311.ID	-6***
	(0)
312.ID	84***
	(0)
313.ID	18***
	(0)
314.ID	66***
	(0)
315.ID	-0
	(0)
316.ID	96***
	(0)
317.ID	18***
	(0)
318.ID	144***
	(0)
319.ID	78***
	(0)
320.ID	-3***
	(0)
321.ID	-12***
	(0)
322.ID	174***
	(0)
323.ID	135***
	(0)
324.ID	168***
	(0)
325.ID	-0
	(0)
326.ID	46***
	(0)
327.ID	48***
	(0)
328.ID	24***
	(0)
329.ID	-4***
	(0)
330.ID	228***
	(0)
331.ID	6***
	(0)
332.ID	168***
	(0)
333.ID	168***
	(0)
334.ID	-0
	(0)
335.ID	6***
	(0)
336.ID	-12***
	(0)
337.ID	12***
	(0)
338.ID	-12***
	(0)
339.ID	6***
	(0)
340.ID	222***
	(0)
341.ID	6***
	(0)
342.ID	-0
	(0)
343.ID	168***
	(0)
344.ID	-6***
	(0)
345.ID	102***
	(0)
346.ID	-12***
	(0)
347.ID	-12***
	(0)
348.ID	6***
	(0)
349.ID	-0
	(0)
350.ID	12***
	(0)
351.ID	-4.926***
	(0.682)
352.ID	66***
	(0)
353.ID	82***
	(0)
354.ID	4***
	(0)
355.ID	-6***
	(0)
356.ID	30***
	(0)
357.ID	114***
	(0)
358.ID	5***
	(0)
359.ID	158***
	(0)
361.ID	6***
	(0)
364.ID	114***
	(0)
365.ID	12***
	(0)
366.ID	180***
	(0)
369.ID	158***
	(0)
370.ID	108***
	(0)
372.ID	108***
	(0)
373.ID	12***
	(0)
374.ID	132***
	(0)
375.ID	30***
	(0)
377.ID	131***
	(0)
378.ID	6***
	(0)
379.ID	9***
	(0)
381.ID	12***
	(0)
382.ID	-6***
	(0)
383.ID	-0
	(0)
385.ID	84***
	(0)
386.ID	-6***
	(0)
387.ID	4***
	(0)
388.ID	6***
	(0)
389.ID	162***
	(0)
390.ID	278***
	(0)
391.ID	5***
	(0)
393.ID	180***
	(0)
394.ID	6***
	(0)
395.ID	114***
	(0)
396.ID	153***
	(0)
397.ID	-6***
	(0)
398.ID	-0
	(0)
399.ID	18***
	(0)
400.ID	120***
	(0)
401.ID	-0
	(0)
402.ID	-0
	(0)
403.ID	-3***
	(0)
404.ID	7***
	(0)
405.ID	-6***
	(0)
406.ID	18***
	(0)
407.ID	126***
	(0)
408.ID	108***
	(0)
409.ID	-8***
	(0)
410.ID	2***
	(0)
