	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0100
	(0.00744)
2.treated	0.0125*
	(0.00720)
1.ID	0
	(0.00540)
2.ID	1.588***
	(0.00540)
3.ID	-0.392***
	(0.00540)
4.ID	1.588***
	(0.00540)
5.ID	-0.177***
	(0.00540)
6.ID	-0.392***
	(0.00540)
7.ID	1.588***
	(0.00540)
8.ID	-0.177***
	(0.00540)
9.ID	-0.392***
	(0.00540)
10.ID	2.096***
	(0.00540)
12.ID	-0.177***
	(0.00540)
13.ID	-0.392***
	(0.00540)
14.ID	1.588***
	(0.00540)
15.ID	-0.392***
	(0.00540)
16.ID	1.588***
	(0.00540)
18.ID	-0.392***
	(0.00540)
19.ID	-0.177***
	(0.00540)
20.ID	1.588***
	(0.00540)
21.ID	-0.177***
	(0.00540)
22.ID	0
	(0.00540)
23.ID	1.588***
	(0.00540)
24.ID	1.588***
	(0.00540)
25.ID	-0.177***
	(0.00540)
26.ID	-1.046***
	(0.00540)
27.ID	-0.392***
	(0.00540)
28.ID	-0.392***
	(0.00540)
29.ID	-0.392***
	(0.00540)
30.ID	-0.392***
	(0.00540)
31.ID	0.680***
	(0.00540)
32.ID	1.588***
	(0.00540)
33.ID	1.588***
	(0.00540)
34.ID	1.588***
	(0.00540)
35.ID	-0.392***
	(0.00540)
36.ID	-0.392***
	(0.00540)
37.ID	-0.392***
	(0.00540)
39.ID	1.588***
	(0.00540)
40.ID	1.588***
	(0.00540)
41.ID	0
	(0.00540)
42.ID	2.096***
	(0.00540)
43.ID	-0.392***
	(0.00540)
46.ID	-0.177***
	(0.00540)
47.ID	-0.666***
	(0.00540)
48.ID	1.588***
	(0.00540)
49.ID	1.588***
	(0.00540)
50.ID	1.588***
	(0.00540)
51.ID	-0.392***
	(0.00540)
52.ID	-0.177***
	(0.00540)
53.ID	1.588***
	(0.00540)
54.ID	-0.392***
	(0.00540)
55.ID	-0.392***
	(0.00540)
56.ID	1.588***
	(0.00540)
57.ID	-0.392***
	(0.00540)
58.ID	1.588***
	(0.00540)
60.ID	-0.392***
	(0.00540)
61.ID	-0.392***
	(0.00540)
62.ID	-0.177***
	(0.00540)
63.ID	-0.392***
	(0.00540)
64.ID	1.588***
	(0.00540)
66.ID	-0.177***
	(0.00540)
67.ID	1.588***
	(0.00540)
68.ID	1.185***
	(0.00540)
69.ID	-0.392***
	(0.00540)
70.ID	2.096***
	(0.00540)
71.ID	2.096***
	(0.00540)
72.ID	2.096***
	(0.00540)
73.ID	-0.392***
	(0.00540)
74.ID	0.500***
	(0.00540)
75.ID	2.096***
	(0.00540)
76.ID	-0.392***
	(0.00540)
77.ID	1.588***
	(0.00540)
78.ID	-0.392***
	(0.00540)
79.ID	-0.392***
	(0.00540)
81.ID	-0.392***
	(0.00540)
82.ID	0
	(0.00540)
83.ID	-0.177***
	(0.00540)
84.ID	1.588***
	(0.00540)
85.ID	1.588***
	(0.00540)
86.ID	1.588***
	(0.00540)
87.ID	1.588***
	(0.00540)
88.ID	2.096***
	(0.00540)
89.ID	-0.392***
	(0.00540)
90.ID	-0.392***
	(0.00540)
91.ID	0.964***
	(0.00540)
92.ID	-1.046***
	(0.00540)
93.ID	0
	(0.00540)
94.ID	-0.392***
	(0.00540)
95.ID	2.096***
	(0.00540)
96.ID	-0.392***
	(0.00540)
97.ID	-1.308***
	(0.00540)
98.ID	0.500***
	(0.00540)
99.ID	-0.392***
	(0.00540)
100.ID	-0.177***
	(0.00540)
102.ID	-1.046***
	(0.00540)
103.ID	-0.392***
	(0.00540)
104.ID	-0.392***
	(0.00540)
105.ID	-0.392***
	(0.00540)
106.ID	2.096***
	(0.00540)
107.ID	2.096***
	(0.00540)
108.ID	2.096***
	(0.00540)
109.ID	-0.177***
	(0.00540)
110.ID	-1.046***
	(0.00540)
111.ID	-1.252***
	(0.203)
112.ID	1.588***
	(0.00540)
113.ID	-0.392***
	(0.00540)
114.ID	1.588***
	(0.00540)
115.ID	1.588***
	(0.00540)
116.ID	-0.177***
	(0.00540)
117.ID	1.588***
	(0.00540)
118.ID	1.588***
	(0.00540)
119.ID	2.096***
	(0.00540)
120.ID	0.832***
	(0.00540)
121.ID	0.928
	(0.662)
122.ID	2.096***
	(0.00540)
123.ID	2.096***
	(0.00540)
124.ID	2.096***
	(0.00540)
126.ID	1.588***
	(0.00540)
127.ID	-1.046***
	(0.00540)
128.ID	-0.177***
	(0.00540)
129.ID	1.588***
	(0.00540)
130.ID	-0.392***
	(0.00540)
131.ID	-0.177***
	(0.00540)
132.ID	-1.046***
	(0.00540)
133.ID	1.757***
	(0.174)
134.ID	0.500***
	(0.00540)
135.ID	1.588***
	(0.00540)
136.ID	1.588***
	(0.00540)
137.ID	1.588***
	(0.00540)
138.ID	2.096***
	(0.00540)
139.ID	-0.392***
	(0.00540)
140.ID	0
	(0.00540)
141.ID	1.588***
	(0.00540)
142.ID	-0.392***
	(0.00540)
143.ID	-0.390***
	(0.00616)
144.ID	-0.249***
	(0.0732)
145.ID	-0.177***
	(0.00540)
146.ID	2.096***
	(0.00540)
147.ID	2.096***
	(0.00540)
149.ID	-1.046***
	(0.00540)
150.ID	-0.392***
	(0.00540)
151.ID	-0.177***
	(0.00540)
152.ID	1.588***
	(0.00540)
153.ID	1.588***
	(0.00540)
154.ID	1.588***
	(0.00540)
155.ID	-0.392***
	(0.00540)
156.ID	-0.392***
	(0.00540)
157.ID	1.588***
	(0.00540)
158.ID	1.588***
	(0.00540)
159.ID	-0.177***
	(0.00540)
160.ID	1.588***
	(0.00540)
161.ID	-0.177***
	(0.00540)
162.ID	0
	(0.00540)
163.ID	0.500***
	(0.00540)
164.ID	-0.392***
	(0.00540)
165.ID	-0.392***
	(0.00540)
166.ID	1.588***
	(0.00540)
167.ID	-0.392***
	(0.00540)
168.ID	1.588***
	(0.00540)
169.ID	1.588***
	(0.00540)
170.ID	-0.177***
	(0.00540)
171.ID	-0.177***
	(0.00540)
172.ID	-0.392***
	(0.00540)
173.ID	1.588***
	(0.00540)
174.ID	1.588***
	(0.00540)
175.ID	-0.177***
	(0.00540)
176.ID	-0.392***
	(0.00540)
177.ID	1.588***
	(0.00540)
178.ID	-1.046***
	(0.00540)
179.ID	-0.392***
	(0.00540)
180.ID	0.759***
	(0.00540)
181.ID	-1.046***
	(0.00540)
182.ID	-0.392***
	(0.00540)
183.ID	-0.177***
	(0.00540)
184.ID	-0.392***
	(0.00540)
185.ID	-0.177***
	(0.00540)
186.ID	1.319***
	(0.133)
187.ID	2.096***
	(0.00540)
188.ID	1.588***
	(0.00540)
189.ID	-0.177***
	(0.00540)
190.ID	-0.392***
	(0.00540)
191.ID	-0.177***
	(0.00540)
192.ID	-0.392***
	(0.00540)
194.ID	1.588***
	(0.00540)
196.ID	-0.392***
	(0.00540)
197.ID	1.588***
	(0.00540)
198.ID	-0.392***
	(0.00540)
199.ID	-0.392***
	(0.00540)
200.ID	2.096***
	(0.00540)
201.ID	-0.392***
	(0.00540)
202.ID	1.588***
	(0.00540)
203.ID	2.096***
	(0.00540)
204.ID	2.096***
	(0.00540)
205.ID	1.382***
	(0.107)
206.ID	-0.392***
	(0.00540)
207.ID	-0.392***
	(0.00540)
208.ID	-0.392***
	(0.00540)
209.ID	1.757***
	(0.174)
210.ID	-0.392***
	(0.00540)
212.ID	-0.392***
	(0.00540)
213.ID	2.096***
	(0.00540)
214.ID	-0.392***
	(0.00540)
217.ID	1.588***
	(0.00540)
218.ID	-0.392***
	(0.00540)
219.ID	0.411
	(0.586)
220.ID	1.588***
	(0.00540)
221.ID	1.588***
	(0.00540)
223.ID	-0.177***
	(0.00540)
224.ID	1.588***
	(0.00540)
225.ID	-0.392***
	(0.00540)
226.ID	-0.666***
	(0.00540)
227.ID	1.588***
	(0.00540)
228.ID	1.927***
	(0.171)
229.ID	1.588***
	(0.00540)
230.ID	1.588***
	(0.00540)
231.ID	0.411
	(0.588)
232.ID	-0.392***
	(0.00540)
233.ID	-0.177***
	(0.00540)
234.ID	1.588***
	(0.00540)
235.ID	0.500***
	(0.00540)
236.ID	2.096***
	(0.00540)
237.ID	1.588***
	(0.00540)
239.ID	1.683***
	(0.0994)
240.ID	1.588***
	(0.00540)
241.ID	1.588***
	(0.00540)
242.ID	-0.392***
	(0.00540)
243.ID	1.588***
	(0.00540)
244.ID	1.683***
	(0.0944)
245.ID	-0.392***
	(0.00540)
246.ID	1.588***
	(0.00540)
248.ID	0
	(0.00540)
249.ID	-0.392***
	(0.00540)
250.ID	2.096***
	(0.00540)
251.ID	-0.392***
	(0.00540)
252.ID	-0.177***
	(0.00540)
253.ID	-0.392***
	(0.00540)
254.ID	-0.392***
	(0.00540)
255.ID	2.096***
	(0.00540)
256.ID	1.588***
	(0.00540)
257.ID	1.588***
	(0.00540)
258.ID	-0.392***
	(0.00540)
261.ID	-1.046***
	(0.00540)
263.ID	-0.392***
	(0.00540)
264.ID	2.096***
	(0.00540)
266.ID	1.588***
	(0.00540)
267.ID	-0.177***
	(0.00540)
268.ID	1.588***
	(0.00540)
269.ID	-0.392***
	(0.00540)
271.ID	0.411
	(0.586)
272.ID	2.096***
	(0.00540)
274.ID	-0.392***
	(0.00540)
275.ID	-0.177***
	(0.00540)
276.ID	1.185***
	(0.00540)
277.ID	1.588***
	(0.00540)
278.ID	-0.838***
	(0.00540)
279.ID	-0.177***
	(0.00540)
280.ID	1.588***
	(0.00540)
281.ID	1.588***
	(0.00540)
282.ID	-0.666***
	(0.00540)
283.ID	-0.392***
	(0.00540)
284.ID	-0.392***
	(0.00540)
285.ID	-0.392***
	(0.00540)
286.ID	-0.392***
	(0.00540)
288.ID	1.588***
	(0.00540)
289.ID	1.588***
	(0.00540)
290.ID	1.588***
	(0.00540)
291.ID	-0.392***
	(0.00540)
292.ID	1.874***
	(0.00540)
293.ID	-0.392***
	(0.00540)
294.ID	0
	(0.00540)
295.ID	0.268
	(0.659)
297.ID	1.588***
	(0.00540)
298.ID	1.588***
	(0.00540)
299.ID	2.096***
	(0.00540)
300.ID	0.411
	(0.586)
301.ID	-0.392***
	(0.00540)
302.ID	0.581
	(0.756)
303.ID	0
	(0.00540)
304.ID	2.096***
	(0.00540)
305.ID	1.588***
	(0.00540)
306.ID	0
	(0.00540)
307.ID	0.150***
	(0.00540)
308.ID	0.500***
	(0.00540)
309.ID	-0.177***
	(0.00540)
310.ID	-0.392***
	(0.00540)
311.ID	-1.665***
	(0.00540)
312.ID	1.588***
	(0.00540)
313.ID	-0.249***
	(0.0744)
314.ID	-0.392***
	(0.00540)
315.ID	-0.392***
	(0.00540)
317.ID	1.588***
	(0.00540)
318.ID	1.588***
	(0.00540)
319.ID	1.588***
	(0.00540)
320.ID	-0.392***
	(0.00540)
321.ID	0
	(0.00540)
322.ID	2.096***
	(0.00540)
323.ID	-0.177***
	(0.00540)
324.ID	1.588***
	(0.00540)
326.ID	1.588***
	(0.00540)
327.ID	1.588***
	(0.00540)
328.ID	1.588***
	(0.00540)
329.ID	-0.392***
	(0.00540)
330.ID	1.874***
	(0.00540)
331.ID	-0.392***
	(0.00540)
332.ID	1.588***
	(0.00540)
333.ID	1.588***
	(0.00540)
334.ID	-0.392***
	(0.00540)
335.ID	-0.392***
	(0.00540)
336.ID	1.519***
	(0.00540)
337.ID	-0.392***
	(0.00540)
338.ID	1.588***
	(0.00540)
339.ID	1.588***
	(0.00540)
340.ID	2.096***
	(0.00540)
341.ID	-0.177***
	(0.00540)
342.ID	-0.392***
	(0.00540)
343.ID	1.588***
	(0.00540)
345.ID	1.757***
	(0.174)
346.ID	-1.665***
	(0.00540)
347.ID	0
	(0.00540)
348.ID	-0.392***
	(0.00540)
349.ID	-1.665***
	(0.00540)
350.ID	0.268
	(0.659)
351.ID	-1.669***
	(0.00448)
352.ID	1.588***
	(0.00540)
353.ID	1.185***
	(0.00540)
354.ID	-0.392***
	(0.00540)
355.ID	0
	(0.00540)
356.ID	-0.177***
	(0.00540)
357.ID	1.588***
	(0.00540)
358.ID	-0.392***
	(0.00540)
359.ID	1.588***
	(0.00540)
360.ID	-1.669***
	(0.00448)
361.ID	-0.392***
	(0.00540)
364.ID	1.683***
	(0.0994)
365.ID	-0.392***
	(0.00540)
366.ID	2.096***
	(0.00540)
370.ID	1.588***
	(0.00540)
371.ID	-0.392***
	(0.00540)
373.ID	-0.392***
	(0.00540)
374.ID	1.588***
	(0.00540)
375.ID	-0.392***
	(0.00540)
377.ID	1.588***
	(0.00540)
378.ID	-0.392***
	(0.00540)
379.ID	-0.177***
	(0.00540)
381.ID	-1.046***
	(0.00540)
382.ID	-1.665***
	(0.00540)
383.ID	-0.392***
	(0.00540)
385.ID	1.588***
	(0.00540)
386.ID	-1.046***
	(0.00540)
387.ID	-0.392***
	(0.00540)
388.ID	-0.177***
	(0.00540)
389.ID	1.588***
	(0.00540)
390.ID	2.096***
	(0.00540)
391.ID	-0.392***
	(0.00540)
392.ID	-1.665***
	(0.00540)
393.ID	1.588***
	(0.00540)
395.ID	1.588***
	(0.00540)
397.ID	-0.392***
	(0.00540)
398.ID	-1.046***
	(0.00540)
399.ID	-0.177***
	(0.00540)
400.ID	-0.392***
	(0.00540)
401.ID	0.500***
	(0.00540)
402.ID	-0.392***
	(0.00540)
403.ID	-0.392***
	(0.00540)
404.ID	0
	(0.00540)
405.ID	-0.392***
	(0.00540)
406.ID	1.319***
	(0.133)
407.ID	1.588***
	(0.00540)
408.ID	2.096***
	(0.00540)
409.ID	-1.046***
	(0.00540)
410.ID	-0.392***
	(0.00540)
411.ID	-0.392***
	(0.00540)
413.ID	0
	(0.00540)
414.ID	-0.392***
	(0.00540)
415.ID	-0.392***
	(0.00540)
417.ID	-1.046***
	(0.00540)
418.ID	-0.392***
	(0.00540)
419.ID	-0.392***
	(0.00540)
420.ID	-0.177***
	(0.00540)
421.ID	-0.392***
	(0.00540)
423.ID	1.588***
	(0.00540)
424.ID	1.588***
	(0.00540)
426.ID	-0.392***
	(0.00540)
428.ID	-0.392***
	(0.00540)
429.ID	-0.392***
	(0.00540)
430.ID	2.096***
	(0.00540)
431.ID	-0.177***
	(0.00540)
432.ID	1.588***
	(0.00540)
433.ID	-0.392***
	(0.00540)
434.ID	-0.392***
	(0.00540)
435.ID	2.096***
	(0.00540)
436.ID	-0.177***
	(0.00540)
437.ID	-1.046***
	(0.00540)
438.ID	1.588***
	(0.00540)
439.ID	1.588***
	(0.00540)
440.ID	-0.249***
	(0.0681)
441.ID	1.588***
	(0.00540)
443.ID	-0.392***
	(0.00540)
444.ID	1.874***
	(0.00540)
447.ID	0.500***
	(0.00540)
448.ID	1.588***
	(0.00540)
450.ID	-0.392***
	(0.00540)
451.ID	1.588***
	(0.00540)
452.ID	-0.177***
	(0.00540)
453.ID	2.096***
	(0.00540)
454.ID	-0.177***
	(0.00540)
455.ID	1.588***
	(0.00540)
456.ID	-1.665***
	(0.00540)
457.ID	-0.177***
	(0.00540)
458.ID	2.096***
	(0.00540)
459.ID	-0.177***
	(0.00540)
460.ID	-0.392***
	(0.00540)
461.ID	2.096***
	(0.00540)
462.ID	1.588***
	(0.00540)
463.ID	2.096***
	(0.00540)
465.ID	0.500***
	(0.00540)
466.ID	1.588***
	(0.00540)
467.ID	1.588***
	(0.00540)
468.ID	2.096***
	(0.00540)
469.ID	-0.392***
	(0.00540)
470.ID	1.588***
	(0.00540)
471.ID	2.096***
	(0.00540)
472.ID	2.096***
	(0.00540)
473.ID	1.588***
	(0.00540)
474.ID	1.588***
	(0.00540)
475.ID	-0.392***
	(0.00540)
476.ID	1.588***
	(0.00540)
