	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	0.851
	(1.260)
1.ID	-18***
	(0)
2.ID	138***
	(0)
3.ID	-6***
	(0)
4.ID	90***
	(0)
5.ID	-6***
	(0)
6.ID	-1***
	(0)
7.ID	135***
	(0)
8.ID	126***
	(0)
9.ID	-8***
	(0)
10.ID	282***
	(0)
12.ID	282***
	(0)
14.ID	-6***
	(0)
15.ID	-11***
	(0)
16.ID	162***
	(0)
18.ID	24***
	(0)
19.ID	6***
	(0)
20.ID	78***
	(0)
21.ID	57***
	(0)
22.ID	-18***
	(0)
23.ID	162***
	(0)
24.ID	90***
	(0)
25.ID	108***
	(0)
26.ID	-6***
	(0)
27.ID	-16***
	(0)
28.ID	-3***
	(0)
29.ID	-0
	(0)
30.ID	-9***
	(0)
31.ID	30***
	(0)
32.ID	-18***
	(0)
33.ID	144***
	(0)
34.ID	126***
	(0)
35.ID	-12***
	(0)
36.ID	18***
	(0)
37.ID	-2***
	(0)
38.ID	-12***
	(0)
39.ID	97***
	(0)
40.ID	38***
	(0)
41.ID	18***
	(0)
42.ID	138***
	(0)
43.ID	-9***
	(0)
46.ID	6***
	(0)
47.ID	-6***
	(0)
48.ID	136***
	(0)
49.ID	162***
	(0)
50.ID	162***
	(0)
51.ID	-6***
	(0)
52.ID	114***
	(0)
53.ID	138***
	(0)
54.ID	-6***
	(0)
55.ID	-8***
	(0)
56.ID	144***
	(0)
57.ID	-6***
	(0)
58.ID	30***
	(0)
59.ID	-18***
	(0)
60.ID	-12***
	(0)
61.ID	-8***
	(0)
62.ID	-6***
	(0)
63.ID	6***
	(0)
64.ID	150***
	(0)
65.ID	-12***
	(0)
66.ID	20***
	(0)
67.ID	96***
	(0)
68.ID	6***
	(0)
69.ID	-6***
	(0)
70.ID	213***
	(0)
71.ID	186***
	(0)
72.ID	252***
	(0)
73.ID	-12***
	(0)
74.ID	204***
	(0)
76.ID	-2***
	(0)
77.ID	12***
	(0)
78.ID	6***
	(0)
79.ID	-8***
	(0)
80.ID	138***
	(0)
81.ID	-6***
	(0)
82.ID	-18***
	(0)
83.ID	-6***
	(0)
84.ID	222***
	(0)
85.ID	141***
	(0)
86.ID	84***
	(0)
87.ID	126***
	(0)
88.ID	255***
	(0)
89.ID	-3***
	(0)
90.ID	-14***
	(0)
91.ID	18***
	(0)
92.ID	-6***
	(0)
93.ID	-18***
	(0)
94.ID	11***
	(0)
95.ID	258***
	(0)
96.ID	6***
	(0)
97.ID	-16***
	(0)
98.ID	-6***
	(0)
99.ID	-13***
	(0)
100.ID	-12***
	(0)
101.ID	-18***
	(0)
102.ID	-18***
	(0)
103.ID	-2***
	(0)
104.ID	30***
	(0)
105.ID	6***
	(0)
106.ID	180***
	(0)
107.ID	240***
	(0)
108.ID	224***
	(0)
109.ID	-0
	(0)
110.ID	-12***
	(0)
111.ID	-6***
	(0)
112.ID	162***
	(0)
113.ID	-6***
	(0)
114.ID	147***
	(0)
115.ID	24***
	(0)
116.ID	-6***
	(0)
117.ID	149***
	(0)
118.ID	-6***
	(0)
119.ID	234***
	(0)
120.ID	66***
	(0)
121.ID	162***
	(0)
122.ID	138***
	(0)
123.ID	117***
	(0)
125.ID	83***
	(0)
126.ID	-18***
	(0)
127.ID	-16***
	(0)
128.ID	-12***
	(0)
129.ID	162***
	(0)
130.ID	-12***
	(0)
131.ID	-4***
	(0)
132.ID	-14***
	(0)
133.ID	120***
	(0)
134.ID	21***
	(0)
135.ID	84***
	(0)
136.ID	66***
	(0)
137.ID	155***
	(0)
138.ID	256***
	(0)
139.ID	6***
	(0)
140.ID	-0
	(0)
142.ID	24***
	(0)
144.ID	-12***
	(0)
145.ID	-5***
	(0)
146.ID	186***
	(0)
147.ID	256***
	(0)
148.ID	132***
	(0)
149.ID	-15***
	(0)
150.ID	-6***
	(0)
151.ID	-0
	(0)
152.ID	108***
	(0)
153.ID	30***
	(0)
154.ID	138***
	(0)
155.ID	-12***
	(0)
156.ID	12***
	(0)
157.ID	8***
	(0)
158.ID	114***
	(0)
159.ID	-2***
	(0)
160.ID	126***
	(0)
161.ID	99***
	(0)
163.ID	30***
	(0)
164.ID	-6***
	(0)
165.ID	-4***
	(0)
166.ID	153***
	(0)
167.ID	-6***
	(0)
168.ID	148***
	(0)
169.ID	138***
	(0)
170.ID	84***
	(0)
171.ID	-13***
	(0)
172.ID	-12***
	(0)
173.ID	72***
	(0)
174.ID	96***
	(0)
175.ID	-7***
	(0)
176.ID	6***
	(0)
177.ID	162***
	(0)
178.ID	-6***
	(0)
179.ID	12***
	(0)
180.ID	-18***
	(0)
181.ID	-6***
	(0)
182.ID	-6***
	(0)
183.ID	-10***
	(0)
184.ID	-18***
	(0)
185.ID	144***
	(0)
186.ID	132***
	(0)
187.ID	160***
	(0)
188.ID	126***
	(0)
189.ID	-0
	(0)
190.ID	-4***
	(0)
191.ID	-14***
	(0)
192.ID	-8***
	(0)
194.ID	42***
	(0)
196.ID	-0
	(0)
197.ID	162***
	(0)
198.ID	6***
	(0)
199.ID	6***
	(0)
200.ID	30***
	(0)
201.ID	-12***
	(0)
202.ID	18***
	(0)
203.ID	180***
	(0)
204.ID	192***
	(0)
205.ID	78***
	(0)
206.ID	-18***
	(0)
207.ID	-6***
	(0)
208.ID	-18***
	(0)
209.ID	42***
	(0)
210.ID	-6***
	(0)
212.ID	6***
	(0)
213.ID	282***
	(0)
214.ID	144***
	(0)
215.ID	-12.43***
	(0.630)
218.ID	-0
	(0)
219.ID	-0
	(0)
220.ID	102***
	(0)
221.ID	102***
	(0)
222.ID	242***
	(0)
223.ID	-6***
	(0)
224.ID	222***
	(0)
225.ID	42***
	(0)
226.ID	-14***
	(0)
227.ID	129***
	(0)
228.ID	222***
	(0)
229.ID	30***
	(0)
230.ID	30***
	(0)
231.ID	10***
	(0)
232.ID	12***
	(0)
233.ID	-16***
	(0)
234.ID	96***
	(0)
235.ID	-15***
	(0)
236.ID	270***
	(0)
237.ID	-18***
	(0)
238.ID	57***
	(0)
239.ID	84***
	(0)
240.ID	6***
	(0)
241.ID	162***
	(0)
242.ID	6***
	(0)
243.ID	102***
	(0)
244.ID	192***
	(0)
245.ID	-2***
	(0)
246.ID	-18***
	(0)
247.ID	126***
	(0)
248.ID	-6***
	(0)
249.ID	-12***
	(0)
250.ID	246***
	(0)
251.ID	-2***
	(0)
252.ID	-10***
	(0)
253.ID	-6***
	(0)
254.ID	-3***
	(0)
255.ID	210***
	(0)
256.ID	78***
	(0)
257.ID	162***
	(0)
258.ID	6***
	(0)
259.ID	162***
	(0)
260.ID	108***
	(0)
261.ID	-14***
	(0)
263.ID	6***
	(0)
264.ID	192***
	(0)
266.ID	126***
	(0)
267.ID	6***
	(0)
268.ID	162***
	(0)
269.ID	153***
	(0)
270.ID	126***
	(0)
271.ID	-1***
	(0)
272.ID	186***
	(0)
274.ID	54***
	(0)
275.ID	6***
	(0)
276.ID	60***
	(0)
277.ID	162***
	(0)
278.ID	-13***
	(0)
279.ID	5***
	(0)
280.ID	162***
	(0)
281.ID	162***
	(0)
282.ID	-15***
	(0)
283.ID	6***
	(0)
284.ID	-10***
	(0)
285.ID	-5***
	(0)
286.ID	-6***
	(0)
288.ID	162***
	(0)
289.ID	162***
	(0)
290.ID	162***
	(0)
291.ID	-0
	(0)
292.ID	192***
	(0)
293.ID	-18***
	(0)
294.ID	-6***
	(0)
295.ID	60***
	(0)
296.ID	-6***
	(0)
297.ID	162***
	(0)
298.ID	18***
	(0)
299.ID	246***
	(0)
300.ID	126***
	(0)
301.ID	6***
	(0)
302.ID	282***
	(0)
303.ID	-6***
	(0)
304.ID	42***
	(0)
305.ID	162***
	(0)
306.ID	-12***
	(0)
307.ID	-4***
	(0)
308.ID	-12***
	(0)
309.ID	-14***
	(0)
310.ID	-14***
	(0)
311.ID	-12***
	(0)
313.ID	12***
	(0)
314.ID	-6***
	(0)
315.ID	-6***
	(0)
316.ID	18***
	(0)
317.ID	12***
	(0)
318.ID	138***
	(0)
319.ID	72***
	(0)
320.ID	-9***
	(0)
321.ID	-18***
	(0)
322.ID	198***
	(0)
323.ID	-6***
	(0)
324.ID	84***
	(0)
325.ID	-6***
	(0)
326.ID	40***
	(0)
327.ID	42***
	(0)
328.ID	18***
	(0)
329.ID	-10***
	(0)
330.ID	222***
	(0)
331.ID	-0
	(0)
332.ID	162***
	(0)
333.ID	126***
	(0)
334.ID	-6***
	(0)
335.ID	-0
	(0)
336.ID	-18***
	(0)
337.ID	6***
	(0)
338.ID	-18***
	(0)
339.ID	-0
	(0)
340.ID	216***
	(0)
341.ID	-0
	(0)
342.ID	-6***
	(0)
343.ID	162***
	(0)
344.ID	-12***
	(0)
345.ID	156***
	(0)
346.ID	-18***
	(0)
347.ID	-18***
	(0)
348.ID	-0
	(0)
349.ID	-12***
	(0)
350.ID	6***
	(0)
352.ID	126***
	(0)
353.ID	76***
	(0)
354.ID	-2***
	(0)
355.ID	-12***
	(0)
356.ID	21***
	(0)
357.ID	108***
	(0)
358.ID	-1***
	(0)
359.ID	74***
	(0)
361.ID	-0
	(0)
364.ID	138***
	(0)
365.ID	6***
	(0)
366.ID	174***
	(0)
369.ID	152***
	(0)
370.ID	102***
	(0)
372.ID	102***
	(0)
373.ID	6***
	(0)
374.ID	126***
	(0)
375.ID	24***
	(0)
377.ID	60***
	(0)
378.ID	-0
	(0)
379.ID	3***
	(0)
381.ID	6***
	(0)
382.ID	-12***
	(0)
383.ID	-6***
	(0)
385.ID	78***
	(0)
386.ID	-12***
	(0)
387.ID	-2***
	(0)
388.ID	-0
	(0)
389.ID	156***
	(0)
390.ID	272***
	(0)
391.ID	-1***
	(0)
393.ID	114***
	(0)
394.ID	-0
	(0)
395.ID	108***
	(0)
396.ID	147***
	(0)
397.ID	-12***
	(0)
398.ID	-6***
	(0)
399.ID	12***
	(0)
400.ID	114***
	(0)
401.ID	-6***
	(0)
402.ID	-6***
	(0)
403.ID	-9***
	(0)
404.ID	1***
	(0)
405.ID	-12***
	(0)
406.ID	-6***
	(0)
