	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	0.432
	(0.933)
2.treated	1.520
	(1.149)
1.ID	-16***
	(0)
2.ID	140***
	(0)
3.ID	-4***
	(0)
4.ID	64***
	(0)
5.ID	-4***
	(0)
6.ID	1***
	(0)
7.ID	87***
	(0)
8.ID	-7***
	(0)
9.ID	-6***
	(0)
10.ID	284***
	(0)
12.ID	284***
	(0)
14.ID	36***
	(0)
15.ID	43***
	(0)
16.ID	164***
	(0)
18.ID	70***
	(0)
19.ID	8***
	(0)
20.ID	80***
	(0)
22.ID	-16***
	(0)
23.ID	164***
	(0)
24.ID	92***
	(0)
25.ID	110***
	(0)
26.ID	-4***
	(0)
27.ID	-14***
	(0)
28.ID	-1***
	(0)
29.ID	2***
	(0)
30.ID	-7***
	(0)
31.ID	32***
	(0)
32.ID	-16***
	(0)
33.ID	-10***
	(0)
34.ID	128***
	(0)
35.ID	-10***
	(0)
36.ID	20***
	(0)
37.ID	0
	(0)
38.ID	-10***
	(0)
39.ID	99***
	(0)
40.ID	40***
	(0)
41.ID	20***
	(0)
42.ID	140***
	(0)
43.ID	-7***
	(0)
46.ID	8***
	(0)
47.ID	-4***
	(0)
48.ID	87.33***
	(0)
49.ID	164***
	(0)
50.ID	164***
	(0)
51.ID	-4***
	(0)
52.ID	116***
	(0)
53.ID	110***
	(0)
54.ID	-4***
	(0)
55.ID	-6***
	(0)
56.ID	146***
	(0)
57.ID	-4***
	(0)
58.ID	32***
	(0)
59.ID	-16***
	(0)
60.ID	-10***
	(0)
61.ID	-6***
	(0)
62.ID	-4***
	(0)
63.ID	8***
	(0)
64.ID	132***
	(0)
65.ID	-10***
	(0)
66.ID	22***
	(0)
67.ID	98***
	(0)
68.ID	8***
	(0)
69.ID	0
	(0)
70.ID	175***
	(0)
71.ID	188***
	(0)
72.ID	164***
	(0)
73.ID	-10***
	(0)
74.ID	126***
	(0)
76.ID	0
	(0)
77.ID	14***
	(0)
78.ID	8***
	(0)
79.ID	-6***
	(0)
80.ID	140***
	(0)
81.ID	-4***
	(0)
82.ID	-16***
	(0)
83.ID	-4***
	(0)
84.ID	184***
	(0)
85.ID	143***
	(0)
86.ID	86***
	(0)
87.ID	128***
	(0)
88.ID	257***
	(0)
89.ID	-4***
	(0)
90.ID	-12***
	(0)
91.ID	20***
	(0)
92.ID	-4***
	(0)
93.ID	-16***
	(0)
94.ID	13***
	(0)
95.ID	260***
	(0)
96.ID	8***
	(0)
97.ID	-14***
	(0)
98.ID	2***
	(0)
99.ID	-14***
	(0)
100.ID	-10***
	(0)
101.ID	-16***
	(0)
102.ID	-16***
	(0)
103.ID	0
	(0)
104.ID	32***
	(0)
105.ID	8***
	(0)
106.ID	182***
	(0)
107.ID	242***
	(0)
108.ID	226***
	(0)
109.ID	2***
	(0)
110.ID	-10***
	(0)
111.ID	-4***
	(0)
112.ID	164***
	(0)
113.ID	-4***
	(0)
114.ID	149***
	(0)
115.ID	26***
	(0)
116.ID	-4***
	(0)
117.ID	151***
	(0)
118.ID	-4***
	(0)
119.ID	236***
	(0)
120.ID	68***
	(0)
121.ID	164***
	(0)
122.ID	140***
	(0)
123.ID	233***
	(0)
125.ID	85***
	(0)
126.ID	-16***
	(0)
127.ID	-14***
	(0)
128.ID	-10***
	(0)
129.ID	164***
	(0)
130.ID	-10***
	(0)
131.ID	-2***
	(0)
132.ID	-12***
	(0)
133.ID	122***
	(0)
134.ID	38***
	(0)
135.ID	164***
	(0)
136.ID	94***
	(0)
137.ID	157***
	(0)
138.ID	258***
	(0)
139.ID	8***
	(0)
140.ID	-4***
	(0)
142.ID	26***
	(0)
144.ID	-10***
	(0)
145.ID	-3***
	(0)
146.ID	208***
	(0)
147.ID	258***
	(0)
148.ID	134***
	(0)
149.ID	-13***
	(0)
150.ID	-4***
	(0)
151.ID	2***
	(0)
152.ID	46***
	(0)
153.ID	32***
	(0)
154.ID	140***
	(0)
155.ID	-10***
	(0)
156.ID	14***
	(0)
157.ID	10***
	(0)
158.ID	116***
	(0)
159.ID	0
	(0)
160.ID	128***
	(0)
161.ID	206***
	(0)
163.ID	32***
	(0)
164.ID	-4***
	(0)
165.ID	-2***
	(0)
166.ID	155***
	(0)
167.ID	-4***
	(0)
168.ID	150***
	(0)
169.ID	88***
	(0)
170.ID	68***
	(0)
171.ID	-11***
	(0)
172.ID	-10***
	(0)
173.ID	74***
	(0)
174.ID	98***
	(0)
175.ID	-5***
	(0)
176.ID	8***
	(0)
177.ID	164***
	(0)
178.ID	-4***
	(0)
179.ID	78***
	(0)
180.ID	-16***
	(0)
181.ID	-4***
	(0)
182.ID	-4***
	(0)
183.ID	-8***
	(0)
184.ID	-16***
	(0)
185.ID	110***
	(0)
186.ID	104***
	(0)
187.ID	162***
	(0)
188.ID	128***
	(0)
189.ID	2***
	(0)
190.ID	-2***
	(0)
191.ID	-12***
	(0)
192.ID	-6***
	(0)
194.ID	44***
	(0)
196.ID	2***
	(0)
197.ID	164***
	(0)
198.ID	8***
	(0)
199.ID	8***
	(0)
200.ID	40***
	(0)
201.ID	-10***
	(0)
202.ID	20***
	(0)
203.ID	182***
	(0)
204.ID	194***
	(0)
205.ID	80***
	(0)
206.ID	-16***
	(0)
207.ID	-4***
	(0)
208.ID	-16***
	(0)
209.ID	44***
	(0)
210.ID	-4***
	(0)
212.ID	8***
	(0)
213.ID	284***
	(0)
214.ID	-10***
	(0)
217.ID	128***
	(0)
218.ID	2***
	(0)
219.ID	2***
	(0)
220.ID	104***
	(0)
221.ID	104***
	(0)
222.ID	244***
	(0)
223.ID	-4***
	(0)
224.ID	284***
	(0)
225.ID	44***
	(0)
226.ID	-12***
	(0)
227.ID	131***
	(0)
228.ID	224***
	(0)
229.ID	32***
	(0)
230.ID	32***
	(0)
231.ID	106***
	(0)
232.ID	14***
	(0)
233.ID	-14***
	(0)
234.ID	98***
	(0)
235.ID	-10***
	(0)
236.ID	252***
	(0)
237.ID	-16***
	(0)
238.ID	116***
	(0)
239.ID	66***
	(0)
240.ID	8***
	(0)
241.ID	164***
	(0)
242.ID	8***
	(0)
243.ID	104***
	(0)
244.ID	184***
	(0)
245.ID	0
	(0)
246.ID	-16***
	(0)
247.ID	128***
	(0)
248.ID	-4***
	(0)
249.ID	-10***
	(0)
250.ID	248***
	(0)
251.ID	0
	(0)
252.ID	-8***
	(0)
253.ID	-4***
	(0)
254.ID	-1***
	(0)
255.ID	212***
	(0)
256.ID	80***
	(0)
257.ID	164***
	(0)
258.ID	8***
	(0)
259.ID	164***
	(0)
260.ID	110***
	(0)
261.ID	-12***
	(0)
263.ID	8***
	(0)
264.ID	194***
	(0)
266.ID	128***
	(0)
267.ID	0
	(0)
268.ID	164***
	(0)
269.ID	-1***
	(0)
270.ID	128***
	(0)
271.ID	1***
	(0)
272.ID	188***
	(0)
274.ID	56***
	(0)
275.ID	8***
	(0)
276.ID	62***
	(0)
277.ID	164***
	(0)
278.ID	-11***
	(0)
279.ID	7***
	(0)
280.ID	164***
	(0)
281.ID	164***
	(0)
282.ID	-13***
	(0)
283.ID	8***
	(0)
284.ID	-8***
	(0)
285.ID	-3***
	(0)
286.ID	-4***
	(0)
288.ID	164***
	(0)
289.ID	164***
	(0)
290.ID	164***
	(0)
291.ID	2***
	(0)
292.ID	174***
	(0)
293.ID	-16***
	(0)
294.ID	-4***
	(0)
295.ID	80***
	(0)
296.ID	-4***
	(0)
297.ID	164***
	(0)
298.ID	20***
	(0)
299.ID	248***
	(0)
300.ID	36***
	(0)
301.ID	8***
	(0)
302.ID	194***
	(0)
303.ID	-4***
	(0)
304.ID	44***
	(0)
305.ID	164***
	(0)
306.ID	-10***
	(0)
307.ID	-2***
	(0)
308.ID	-10***
	(0)
309.ID	-12***
	(0)
310.ID	-12***
	(0)
311.ID	-10***
	(0)
312.ID	80***
	(0)
313.ID	12***
	(0)
314.ID	-2***
	(0)
315.ID	-4***
	(0)
316.ID	19.13***
	(0.691)
317.ID	14***
	(0)
318.ID	140***
	(0)
319.ID	74***
	(0)
320.ID	-7***
	(0)
321.ID	-16***
	(0)
322.ID	170***
	(0)
323.ID	-4***
	(0)
324.ID	164***
	(0)
325.ID	-4***
	(0)
326.ID	42***
	(0)
327.ID	44***
	(0)
328.ID	20***
	(0)
329.ID	-8***
	(0)
330.ID	224***
	(0)
331.ID	2***
	(0)
332.ID	164***
	(0)
333.ID	164***
	(0)
334.ID	-4***
	(0)
335.ID	2***
	(0)
336.ID	-16***
	(0)
337.ID	8***
	(0)
338.ID	-16***
	(0)
339.ID	2***
	(0)
340.ID	218***
	(0)
341.ID	2***
	(0)
342.ID	-4***
	(0)
343.ID	164***
	(0)
344.ID	-10***
	(0)
345.ID	98***
	(0)
346.ID	-16***
	(0)
347.ID	-16***
	(0)
348.ID	2***
	(0)
349.ID	50***
	(0)
350.ID	8***
	(0)
352.ID	128***
	(0)
353.ID	78***
	(0)
354.ID	0
	(0)
355.ID	-10***
	(0)
356.ID	26***
	(0)
357.ID	110***
	(0)
358.ID	1***
	(0)
359.ID	154***
	(0)
361.ID	2***
	(0)
364.ID	140***
	(0)
365.ID	8***
	(0)
366.ID	116***
	(0)
369.ID	154***
	(0)
370.ID	104***
	(0)
372.ID	104***
	(0)
373.ID	8***
	(0)
374.ID	128***
	(0)
375.ID	26***
	(0)
377.ID	40.33***
	(0)
378.ID	2***
	(0)
379.ID	5***
	(0)
381.ID	8***
	(0)
382.ID	-10***
	(0)
383.ID	-4***
	(0)
385.ID	80***
	(0)
386.ID	-10***
	(0)
387.ID	0
	(0)
388.ID	2***
	(0)
389.ID	158***
	(0)
390.ID	274***
	(0)
391.ID	1***
	(0)
393.ID	116***
	(0)
394.ID	2***
	(0)
395.ID	110***
	(0)
396.ID	149***
	(0)
397.ID	-10***
	(0)
398.ID	-4***
	(0)
399.ID	12***
	(0)
400.ID	8***
	(0)
401.ID	-4***
	(0)
402.ID	-4***
	(0)
403.ID	-7***
	(0)
404.ID	3***
	(0)
405.ID	-10***
	(0)
406.ID	-4***
	(0)
