	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.00186
	(0.0107)
2.treated	-0.0176
	(0.0125)
1.ID	-1.588***
	(0.00789)
2.ID	0
	(0.00789)
3.ID	-1.980***
	(0.00789)
4.ID	0
	(0.00789)
5.ID	-1.765***
	(0.00789)
6.ID	-1.980***
	(0.00789)
7.ID	0
	(0.00789)
8.ID	-1.765***
	(0.00789)
9.ID	-1.980***
	(0.00789)
10.ID	0.339**
	(0.164)
12.ID	-0.321
	(0.825)
14.ID	0
	(0.00789)
15.ID	-1.980***
	(0.00789)
16.ID	0
	(0.00789)
17.ID	0
	(0.00789)
18.ID	-1.980***
	(0.00789)
19.ID	-1.765***
	(0.00789)
20.ID	0
	(0.00789)
21.ID	-1.765***
	(0.00789)
22.ID	-1.588***
	(0.00789)
23.ID	0
	(0.00789)
24.ID	0
	(0.00789)
25.ID	-1.765***
	(0.00789)
26.ID	-2.634***
	(0.00789)
27.ID	-1.980***
	(0.00789)
28.ID	-2.254***
	(0.00789)
29.ID	-1.980***
	(0.00789)
30.ID	-1.980***
	(0.00789)
31.ID	-0.605**
	(0.301)
32.ID	0
	(0.00789)
33.ID	-0.660
	(0.655)
34.ID	0
	(0.00789)
35.ID	-1.980***
	(0.00789)
36.ID	-1.980***
	(0.00789)
37.ID	-1.980***
	(0.00789)
39.ID	0
	(0.00789)
40.ID	0
	(0.00789)
41.ID	-1.588***
	(0.00789)
42.ID	0.170
	(0.175)
43.ID	-1.980***
	(0.00789)
46.ID	-1.765***
	(0.00789)
47.ID	-2.254***
	(0.00789)
48.ID	0
	(0.00789)
49.ID	0
	(0.00789)
50.ID	0
	(0.00789)
51.ID	-1.980***
	(0.00789)
52.ID	-1.765***
	(0.00789)
53.ID	0.339*
	(0.173)
54.ID	-1.980***
	(0.00789)
55.ID	-1.980***
	(0.00789)
56.ID	0
	(0.00789)
57.ID	-1.980***
	(0.00789)
58.ID	0
	(0.00789)
60.ID	-1.980***
	(0.00789)
61.ID	-1.980***
	(0.00789)
62.ID	-1.765***
	(0.00789)
63.ID	-1.980***
	(0.00789)
64.ID	0
	(0.00789)
66.ID	-1.765***
	(0.00789)
67.ID	0
	(0.00789)
68.ID	-0.403***
	(0.00789)
69.ID	-1.980***
	(0.00789)
70.ID	0.509***
	(0.00789)
71.ID	0.339*
	(0.173)
72.ID	0.509***
	(0.00789)
73.ID	-1.980***
	(0.00789)
74.ID	-0.363
	(0.357)
76.ID	-1.980***
	(0.00789)
77.ID	-0.588
	(0.592)
78.ID	-1.980***
	(0.00789)
79.ID	-1.980***
	(0.00789)
81.ID	-1.980***
	(0.00789)
82.ID	-1.588***
	(0.00789)
83.ID	-1.765***
	(0.00789)
84.ID	0
	(0.00789)
85.ID	0
	(0.00789)
86.ID	0
	(0.00789)
87.ID	0
	(0.00789)
88.ID	0.509***
	(0.00789)
89.ID	-1.980***
	(0.00789)
90.ID	-1.980***
	(0.00789)
91.ID	-0.624***
	(0.00789)
92.ID	-2.634***
	(0.00789)
93.ID	-1.588***
	(0.00789)
94.ID	-1.980***
	(0.00789)
95.ID	0.509***
	(0.00789)
96.ID	-1.980***
	(0.00789)
97.ID	-2.896***
	(0.00789)
98.ID	-1.088***
	(0.00789)
99.ID	-1.765***
	(0.00789)
100.ID	-1.765***
	(0.00789)
102.ID	-2.634***
	(0.00789)
103.ID	-1.980***
	(0.00789)
104.ID	-1.980***
	(0.00789)
105.ID	-1.980***
	(0.00789)
106.ID	0.339**
	(0.172)
107.ID	0.509***
	(0.00789)
108.ID	0.509***
	(0.00789)
109.ID	-1.765***
	(0.00789)
110.ID	-2.634***
	(0.00789)
111.ID	-2.634***
	(0.00789)
112.ID	0
	(0.00789)
113.ID	-1.980***
	(0.00789)
114.ID	0
	(0.00789)
115.ID	0
	(0.00789)
116.ID	-1.777***
	(0.108)
117.ID	0
	(0.00789)
118.ID	0
	(0.00789)
119.ID	0.509***
	(0.00789)
120.ID	-0.756***
	(0.00789)
121.ID	0
	(0.00789)
122.ID	0.509***
	(0.00789)
123.ID	0.509***
	(0.00789)
126.ID	0
	(0.00789)
127.ID	-2.634***
	(0.00789)
128.ID	-1.765***
	(0.00789)
129.ID	0
	(0.00789)
130.ID	-1.980***
	(0.00789)
131.ID	-1.765***
	(0.00789)
132.ID	-2.634***
	(0.00789)
133.ID	0
	(0.00789)
134.ID	-1.088***
	(0.00789)
135.ID	0
	(0.00789)
136.ID	0
	(0.00789)
137.ID	0
	(0.00789)
138.ID	0.509***
	(0.00789)
139.ID	-1.980***
	(0.00789)
140.ID	-1.588***
	(0.00789)
142.ID	-1.980***
	(0.00789)
144.ID	-1.980***
	(0.00789)
145.ID	-1.765***
	(0.00789)
146.ID	0.170
	(0.175)
147.ID	0.509***
	(0.00789)
149.ID	-2.634***
	(0.00789)
150.ID	-1.980***
	(0.00789)
151.ID	-1.765***
	(0.00789)
152.ID	0
	(0.00789)
153.ID	0
	(0.00789)
154.ID	0
	(0.00789)
155.ID	-1.980***
	(0.00789)
156.ID	-1.980***
	(0.00789)
157.ID	0
	(0.00789)
158.ID	0
	(0.00789)
159.ID	-1.765***
	(0.00789)
160.ID	0
	(0.00789)
161.ID	0.286***
	(0.00789)
163.ID	-1.313***
	(0.220)
164.ID	-1.980***
	(0.00789)
165.ID	-1.980***
	(0.00789)
166.ID	0
	(0.00789)
167.ID	-1.980***
	(0.00789)
168.ID	0
	(0.00789)
169.ID	0
	(0.00789)
170.ID	-1.765***
	(0.00789)
171.ID	-1.176**
	(0.594)
172.ID	-1.980***
	(0.00789)
173.ID	0
	(0.00789)
174.ID	0
	(0.00789)
175.ID	-1.765***
	(0.00789)
176.ID	-1.980***
	(0.00789)
177.ID	0
	(0.00789)
178.ID	-2.840***
	(0.201)
179.ID	-0.660
	(0.655)
180.ID	-0.855***
	(0.0296)
181.ID	-2.381***
	(0.121)
182.ID	-1.980***
	(0.00789)
183.ID	-1.176**
	(0.594)
184.ID	-1.980***
	(0.00789)
185.ID	0.509***
	(0.00789)
186.ID	-0.403***
	(0.00789)
187.ID	0.509***
	(0.00789)
188.ID	0
	(0.00789)
189.ID	-1.765***
	(0.00789)
190.ID	-1.980***
	(0.00789)
191.ID	-1.765***
	(0.00789)
192.ID	-1.980***
	(0.00789)
194.ID	0
	(0.00789)
196.ID	-1.980***
	(0.00789)
197.ID	0
	(0.00789)
198.ID	-1.980***
	(0.00789)
199.ID	-1.980***
	(0.00789)
200.ID	0
	(0.00789)
201.ID	-1.980***
	(0.00789)
202.ID	0
	(0.00789)
203.ID	0.509***
	(0.00789)
204.ID	0.509***
	(0.00789)
205.ID	0
	(0.00789)
206.ID	-1.980***
	(0.00789)
207.ID	-1.980***
	(0.00789)
208.ID	-1.980***
	(0.00789)
209.ID	0.509***
	(0.00789)
210.ID	-1.980***
	(0.00789)
212.ID	-1.980***
	(0.00789)
213.ID	0.509***
	(0.00789)
214.ID	-1.980***
	(0.00789)
217.ID	0
	(0.00789)
218.ID	-1.980***
	(0.00789)
219.ID	-1.765***
	(0.00789)
220.ID	0
	(0.00789)
221.ID	0
	(0.00789)
223.ID	0.509***
	(0.00789)
224.ID	0
	(0.00789)
225.ID	0
	(0.00789)
226.ID	-2.254***
	(0.00789)
227.ID	0
	(0.00789)
228.ID	0.509***
	(0.00789)
229.ID	0
	(0.00789)
230.ID	0
	(0.00789)
231.ID	-0.588
	(0.583)
232.ID	-0.660
	(0.655)
233.ID	-1.765***
	(0.00789)
234.ID	0
	(0.00789)
235.ID	-1.088***
	(0.00789)
236.ID	0.509***
	(0.00789)
237.ID	0
	(0.00789)
239.ID	0
	(0.00789)
240.ID	0
	(0.00789)
241.ID	0
	(0.00789)
242.ID	-1.980***
	(0.00789)
243.ID	-0.403***
	(0.00789)
244.ID	0
	(0.00789)
245.ID	-1.980***
	(0.00789)
246.ID	0
	(0.00789)
248.ID	-1.588***
	(0.00789)
249.ID	-1.980***
	(0.00789)
250.ID	0.509***
	(0.00789)
251.ID	-1.980***
	(0.00789)
252.ID	-1.765***
	(0.00789)
253.ID	-1.980***
	(0.00789)
254.ID	-1.980***
	(0.00789)
255.ID	0.509***
	(0.00789)
256.ID	0
	(0.00789)
257.ID	0
	(0.00789)
258.ID	-1.980***
	(0.00789)
259.ID	0
	(0.00789)
261.ID	-2.634***
	(0.00789)
263.ID	-1.980***
	(0.00789)
264.ID	0.509***
	(0.00789)
265.ID	0.339*
	(0.173)
266.ID	0
	(0.00789)
267.ID	-1.765***
	(0.00789)
268.ID	0
	(0.00789)
269.ID	-1.980***
	(0.00789)
271.ID	-0.878
	(0.882)
272.ID	0.509***
	(0.00789)
274.ID	-1.980***
	(0.00789)
275.ID	0.509***
	(0.00789)
276.ID	-0.403***
	(0.00789)
277.ID	0
	(0.00789)
278.ID	-2.426***
	(0.00789)
279.ID	-1.765***
	(0.00789)
280.ID	0
	(0.00789)
281.ID	0
	(0.00789)
282.ID	-2.163***
	(0.0886)
283.ID	-1.980***
	(0.00789)
284.ID	-1.980***
	(0.00789)
285.ID	-1.980***
	(0.00789)
286.ID	-1.980***
	(0.00789)
288.ID	0
	(0.00789)
289.ID	0
	(0.00789)
290.ID	0
	(0.00789)
291.ID	-1.980***
	(0.00789)
292.ID	0.191*
	(0.0982)
293.ID	-1.980***
	(0.00789)
294.ID	-1.588***
	(0.00789)
297.ID	0
	(0.00789)
298.ID	0
	(0.00789)
299.ID	0.509***
	(0.00789)
300.ID	0
	(0.00789)
301.ID	-1.980***
	(0.00789)
302.ID	0.509***
	(0.00789)
303.ID	-1.588***
	(0.00789)
304.ID	0.509***
	(0.00789)
305.ID	0
	(0.00789)
306.ID	-1.588***
	(0.00789)
307.ID	-1.765***
	(0.00789)
308.ID	-1.088***
	(0.00789)
309.ID	-1.765***
	(0.00789)
310.ID	-1.980***
	(0.00789)
311.ID	-3.253***
	(0.00789)
312.ID	0
	(0.00789)
313.ID	-1.765***
	(0.00789)
314.ID	-1.980***
	(0.00789)
315.ID	-1.980***
	(0.00789)
317.ID	0
	(0.00789)
318.ID	0
	(0.00789)
319.ID	0
	(0.00789)
320.ID	-1.765***
	(0.00789)
321.ID	-1.588***
	(0.00789)
322.ID	0.509***
	(0.00789)
323.ID	-1.765***
	(0.00789)
324.ID	0
	(0.00789)
326.ID	0
	(0.00789)
327.ID	0
	(0.00789)
328.ID	0
	(0.00789)
329.ID	-1.980***
	(0.00789)
330.ID	0.0954
	(0.101)
331.ID	-1.980***
	(0.00789)
332.ID	0
	(0.00789)
333.ID	-0.507***
	(0.00789)
334.ID	-1.980***
	(0.00789)
335.ID	-1.980***
	(0.00789)
336.ID	-0.0686***
	(0.00789)
337.ID	-1.980***
	(0.00789)
338.ID	0
	(0.00789)
339.ID	0
	(0.00789)
340.ID	0.509***
	(0.00789)
341.ID	-1.765***
	(0.00789)
342.ID	-1.980***
	(0.00789)
343.ID	0
	(0.00789)
344.ID	-1.588***
	(0.00789)
345.ID	0
	(0.00789)
346.ID	-3.253***
	(0.00789)
347.ID	-1.588***
	(0.00789)
348.ID	-1.980***
	(0.00789)
349.ID	-3.253***
	(0.00789)
350.ID	-1.980***
	(0.00789)
352.ID	0
	(0.00789)
353.ID	-0.403***
	(0.00789)
354.ID	-1.980***
	(0.00789)
355.ID	-1.588***
	(0.00789)
356.ID	-1.765***
	(0.00789)
357.ID	0
	(0.00789)
358.ID	-1.980***
	(0.00789)
359.ID	0
	(0.00789)
361.ID	-1.980***
	(0.00789)
364.ID	0.286***
	(0.00789)
365.ID	-1.980***
	(0.00789)
366.ID	0.265*
	(0.149)
370.ID	-0.660
	(0.655)
373.ID	-1.980***
	(0.00789)
374.ID	0
	(0.00789)
375.ID	-1.980***
	(0.00789)
377.ID	-1.980***
	(0.00789)
378.ID	-1.980***
	(0.00789)
379.ID	-1.765***
	(0.00789)
381.ID	-2.634***
	(0.00789)
382.ID	-3.253***
	(0.00789)
383.ID	-1.980***
	(0.00789)
386.ID	-2.634***
	(0.00789)
387.ID	-1.980***
	(0.00789)
388.ID	-1.647***
	(0.0538)
389.ID	0
	(0.00789)
390.ID	0
	(0.00789)
391.ID	-1.980***
	(0.00789)
393.ID	0
	(0.00789)
394.ID	0
	(0.00789)
395.ID	0
	(0.00789)
397.ID	-1.980***
	(0.00789)
398.ID	-2.634***
	(0.00789)
399.ID	-1.765***
	(0.00789)
400.ID	0
	(0.00789)
401.ID	-1.088***
	(0.00789)
402.ID	-1.980***
	(0.00789)
403.ID	-1.980***
	(0.00789)
404.ID	-1.588***
	(0.00789)
405.ID	-1.980***
	(0.00789)
406.ID	-0.403***
	(0.00789)
407.ID	0
	(0.00789)
408.ID	0.509***
	(0.00789)
409.ID	-1.756**
	(0.876)
410.ID	-1.980***
	(0.00789)
411.ID	-2.254***
	(0.00789)
413.ID	-1.588***
	(0.00789)
414.ID	-1.980***
	(0.00789)
415.ID	-1.980***
	(0.00789)
416.ID	-1.765***
	(0.00789)
417.ID	-2.634***
	(0.00789)
418.ID	-0.660
	(0.664)
419.ID	-1.980***
	(0.00789)
420.ID	-1.765***
	(0.00789)
421.ID	-1.980***
	(0.00789)
423.ID	0
	(0.00789)
424.ID	0
	(0.00789)
426.ID	-1.980***
	(0.00789)
428.ID	-1.980***
	(0.00789)
429.ID	-1.980***
	(0.00789)
430.ID	0.509***
	(0.00789)
431.ID	-1.765***
	(0.00789)
432.ID	0
	(0.00789)
433.ID	-1.980***
	(0.00789)
434.ID	-1.980***
	(0.00789)
435.ID	0.509***
	(0.00789)
436.ID	-0.588
	(0.583)
437.ID	-2.254***
	(0.00789)
438.ID	0
	(0.00789)
439.ID	0
	(0.00789)
440.ID	-1.765***
	(0.00789)
441.ID	0
	(0.00789)
447.ID	-1.088***
	(0.00789)
448.ID	0
	(0.00789)
450.ID	-1.980***
	(0.00789)
451.ID	0
	(0.00789)
452.ID	-1.765***
	(0.00789)
453.ID	0.339*
	(0.173)
454.ID	-1.765***
	(0.00789)
455.ID	0
	(0.00789)
456.ID	-2.840***
	(0.201)
457.ID	-0.249
	(0.761)
458.ID	0.509***
	(0.00789)
459.ID	-1.765***
	(0.00789)
460.ID	-1.980***
	(0.00789)
461.ID	0.339**
	(0.164)
462.ID	0
	(0.00789)
463.ID	0.509***
	(0.00789)
465.ID	-1.088***
	(0.00789)
466.ID	0
	(0.00789)
467.ID	0
	(0.00789)
468.ID	0
	(0.00789)
469.ID	-1.980***
	(0.00789)
470.ID	0
	(0.00789)
471.ID	0.509***
	(0.00789)
472.ID	0.509***
	(0.00789)
473.ID	0
	(0.00789)
474.ID	0
	(0.00789)
475.ID	-1.980***
	(0.00789)
476.ID	0
	(0.00789)
477.ID	0.191**
	(0.0902)
478.ID	0.509***
	(0.00789)
479.ID	0
	(0.00789)
480.ID	-1.088***
	(0.00789)
481.ID	0
	(0.00789)
482.ID	0.509***
	(0.00789)
483.ID	-2.587***
	(0.328)
484.ID	0.286***
	(0.00789)
485.ID	0.509***
	(0.00789)
488.ID	0.509***
	(0.00789)
489.ID	-2.254***
	(0.00789)
490.ID	-1.980***
	(0.00789)
491.ID	-3.257***
	(0.00848)
493.ID	-1.980***
	(0.00789)
494.ID	0
	(0.00789)
495.ID	0
	(0.00789)
497.ID	-1.908***
	(0.0699)
498.ID	0.509***
	(0.00789)
499.ID	-0.958**
	(0.477)
501.ID	-1.765***
	(0.00789)
502.ID	-3.253***
	(0.00789)
503.ID	0
	(0.00789)
504.ID	0
	(0.00789)
505.ID	0
	(0.00789)
506.ID	-1.980***
	(0.00789)
507.ID	0
	(0.00789)
