	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	-5.100***
	(1.667)
3.ID	-156***
	(0)
4.ID	-60***
	(0)
6.ID	-151***
	(0)
8.ID	-159***
	(0)
9.ID	-158***
	(0)
10.ID	132***
	(0)
12.ID	132***
	(0)
15.ID	-161***
	(0)
16.ID	12***
	(0)
21.ID	-154***
	(0)
28.ID	-78***
	(0)
29.ID	-150***
	(0)
30.ID	-159***
	(0)
32.ID	-168***
	(0)
36.ID	-132***
	(0)
38.ID	-162***
	(0)
42.ID	-12***
	(0)
43.ID	-159***
	(0)
46.ID	-144***
	(0)
48.ID	-14***
	(0)
50.ID	12***
	(0)
53.ID	48***
	(0)
54.ID	-156***
	(0)
55.ID	-158***
	(0)
57.ID	-156***
	(0)
61.ID	-158***
	(0)
63.ID	-144***
	(0)
64.ID	-60***
	(0)
65.ID	-162***
	(0)
66.ID	-130***
	(0)
67.ID	-54***
	(0)
69.ID	-156***
	(0)
70.ID	3***
	(0)
71.ID	38.55***
	(0.834)
72.ID	102***
	(0)
73.ID	-84***
	(0)
74.ID	-150***
	(0)
76.ID	-152***
	(0)
78.ID	-144***
	(0)
79.ID	-158***
	(0)
80.ID	-12***
	(0)
81.ID	-156***
	(0)
82.ID	-96***
	(0)
83.ID	-156***
	(0)
89.ID	-156***
	(0)
90.ID	-86***
	(0)
91.ID	-90***
	(0)
96.ID	-144***
	(0)
98.ID	-150***
	(0)
99.ID	-85***
	(0)
100.ID	-87***
	(0)
102.ID	-168***
	(0)
103.ID	-152***
	(0)
105.ID	-144***
	(0)
106.ID	30***
	(0)
108.ID	74***
	(0)
109.ID	-150***
	(0)
110.ID	-162***
	(0)
111.ID	-156***
	(0)
112.ID	12***
	(0)
117.ID	-1***
	(0)
118.ID	-156***
	(0)
119.ID	24***
	(0)
120.ID	-84***
	(0)
122.ID	-12***
	(0)
123.ID	81***
	(0)
125.ID	-67***
	(0)
128.ID	-162***
	(0)
130.ID	-162***
	(0)
131.ID	-154***
	(0)
132.ID	-164***
	(0)
133.ID	-30***
	(0)
135.ID	12***
	(0)
136.ID	-162***
	(0)
137.ID	5***
	(0)
140.ID	-156***
	(0)
142.ID	-126***
	(0)
144.ID	-162***
	(0)
145.ID	-155***
	(0)
146.ID	-24***
	(0)
147.ID	106***
	(0)
148.ID	-18***
	(0)
149.ID	-165***
	(0)
150.ID	-78***
	(0)
153.ID	-120***
	(0)
154.ID	-132***
	(0)
156.ID	-138***
	(0)
157.ID	-142***
	(0)
158.ID	-36***
	(0)
159.ID	-152***
	(0)
161.ID	54***
	(0)
163.ID	-120***
	(0)
165.ID	-154***
	(0)
167.ID	-156***
	(0)
168.ID	-2***
	(0)
173.ID	-78***
	(0)
174.ID	-54***
	(0)
175.ID	-157***
	(0)
178.ID	-156***
	(0)
179.ID	-138***
	(0)
181.ID	-156***
	(0)
182.ID	-156***
	(0)
183.ID	-160***
	(0)
184.ID	-168***
	(0)
185.ID	-6***
	(0)
186.ID	-48***
	(0)
187.ID	10***
	(0)
188.ID	-24***
	(0)
189.ID	-150***
	(0)
192.ID	-158***
	(0)
194.ID	-108***
	(0)
197.ID	12***
	(0)
198.ID	-144***
	(0)
200.ID	-120***
	(0)
204.ID	42***
	(0)
205.ID	-72***
	(0)
206.ID	-168***
	(0)
207.ID	-156***
	(0)
212.ID	-144***
	(0)
213.ID	132***
	(0)
214.ID	-6***
	(0)
218.ID	-150***
	(0)
219.ID	-150***
	(0)
222.ID	92***
	(0)
223.ID	90***
	(0)
225.ID	-108***
	(0)
226.ID	-164***
	(0)
227.ID	-21***
	(0)
228.ID	72***
	(0)
229.ID	-120***
	(0)
233.ID	-166***
	(0)
234.ID	-54***
	(0)
235.ID	-162***
	(0)
236.ID	120***
	(0)
237.ID	-168***
	(0)
238.ID	-36***
	(0)
240.ID	-144***
	(0)
245.ID	-152***
	(0)
246.ID	-168***
	(0)
247.ID	-24***
	(0)
253.ID	-156***
	(0)
255.ID	60***
	(0)
257.ID	12***
	(0)
258.ID	-66***
	(0)
259.ID	12***
	(0)
260.ID	-42***
	(0)
261.ID	-164***
	(0)
263.ID	-144***
	(0)
264.ID	42***
	(0)
267.ID	-144***
	(0)
269.ID	-153***
	(0)
270.ID	-24***
	(0)
277.ID	12***
	(0)
278.ID	-163***
	(0)
280.ID	12***
	(0)
282.ID	-165***
	(0)
283.ID	-144***
	(0)
284.ID	-160***
	(0)
285.ID	-155***
	(0)
286.ID	-156***
	(0)
289.ID	12***
	(0)
290.ID	12***
	(0)
291.ID	-72***
	(0)
295.ID	-72***
	(0)
296.ID	-156***
	(0)
297.ID	12***
	(0)
298.ID	-132***
	(0)
299.ID	96***
	(0)
300.ID	-24***
	(0)
301.ID	-144***
	(0)
302.ID	132***
	(0)
303.ID	-168***
	(0)
304.ID	-108***
	(0)
305.ID	12***
	(0)
307.ID	-166***
	(0)
308.ID	-162***
	(0)
309.ID	-161***
	(0)
310.ID	-164***
	(0)
311.ID	-162***
	(0)
312.ID	-72***
	(0)
313.ID	-138***
	(0)
314.ID	-156***
	(0)
315.ID	-156***
	(0)
317.ID	-138***
	(0)
318.ID	-12***
	(0)
319.ID	-78***
	(0)
320.ID	-159***
	(0)
321.ID	-168***
	(0)
322.ID	48***
	(0)
325.ID	-156***
	(0)
326.ID	-110***
	(0)
327.ID	-108***
	(0)
328.ID	-132***
	(0)
329.ID	-160***
	(0)
330.ID	72***
	(0)
331.ID	-72***
	(0)
332.ID	12***
	(0)
333.ID	12***
	(0)
335.ID	-150***
	(0)
336.ID	-168***
	(0)
337.ID	-144***
	(0)
338.ID	-168***
	(0)
339.ID	-150***
	(0)
342.ID	-156***
	(0)
343.ID	12***
	(0)
344.ID	-168***
	(0)
345.ID	66***
	(0)
346.ID	-168***
	(0)
347.ID	-168***
	(0)
348.ID	-150***
	(0)
349.ID	-162***
	(0)
350.ID	-144***
	(0)
353.ID	-74***
	(0)
356.ID	-126***
	(0)
359.ID	-76***
	(0)
361.ID	-150***
	(0)
364.ID	-12***
	(0)
369.ID	2***
	(0)
370.ID	-48***
	(0)
372.ID	-48***
	(0)
373.ID	-144***
	(0)
374.ID	-24***
	(0)
375.ID	-126***
	(0)
378.ID	-150***
	(0)
379.ID	-150***
	(0)
382.ID	-162***
	(0)
385.ID	-72***
	(0)
387.ID	-152***
	(0)
388.ID	-156***
	(0)
389.ID	6***
	(0)
390.ID	2***
	(0)
391.ID	-151***
	(0)
394.ID	-150***
	(0)
395.ID	-42***
	(0)
396.ID	-3***
	(0)
398.ID	-156***
	(0)
400.ID	-36***
	(0)
402.ID	-156***
	(0)
403.ID	-159***
	(0)
404.ID	-149***
	(0)
405.ID	-162***
	(0)
406.ID	-126***
	(0)
407.ID	-30***
	(0)
409.ID	-164***
	(0)
412.ID	-36***
	(0)
413.ID	-168***
	(0)
414.ID	-168***
	(0)
415.ID	-161***
	(0)
416.ID	-148***
	(0)
417.ID	-168***
	(0)
419.ID	-144***
	(0)
421.ID	-156***
	(0)
424.ID	-12***
	(0)
425.ID	-54***
	(0)
428.ID	-154***
	(0)
429.ID	-72***
	(0)
432.ID	-24***
	(0)
433.ID	-73***
	(0)
434.ID	-144***
	(0)
435.ID	132***
	(0)
436.ID	-165***
	(0)
437.ID	-72***
	(0)
439.ID	-36***
	(0)
440.ID	-165***
	(0)
441.ID	-114***
	(0)
442.ID	-87***
	(0)
445.ID	-154***
	(0)
446.ID	-6***
	(0)
447.ID	-150***
	(0)
448.ID	-24***
	(0)
450.ID	-156***
	(0)
451.ID	-24***
	(0)
453.ID	0
	(0)
456.ID	-156***
	(0)
457.ID	108***
	(0)
458.ID	-36***
	(0)
459.ID	-90***
	(0)
460.ID	-158***
	(0)
461.ID	-36***
	(0)
462.ID	12***
	(0)
464.ID	-60***
	(0)
467.ID	-144***
	(0)
468.ID	-36***
	(0)
469.ID	-161***
	(0)
470.ID	-24***
	(0)
471.ID	102***
	(0)
472.ID	111***
	(0)
473.ID	-23***
	(0)
474.ID	4***
	(0)
475.ID	-158***
	(0)
476.ID	-30***
	(0)
478.ID	36***
	(0)
479.ID	-3***
	(0)
480.ID	-144***
	(0)
481.ID	-24***
	(0)
482.ID	112***
	(0)
486.ID	-156***
	(0)
488.ID	78***
	(0)
489.ID	-150***
	(0)
490.ID	-73***
	(0)
493.ID	-144***
	(0)
495.ID	-108***
	(0)
497.ID	-144***
	(0)
498.ID	0
	(0)
499.ID	-168***
	(0)
501.ID	-153***
	(0)
502.ID	-162***
	(0)
503.ID	-54***
	(0)
504.ID	12***
	(0)
506.ID	-161***
	(0)
507.ID	-168***
	(0)
508.ID	-153***
	(0)
509.ID	-162***
	(0)
512.ID	-157***
	(0)
514.ID	65***
	(0)
521.ID	-168***
	(0)
523.ID	12***
	(0)
525.ID	-155***
	(0)
526.ID	-72***
	(0)
528.ID	72***
	(0)
529.ID	-130***
	(0)
530.ID	-159***
	(0)
532.ID	12***
	(0)
536.ID	12***
	(0)
542.ID	102***
	(0)
543.ID	-168***
	(0)
544.ID	-162***
	(0)
545.ID	-164***
	(0)
546.ID	-165***
	(0)
548.ID	-162***
	(0)
549.ID	12***
	(0)
550.ID	-48***
	(0)
551.ID	12***
	(0)
553.ID	-24***
	(0)
554.ID	-156***
	(0)
555.ID	12***
	(0)
556.ID	-159***
	(0)
559.ID	-30***
	(0)
560.ID	104***
	(0)
561.ID	-144***
	(0)
563.ID	-135***
	(0)
564.ID	-162***
	(0)
567.ID	-168***
	(0)
569.ID	12***
	(0)
570.ID	-167***
	(0)
571.ID	-48***
	(0)
573.ID	-154***
	(0)
575.ID	-24***
	(0)
577.ID	-54***
	(0)
578.ID	-81***
	(0)
581.ID	12***
	(0)
582.ID	-144***
	(0)
583.ID	-164***
	(0)
584.ID	-60***
	(0)
586.ID	-150***
	(0)
587.ID	-168***
	(0)
589.ID	-144***
	(0)
591.ID	-168***
	(0)
592.ID	-78***
	(0)
593.ID	-156***
	(0)
594.ID	-153.5***
	(0.834)
596.ID	-168***
	(0)
597.ID	12***
	(0)
