	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0120
	(0.0107)
1.ID	-1.588***
	(0.00853)
2.ID	-0
	(0.00853)
3.ID	-1.980***
	(0.00853)
4.ID	-0
	(0.00853)
5.ID	-1.765***
	(0.00853)
6.ID	-1.980***
	(0.00853)
7.ID	-0
	(0.00853)
8.ID	-1.765***
	(0.00853)
9.ID	-1.980***
	(0.00853)
10.ID	0.509***
	(0.00853)
12.ID	0.509***
	(0.00853)
14.ID	-0
	(0.00853)
15.ID	-1.980***
	(0.00853)
16.ID	-0
	(0.00853)
17.ID	-1.980***
	(0.00853)
18.ID	-1.980***
	(0.00853)
19.ID	-1.765***
	(0.00853)
20.ID	-0
	(0.00853)
21.ID	-1.765***
	(0.00853)
22.ID	-1.588***
	(0.00853)
23.ID	-0
	(0.00853)
24.ID	-0
	(0.00853)
25.ID	-1.765***
	(0.00853)
26.ID	-2.634***
	(0.00853)
27.ID	-1.980***
	(0.00853)
28.ID	-1.980***
	(0.00853)
29.ID	-1.784***
	(0.190)
30.ID	-1.980***
	(0.00853)
31.ID	-0.908***
	(0.00853)
32.ID	0.00602
	(0.00807)
33.ID	-0
	(0.00853)
34.ID	-0
	(0.00853)
35.ID	-1.980***
	(0.00853)
36.ID	-1.980***
	(0.00853)
37.ID	-1.980***
	(0.00853)
38.ID	-1.980***
	(0.00853)
39.ID	0.143
	(0.149)
40.ID	-0
	(0.00853)
41.ID	-1.588***
	(0.00853)
42.ID	0.509***
	(0.00853)
43.ID	-1.980***
	(0.00853)
46.ID	-1.765***
	(0.00853)
47.ID	-2.254***
	(0.00853)
48.ID	-0
	(0.00853)
49.ID	-0
	(0.00853)
50.ID	-0
	(0.00853)
51.ID	-1.980***
	(0.00853)
52.ID	-1.765***
	(0.00853)
53.ID	0.286***
	(0.00853)
54.ID	-1.980***
	(0.00853)
55.ID	-1.980***
	(0.00853)
56.ID	-0
	(0.00853)
57.ID	-1.980***
	(0.00853)
58.ID	-0
	(0.00853)
59.ID	-1.307***
	(0.00853)
60.ID	-1.980***
	(0.00853)
61.ID	-1.980***
	(0.00853)
62.ID	-1.765***
	(0.00853)
63.ID	-1.980***
	(0.00853)
64.ID	0.286***
	(0.00853)
65.ID	-1.980***
	(0.00853)
66.ID	-1.765***
	(0.00853)
67.ID	-0
	(0.00853)
68.ID	-0.403***
	(0.00853)
69.ID	-1.980***
	(0.00853)
70.ID	0.286***
	(0.00853)
71.ID	0.509***
	(0.00853)
72.ID	0.509***
	(0.00853)
73.ID	-1.980***
	(0.00853)
74.ID	0.254
	(0.249)
76.ID	-1.980***
	(0.00853)
77.ID	-1.765***
	(0.00853)
78.ID	-1.980***
	(0.00853)
79.ID	-1.980***
	(0.00853)
80.ID	-0
	(0.00853)
81.ID	-1.980***
	(0.00853)
82.ID	-1.588***
	(0.00853)
83.ID	-1.765***
	(0.00853)
84.ID	0.143
	(0.137)
85.ID	-0
	(0.00853)
86.ID	-0
	(0.00853)
87.ID	-0
	(0.00853)
88.ID	0.509***
	(0.00853)
89.ID	-1.980***
	(0.00853)
90.ID	-1.980***
	(0.00853)
91.ID	-0.624***
	(0.00853)
92.ID	-2.634***
	(0.00853)
93.ID	-1.588***
	(0.00853)
94.ID	-1.980***
	(0.00853)
95.ID	0.509***
	(0.00853)
96.ID	-1.980***
	(0.00853)
97.ID	-2.896***
	(0.00853)
98.ID	-1.088***
	(0.00853)
99.ID	-1.872***
	(0.102)
100.ID	-1.765***
	(0.00853)
101.ID	-1.980***
	(0.00853)
102.ID	-2.634***
	(0.00853)
103.ID	-1.980***
	(0.00853)
104.ID	-1.980***
	(0.00853)
105.ID	-1.980***
	(0.00853)
106.ID	0.509***
	(0.00853)
107.ID	0.509***
	(0.00853)
108.ID	0.509***
	(0.00853)
109.ID	-1.765***
	(0.00853)
110.ID	-2.634***
	(0.00853)
111.ID	-2.634***
	(0.00853)
112.ID	-0
	(0.00853)
113.ID	-1.980***
	(0.00853)
114.ID	-0.990
	(0.985)
115.ID	-0
	(0.00853)
116.ID	-1.676***
	(0.0948)
117.ID	-0
	(0.00853)
118.ID	-0
	(0.00853)
119.ID	0.509***
	(0.00853)
120.ID	-0.756***
	(0.00853)
121.ID	-0
	(0.00853)
122.ID	0.509***
	(0.00853)
123.ID	0.509***
	(0.00853)
125.ID	-0
	(0.00853)
126.ID	-0
	(0.00853)
127.ID	-2.634***
	(0.00853)
128.ID	-1.765***
	(0.00853)
129.ID	-0
	(0.00853)
130.ID	-1.980***
	(0.00853)
131.ID	-1.765***
	(0.00853)
132.ID	-2.634***
	(0.00853)
133.ID	-0
	(0.00853)
134.ID	-0.544
	(0.551)
135.ID	-0.990
	(0.985)
136.ID	-0.990
	(0.997)
137.ID	-0.990
	(0.985)
138.ID	0.509***
	(0.00853)
139.ID	-1.980***
	(0.00853)
140.ID	-1.588***
	(0.00853)
142.ID	-1.980***
	(0.00853)
144.ID	-1.980***
	(0.00853)
145.ID	-1.765***
	(0.00853)
146.ID	-0
	(0.00853)
147.ID	0.509***
	(0.00853)
148.ID	-0
	(0.00853)
149.ID	-2.634***
	(0.00853)
150.ID	-1.980***
	(0.00853)
151.ID	-1.765***
	(0.00853)
152.ID	-0
	(0.00853)
153.ID	-0
	(0.00853)
154.ID	-0
	(0.00853)
155.ID	-1.980***
	(0.00853)
156.ID	-1.980***
	(0.00853)
157.ID	-0
	(0.00853)
158.ID	-0
	(0.00853)
159.ID	-1.765***
	(0.00853)
160.ID	-0
	(0.00853)
161.ID	0.286***
	(0.00853)
163.ID	-1.088***
	(0.00853)
164.ID	-1.980***
	(0.00853)
165.ID	-1.980***
	(0.00853)
166.ID	-0
	(0.00853)
167.ID	-1.980***
	(0.00853)
168.ID	-0
	(0.00853)
169.ID	-0
	(0.00853)
170.ID	-1.765***
	(0.00853)
171.ID	-1.765***
	(0.00853)
172.ID	-1.980***
	(0.00853)
173.ID	-0
	(0.00853)
174.ID	-0
	(0.00853)
175.ID	-1.765***
	(0.00853)
176.ID	-1.980***
	(0.00853)
177.ID	-0
	(0.00853)
178.ID	-2.307***
	(0.333)
179.ID	-0.990
	(0.985)
180.ID	-0.869***
	(0.0460)
181.ID	-2.634***
	(0.00853)
182.ID	-1.980***
	(0.00853)
183.ID	-1.765***
	(0.00853)
184.ID	-1.980***
	(0.00853)
185.ID	-0.628
	(1.132)
186.ID	-0.403***
	(0.00853)
187.ID	0.509***
	(0.00853)
188.ID	-0
	(0.00853)
189.ID	-1.765***
	(0.00853)
190.ID	-1.980***
	(0.00853)
191.ID	-1.765***
	(0.00853)
192.ID	-1.980***
	(0.00853)
194.ID	-0.0906
	(0.0849)
196.ID	-1.980***
	(0.00853)
197.ID	-0
	(0.00853)
198.ID	-1.980***
	(0.00853)
199.ID	-1.980***
	(0.00853)
200.ID	-0
	(0.00853)
201.ID	-1.980***
	(0.00853)
202.ID	-0
	(0.00853)
203.ID	0.509***
	(0.00853)
204.ID	0.509***
	(0.00853)
205.ID	-0
	(0.00853)
206.ID	-1.980***
	(0.00853)
207.ID	-1.980***
	(0.00853)
208.ID	-1.980***
	(0.00853)
209.ID	0.254
	(0.261)
210.ID	-1.980***
	(0.00853)
212.ID	-1.980***
	(0.00853)
213.ID	0.254
	(0.261)
214.ID	-0.990
	(0.997)
217.ID	-0
	(0.00853)
218.ID	-1.980***
	(0.00853)
219.ID	-1.765***
	(0.00853)
220.ID	-0
	(0.00853)
221.ID	-0
	(0.00853)
222.ID	-0.628
	(1.132)
223.ID	-1.765***
	(0.00853)
224.ID	-0
	(0.00853)
225.ID	-0
	(0.00853)
226.ID	-2.254***
	(0.00853)
227.ID	-0
	(0.00853)
228.ID	0.509***
	(0.00853)
229.ID	-0
	(0.00853)
230.ID	-0
	(0.00853)
231.ID	-0.882
	(0.877)
232.ID	-1.980***
	(0.00853)
233.ID	-1.765***
	(0.00853)
234.ID	-0
	(0.00853)
235.ID	-1.088***
	(0.00853)
236.ID	0.509***
	(0.00853)
237.ID	-0
	(0.00853)
238.ID	-0
	(0.00853)
239.ID	0.286***
	(0.00853)
240.ID	-0
	(0.00853)
241.ID	-0
	(0.00853)
242.ID	-1.980***
	(0.00853)
243.ID	-0.403***
	(0.00853)
244.ID	0.286***
	(0.00853)
245.ID	-1.980***
	(0.00853)
246.ID	-0
	(0.00853)
247.ID	-0
	(0.00853)
248.ID	-1.588***
	(0.00853)
249.ID	-1.980***
	(0.00853)
250.ID	0.509***
	(0.00853)
251.ID	-1.980***
	(0.00853)
252.ID	-1.765***
	(0.00853)
254.ID	-1.980***
	(0.00853)
255.ID	0.509***
	(0.00853)
256.ID	-0
	(0.00853)
258.ID	-1.980***
	(0.00853)
259.ID	-0
	(0.00853)
260.ID	-0
	(0.00853)
261.ID	-2.634***
	(0.00853)
263.ID	-1.980***
	(0.00853)
264.ID	0.509***
	(0.00853)
266.ID	-0
	(0.00853)
267.ID	-1.765***
	(0.00853)
268.ID	-0
	(0.00853)
269.ID	-1.980***
	(0.00853)
270.ID	-0
	(0.00853)
271.ID	-0.990
	(0.985)
272.ID	0.509***
	(0.00853)
274.ID	-1.980***
	(0.00853)
275.ID	-1.765***
	(0.00853)
276.ID	-0.403***
	(0.00853)
277.ID	-0
	(0.00853)
278.ID	-2.426***
	(0.00853)
279.ID	-1.765***
	(0.00853)
280.ID	-0
	(0.00853)
281.ID	-0
	(0.00853)
282.ID	-0.794
	(0.801)
283.ID	-1.980***
	(0.00853)
284.ID	-1.980***
	(0.00853)
285.ID	-1.980***
	(0.00853)
286.ID	-1.980***
	(0.00853)
288.ID	-0
	(0.00853)
289.ID	-0
	(0.00853)
290.ID	-0
	(0.00853)
291.ID	-1.980***
	(0.00853)
292.ID	0.143
	(0.137)
293.ID	-1.980***
	(0.00853)
294.ID	-1.588***
	(0.00853)
295.ID	-0
	(0.00853)
296.ID	-1.307***
	(0.00853)
297.ID	-0
	(0.00853)
298.ID	-0
	(0.00853)
299.ID	0.509***
	(0.00853)
300.ID	-0
	(0.00853)
301.ID	-1.980***
	(0.00853)
302.ID	-1.765***
	(0.00853)
303.ID	-1.447***
	(0.135)
304.ID	0.509***
	(0.00853)
305.ID	-0
	(0.00853)
306.ID	-1.588***
	(0.00853)
307.ID	-1.437***
	(0.00853)
308.ID	-1.088***
	(0.00853)
309.ID	-1.765***
	(0.00853)
310.ID	-1.980***
	(0.00853)
311.ID	-3.253***
	(0.00853)
312.ID	-0
	(0.00853)
313.ID	-1.872***
	(0.102)
314.ID	-1.784***
	(0.202)
315.ID	-1.980***
	(0.00853)
316.ID	-1.588***
	(0.00853)
317.ID	-0
	(0.00853)
318.ID	-0
	(0.00853)
319.ID	-0
	(0.00853)
320.ID	-1.765***
	(0.00853)
321.ID	-1.588***
	(0.00853)
322.ID	0.286***
	(0.00853)
323.ID	-1.765***
	(0.00853)
324.ID	-0.990
	(0.997)
325.ID	-1.980***
	(0.00853)
326.ID	-0
	(0.00853)
327.ID	-0
	(0.00853)
328.ID	-0
	(0.00853)
329.ID	-1.980***
	(0.00853)
330.ID	0.286***
	(0.00853)
331.ID	-1.980***
	(0.00853)
332.ID	-0
	(0.00853)
333.ID	-0
	(0.00853)
334.ID	-1.980***
	(0.00853)
335.ID	-1.980***
	(0.00853)
336.ID	-0.0686***
	(0.00853)
337.ID	-1.980***
	(0.00853)
338.ID	-0
	(0.00853)
339.ID	-0
	(0.00853)
340.ID	0.509***
	(0.00853)
341.ID	-1.765***
	(0.00853)
342.ID	-1.980***
	(0.00853)
343.ID	-0
	(0.00853)
344.ID	-1.588***
	(0.00853)
345.ID	0.509***
	(0.00853)
346.ID	-3.253***
	(0.00853)
347.ID	-1.588***
	(0.00853)
348.ID	-1.980***
	(0.00853)
349.ID	-3.253***
	(0.00853)
350.ID	-1.980***
	(0.00853)
352.ID	-0
	(0.00853)
353.ID	-0.403***
	(0.00853)
354.ID	-1.980***
	(0.00853)
355.ID	-1.588***
	(0.00853)
356.ID	-1.765***
	(0.00853)
357.ID	-0
	(0.00853)
358.ID	-1.980***
	(0.00853)
359.ID	-0
	(0.00853)
361.ID	-1.980***
	(0.00853)
364.ID	0.286***
	(0.00853)
365.ID	-1.980***
	(0.00853)
366.ID	0.286***
	(0.00853)
369.ID	-0
	(0.00853)
370.ID	-1.980***
	(0.00853)
372.ID	-0
	(0.00853)
373.ID	-1.980***
	(0.00853)
374.ID	-0
	(0.00853)
375.ID	-1.980***
	(0.00853)
377.ID	-0.990
	(0.997)
378.ID	-1.980***
	(0.00853)
379.ID	-1.980***
	(0.00853)
381.ID	-1.980***
	(0.00853)
382.ID	-3.253***
	(0.00853)
383.ID	-1.980***
	(0.00853)
385.ID	-0
	(0.00853)
386.ID	-2.634***
	(0.00853)
387.ID	-1.980***
	(0.00853)
388.ID	-1.765***
	(0.00853)
389.ID	-0
	(0.00853)
390.ID	0.509***
	(0.00853)
391.ID	-1.980***
	(0.00853)
393.ID	-0
	(0.00853)
394.ID	-0
	(0.00853)
395.ID	-0
	(0.00853)
396.ID	-0
	(0.00853)
397.ID	-1.980***
	(0.00853)
398.ID	-2.634***
	(0.00853)
399.ID	-1.765***
	(0.00853)
400.ID	-0
	(0.00853)
401.ID	-1.088***
	(0.00853)
402.ID	-1.980***
	(0.00853)
403.ID	-1.980***
	(0.00853)
404.ID	-1.588***
	(0.00853)
405.ID	-1.980***
	(0.00853)
406.ID	-0.201
	(0.208)
407.ID	-0
	(0.00853)
408.ID	0.509***
	(0.00853)
409.ID	-2.765***
	(0.138)
410.ID	-1.980***
	(0.00853)
411.ID	-2.254***
	(0.00853)
412.ID	-0
	(0.00853)
413.ID	-1.588***
	(0.00853)
414.ID	-1.980***
	(0.00853)
415.ID	-1.980***
	(0.00853)
416.ID	-1.765***
	(0.00853)
417.ID	-2.634***
	(0.00853)
418.ID	-1.980***
	(0.00853)
419.ID	-1.980***
	(0.00853)
420.ID	-1.765***
	(0.00853)
421.ID	-1.980***
	(0.00853)
423.ID	-0
	(0.00853)
424.ID	-0
	(0.00853)
425.ID	-0
	(0.00853)
426.ID	-1.980***
	(0.00853)
428.ID	-1.980***
	(0.00853)
429.ID	-1.980***
	(0.00853)
430.ID	0.509***
	(0.00853)
431.ID	-1.765***
	(0.00853)
432.ID	-0
	(0.00853)
433.ID	-1.980***
	(0.00853)
434.ID	-1.980***
	(0.00853)
435.ID	0.509***
	(0.00853)
436.ID	-1.765***
	(0.00853)
437.ID	-2.444***
	(0.196)
438.ID	-0
	(0.00853)
439.ID	-0
	(0.00853)
440.ID	-1.765***
	(0.00853)
441.ID	-0
	(0.00853)
442.ID	-0.507***
	(0.00853)
445.ID	-1.980***
	(0.00853)
446.ID	-0
	(0.00853)
447.ID	-1.088***
	(0.00853)
448.ID	-0.794
	(0.789)
449.ID	-0
	(0.00853)
450.ID	-1.980***
	(0.00853)
451.ID	-0
	(0.00853)
452.ID	-1.765***
	(0.00853)
453.ID	0.509***
	(0.00853)
454.ID	-1.765***
	(0.00853)
455.ID	-0
	(0.00853)
456.ID	-3.253***
	(0.00853)
457.ID	0.509***
	(0.00853)
458.ID	0.509***
	(0.00853)
459.ID	-1.765***
	(0.00853)
460.ID	-1.980***
	(0.00853)
461.ID	0.509***
	(0.00853)
462.ID	-0
	(0.00853)
464.ID	-0
	(0.00853)
465.ID	-1.088***
	(0.00853)
466.ID	-0
	(0.00853)
467.ID	-0
	(0.00853)
468.ID	0.254
	(0.249)
469.ID	-1.980***
	(0.00853)
470.ID	-0
	(0.00853)
471.ID	0.509***
	(0.00853)
472.ID	0.509***
	(0.00853)
