	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	0.888
	(1.716)
1.ID	-168***
	(0)
2.ID	-12***
	(0)
3.ID	-156***
	(0)
4.ID	-60***
	(0)
5.ID	-159***
	(0)
6.ID	-151***
	(0)
7.ID	-15***
	(0)
8.ID	-159***
	(0)
9.ID	-158***
	(0)
12.ID	132***
	(0)
14.ID	-156***
	(0)
15.ID	-161***
	(0)
16.ID	12***
	(0)
18.ID	-126***
	(0)
19.ID	-144***
	(0)
20.ID	-72***
	(0)
21.ID	-154***
	(0)
22.ID	-168***
	(0)
23.ID	12***
	(0)
24.ID	-60***
	(0)
25.ID	-42***
	(0)
26.ID	-156***
	(0)
27.ID	-166***
	(0)
28.ID	-156***
	(0)
29.ID	-150***
	(0)
30.ID	-159***
	(0)
31.ID	-120***
	(0)
32.ID	-168***
	(0)
33.ID	-6***
	(0)
34.ID	-24***
	(0)
35.ID	-162***
	(0)
36.ID	-132***
	(0)
37.ID	-152***
	(0)
39.ID	-53***
	(0)
40.ID	-112***
	(0)
41.ID	-132***
	(0)
42.ID	-12***
	(0)
43.ID	-159***
	(0)
47.ID	-156***
	(0)
48.ID	-14***
	(0)
49.ID	12***
	(0)
50.ID	12***
	(0)
52.ID	-39***
	(0)
54.ID	-156***
	(0)
55.ID	-158***
	(0)
56.ID	-6***
	(0)
57.ID	-156***
	(0)
58.ID	-120***
	(0)
60.ID	-162***
	(0)
61.ID	-158***
	(0)
62.ID	-156***
	(0)
63.ID	-60***
	(0)
64.ID	-60***
	(0)
65.ID	-162***
	(0)
66.ID	-130***
	(0)
67.ID	-54***
	(0)
69.ID	-156***
	(0)
70.ID	33***
	(0)
71.ID	36***
	(0)
72.ID	102***
	(0)
73.ID	-162***
	(0)
76.ID	-152***
	(0)
77.ID	-138***
	(0)
79.ID	-158***
	(0)
80.ID	-12***
	(0)
81.ID	-156***
	(0)
82.ID	-168***
	(0)
83.ID	-156***
	(0)
84.ID	12***
	(0)
85.ID	-87***
	(0)
87.ID	-24***
	(0)
89.ID	-156***
	(0)
90.ID	-164***
	(0)
91.ID	-132***
	(0)
93.ID	-168***
	(0)
94.ID	-139***
	(0)
98.ID	-150***
	(0)
99.ID	-160***
	(0)
103.ID	-152***
	(0)
104.ID	-120***
	(0)
105.ID	-144***
	(0)
106.ID	-30***
	(0)
107.ID	90***
	(0)
109.ID	-150***
	(0)
110.ID	-162***
	(0)
112.ID	12***
	(0)
113.ID	-156***
	(0)
114.ID	-3***
	(0)
115.ID	-96***
	(0)
117.ID	-79***
	(0)
118.ID	-156***
	(0)
120.ID	-84***
	(0)
121.ID	12***
	(0)
122.ID	-12***
	(0)
133.ID	-30***
	(0)
134.ID	-114***
	(0)
144.ID	-159***
	(0)
145.ID	-155***
	(0)
147.ID	106***
	(0)
148.ID	-18***
	(0)
149.ID	-165***
	(0)
152.ID	-42***
	(0)
153.ID	-120***
	(0)
156.ID	-138***
	(0)
167.ID	-156***
	(0)
169.ID	-12***
	(0)
174.ID	-54***
	(0)
187.ID	10***
	(0)
188.ID	-24***
	(0)
189.ID	-150***
	(0)
190.ID	-157***
	(0)
191.ID	-164***
	(0)
194.ID	-123***
	(0)
196.ID	-150***
	(0)
197.ID	12***
	(0)
198.ID	-144***
	(0)
199.ID	-144***
	(0)
200.ID	-120***
	(0)
201.ID	-162***
	(0)
202.ID	-132***
	(0)
203.ID	30***
	(0)
204.ID	42***
	(0)
205.ID	-72***
	(0)
206.ID	-168***
	(0)
207.ID	-156***
	(0)
208.ID	-168***
	(0)
209.ID	-108***
	(0)
212.ID	-144***
	(0)
213.ID	132***
	(0)
214.ID	-84***
	(0)
218.ID	-150***
	(0)
219.ID	-150***
	(0)
220.ID	-48***
	(0)
222.ID	-33***
	(0)
223.ID	-156***
	(0)
224.ID	12***
	(0)
225.ID	-108***
	(0)
226.ID	-164***
	(0)
227.ID	-21***
	(0)
228.ID	72***
	(0)
229.ID	-120***
	(0)
230.ID	-120***
	(0)
231.ID	-140***
	(0)
232.ID	-138***
	(0)
233.ID	-166***
	(0)
234.ID	-54***
	(0)
235.ID	-162***
	(0)
237.ID	-168***
	(0)
238.ID	-36***
	(0)
239.ID	-66***
	(0)
240.ID	-144***
	(0)
241.ID	12***
	(0)
243.ID	-48***
	(0)
244.ID	12***
	(0)
245.ID	-152***
	(0)
246.ID	-168***
	(0)
247.ID	-24***
	(0)
248.ID	-156***
	(0)
249.ID	-162***
	(0)
250.ID	-33***
	(0)
251.ID	-152***
	(0)
252.ID	-160***
	(0)
253.ID	-156***
	(0)
254.ID	-153***
	(0)
255.ID	59.56***
	(0.858)
256.ID	-72***
	(0)
257.ID	12***
	(0)
258.ID	-144***
	(0)
259.ID	12***
	(0)
260.ID	-42***
	(0)
261.ID	-164***
	(0)
264.ID	42***
	(0)
265.ID	12.44***
	(0.858)
266.ID	-24***
	(0)
267.ID	-144***
	(0)
268.ID	12***
	(0)
269.ID	-153***
	(0)
270.ID	-24***
	(0)
271.ID	-151***
	(0)
274.ID	-96***
	(0)
275.ID	-144***
	(0)
277.ID	12***
	(0)
278.ID	-164.5***
	(0)
279.ID	-145***
	(0)
280.ID	12***
	(0)
281.ID	12***
	(0)
282.ID	-165***
	(0)
283.ID	-144***
	(0)
284.ID	-160***
	(0)
285.ID	-155***
	(0)
286.ID	-156***
	(0)
288.ID	12***
	(0)
289.ID	12***
	(0)
290.ID	12***
	(0)
291.ID	-150***
	(0)
292.ID	12***
	(0)
293.ID	-168***
	(0)
294.ID	-156***
	(0)
295.ID	-90***
	(0)
296.ID	-156***
	(0)
297.ID	72***
	(0)
298.ID	-132***
	(0)
299.ID	96***
	(0)
300.ID	-24***
	(0)
301.ID	-144***
	(0)
302.ID	132***
	(0)
303.ID	-162***
	(0)
304.ID	-108***
	(0)
305.ID	12***
	(0)
306.ID	-162***
	(0)
307.ID	-160***
	(0)
308.ID	-162***
	(0)
309.ID	-164***
	(0)
310.ID	-164***
	(0)
311.ID	-162***
	(0)
312.ID	-72***
	(0)
313.ID	-138***
	(0)
314.ID	-156***
	(0)
315.ID	-156***
	(0)
317.ID	-138***
	(0)
319.ID	-78***
	(0)
320.ID	-159***
	(0)
321.ID	-168***
	(0)
322.ID	48***
	(0)
323.ID	-156***
	(0)
325.ID	-156***
	(0)
326.ID	-110***
	(0)
327.ID	-108***
	(0)
328.ID	-132***
	(0)
329.ID	-160***
	(0)
330.ID	72***
	(0)
331.ID	-150***
	(0)
332.ID	12***
	(0)
333.ID	12***
	(0)
335.ID	-150***
	(0)
336.ID	-168***
	(0)
337.ID	-144***
	(0)
338.ID	-168***
	(0)
339.ID	-150***
	(0)
340.ID	66***
	(0)
341.ID	-33***
	(0)
342.ID	-156***
	(0)
343.ID	-48***
	(0)
344.ID	-168***
	(0)
345.ID	66***
	(0)
347.ID	-168***
	(0)
348.ID	-150***
	(0)
349.ID	-162.4***
	(0.858)
350.ID	-144***
	(0)
352.ID	-24***
	(0)
353.ID	-74***
	(0)
354.ID	-152***
	(0)
356.ID	-126***
	(0)
358.ID	-151***
	(0)
359.ID	2***
	(0)
361.ID	-150***
	(0)
382.ID	-162***
	(0)
385.ID	-72***
	(0)
386.ID	-162***
	(0)
387.ID	-152***
	(0)
390.ID	2***
	(0)
391.ID	-151***
	(0)
395.ID	-42***
	(0)
398.ID	-156***
	(0)
399.ID	-138***
	(0)
400.ID	-36***
	(0)
403.ID	-159***
	(0)
405.ID	-162***
	(0)
406.ID	-156***
	(0)
407.ID	-30***
	(0)
408.ID	-48***
	(0)
409.ID	-164***
	(0)
412.ID	-36***
	(0)
413.ID	-168***
	(0)
414.ID	-168***
	(0)
415.ID	-161***
	(0)
416.ID	-148***
	(0)
417.ID	-168***
	(0)
419.ID	-144***
	(0)
420.ID	-149***
	(0)
421.ID	-156***
	(0)
423.ID	-36***
	(0)
424.ID	-12***
	(0)
425.ID	-54***
	(0)
428.ID	-154***
	(0)
429.ID	-150***
	(0)
430.ID	60***
	(0)
431.ID	-152***
	(0)
432.ID	-24***
	(0)
434.ID	-144***
	(0)
435.ID	132***
	(0)
436.ID	-165***
	(0)
437.ID	-150***
	(0)
438.ID	12***
	(0)
439.ID	-36***
	(0)
440.ID	-165***
	(0)
441.ID	-114***
	(0)
442.ID	-87***
	(0)
445.ID	-154***
	(0)
446.ID	-6***
	(0)
447.ID	-150***
	(0)
448.ID	-24***
	(0)
450.ID	-156***
	(0)
451.ID	-24***
	(0)
452.ID	-167***
	(0)
453.ID	-0
	(0)
454.ID	-154***
	(0)
456.ID	-156.4***
	(0.858)
457.ID	108***
	(0)
458.ID	-36***
	(0)
459.ID	-90***
	(0)
460.ID	-158***
	(0)
461.ID	-36***
	(0)
462.ID	12***
	(0)
464.ID	-60***
	(0)
467.ID	-144***
	(0)
468.ID	24***
	(0)
469.ID	-161***
	(0)
470.ID	-24***
	(0)
471.ID	72***
	(0)
472.ID	111***
	(0)
473.ID	-23***
	(0)
474.ID	4***
	(0)
475.ID	-158***
	(0)
476.ID	-30***
	(0)
477.ID	-10***
	(0)
478.ID	36***
	(0)
479.ID	-3***
	(0)
481.ID	-24***
	(0)
482.ID	112***
	(0)
483.ID	-156***
	(0)
484.ID	36***
	(0)
485.ID	132***
	(0)
486.ID	-156***
	(0)
488.ID	78***
	(0)
489.ID	-156***
	(0)
490.ID	-151***
	(0)
493.ID	-138***
	(0)
494.ID	-12***
	(0)
495.ID	-108***
	(0)
497.ID	-141***
	(0)
498.ID	-0
	(0)
499.ID	-168***
	(0)
501.ID	-153***
	(0)
502.ID	-162***
	(0)
503.ID	-96***
	(0)
505.ID	-168***
	(0)
506.ID	-158***
	(0)
507.ID	-168***
	(0)
508.ID	-153***
	(0)
509.ID	-162***
	(0)
510.ID	-128***
	(0)
512.ID	-157***
	(0)
514.ID	65***
	(0)
515.ID	36***
	(0)
518.ID	-156***
	(0)
519.ID	-159***
	(0)
521.ID	-168***
	(0)
523.ID	42***
	(0)
525.ID	-155***
	(0)
526.ID	-72***
	(0)
527.ID	12***
	(0)
