	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	-0.188
	(0.835)
2.treated	0.464
	(0.882)
1.ID	-24***
	(0)
2.ID	132***
	(0)
3.ID	-12***
	(0)
4.ID	84***
	(0)
5.ID	-12***
	(0)
6.ID	-7***
	(0)
7.ID	129***
	(0)
8.ID	-15***
	(0)
9.ID	-14***
	(0)
10.ID	276***
	(0)
12.ID	6***
	(0)
13.ID	-18***
	(0)
14.ID	-12***
	(0)
15.ID	-17***
	(0)
16.ID	156***
	(0)
18.ID	18***
	(0)
19.ID	0
	(0)
20.ID	72***
	(0)
21.ID	-10***
	(0)
22.ID	-24***
	(0)
23.ID	156***
	(0)
24.ID	84***
	(0)
25.ID	102***
	(0)
26.ID	-12***
	(0)
27.ID	-22***
	(0)
28.ID	-9***
	(0)
29.ID	-6***
	(0)
30.ID	-15***
	(0)
31.ID	24***
	(0)
32.ID	-24***
	(0)
33.ID	138***
	(0)
34.ID	120***
	(0)
35.ID	-18***
	(0)
36.ID	12***
	(0)
37.ID	-8***
	(0)
39.ID	91***
	(0)
40.ID	32***
	(0)
41.ID	12***
	(0)
42.ID	132***
	(0)
43.ID	-15***
	(0)
46.ID	0
	(0)
47.ID	-12***
	(0)
48.ID	130***
	(0)
49.ID	156***
	(0)
50.ID	156***
	(0)
51.ID	-12***
	(0)
52.ID	108***
	(0)
53.ID	102***
	(0)
54.ID	-12***
	(0)
55.ID	-14***
	(0)
56.ID	138***
	(0)
57.ID	-12***
	(0)
58.ID	24***
	(0)
60.ID	-18***
	(0)
61.ID	-14***
	(0)
62.ID	-12***
	(0)
63.ID	0
	(0)
64.ID	84***
	(0)
66.ID	14***
	(0)
67.ID	90***
	(0)
68.ID	0
	(0)
69.ID	-12***
	(0)
70.ID	207***
	(0)
71.ID	180***
	(0)
72.ID	246***
	(0)
73.ID	-18***
	(0)
74.ID	-6***
	(0)
75.ID	44***
	(0)
76.ID	-8***
	(0)
77.ID	156***
	(0)
78.ID	0
	(0)
79.ID	-14***
	(0)
81.ID	-12***
	(0)
82.ID	-24***
	(0)
83.ID	-12***
	(0)
84.ID	156***
	(0)
85.ID	135***
	(0)
86.ID	78***
	(0)
87.ID	120***
	(0)
88.ID	249***
	(0)
89.ID	-12***
	(0)
90.ID	-20***
	(0)
91.ID	12***
	(0)
92.ID	-12***
	(0)
93.ID	-24***
	(0)
94.ID	5***
	(0)
95.ID	252***
	(0)
96.ID	0
	(0)
97.ID	-22***
	(0)
98.ID	-6***
	(0)
99.ID	-22***
	(0)
100.ID	-18***
	(0)
102.ID	-24***
	(0)
103.ID	-8***
	(0)
104.ID	24***
	(0)
105.ID	0
	(0)
106.ID	174***
	(0)
107.ID	234***
	(0)
108.ID	218***
	(0)
109.ID	-6***
	(0)
110.ID	-18***
	(0)
111.ID	-14***
	(0)
112.ID	156***
	(0)
113.ID	-12***
	(0)
114.ID	141***
	(0)
115.ID	18***
	(0)
116.ID	-12***
	(0)
117.ID	143***
	(0)
118.ID	-12***
	(0)
119.ID	228***
	(0)
120.ID	60***
	(0)
121.ID	104***
	(0)
122.ID	132***
	(0)
123.ID	225***
	(0)
124.ID	276***
	(0)
126.ID	-24***
	(0)
127.ID	-22***
	(0)
128.ID	-18***
	(0)
129.ID	156***
	(0)
130.ID	-18***
	(0)
131.ID	-10***
	(0)
132.ID	-20***
	(0)
133.ID	154***
	(0)
134.ID	30***
	(0)
135.ID	156***
	(0)
136.ID	138***
	(0)
137.ID	149***
	(0)
138.ID	250***
	(0)
139.ID	0
	(0)
140.ID	-12***
	(0)
141.ID	146***
	(0)
142.ID	18***
	(0)
143.ID	0.186
	(0.260)
144.ID	-14***
	(0)
145.ID	-11***
	(0)
146.ID	240***
	(0)
147.ID	250***
	(0)
149.ID	-21***
	(0)
150.ID	-12***
	(0)
151.ID	-6***
	(0)
152.ID	102***
	(0)
153.ID	24***
	(0)
154.ID	12***
	(0)
155.ID	-18***
	(0)
156.ID	6***
	(0)
157.ID	2***
	(0)
158.ID	108***
	(0)
159.ID	-8***
	(0)
160.ID	120***
	(0)
161.ID	-12***
	(0)
162.ID	-24***
	(0)
163.ID	24***
	(0)
164.ID	-12***
	(0)
165.ID	-10***
	(0)
166.ID	147***
	(0)
167.ID	-12***
	(0)
168.ID	142***
	(0)
169.ID	132***
	(0)
170.ID	78***
	(0)
171.ID	-19***
	(0)
172.ID	-18***
	(0)
173.ID	66***
	(0)
174.ID	90***
	(0)
175.ID	-13***
	(0)
176.ID	0
	(0)
177.ID	156***
	(0)
178.ID	-12***
	(0)
179.ID	6***
	(0)
180.ID	-24***
	(0)
181.ID	-12***
	(0)
182.ID	-12***
	(0)
183.ID	-16***
	(0)
184.ID	-24***
	(0)
185.ID	84***
	(0)
186.ID	116***
	(0)
187.ID	154***
	(0)
188.ID	120***
	(0)
189.ID	-6***
	(0)
190.ID	-10***
	(0)
191.ID	-20***
	(0)
192.ID	-14***
	(0)
194.ID	36***
	(0)
196.ID	-6***
	(0)
197.ID	156***
	(0)
198.ID	0
	(0)
199.ID	0
	(0)
200.ID	48***
	(0)
201.ID	-18***
	(0)
202.ID	12***
	(0)
203.ID	174***
	(0)
204.ID	186***
	(0)
205.ID	40***
	(0)
206.ID	-24***
	(0)
207.ID	-12***
	(0)
208.ID	-24***
	(0)
209.ID	36***
	(0)
210.ID	-12***
	(0)
212.ID	0
	(0)
213.ID	276***
	(0)
214.ID	-18***
	(0)
217.ID	120***
	(0)
218.ID	-6***
	(0)
219.ID	44***
	(0)
220.ID	96***
	(0)
221.ID	96***
	(0)
223.ID	-12***
	(0)
224.ID	156***
	(0)
225.ID	72***
	(0)
226.ID	-20***
	(0)
227.ID	123***
	(0)
228.ID	176***
	(0)
229.ID	24***
	(0)
230.ID	24***
	(0)
231.ID	35.33***
	(0)
232.ID	6***
	(0)
233.ID	-22***
	(0)
234.ID	90***
	(0)
235.ID	-18***
	(0)
236.ID	264***
	(0)
237.ID	-24***
	(0)
239.ID	38***
	(0)
240.ID	0
	(0)
241.ID	156***
	(0)
242.ID	0
	(0)
243.ID	156***
	(0)
244.ID	176***
	(0)
245.ID	-8***
	(0)
246.ID	-24***
	(0)
248.ID	-12***
	(0)
249.ID	-18***
	(0)
250.ID	240***
	(0)
251.ID	-8***
	(0)
252.ID	-16***
	(0)
253.ID	-12***
	(0)
254.ID	-9***
	(0)
255.ID	204***
	(0)
256.ID	72***
	(0)
257.ID	156***
	(0)
258.ID	0
	(0)
261.ID	-20***
	(0)
263.ID	0
	(0)
264.ID	186***
	(0)
266.ID	120***
	(0)
267.ID	0
	(0)
268.ID	156***
	(0)
269.ID	-9***
	(0)
271.ID	49***
	(0)
272.ID	180***
	(0)
274.ID	48***
	(0)
275.ID	0
	(0)
276.ID	54***
	(0)
277.ID	156***
	(0)
278.ID	-19***
	(0)
279.ID	-1***
	(0)
280.ID	156***
	(0)
281.ID	156***
	(0)
282.ID	-21***
	(0)
283.ID	0
	(0)
284.ID	-16***
	(0)
285.ID	-11***
	(0)
286.ID	-12***
	(0)
288.ID	156***
	(0)
289.ID	156***
	(0)
290.ID	156***
	(0)
291.ID	-6***
	(0)
292.ID	186***
	(0)
293.ID	-24***
	(0)
294.ID	-12***
	(0)
295.ID	60***
	(0)
297.ID	156***
	(0)
298.ID	12***
	(0)
299.ID	240***
	(0)
300.ID	28***
	(0)
301.ID	0
	(0)
302.ID	96***
	(0)
303.ID	-24***
	(0)
304.ID	36***
	(0)
305.ID	156***
	(0)
306.ID	-18***
	(0)
307.ID	-22***
	(0)
308.ID	-18***
	(0)
309.ID	-20***
	(0)
310.ID	-20***
	(0)
311.ID	-18***
	(0)
312.ID	72***
	(0)
313.ID	4***
	(0)
314.ID	-6***
	(0)
315.ID	-12***
	(0)
317.ID	6***
	(0)
318.ID	132***
	(0)
319.ID	66***
	(0)
320.ID	-21***
	(0)
321.ID	-24***
	(0)
322.ID	222***
	(0)
323.ID	-12***
	(0)
324.ID	156***
	(0)
326.ID	34***
	(0)
327.ID	36***
	(0)
328.ID	12***
	(0)
329.ID	-16***
	(0)
330.ID	216***
	(0)
331.ID	-6***
	(0)
332.ID	156***
	(0)
333.ID	156***
	(0)
334.ID	-12***
	(0)
335.ID	-6***
	(0)
336.ID	-24***
	(0)
337.ID	0
	(0)
338.ID	-24***
	(0)
339.ID	-6***
	(0)
340.ID	210***
	(0)
341.ID	-6***
	(0)
342.ID	-12***
	(0)
343.ID	156***
	(0)
345.ID	130***
	(0)
346.ID	-24***
	(0)
347.ID	-24***
	(0)
348.ID	-6***
	(0)
349.ID	-18***
	(0)
350.ID	52***
	(0)
351.ID	-18.05***
	(0.245)
352.ID	120***
	(0)
353.ID	70***
	(0)
354.ID	-8***
	(0)
355.ID	-18***
	(0)
356.ID	18***
	(0)
357.ID	102***
	(0)
358.ID	-7***
	(0)
359.ID	146***
	(0)
360.ID	-18.05***
	(0.245)
361.ID	-6***
	(0)
364.ID	92***
	(0)
365.ID	0
	(0)
366.ID	168***
	(0)
370.ID	96***
	(0)
371.ID	-12***
	(0)
373.ID	0
	(0)
374.ID	120***
	(0)
375.ID	18***
	(0)
377.ID	119***
	(0)
378.ID	-6***
	(0)
379.ID	-3***
	(0)
381.ID	-12***
	(0)
382.ID	-18***
	(0)
383.ID	-12***
	(0)
385.ID	72***
	(0)
386.ID	-18***
	(0)
387.ID	-8***
	(0)
388.ID	-6***
	(0)
389.ID	150***
	(0)
390.ID	266***
	(0)
391.ID	-7***
	(0)
392.ID	-18***
	(0)
393.ID	108***
	(0)
395.ID	102***
	(0)
397.ID	-18***
	(0)
398.ID	-12***
	(0)
399.ID	6***
	(0)
400.ID	0
	(0)
401.ID	-12***
	(0)
402.ID	-12***
	(0)
403.ID	-15***
	(0)
404.ID	-5***
	(0)
405.ID	-18***
	(0)
406.ID	8***
	(0)
407.ID	114***
	(0)
408.ID	96***
	(0)
409.ID	-20***
	(0)
410.ID	-10***
	(0)
411.ID	-12***
	(0)
413.ID	-24***
	(0)
414.ID	-24***
	(0)
415.ID	-17***
