	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	0.581
	(1.130)
3.ID	-156***
	(0)
4.ID	-60***
	(0)
6.ID	-151***
	(0)
8.ID	-159***
	(0)
12.ID	132***
	(0)
15.ID	-161***
	(0)
16.ID	12***
	(0)
30.ID	-159***
	(0)
32.ID	-168***
	(0)
39.ID	-53***
	(0)
43.ID	-159***
	(0)
49.ID	12***
	(0)
55.ID	-158***
	(0)
61.ID	-158***
	(0)
64.ID	-60***
	(0)
65.ID	-162***
	(0)
66.ID	-130***
	(0)
67.ID	-54***
	(0)
71.ID	35.71***
	(0.565)
73.ID	-162***
	(0)
74.ID	-108***
	(0)
79.ID	-158***
	(0)
80.ID	-12***
	(0)
81.ID	-156***
	(0)
83.ID	-156***
	(0)
91.ID	-90***
	(0)
100.ID	-162***
	(0)
102.ID	-168***
	(0)
103.ID	-152***
	(0)
105.ID	-144***
	(0)
108.ID	74***
	(0)
109.ID	-75***
	(0)
110.ID	-162***
	(0)
111.ID	-156***
	(0)
112.ID	12***
	(0)
117.ID	-1***
	(0)
118.ID	-156***
	(0)
119.ID	84***
	(0)
122.ID	-12***
	(0)
123.ID	81***
	(0)
125.ID	-67***
	(0)
127.ID	-166***
	(0)
128.ID	-162***
	(0)
131.ID	-154***
	(0)
132.ID	-164***
	(0)
135.ID	-66***
	(0)
136.ID	-6***
	(0)
137.ID	5***
	(0)
140.ID	-156***
	(0)
142.ID	-126***
	(0)
147.ID	106***
	(0)
148.ID	-18***
	(0)
149.ID	-165***
	(0)
150.ID	-156***
	(0)
153.ID	-120***
	(0)
154.ID	-132***
	(0)
156.ID	-138***
	(0)
157.ID	-142***
	(0)
158.ID	-93***
	(0)
159.ID	-152***
	(0)
163.ID	-120***
	(0)
165.ID	-154***
	(0)
167.ID	-156***
	(0)
168.ID	-2***
	(0)
178.ID	-156***
	(0)
181.ID	-153***
	(0)
182.ID	-156***
	(0)
184.ID	-168***
	(0)
189.ID	-150***
	(0)
194.ID	-108***
	(0)
197.ID	12***
	(0)
202.ID	-132***
	(0)
204.ID	42***
	(0)
206.ID	-168***
	(0)
207.ID	-156***
	(0)
208.ID	-168***
	(0)
209.ID	-108***
	(0)
214.ID	-84***
	(0)
218.ID	-150***
	(0)
219.ID	-150***
	(0)
226.ID	-164***
	(0)
227.ID	-21***
	(0)
229.ID	-120***
	(0)
233.ID	-166***
	(0)
234.ID	-54***
	(0)
235.ID	-162***
	(0)
237.ID	-168***
	(0)
240.ID	-144***
	(0)
245.ID	-152***
	(0)
246.ID	-168***
	(0)
247.ID	-24***
	(0)
257.ID	12***
	(0)
260.ID	-42***
	(0)
269.ID	-153***
	(0)
270.ID	-24***
	(0)
277.ID	12***
	(0)
282.ID	-165***
	(0)
285.ID	-155***
	(0)
286.ID	-156***
	(0)
290.ID	12***
	(0)
291.ID	-150***
	(0)
296.ID	-156***
	(0)
298.ID	-132***
	(0)
299.ID	96***
	(0)
300.ID	-96***
	(0)
301.ID	-144***
	(0)
304.ID	-108***
	(0)
305.ID	12***
	(0)
309.ID	-164***
	(0)
310.ID	-164***
	(0)
314.ID	-162***
	(0)
315.ID	-156***
	(0)
317.ID	-138***
	(0)
318.ID	-12***
	(0)
319.ID	-78***
	(0)
321.ID	-168***
	(0)
325.ID	-156***
	(0)
326.ID	-110***
	(0)
327.ID	-108***
	(0)
329.ID	-160***
	(0)
335.ID	-150***
	(0)
336.ID	-168***
	(0)
337.ID	-144***
	(0)
338.ID	-168***
	(0)
339.ID	-150***
	(0)
342.ID	-156***
	(0)
343.ID	12***
	(0)
347.ID	-168***
	(0)
348.ID	-150***
	(0)
349.ID	-162***
	(0)
353.ID	-74***
	(0)
369.ID	2***
	(0)
378.ID	-150***
	(0)
389.ID	6***
	(0)
391.ID	-151***
	(0)
398.ID	-156***
	(0)
400.ID	-36***
	(0)
403.ID	-159***
	(0)
404.ID	-149***
	(0)
407.ID	-30***
	(0)
409.ID	-164***
	(0)
413.ID	-168***
	(0)
414.ID	-168***
	(0)
415.ID	-161***
	(0)
416.ID	-148***
	(0)
417.ID	-168***
	(0)
421.ID	-156***
	(0)
424.ID	-12***
	(0)
428.ID	-154***
	(0)
429.ID	-150***
	(0)
435.ID	132***
	(0)
436.ID	-165***
	(0)
442.ID	-87***
	(0)
445.ID	-154***
	(0)
446.ID	-6***
	(0)
450.ID	-156***
	(0)
456.ID	-156.3***
	(0.565)
459.ID	-90***
	(0)
460.ID	-158***
	(0)
462.ID	12***
	(0)
473.ID	-23***
	(0)
474.ID	4***
	(0)
479.ID	-3***
	(0)
486.ID	-78***
	(0)
489.ID	-150***
	(0)
490.ID	-151***
	(0)
501.ID	-153***
	(0)
504.ID	12***
	(0)
507.ID	-168***
	(0)
514.ID	65***
	(0)
523.ID	12***
	(0)
525.ID	-155***
	(0)
530.ID	-159***
	(0)
532.ID	12***
	(0)
542.ID	132***
	(0)
543.ID	-168***
	(0)
544.ID	-162***
	(0)
545.ID	-164***
	(0)
546.ID	-165***
	(0)
550.ID	-48***
	(0)
551.ID	12***
	(0)
553.ID	-24***
	(0)
554.ID	-156***
	(0)
555.ID	12***
	(0)
559.ID	-30***
	(0)
560.ID	104***
	(0)
563.ID	-138***
	(0)
569.ID	12***
	(0)
570.ID	-167***
	(0)
573.ID	-154***
	(0)
582.ID	-144***
	(0)
583.ID	-164***
	(0)
584.ID	-60***
	(0)
591.ID	-168***
	(0)
592.ID	-78***
	(0)
593.ID	-156***
	(0)
594.ID	-155.7***
	(0.565)
596.ID	-168***
	(0)
597.ID	12***
	(0)
598.ID	-168***
	(0)
605.ID	-164***
	(0)
607.ID	-168***
	(0)
618.ID	-39***
	(0)
621.ID	-144***
	(0)
622.ID	-150***
	(0)
624.ID	-132***
	(0)
628.ID	-60***
	(0)
634.ID	-132***
	(0)
637.ID	104***
	(0)
640.ID	1***
	(0)
642.ID	-60***
	(0)
645.ID	-108***
	(0)
653.ID	-156***
	(0)
658.ID	-158***
	(0)
660.ID	-144***
	(0)
661.ID	0
	(0)
662.ID	-96***
	(0)
665.ID	-152***
	(0)
667.ID	-132***
	(0)
670.ID	-66***
	(0)
671.ID	-144***
	(0)
677.ID	-152***
	(0)
679.ID	132***
	(0)
681.ID	-120***
	(0)
687.ID	-150***
	(0)
691.ID	-156***
	(0)
693.ID	12***
	(0)
699.ID	-156***
	(0)
700.ID	-108***
	(0)
704.ID	-162***
	(0)
706.ID	-164***
	(0)
707.ID	-151***
	(0)
710.ID	-165***
	(0)
711.ID	132***
	(0)
720.ID	-24***
	(0)
731.ID	-18***
	(0)
733.ID	-156***
	(0)
735.ID	-168***
	(0)
739.ID	-144***
	(0)
740.ID	-156***
	(0)
742.ID	-144***
	(0)
745.ID	132***
	(0)
748.ID	-54***
	(0)
758.ID	-36***
	(0)
767.ID	12***
	(0)
768.ID	-156***
	(0)
770.ID	-156***
	(0)
772.ID	-156***
	(0)
776.ID	-50***
	(0)
782.ID	0
	(0)
785.ID	-42***
	(0)
790.ID	-148***
	(0)
792.ID	-30***
	(0)
795.ID	-156***
	(0)
816.ID	-12***
	(0)
823.ID	-84***
	(0)
831.ID	-144***
	(0)
836.ID	-168***
	(0)
837.ID	126***
	(0)
838.ID	-18***
	(0)
840.ID	-132***
	(0)
841.ID	-147***
	(0)
845.ID	-150***
	(0)
847.ID	-162***
	(0)
848.ID	-146***
	(0)
849.ID	-162***
	(0)
852.ID	-15***
	(0)
863.ID	-162***
	(0)
868.ID	-168***
	(0)
872.ID	2***
	(0)
875.ID	-168***
	(0)
878.ID	-132***
	(0)
884.ID	-108***
	(0)
903.ID	-162***
	(0)
904.ID	-150***
	(0)
907.ID	12***
	(0)
911.ID	2***
	(0)
912.ID	-161***
	(0)
917.ID	-147***
	(0)
918.ID	4***
	(0)
922.ID	12***
	(0)
924.ID	-84***
	(0)
927.ID	-84***
	(0)
929.ID	-42***
	(0)
939.ID	-168***
	(0)
945.ID	-84***
	(0)
949.ID	12***
	(0)
951.ID	-154***
	(0)
953.ID	12***
	(0)
960.ID	-144***
	(0)
961.ID	12***
	(0)
964.ID	-150***
	(0)
975.ID	-158***
	(0)
977.ID	-168***
	(0)
980.ID	-166***
	(0)
988.ID	-144***
	(0)
989.ID	-165***
	(0)
990.ID	-150***
	(0)
991.ID	-78***
	(0)
993.ID	-151***
	(0)
995.ID	-156***
	(0)
1000.ID	-24***
	(0)
1004.ID	12***
	(0)
1005.ID	12***
	(0)
1007.ID	12***
	(0)
1019.ID	11.71***
	(0.565)
1020.ID	-158***
	(0)
1021.ID	72***
	(0)
1023.ID	-90***
	(0)
1024.ID	-152***
	(0)
1025.ID	-132***
	(0)
1026.ID	-126***
	(0)
1027.ID	12***
	(0)
1028.ID	-168***
	(0)
1029.ID	12***
	(0)
1033.ID	12***
	(0)
1034.ID	-162***
	(0)
1038.ID	-42***
	(0)
1039.ID	-144***
	(0)
1047.ID	-156***
	(0)
1051.ID	-168***
	(0)
1052.ID	-168***
	(0)
1054.ID	-132***
	(0)
1057.ID	-166***
	(0)
1062.ID	-68***
	(0)
1067.ID	-166***
	(0)
1076.ID	1***
	(0)
1084.ID	-72***
	(0)
1089.ID	-162***
	(0)
1094.ID	-144***
	(0)
1095.ID	-132***
	(0)
1096.ID	-156***
	(0)
1097.ID	-144***
	(0)
1100.ID	-132***
	(0)
1101.ID	-27***
	(0)
1106.ID	-168***
	(0)
1107.ID	-162***
	(0)
1115.ID	-14***
	(0)
1118.ID	-168***
	(0)
1121.ID	-156***
	(0)
1125.ID	-72***
	(0)
1129.ID	-78***
	(0)
1133.ID	-150***
	(0)
1139.ID	-150***
	(0)
1144.ID	-156***
	(0)
1146.ID	-12***
	(0)
1148.ID	-152***
	(0)
1150.ID	-150***
	(0)
1153.ID	-87***
	(0)
1158.ID	-162***
	(0)
1163.ID	-165***
	(0)
1164.ID	-150***
	(0)
1167.ID	-147***
	(0)
1169.ID	6***
	(0)
1174.ID	-78***
	(0)
1175.ID	-166***
	(0)
1176.ID	-168***
	(0)
1177.ID	-144***
	(0)
