	(1)
VARIABLES	llm_刑期
	
1.treated	3.352*
	(1.826)
2.treated	0.470
	(1.285)
4.ID	156***
	(0)
6.ID	0
	(0)
8.ID	6***
	(0)
9.ID	0
	(0)
10.ID	236***
	(0)
12.ID	276***
	(0)
14.ID	196***
	(0)
15.ID	52***
	(0)
16.ID	156***
	(0)
17.ID	0
	(0)
18.ID	0
	(0)
20.ID	156***
	(0)
21.ID	6***
	(0)
22.ID	12***
	(0)
23.ID	156***
	(0)
24.ID	156***
	(0)
28.ID	-4***
	(0)
29.ID	0
	(0)
30.ID	0
	(0)
31.ID	48***
	(0)
32.ID	156***
	(0)
33.ID	156***
	(0)
35.ID	0
	(0)
36.ID	0
	(0)
39.ID	156***
	(0)
40.ID	156***
	(0)
41.ID	12***
	(0)
42.ID	276***
	(0)
43.ID	0
	(0)
46.ID	6***
	(0)
48.ID	104***
	(0)
49.ID	156***
	(0)
50.ID	156***
	(0)
53.ID	256***
	(0)
54.ID	52***
	(0)
55.ID	0
	(0)
57.ID	0
	(0)
60.ID	0
	(0)
61.ID	0
	(0)
63.ID	2***
	(0)
64.ID	156***
	(0)
66.ID	6***
	(0)
67.ID	156***
	(0)
69.ID	0
	(0)
70.ID	236***
	(0)
71.ID	296***
	(0)
72.ID	276***
	(0)
73.ID	0
	(0)
74.ID	76***
	(0)
76.ID	0
	(0)
77.ID	6***
	(0)
78.ID	0
	(0)
79.ID	0
	(0)
81.ID	0
	(0)
82.ID	12***
	(0)
83.ID	8***
	(0)
86.ID	156***
	(0)
88.ID	256***
	(0)
89.ID	0
	(0)
90.ID	0
	(0)
91.ID	72***
	(0)
96.ID	0
	(0)
98.ID	36***
	(0)
99.ID	4***
	(0)
100.ID	6***
	(0)
102.ID	-12***
	(0)
103.ID	0
	(0)
104.ID	0
	(0)
105.ID	0
	(0)
106.ID	276***
	(0)
108.ID	276***
	(0)
109.ID	6***
	(0)
110.ID	-12***
	(0)
111.ID	-8***
	(0)
112.ID	156***
	(0)
113.ID	0
	(0)
116.ID	60***
	(0)
117.ID	156***
	(0)
118.ID	156***
	(0)
119.ID	276***
	(0)
120.ID	92***
	(0)
123.ID	276***
	(0)
126.ID	156***
	(0)
128.ID	6***
	(0)
129.ID	156***
	(0)
130.ID	0
	(0)
131.ID	6***
	(0)
132.ID	-12***
	(0)
133.ID	156***
	(0)
135.ID	104***
	(0)
136.ID	104***
	(0)
137.ID	104***
	(0)
139.ID	0
	(0)
140.ID	12***
	(0)
142.ID	0
	(0)
143.ID	153.9***
	(1.173)
144.ID	0
	(0)
145.ID	6***
	(0)
146.ID	156***
	(0)
147.ID	276***
	(0)
149.ID	-12***
	(0)
150.ID	0
	(0)
153.ID	156***
	(0)
154.ID	157.0***
	(0.586)
156.ID	52***
	(0)
157.ID	156***
	(0)
158.ID	156***
	(0)
159.ID	6***
	(0)
163.ID	36***
	(0)
165.ID	0
	(0)
166.ID	156***
	(0)
167.ID	0
	(0)
168.ID	156***
	(0)
171.ID	66***
	(0)
173.ID	156***
	(0)
174.ID	156***
	(0)
175.ID	6***
	(0)
177.ID	156***
	(0)
178.ID	-12***
	(0)
179.ID	104***
	(0)
180.ID	54***
	(0)
181.ID	-10***
	(0)
182.ID	0
	(0)
183.ID	6***
	(0)
184.ID	0
	(0)
185.ID	276***
	(0)
186.ID	96***
	(0)
187.ID	276***
	(0)
189.ID	6***
	(0)
190.ID	0
	(0)
192.ID	0
	(0)
194.ID	156***
	(0)
196.ID	0
	(0)
197.ID	156***
	(0)
198.ID	0
	(0)
200.ID	156***
	(0)
202.ID	156***
	(0)
203.ID	236***
	(0)
204.ID	276***
	(0)
205.ID	156***
	(0)
206.ID	0
	(0)
207.ID	52***
	(0)
208.ID	0
	(0)
209.ID	196***
	(0)
210.ID	0
	(0)
212.ID	52***
	(0)
213.ID	276***
	(0)
214.ID	104***
	(0)
218.ID	52***
	(0)
219.ID	6***
	(0)
220.ID	156***
	(0)
223.ID	96***
	(0)
224.ID	156***
	(0)
225.ID	156***
	(0)
226.ID	-6***
	(0)
227.ID	156***
	(0)
228.ID	236***
	(0)
229.ID	156***
	(0)
230.ID	156***
	(0)
232.ID	0
	(0)
233.ID	6***
	(0)
234.ID	156***
	(0)
235.ID	36***
	(0)
236.ID	276***
	(0)
237.ID	156***
	(0)
239.ID	156***
	(0)
240.ID	156***
