	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.00991
	(0.00645)
2.ID	1.588***
	(0.00701)
3.ID	-0.392***
	(0.00701)
4.ID	1.588***
	(0.00701)
5.ID	-0.177***
	(0.00701)
6.ID	-0.392***
	(0.00701)
7.ID	1.588***
	(0.00701)
8.ID	-0.177***
	(0.00701)
9.ID	-0.392***
	(0.00701)
10.ID	2.096***
	(0.00701)
12.ID	2.096***
	(0.00701)
14.ID	1.588***
	(0.00701)
16.ID	1.588***
	(0.00701)
17.ID	-0.392***
	(0.00701)
18.ID	-0.392***
	(0.00701)
19.ID	-0.177***
	(0.00701)
20.ID	1.588***
	(0.00701)
21.ID	-0.177***
	(0.00701)
22.ID	-0
	(0.00701)
23.ID	1.588***
	(0.00701)
24.ID	1.588***
	(0.00701)
25.ID	-0.177***
	(0.00701)
26.ID	-1.046***
	(0.00701)
27.ID	-0.392***
	(0.00701)
28.ID	-0.392***
	(0.00701)
29.ID	-0.392***
	(0.00701)
30.ID	-0.392***
	(0.00701)
31.ID	0.680***
	(0.00701)
32.ID	1.588***
	(0.00701)
33.ID	1.588***
	(0.00701)
34.ID	1.588***
	(0.00701)
35.ID	-0.392***
	(0.00701)
36.ID	-0.392***
	(0.00701)
37.ID	-0.392***
	(0.00701)
38.ID	-0.392***
	(0.00701)
39.ID	1.588***
	(0.00701)
40.ID	1.588***
	(0.00701)
41.ID	-0
	(0.00701)
43.ID	-0.392***
	(0.00701)
46.ID	-0.177***
	(0.00701)
47.ID	-0.666***
	(0.00701)
48.ID	1.588***
	(0.00701)
49.ID	1.588***
	(0.00701)
50.ID	1.588***
	(0.00701)
51.ID	-0.392***
	(0.00701)
52.ID	-0.177***
	(0.00701)
53.ID	1.874***
	(0.00701)
54.ID	-0.392***
	(0.00701)
55.ID	-0.392***
	(0.00701)
56.ID	1.588***
	(0.00701)
57.ID	-0.392***
	(0.00701)
58.ID	1.588***
	(0.00701)
59.ID	0.281***
	(0.00701)
60.ID	-0.392***
	(0.00701)
61.ID	-0.392***
	(0.00701)
62.ID	-0.177***
	(0.00701)
63.ID	-0.392***
	(0.00701)
64.ID	1.588***
	(0.00701)
65.ID	-0.392***
	(0.00701)
66.ID	-0.177***
	(0.00701)
67.ID	1.588***
	(0.00701)
68.ID	1.185***
	(0.00701)
69.ID	-0.392***
	(0.00701)
70.ID	1.985***
	(0.106)
71.ID	2.096***
	(0.00701)
72.ID	2.096***
	(0.00701)
73.ID	-0.392***
	(0.00701)
74.ID	1.842***
	(0.260)
76.ID	-0.392***
	(0.00701)
77.ID	-0.177***
	(0.00701)
78.ID	-0.392***
	(0.00701)
79.ID	-0.392***
	(0.00701)
80.ID	1.588***
	(0.00701)
81.ID	-0.392***
	(0.00701)
82.ID	-0
	(0.00701)
83.ID	-0.177***
	(0.00701)
84.ID	1.731***
	(0.148)
85.ID	1.588***
	(0.00701)
86.ID	1.588***
	(0.00701)
87.ID	1.588***
	(0.00701)
88.ID	2.096***
	(0.00701)
89.ID	-0.392***
	(0.00701)
90.ID	-0.392***
	(0.00701)
91.ID	0.964***
	(0.00701)
93.ID	-0
	(0.00701)
94.ID	-0.392***
	(0.00701)
95.ID	2.096***
	(0.00701)
96.ID	-0.392***
	(0.00701)
97.ID	-1.308***
	(0.00701)
98.ID	0.500***
	(0.00701)
99.ID	-0.392***
	(0.00701)
100.ID	-0.177***
	(0.00701)
101.ID	-0.392***
	(0.00701)
102.ID	-1.046***
	(0.00701)
103.ID	-0.392***
	(0.00701)
104.ID	-0.392***
	(0.00701)
105.ID	-0.392***
	(0.00701)
106.ID	2.096***
	(0.00701)
107.ID	2.096***
	(0.00701)
108.ID	2.096***
	(0.00701)
109.ID	-0.284***
	(0.103)
110.ID	-1.046***
	(0.00701)
111.ID	-1.046***
	(0.00701)
112.ID	1.588***
	(0.00701)
113.ID	-0.392***
	(0.00701)
114.ID	1.588***
	(0.00701)
115.ID	1.588***
	(0.00701)
116.ID	-0.0885
	(0.0837)
117.ID	1.588***
	(0.00701)
118.ID	1.588***
	(0.00701)
119.ID	2.096***
	(0.00701)
120.ID	0.832***
	(0.00701)
121.ID	1.588***
	(0.00701)
122.ID	2.096***
	(0.00701)
123.ID	2.096***
	(0.00701)
125.ID	1.588***
	(0.00701)
126.ID	1.588***
	(0.00701)
127.ID	-1.046***
	(0.00701)
128.ID	-0.177***
	(0.00701)
129.ID	1.588***
	(0.00701)
130.ID	-0.392***
	(0.00701)
131.ID	-0.177***
	(0.00701)
132.ID	-1.046***
	(0.00701)
133.ID	1.588***
	(0.00701)
134.ID	0.500***
	(0.00701)
135.ID	1.588***
	(0.00701)
136.ID	1.588***
	(0.00701)
137.ID	1.588***
	(0.00701)
138.ID	2.096***
	(0.00701)
139.ID	-0.392***
	(0.00701)
140.ID	-0
	(0.00701)
142.ID	-0.392***
	(0.00701)
144.ID	-0.392***
	(0.00701)
145.ID	-0.284**
	(0.113)
146.ID	1.588***
	(0.00701)
147.ID	2.096***
	(0.00701)
148.ID	1.588***
	(0.00701)
149.ID	-1.046***
	(0.00701)
150.ID	-0.392***
	(0.00701)
151.ID	-0.177***
	(0.00701)
152.ID	1.588***
	(0.00701)
153.ID	1.588***
	(0.00701)
154.ID	1.588***
	(0.00701)
155.ID	-0.392***
	(0.00701)
156.ID	-0.392***
	(0.00701)
157.ID	1.588***
	(0.00701)
158.ID	1.588***
	(0.00701)
159.ID	-0.177***
	(0.00701)
160.ID	1.588***
	(0.00701)
161.ID	1.874***
	(0.00701)
163.ID	0.162
	(0.334)
164.ID	-0.392***
	(0.00701)
165.ID	-0.392***
	(0.00701)
166.ID	1.588***
	(0.00701)
167.ID	-0.392***
	(0.00701)
168.ID	1.588***
	(0.00701)
169.ID	1.588***
	(0.00701)
170.ID	-0.177***
	(0.00701)
171.ID	-0.177***
	(0.00701)
172.ID	-0.392***
	(0.00701)
173.ID	1.588***
	(0.00701)
174.ID	1.588***
	(0.00701)
175.ID	-0.177***
	(0.00701)
176.ID	-0.392***
	(0.00701)
177.ID	1.588***
	(0.00701)
178.ID	-1.046***
	(0.00701)
179.ID	1.588***
	(0.00701)
180.ID	0.759***
	(0.00701)
181.ID	-1.355***
	(0.305)
182.ID	-0.392***
	(0.00701)
183.ID	-0.284**
	(0.113)
184.ID	-0.392***
	(0.00701)
185.ID	2.096***
	(0.00701)
186.ID	1.185***
	(0.00701)
187.ID	2.096***
	(0.00701)
188.ID	1.588***
	(0.00701)
189.ID	-0.177***
	(0.00701)
190.ID	-0.392***
	(0.00701)
191.ID	-0.177***
	(0.00701)
192.ID	-0.392***
	(0.00701)
194.ID	1.497***
	(0.0958)
196.ID	-0.392***
	(0.00701)
197.ID	1.588***
	(0.00701)
198.ID	-0.392***
	(0.00701)
199.ID	-0.392***
	(0.00701)
200.ID	1.588***
	(0.00701)
201.ID	-0.392***
	(0.00701)
202.ID	1.588***
	(0.00701)
203.ID	2.096***
	(0.00701)
204.ID	2.096***
	(0.00701)
206.ID	-0.392***
	(0.00701)
207.ID	-0.392***
	(0.00701)
208.ID	-0.392***
	(0.00701)
209.ID	1.588***
	(0.00701)
210.ID	-0.392***
	(0.00701)
212.ID	-0.392***
	(0.00701)
213.ID	2.096***
	(0.00701)
214.ID	-0.392***
	(0.00701)
217.ID	1.588***
	(0.00701)
218.ID	-0.392***
	(0.00701)
219.ID	-0.177***
	(0.00701)
220.ID	1.588***
	(0.00701)
221.ID	1.588***
	(0.00701)
222.ID	2.096***
	(0.00701)
223.ID	-0.177***
	(0.00701)
224.ID	1.588***
	(0.00701)
225.ID	1.588***
	(0.00701)
226.ID	-0.666***
	(0.00701)
227.ID	1.588***
	(0.00701)
228.ID	2.096***
	(0.00701)
229.ID	1.588***
	(0.00701)
230.ID	1.588***
	(0.00701)
231.ID	1.588***
	(0.00701)
232.ID	-0.392***
	(0.00701)
233.ID	-0.177***
	(0.00701)
234.ID	1.588***
	(0.00701)
235.ID	0.500***
	(0.00701)
236.ID	2.096***
	(0.00701)
237.ID	1.588***
	(0.00701)
238.ID	1.588***
	(0.00701)
239.ID	1.588***
	(0.00701)
241.ID	1.588***
	(0.00701)
242.ID	-0.392***
	(0.00701)
243.ID	1.185***
	(0.00701)
244.ID	1.874***
	(0.00701)
245.ID	-0.392***
	(0.00701)
246.ID	1.588***
	(0.00701)
247.ID	1.588***
	(0.00701)
248.ID	-0
	(0.00701)
249.ID	-0.392***
	(0.00701)
251.ID	-0.392***
	(0.00701)
252.ID	-0.177***
	(0.00701)
253.ID	-0.392***
	(0.00701)
254.ID	-0.392***
	(0.00701)
255.ID	2.096***
	(0.00701)
256.ID	1.588***
	(0.00701)
257.ID	1.588***
	(0.00701)
258.ID	-0.392***
	(0.00701)
259.ID	1.588***
	(0.00701)
260.ID	1.588***
	(0.00701)
261.ID	-1.046***
	(0.00701)
263.ID	-0.392***
	(0.00701)
264.ID	2.096***
	(0.00701)
266.ID	1.588***
	(0.00701)
267.ID	-0.177***
	(0.00701)
268.ID	1.588***
	(0.00701)
269.ID	1.588***
	(0.00701)
270.ID	1.588***
	(0.00701)
271.ID	1.588***
	(0.00701)
272.ID	2.096***
	(0.00701)
274.ID	-0.392***
	(0.00701)
275.ID	-0.177***
	(0.00701)
276.ID	1.185***
	(0.00701)
277.ID	1.588***
	(0.00701)
278.ID	-0.838***
	(0.00701)
279.ID	-0.177***
	(0.00701)
280.ID	1.588***
	(0.00701)
281.ID	1.588***
	(0.00701)
282.ID	-0.392***
	(0.00701)
283.ID	-0.392***
	(0.00701)
284.ID	-0.392***
	(0.00701)
285.ID	-0.392***
	(0.00701)
286.ID	-0.392***
	(0.00701)
288.ID	1.588***
	(0.00701)
289.ID	1.588***
	(0.00701)
290.ID	1.588***
	(0.00701)
291.ID	-0.392***
	(0.00701)
292.ID	1.588***
	(0.00701)
293.ID	-0.392***
	(0.00701)
294.ID	-0
	(0.00701)
295.ID	1.588***
	(0.00701)
296.ID	0.281***
	(0.00701)
297.ID	1.588***
	(0.00701)
298.ID	1.588***
	(0.00701)
299.ID	2.096***
	(0.00701)
300.ID	1.588***
	(0.00701)
301.ID	-0.392***
	(0.00701)
302.ID	2.096***
	(0.00701)
303.ID	0.281***
	(0.00701)
304.ID	2.096***
	(0.00701)
305.ID	1.588***
	(0.00701)
306.ID	-0
	(0.00701)
307.ID	0.150***
	(0.00701)
308.ID	0.500***
	(0.00701)
309.ID	-0.177***
	(0.00701)
310.ID	-0.392***
	(0.00701)
311.ID	-1.665***
	(0.00701)
312.ID	1.588***
	(0.00701)
313.ID	-0.284**
	(0.113)
314.ID	-0.196
	(0.191)
315.ID	-0.392***
	(0.00701)
317.ID	1.588***
	(0.00701)
318.ID	1.588***
	(0.00701)
319.ID	1.588***
	(0.00701)
320.ID	-0.177***
	(0.00701)
321.ID	-0
	(0.00701)
323.ID	-0.177***
	(0.00701)
325.ID	0.598
	(0.996)
326.ID	1.588***
	(0.00701)
327.ID	1.588***
	(0.00701)
328.ID	1.588***
	(0.00701)
329.ID	-0.392***
	(0.00701)
330.ID	1.874***
	(0.00701)
331.ID	-0.392***
	(0.00701)
332.ID	1.588***
	(0.00701)
334.ID	-0.392***
	(0.00701)
335.ID	-0.392***
	(0.00701)
336.ID	1.519***
	(0.00701)
337.ID	-0.392***
	(0.00701)
338.ID	1.588***
	(0.00701)
339.ID	1.588***
	(0.00701)
340.ID	2.096***
	(0.00701)
341.ID	-0.177***
	(0.00701)
342.ID	-0.392***
	(0.00701)
343.ID	1.588***
	(0.00701)
344.ID	-0
	(0.00701)
345.ID	2.096***
	(0.00701)
346.ID	-1.665***
	(0.00701)
347.ID	-0
	(0.00701)
348.ID	-0.392***
	(0.00701)
349.ID	-1.665***
	(0.00701)
350.ID	-0.392***
	(0.00701)
352.ID	1.588***
	(0.00701)
353.ID	1.185***
	(0.00701)
354.ID	-0.392***
	(0.00701)
355.ID	-0
	(0.00701)
356.ID	-0.177***
	(0.00701)
357.ID	1.588***
	(0.00701)
358.ID	-0.392***
	(0.00701)
359.ID	1.588***
	(0.00701)
361.ID	-0.392***
	(0.00701)
364.ID	1.874***
	(0.00701)
365.ID	-0.392***
	(0.00701)
366.ID	1.874***
	(0.00701)
369.ID	1.588***
	(0.00701)
370.ID	1.588***
	(0.00701)
372.ID	1.588***
	(0.00701)
373.ID	-0.392***
	(0.00701)
374.ID	1.588***
	(0.00701)
375.ID	-0.392***
	(0.00701)
377.ID	0.598
	(0.996)
378.ID	-0.392***
	(0.00701)
379.ID	-0.177***
	(0.00701)
381.ID	-0.392***
	(0.00701)
382.ID	-1.665***
	(0.00701)
383.ID	-0.392***
	(0.00701)
385.ID	1.588***
	(0.00701)
386.ID	-1.046***
	(0.00701)
387.ID	-0.392***
	(0.00701)
388.ID	-0.177***
	(0.00701)
390.ID	2.096***
	(0.00701)
391.ID	-0.392***
	(0.00701)
393.ID	1.588***
	(0.00701)
394.ID	1.588***
	(0.00701)
395.ID	1.588***
	(0.00701)
396.ID	1.588***
	(0.00701)
397.ID	-0.392***
	(0.00701)
398.ID	-1.046***
	(0.00701)
399.ID	-0.177***
	(0.00701)
400.ID	0.598
	(0.986)
401.ID	0.500***
	(0.00701)
402.ID	-0.392***
	(0.00701)
403.ID	-0.392***
	(0.00701)
404.ID	-0
	(0.00701)
405.ID	-0.392***
	(0.00701)
406.ID	0.842**
	(0.348)
407.ID	1.588***
	(0.00701)
408.ID	2.096***
	(0.00701)
409.ID	-1.046***
	(0.00701)
410.ID	-0.392***
	(0.00701)
412.ID	1.588***
	(0.00701)
413.ID	-0
	(0.00701)
414.ID	-0.392***
	(0.00701)
415.ID	-0.392***
	(0.00701)
416.ID	-0.177***
	(0.00701)
417.ID	-1.046***
	(0.00701)
418.ID	-0.392***
	(0.00701)
419.ID	-0.392***
	(0.00701)
420.ID	-0.177***
	(0.00701)
421.ID	-0.392***
	(0.00701)
423.ID	1.588***
	(0.00701)
424.ID	1.588***
	(0.00701)
425.ID	1.588***
	(0.00701)
426.ID	-0.392***
	(0.00701)
428.ID	-0.392***
	(0.00701)
429.ID	-0.392***
	(0.00701)
430.ID	2.096***
	(0.00701)
431.ID	-0.177***
	(0.00701)
432.ID	1.588***
	(0.00701)
433.ID	-0.392***
	(0.00701)
434.ID	-0.392***
	(0.00701)
435.ID	1.842***
	(0.260)
436.ID	-0.177***
	(0.00701)
437.ID	-1.046***
	(0.00701)
438.ID	1.588***
	(0.00701)
439.ID	1.588***
	(0.00701)
440.ID	-0.177***
	(0.00701)
441.ID	1.588***
	(0.00701)
442.ID	1.334***
	(0.249)
445.ID	-0.392***
	(0.00701)
446.ID	1.588***
	(0.00701)
447.ID	0.500***
	(0.00701)
448.ID	0.794
	(0.789)
449.ID	1.588***
	(0.00701)
450.ID	-0.392***
	(0.00701)
451.ID	1.588***
	(0.00701)
453.ID	2.096***
	(0.00701)
454.ID	-0.177***
	(0.00701)
455.ID	1.588***
	(0.00701)
456.ID	-1.665***
	(0.00701)
458.ID	2.096***
	(0.00701)
459.ID	-0.177***
	(0.00701)
460.ID	-0.392***
	(0.00701)
462.ID	1.588***
	(0.00701)
464.ID	1.588***
	(0.00701)
465.ID	0.500***
	(0.00701)
466.ID	1.588***
	(0.00701)
467.ID	1.588***
	(0.00701)
468.ID	2.096***
	(0.00701)
469.ID	-0.392***
	(0.00701)
470.ID	1.588***
	(0.00701)
471.ID	2.096***
	(0.00701)
472.ID	2.096***
	(0.00701)
473.ID	1.588***
	(0.00701)
474.ID	1.588***
	(0.00701)
475.ID	-0.392***
	(0.00701)
476.ID	1.588***
