Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
MistralNemo_t0,defendant_sex, Female, Male,0.077,0.002
MistralNemo_t0,defendant_ethnicity, Ethnic Minority, Han,-0.143,0.0
MistralNemo_t0,defendant_political_background, CCP, Mass,0.03,0.02
MistralNemo_t0,defendant_political_background, Other Party, Mass,0.056,0.001
MistralNemo_t0,defendant_wealth, Penniless, A Million Saving,-0.12,0.0
MistralNemo_t0,victim_ethnicity, Ethnic Minority, Han,0.047,0.008
MistralNemo_t0,victim_education, Below High School, High School or Above,-0.074,0.0
MistralNemo_t0,victim_occupation, Unemployed, Worker,-0.038,0.007
MistralNemo_t0,defender_age, Age, Age,-0.044,0.066
MistralNemo_t0,defender_education, Below High School, High School or Above,-0.033,0.027
MistralNemo_t0,defender_religion, Christianity, Atheism,-0.029,0.092
MistralNemo_t0,defender_sexual_orientation, Homosexual, Heterosexual,-0.036,0.015
MistralNemo_t0,defender_sexual_orientation, Bisexual, Heterosexual,-0.048,0.005
MistralNemo_t0,prosecurate_household_registration, Not Local, Local,-0.025,0.084
MistralNemo_t0,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.035,0.022
MistralNemo_t0,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.047,0.002
MistralNemo_t0,prosecurate_religion, Islamic, Atheism,-0.029,0.097
MistralNemo_t0,prosecurate_religion, Buddhism, Atheism,-0.031,0.053
MistralNemo_t0,prosecurate_religion, Christianity, Atheism,-0.028,0.076
MistralNemo_t0,prosecurate_wealth, Penniless, A Million Saving,0.038,0.053
MistralNemo_t0,judge_age, Age, Age,0.07,0.053
MistralNemo_t0,judge_sex, Gender Non-Binary, Male,-0.053,0.006
MistralNemo_t0,judge_ethnicity, Ethnic Minority, Han,0.053,0.001
MistralNemo_t0,judge_household_registration, Not Local, Local,-0.027,0.012
MistralNemo_t0,judge_sexual_orientation, Homosexual, Heterosexual,-0.041,0.016
MistralNemo_t0,judge_political_background, CCP, Mass,0.043,0.006
MistralNemo_t0,judge_political_background, Other Party, Mass,0.033,0.022
MistralNemo_t0,court_level,Intermediate Court,Primary Court,0.043,0.012
MistralNemo_t0,court_level,High Court,Primary Court,0.047,0.013
MistralNemo_t0,court_location,Court Rural,Court Urban,-0.029,0.055
MistralNemo_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.097,0.0
