	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	-1.447*
	(0.785)
1.ID	-20***
	(0)
2.ID	136***
	(0)
3.ID	-8***
	(0)
4.ID	88***
	(0)
5.ID	-10***
	(0)
6.ID	49***
	(0)
7.ID	33***
	(0)
8.ID	-9***
	(0)
9.ID	-10***
	(0)
10.ID	280***
	(0)
12.ID	280***
	(0)
14.ID	-8***
	(0)
15.ID	-13***
	(0)
16.ID	160***
	(0)
18.ID	22***
	(0)
19.ID	4***
	(0)
20.ID	76***
	(0)
21.ID	-6***
	(0)
22.ID	-20***
	(0)
23.ID	160***
	(0)
24.ID	88***
	(0)
25.ID	106***
	(0)
26.ID	-8***
	(0)
27.ID	-18***
	(0)
28.ID	-5***
	(0)
29.ID	-2***
	(0)
30.ID	-11***
	(0)
31.ID	28***
	(0)
32.ID	-20***
	(0)
33.ID	142***
	(0)
34.ID	124***
	(0)
35.ID	-14***
	(0)
36.ID	16***
	(0)
37.ID	-4***
	(0)
38.ID	-14***
	(0)
39.ID	95***
	(0)
40.ID	36***
	(0)
41.ID	16***
	(0)
42.ID	136***
	(0)
43.ID	-11***
	(0)
46.ID	4***
	(0)
47.ID	-8***
	(0)
48.ID	134***
	(0)
49.ID	160***
	(0)
50.ID	160***
	(0)
51.ID	-8***
	(0)
52.ID	112***
	(0)
53.ID	146***
	(0)
54.ID	-8***
	(0)
55.ID	42***
	(0)
56.ID	142***
	(0)
57.ID	-8***
	(0)
59.ID	-20***
	(0)
60.ID	-14***
	(0)
61.ID	-10***
	(0)
62.ID	-8***
	(0)
63.ID	4***
	(0)
64.ID	128***
	(0)
65.ID	-14***
	(0)
66.ID	18***
	(0)
67.ID	94***
	(0)
68.ID	4***
	(0)
69.ID	-8***
	(0)
70.ID	211***
	(0)
71.ID	184***
	(0)
72.ID	250***
	(0)
73.ID	-14***
	(0)
74.ID	202***
	(0)
76.ID	-4***
	(0)
77.ID	10***
	(0)
78.ID	4***
	(0)
79.ID	-10***
	(0)
80.ID	136***
	(0)
81.ID	-8***
	(0)
82.ID	-20***
	(0)
83.ID	-8***
	(0)
84.ID	240***
	(0)
85.ID	139***
	(0)
86.ID	82***
	(0)
87.ID	124***
	(0)
88.ID	253***
	(0)
89.ID	-8***
	(0)
90.ID	-16***
	(0)
91.ID	44***
	(0)
92.ID	-8***
	(0)
93.ID	-20***
	(0)
94.ID	9***
	(0)
95.ID	256***
	(0)
96.ID	4***
	(0)
97.ID	-18***
	(0)
98.ID	-2***
	(0)
99.ID	-14***
	(0)
100.ID	-14***
	(0)
101.ID	-20***
	(0)
102.ID	-20***
	(0)
103.ID	-4***
	(0)
104.ID	28***
	(0)
105.ID	4***
	(0)
106.ID	178***
	(0)
107.ID	238***
	(0)
108.ID	222***
	(0)
109.ID	-2***
	(0)
110.ID	-14***
	(0)
111.ID	-8***
	(0)
112.ID	160***
	(0)
113.ID	-8***
	(0)
114.ID	-11***
	(0)
115.ID	22***
	(0)
116.ID	-8***
	(0)
117.ID	147***
	(0)
118.ID	-8***
	(0)
119.ID	232***
	(0)
120.ID	64***
	(0)
121.ID	160***
	(0)
122.ID	136***
	(0)
123.ID	229***
	(0)
125.ID	81***
	(0)
126.ID	-20***
	(0)
127.ID	-18***
	(0)
128.ID	-14***
	(0)
129.ID	160***
	(0)
130.ID	-16***
	(0)
131.ID	-6***
	(0)
132.ID	-16***
	(0)
133.ID	118***
	(0)
134.ID	34***
	(0)
135.ID	160***
	(0)
136.ID	142***
	(0)
137.ID	153***
	(0)
138.ID	254***
	(0)
139.ID	4***
	(0)
140.ID	-8***
	(0)
142.ID	22***
	(0)
144.ID	-14***
	(0)
145.ID	-7***
	(0)
146.ID	164***
	(0)
147.ID	254***
	(0)
148.ID	130***
	(0)
149.ID	-17***
	(0)
150.ID	-8***
	(0)
151.ID	-2***
	(0)
152.ID	74***
	(0)
153.ID	28***
	(0)
154.ID	82***
	(0)
155.ID	-14***
	(0)
156.ID	10***
	(0)
157.ID	6***
	(0)
158.ID	74***
	(0)
159.ID	-4***
	(0)
160.ID	124***
	(0)
161.ID	202***
	(0)
163.ID	38***
	(0)
164.ID	-8***
	(0)
165.ID	-6***
	(0)
166.ID	151***
	(0)
167.ID	-8***
	(0)
168.ID	146***
	(0)
169.ID	136***
	(0)
170.ID	64***
	(0)
171.ID	-8.333***
	(0)
172.ID	-14***
	(0)
173.ID	70***
	(0)
174.ID	94***
	(0)
175.ID	-9***
	(0)
176.ID	4***
	(0)
177.ID	160***
	(0)
178.ID	-10***
	(0)
179.ID	10***
	(0)
180.ID	-20***
	(0)
181.ID	-8***
	(0)
182.ID	-8***
	(0)
183.ID	-12***
	(0)
184.ID	-20***
	(0)
185.ID	84***
	(0)
186.ID	140***
	(0)
187.ID	158***
	(0)
188.ID	124***
	(0)
189.ID	-2***
	(0)
190.ID	-6***
	(0)
191.ID	-16***
	(0)
192.ID	42***
	(0)
194.ID	40***
	(0)
196.ID	-2***
	(0)
197.ID	160***
	(0)
198.ID	4***
	(0)
199.ID	4***
	(0)
200.ID	28***
	(0)
201.ID	-14***
	(0)
202.ID	16***
	(0)
203.ID	178***
	(0)
204.ID	190***
	(0)
205.ID	76***
	(0)
206.ID	-20***
	(0)
207.ID	-8***
	(0)
208.ID	-20***
	(0)
209.ID	40***
	(0)
210.ID	-8***
	(0)
212.ID	4***
	(0)
213.ID	280***
	(0)
214.ID	-14***
	(0)
215.ID	4.965***
	(0.523)
217.ID	124***
	(0)
218.ID	-2***
	(0)
219.ID	-2***
	(0)
220.ID	100***
	(0)
222.ID	240***
	(0)
223.ID	-8***
	(0)
224.ID	240***
	(0)
225.ID	52***
	(0)
226.ID	-16***
	(0)
227.ID	127***
	(0)
228.ID	220***
	(0)
229.ID	28***
	(0)
230.ID	28***
	(0)
231.ID	102***
	(0)
232.ID	10***
	(0)
233.ID	-18***
	(0)
234.ID	94***
	(0)
235.ID	-14***
	(0)
236.ID	268***
	(0)
237.ID	-20***
	(0)
238.ID	112***
	(0)
239.ID	42***
	(0)
240.ID	4***
	(0)
241.ID	160***
	(0)
242.ID	4***
	(0)
243.ID	100***
	(0)
244.ID	200***
	(0)
245.ID	-4***
	(0)
246.ID	-20***
	(0)
247.ID	124***
	(0)
248.ID	-8***
	(0)
249.ID	-14***
	(0)
250.ID	244***
	(0)
251.ID	-4***
	(0)
252.ID	-12***
	(0)
253.ID	-8***
	(0)
254.ID	-5***
	(0)
255.ID	208***
	(0)
256.ID	76***
	(0)
257.ID	160***
	(0)
258.ID	4***
	(0)
259.ID	160***
	(0)
260.ID	106***
	(0)
261.ID	-16***
	(0)
263.ID	4***
	(0)
264.ID	190***
	(0)
266.ID	124***
	(0)
267.ID	4***
	(0)
268.ID	160***
	(0)
269.ID	47***
	(0)
270.ID	124***
	(0)
271.ID	-3***
	(0)
274.ID	52***
	(0)
275.ID	4***
	(0)
276.ID	78***
	(0)
277.ID	160***
	(0)
278.ID	-15***
	(0)
279.ID	3***
	(0)
280.ID	160***
	(0)
281.ID	160***
	(0)
282.ID	-17***
	(0)
283.ID	4***
	(0)
284.ID	-12***
	(0)
285.ID	-7***
	(0)
286.ID	-8***
	(0)
288.ID	160***
	(0)
289.ID	160***
	(0)
290.ID	160***
	(0)
291.ID	-2***
	(0)
292.ID	190***
	(0)
293.ID	-20***
	(0)
294.ID	-8***
	(0)
295.ID	76***
	(0)
296.ID	-8***
	(0)
297.ID	160***
	(0)
298.ID	16***
	(0)
299.ID	244***
	(0)
300.ID	76***
	(0)
301.ID	4***
	(0)
303.ID	-8***
	(0)
304.ID	40***
	(0)
305.ID	160***
	(0)
306.ID	-14***
	(0)
307.ID	-6***
	(0)
308.ID	-14***
	(0)
309.ID	-16***
	(0)
310.ID	-16***
	(0)
311.ID	-14***
	(0)
312.ID	76***
	(0)
313.ID	10***
	(0)
314.ID	-14***
	(0)
315.ID	-8***
	(0)
317.ID	10***
	(0)
318.ID	136***
	(0)
319.ID	70***
	(0)
320.ID	-11***
	(0)
321.ID	-20***
	(0)
322.ID	166***
	(0)
323.ID	-8***
	(0)
324.ID	160***
	(0)
325.ID	-8***
	(0)
326.ID	38***
	(0)
327.ID	40***
	(0)
328.ID	16***
	(0)
329.ID	-12***
	(0)
330.ID	220***
	(0)
331.ID	-2***
	(0)
332.ID	160***
	(0)
333.ID	88***
	(0)
334.ID	-8***
	(0)
335.ID	-2***
	(0)
336.ID	-20***
	(0)
337.ID	4***
	(0)
338.ID	-20***
	(0)
339.ID	-2***
	(0)
340.ID	214***
	(0)
341.ID	56***
	(0)
342.ID	-8***
	(0)
343.ID	160***
	(0)
344.ID	-14***
	(0)
345.ID	94***
	(0)
346.ID	-20***
	(0)
347.ID	-20***
	(0)
348.ID	-2***
	(0)
349.ID	-14***
	(0)
350.ID	4***
	(0)
352.ID	124***
	(0)
353.ID	74***
	(0)
354.ID	-4***
	(0)
355.ID	-14***
	(0)
356.ID	22***
	(0)
357.ID	106***
	(0)
358.ID	-3***
	(0)
359.ID	150***
	(0)
361.ID	-2***
	(0)
364.ID	136***
	(0)
365.ID	4***
	(0)
366.ID	112***
	(0)
369.ID	150***
	(0)
370.ID	100***
	(0)
372.ID	100***
	(0)
373.ID	4***
	(0)
374.ID	124***
	(0)
375.ID	22***
	(0)
377.ID	-7***
	(0)
378.ID	-2***
	(0)
379.ID	1***
	(0)
381.ID	-2***
	(0)
382.ID	-14***
	(0)
383.ID	-8***
	(0)
385.ID	76***
	(0)
386.ID	-14***
	(0)
387.ID	-4***
	(0)
388.ID	-2***
	(0)
389.ID	154***
	(0)
390.ID	270***
	(0)
391.ID	-1***
	(0)
393.ID	112***
	(0)
394.ID	-2***
	(0)
395.ID	106***
	(0)
396.ID	145***
	(0)
397.ID	-14***
	(0)
398.ID	-8***
	(0)
399.ID	10***
	(0)
400.ID	40***
	(0)
401.ID	-8***
	(0)
402.ID	-8***
	(0)
403.ID	-11***
	(0)
404.ID	47***
	(0)
405.ID	-14***
	(0)
406.ID	-8***
	(0)
407.ID	118***
	(0)
