	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.00990
	(0.00645)
2.ID	1.588***
	(0.00700)
3.ID	-0.392***
	(0.00700)
4.ID	1.588***
	(0.00700)
5.ID	-0.177***
	(0.00700)
6.ID	-0.392***
	(0.00700)
7.ID	1.588***
	(0.00700)
8.ID	-0.177***
	(0.00700)
9.ID	-0.392***
	(0.00700)
10.ID	2.096***
	(0.00700)
12.ID	2.096***
	(0.00700)
14.ID	1.588***
	(0.00700)
16.ID	1.588***
	(0.00700)
17.ID	-0.392***
	(0.00700)
18.ID	-0.392***
	(0.00700)
19.ID	-0.177***
	(0.00700)
20.ID	1.588***
	(0.00700)
21.ID	-0.177***
	(0.00700)
22.ID	-0
	(0.00700)
23.ID	1.588***
	(0.00700)
24.ID	1.588***
	(0.00700)
25.ID	-0.177***
	(0.00700)
26.ID	-1.046***
	(0.00700)
27.ID	-0.392***
	(0.00700)
28.ID	-0.392***
	(0.00700)
29.ID	-0.392***
	(0.00700)
30.ID	-0.392***
	(0.00700)
31.ID	0.680***
	(0.00700)
32.ID	1.588***
	(0.00700)
33.ID	1.588***
	(0.00700)
34.ID	1.588***
	(0.00700)
35.ID	-0.392***
	(0.00700)
36.ID	-0.392***
	(0.00700)
37.ID	-0.392***
	(0.00700)
38.ID	-0.392***
	(0.00700)
39.ID	1.588***
	(0.00700)
40.ID	1.588***
	(0.00700)
41.ID	-0
	(0.00700)
43.ID	-0.392***
	(0.00700)
46.ID	-0.177***
	(0.00700)
47.ID	-0.666***
	(0.00700)
48.ID	1.588***
	(0.00700)
49.ID	1.588***
	(0.00700)
50.ID	1.588***
	(0.00700)
51.ID	-0.392***
	(0.00700)
52.ID	-0.177***
	(0.00700)
53.ID	1.874***
	(0.00700)
54.ID	-0.392***
	(0.00700)
55.ID	-0.392***
	(0.00700)
56.ID	1.588***
	(0.00700)
57.ID	-0.392***
	(0.00700)
58.ID	1.588***
	(0.00700)
59.ID	0.281***
	(0.00700)
60.ID	-0.392***
	(0.00700)
61.ID	-0.392***
	(0.00700)
62.ID	-0.177***
	(0.00700)
63.ID	-0.392***
	(0.00700)
64.ID	1.588***
	(0.00700)
65.ID	-0.392***
	(0.00700)
66.ID	-0.177***
	(0.00700)
67.ID	1.588***
	(0.00700)
68.ID	1.185***
	(0.00700)
69.ID	-0.392***
	(0.00700)
70.ID	1.985***
	(0.106)
71.ID	2.096***
	(0.00700)
72.ID	2.096***
	(0.00700)
73.ID	-0.392***
	(0.00700)
74.ID	1.842***
	(0.260)
76.ID	-0.392***
	(0.00700)
77.ID	-0.177***
	(0.00700)
78.ID	-0.392***
	(0.00700)
79.ID	-0.392***
	(0.00700)
80.ID	1.588***
	(0.00700)
81.ID	-0.392***
	(0.00700)
82.ID	-0
	(0.00700)
83.ID	-0.177***
	(0.00700)
84.ID	1.731***
	(0.148)
85.ID	1.588***
	(0.00700)
86.ID	1.588***
	(0.00700)
87.ID	1.588***
	(0.00700)
88.ID	2.096***
	(0.00700)
89.ID	-0.392***
	(0.00700)
90.ID	-0.392***
	(0.00700)
91.ID	0.964***
	(0.00700)
93.ID	-0
	(0.00700)
94.ID	-0.392***
	(0.00700)
95.ID	2.096***
	(0.00700)
96.ID	-0.392***
	(0.00700)
97.ID	-1.308***
	(0.00700)
98.ID	0.500***
	(0.00700)
99.ID	-0.392***
	(0.00700)
100.ID	-0.177***
	(0.00700)
101.ID	-0.392***
	(0.00700)
102.ID	-1.046***
	(0.00700)
103.ID	-0.392***
	(0.00700)
104.ID	-0.392***
	(0.00700)
105.ID	-0.392***
	(0.00700)
106.ID	2.096***
	(0.00700)
107.ID	2.096***
	(0.00700)
108.ID	2.096***
	(0.00700)
109.ID	-0.284***
	(0.103)
110.ID	-1.046***
	(0.00700)
111.ID	-1.046***
	(0.00700)
112.ID	1.588***
	(0.00700)
113.ID	-0.392***
	(0.00700)
114.ID	1.588***
	(0.00700)
115.ID	1.588***
	(0.00700)
116.ID	-0.0885
	(0.0837)
117.ID	1.588***
	(0.00700)
118.ID	1.588***
	(0.00700)
119.ID	2.096***
	(0.00700)
120.ID	0.832***
	(0.00700)
121.ID	1.588***
	(0.00700)
122.ID	2.096***
	(0.00700)
123.ID	2.096***
	(0.00700)
125.ID	1.588***
	(0.00700)
126.ID	1.588***
	(0.00700)
127.ID	-1.046***
	(0.00700)
128.ID	-0.177***
	(0.00700)
129.ID	1.588***
	(0.00700)
130.ID	-0.392***
	(0.00700)
131.ID	-0.177***
	(0.00700)
132.ID	-1.046***
	(0.00700)
133.ID	1.588***
	(0.00700)
134.ID	0.500***
	(0.00700)
135.ID	1.588***
	(0.00700)
136.ID	1.588***
	(0.00700)
137.ID	1.588***
	(0.00700)
138.ID	2.096***
	(0.00700)
139.ID	-0.392***
	(0.00700)
140.ID	-0
	(0.00700)
142.ID	-0.392***
	(0.00700)
144.ID	-0.392***
	(0.00700)
145.ID	-0.284**
	(0.113)
146.ID	1.588***
	(0.00700)
147.ID	2.096***
	(0.00700)
148.ID	1.588***
	(0.00700)
149.ID	-1.046***
	(0.00700)
150.ID	-0.392***
	(0.00700)
151.ID	-0.177***
	(0.00700)
152.ID	1.588***
	(0.00700)
153.ID	1.588***
	(0.00700)
154.ID	1.588***
	(0.00700)
155.ID	-0.392***
	(0.00700)
156.ID	-0.392***
	(0.00700)
157.ID	1.588***
	(0.00700)
158.ID	1.588***
	(0.00700)
159.ID	-0.177***
	(0.00700)
160.ID	1.588***
	(0.00700)
161.ID	1.874***
	(0.00700)
163.ID	0.162
	(0.334)
164.ID	-0.392***
	(0.00700)
165.ID	-0.392***
	(0.00700)
166.ID	1.588***
	(0.00700)
167.ID	-0.392***
	(0.00700)
168.ID	1.588***
	(0.00700)
169.ID	1.588***
	(0.00700)
170.ID	-0.177***
	(0.00700)
171.ID	-0.177***
	(0.00700)
172.ID	-0.392***
	(0.00700)
173.ID	1.588***
	(0.00700)
174.ID	1.588***
	(0.00700)
175.ID	-0.177***
	(0.00700)
176.ID	-0.392***
	(0.00700)
177.ID	1.588***
	(0.00700)
178.ID	-1.046***
	(0.00700)
179.ID	1.588***
	(0.00700)
180.ID	0.759***
	(0.00700)
181.ID	-1.355***
	(0.305)
182.ID	-0.392***
	(0.00700)
183.ID	-0.284**
	(0.113)
184.ID	-0.392***
	(0.00700)
185.ID	2.096***
	(0.00700)
186.ID	1.185***
	(0.00700)
187.ID	2.096***
	(0.00700)
188.ID	1.588***
	(0.00700)
189.ID	-0.177***
	(0.00700)
190.ID	-0.392***
	(0.00700)
191.ID	-0.177***
	(0.00700)
192.ID	-0.392***
	(0.00700)
194.ID	1.497***
	(0.0958)
196.ID	-0.392***
	(0.00700)
197.ID	1.588***
	(0.00700)
198.ID	-0.392***
	(0.00700)
199.ID	-0.392***
	(0.00700)
200.ID	1.588***
	(0.00700)
201.ID	-0.392***
	(0.00700)
202.ID	1.588***
	(0.00700)
203.ID	2.096***
	(0.00700)
204.ID	2.096***
	(0.00700)
206.ID	-0.392***
	(0.00700)
207.ID	-0.392***
	(0.00700)
208.ID	-0.392***
	(0.00700)
209.ID	1.588***
	(0.00700)
210.ID	-0.392***
	(0.00700)
212.ID	-0.392***
	(0.00700)
213.ID	2.096***
	(0.00700)
214.ID	-0.392***
	(0.00700)
217.ID	1.588***
	(0.00700)
218.ID	-0.392***
	(0.00700)
219.ID	-0.177***
	(0.00700)
220.ID	1.588***
	(0.00700)
221.ID	1.588***
	(0.00700)
222.ID	2.096***
	(0.00700)
223.ID	-0.177***
	(0.00700)
224.ID	1.588***
	(0.00700)
225.ID	1.588***
	(0.00700)
226.ID	-0.666***
	(0.00700)
227.ID	1.588***
	(0.00700)
228.ID	2.096***
	(0.00700)
229.ID	1.588***
	(0.00700)
230.ID	1.588***
	(0.00700)
231.ID	1.588***
	(0.00700)
232.ID	-0.392***
	(0.00700)
233.ID	-0.177***
	(0.00700)
234.ID	1.588***
	(0.00700)
235.ID	0.500***
	(0.00700)
236.ID	2.096***
	(0.00700)
237.ID	1.588***
	(0.00700)
238.ID	1.588***
	(0.00700)
239.ID	1.588***
	(0.00700)
241.ID	1.588***
	(0.00700)
242.ID	-0.392***
	(0.00700)
243.ID	1.185***
	(0.00700)
244.ID	1.874***
	(0.00700)
245.ID	-0.392***
	(0.00700)
246.ID	1.588***
	(0.00700)
247.ID	1.588***
	(0.00700)
248.ID	-0
	(0.00700)
249.ID	-0.392***
	(0.00700)
251.ID	-0.392***
	(0.00700)
252.ID	-0.177***
	(0.00700)
253.ID	-0.392***
	(0.00700)
254.ID	-0.392***
	(0.00700)
255.ID	2.096***
	(0.00700)
256.ID	1.588***
	(0.00700)
257.ID	1.588***
	(0.00700)
258.ID	-0.392***
	(0.00700)
259.ID	1.588***
	(0.00700)
260.ID	1.588***
	(0.00700)
261.ID	-1.046***
	(0.00700)
263.ID	-0.392***
	(0.00700)
264.ID	2.096***
	(0.00700)
266.ID	1.588***
	(0.00700)
267.ID	-0.177***
	(0.00700)
268.ID	1.588***
	(0.00700)
269.ID	1.588***
	(0.00700)
270.ID	1.588***
	(0.00700)
271.ID	1.588***
	(0.00700)
272.ID	2.096***
	(0.00700)
274.ID	-0.392***
	(0.00700)
275.ID	-0.177***
	(0.00700)
276.ID	1.185***
	(0.00700)
277.ID	1.588***
	(0.00700)
278.ID	-0.838***
	(0.00700)
279.ID	-0.177***
	(0.00700)
280.ID	1.588***
	(0.00700)
281.ID	1.588***
	(0.00700)
282.ID	-0.392***
	(0.00700)
283.ID	-0.392***
	(0.00700)
284.ID	-0.392***
	(0.00700)
285.ID	-0.392***
	(0.00700)
286.ID	-0.392***
	(0.00700)
288.ID	1.588***
	(0.00700)
289.ID	1.588***
	(0.00700)
290.ID	1.588***
	(0.00700)
291.ID	-0.392***
	(0.00700)
292.ID	1.588***
	(0.00700)
293.ID	-0.392***
	(0.00700)
294.ID	-0
	(0.00700)
295.ID	1.588***
	(0.00700)
296.ID	0.281***
	(0.00700)
297.ID	1.588***
	(0.00700)
298.ID	1.588***
	(0.00700)
299.ID	2.096***
	(0.00700)
300.ID	1.588***
	(0.00700)
301.ID	-0.392***
	(0.00700)
302.ID	2.096***
	(0.00700)
303.ID	0.281***
	(0.00700)
304.ID	2.096***
	(0.00700)
305.ID	1.588***
	(0.00700)
306.ID	-0
	(0.00700)
307.ID	0.150***
	(0.00700)
308.ID	0.500***
	(0.00700)
309.ID	-0.177***
	(0.00700)
310.ID	-0.392***
	(0.00700)
311.ID	-1.665***
	(0.00700)
312.ID	1.588***
	(0.00700)
313.ID	-0.284**
	(0.113)
314.ID	-0.196
	(0.191)
315.ID	-0.392***
	(0.00700)
317.ID	1.588***
	(0.00700)
318.ID	1.588***
	(0.00700)
319.ID	1.588***
	(0.00700)
320.ID	-0.177***
	(0.00700)
321.ID	-0
	(0.00700)
323.ID	-0.177***
	(0.00700)
325.ID	0.598
	(0.996)
326.ID	1.588***
	(0.00700)
327.ID	1.588***
	(0.00700)
328.ID	1.588***
	(0.00700)
329.ID	-0.392***
	(0.00700)
330.ID	1.874***
	(0.00700)
331.ID	-0.392***
	(0.00700)
332.ID	1.588***
	(0.00700)
334.ID	-0.392***
	(0.00700)
335.ID	-0.392***
	(0.00700)
336.ID	1.519***
	(0.00700)
337.ID	-0.392***
	(0.00700)
338.ID	1.588***
	(0.00700)
339.ID	1.588***
	(0.00700)
340.ID	2.096***
	(0.00700)
341.ID	-0.177***
	(0.00700)
342.ID	-0.392***
	(0.00700)
343.ID	1.588***
	(0.00700)
344.ID	-0
	(0.00700)
345.ID	2.096***
	(0.00700)
346.ID	-1.665***
	(0.00700)
347.ID	-0
	(0.00700)
348.ID	-0.392***
	(0.00700)
349.ID	-1.665***
	(0.00700)
350.ID	-0.392***
	(0.00700)
352.ID	1.588***
	(0.00700)
353.ID	1.185***
	(0.00700)
354.ID	-0.392***
	(0.00700)
355.ID	-0
	(0.00700)
356.ID	-0.177***
	(0.00700)
357.ID	1.588***
	(0.00700)
358.ID	-0.392***
	(0.00700)
359.ID	1.588***
	(0.00700)
361.ID	-0.392***
	(0.00700)
364.ID	1.874***
	(0.00700)
365.ID	-0.392***
	(0.00700)
366.ID	1.874***
	(0.00700)
369.ID	1.588***
	(0.00700)
370.ID	1.588***
	(0.00700)
372.ID	1.588***
	(0.00700)
373.ID	-0.392***
	(0.00700)
374.ID	1.588***
	(0.00700)
375.ID	-0.392***
	(0.00700)
377.ID	0.598
	(0.996)
378.ID	-0.392***
	(0.00700)
379.ID	-0.177***
	(0.00700)
381.ID	-0.392***
	(0.00700)
382.ID	-1.665***
	(0.00700)
383.ID	-0.392***
	(0.00700)
385.ID	1.588***
	(0.00700)
386.ID	-1.046***
	(0.00700)
387.ID	-0.392***
	(0.00700)
388.ID	-0.177***
	(0.00700)
390.ID	2.096***
	(0.00700)
391.ID	-0.392***
	(0.00700)
393.ID	1.588***
	(0.00700)
394.ID	1.588***
	(0.00700)
395.ID	1.588***
	(0.00700)
396.ID	1.588***
	(0.00700)
397.ID	-0.392***
	(0.00700)
398.ID	-1.046***
	(0.00700)
399.ID	-0.177***
	(0.00700)
400.ID	0.598
	(0.986)
401.ID	0.500***
	(0.00700)
402.ID	-0.392***
	(0.00700)
403.ID	-0.392***
	(0.00700)
404.ID	-0
	(0.00700)
405.ID	-0.392***
	(0.00700)
406.ID	0.842**
	(0.348)
407.ID	1.588***
	(0.00700)
408.ID	2.096***
	(0.00700)
409.ID	-1.046***
	(0.00700)
410.ID	-0.392***
	(0.00700)
412.ID	1.588***
	(0.00700)
413.ID	-0
	(0.00700)
414.ID	-0.392***
	(0.00700)
415.ID	-0.392***
	(0.00700)
416.ID	-0.177***
	(0.00700)
417.ID	-1.046***
	(0.00700)
418.ID	-0.392***
	(0.00700)
419.ID	-0.392***
	(0.00700)
420.ID	-0.177***
	(0.00700)
421.ID	-0.392***
	(0.00700)
423.ID	1.588***
	(0.00700)
424.ID	1.588***
	(0.00700)
425.ID	1.588***
	(0.00700)
426.ID	-0.392***
	(0.00700)
428.ID	-0.392***
	(0.00700)
429.ID	-0.392***
	(0.00700)
430.ID	2.096***
	(0.00700)
431.ID	-0.177***
	(0.00700)
432.ID	1.588***
	(0.00700)
433.ID	-0.392***
	(0.00700)
434.ID	-0.392***
	(0.00700)
435.ID	1.842***
	(0.260)
436.ID	-0.177***
	(0.00700)
437.ID	-1.046***
	(0.00700)
438.ID	1.588***
	(0.00700)
439.ID	1.588***
	(0.00700)
440.ID	-0.177***
	(0.00700)
441.ID	1.588***
	(0.00700)
442.ID	1.334***
	(0.249)
445.ID	-0.392***
	(0.00700)
446.ID	1.588***
	(0.00700)
447.ID	0.500***
	(0.00700)
448.ID	0.794
	(0.789)
449.ID	1.588***
	(0.00700)
450.ID	-0.392***
	(0.00700)
451.ID	1.588***
	(0.00700)
453.ID	2.096***
	(0.00700)
454.ID	-0.177***
	(0.00700)
455.ID	1.588***
	(0.00700)
456.ID	-1.665***
	(0.00700)
458.ID	2.096***
	(0.00700)
459.ID	-0.177***
	(0.00700)
460.ID	-0.392***
	(0.00700)
462.ID	1.588***
	(0.00700)
464.ID	1.588***
	(0.00700)
465.ID	0.500***
	(0.00700)
466.ID	1.588***
	(0.00700)
467.ID	1.588***
	(0.00700)
468.ID	2.096***
	(0.00700)
469.ID	-0.392***
	(0.00700)
470.ID	1.588***
	(0.00700)
471.ID	2.096***
	(0.00700)
472.ID	2.096***
	(0.00700)
473.ID	1.588***
	(0.00700)
474.ID	1.588***
	(0.00700)
475.ID	-0.392***
	(0.00700)
476.ID	1.588***
