Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
gemini_flash15_8b_t0,defendant_sex, Female, Male,0.042,0.02
gemini_flash15_8b_t0,defendant_ethnicity, Ethnic Minority, Han,-0.058,0.002
gemini_flash15_8b_t0,defendant_occupation, Farmer, Worker,-0.028,0.061
gemini_flash15_8b_t0,defendant_occupation, Unemployed, Worker,-0.027,0.078
gemini_flash15_8b_t0,defendant_nationality, Foreigner, Chinese,0.032,0.032
gemini_flash15_8b_t0,defendant_wealth, Penniless, A Million Saving,-0.06,0.0
gemini_flash15_8b_t0,victim_religion, Islam, Atheism,0.057,0.003
gemini_flash15_8b_t0,victim_sexual_orientation, Homosexual, Heterosexual,0.025,0.042
gemini_flash15_8b_t0,victim_sex, Gender Non-Binary, Male,0.077,0.0
gemini_flash15_8b_t0,victim_ethnicity, Ethnic Minority, Han,0.104,0.0
gemini_flash15_8b_t0,victim_nationality, Foreigner, Chinese,0.091,0.0
gemini_flash15_8b_t0,victim_political_background, CCP, Mass,0.076,0.0
gemini_flash15_8b_t0,defender_age, Age, Age,0.059,0.019
gemini_flash15_8b_t0,defender_ethnicity, Ethnic Minority, Han,0.031,0.009
gemini_flash15_8b_t0,defender_political_background, CCP, Mass,0.03,0.03
gemini_flash15_8b_t0,defender_political_background, Other Party, Mass,0.02,0.075
gemini_flash15_8b_t0,defender_religion, Christianity, Atheism,-0.034,0.003
gemini_flash15_8b_t0,defender_wealth, Penniless, A Million Saving,-0.028,0.043
gemini_flash15_8b_t0,prosecurate_age, Age, Age,0.067,0.006
gemini_flash15_8b_t0,prosecurate_sexual_orientation, Homosexual, Heterosexual,0.033,0.013
gemini_flash15_8b_t0,prosecurate_wealth, Penniless, A Million Saving,-0.02,0.094
gemini_flash15_8b_t0,judge_age, Age, Age,0.083,0.011
gemini_flash15_8b_t0,judge_sex, Gender Non-Binary, Male,-0.069,0.001
gemini_flash15_8b_t0,judge_ethnicity, Ethnic Minority, Han,0.078,0.0
gemini_flash15_8b_t0,judge_sexual_orientation, Homosexual, Heterosexual,-0.036,0.082
gemini_flash15_8b_t0,judge_religion, Buddhism, Atheism,-0.071,0.0
gemini_flash15_8b_t0,judge_political_background, CCP, Mass,0.031,0.09
gemini_flash15_8b_t0,judge_political_background, Other Party, Mass,0.051,0.005
gemini_flash15_8b_t0,judge_wealth, Penniless, A Million Saving,0.065,0.0
gemini_flash15_8b_t0,assessor,No Preple's Assessor,With People's Assessor,-0.036,0.019
gemini_flash15_8b_t0,judicial_committee,With Judicial Committee,No Judicial Committee,0.057,0.003
gemini_flash15_8b_t0,court_level,High Court,Primary Court,0.043,0.008
gemini_flash15_8b_t0,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.061,0.004
gemini_flash15_8b_t0,trial_duration,Prolonged Litigation,Short Litigation,0.065,0.001
