	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0289**
	(0.0112)
1.ID	-1.588***
	(0.0205)
2.ID	0
	(0.0205)
3.ID	-1.980***
	(0.0205)
4.ID	0
	(0.0205)
5.ID	-1.765***
	(0.0205)
6.ID	-1.980***
	(0.0205)
7.ID	0
	(0.0205)
8.ID	-1.765***
	(0.0205)
9.ID	-1.980***
	(0.0205)
10.ID	0.509***
	(0.0205)
12.ID	-0.628
	(1.124)
14.ID	0
	(0.0205)
15.ID	-1.980***
	(0.0205)
16.ID	0
	(0.0205)
17.ID	0
	(0.0205)
18.ID	-1.980***
	(0.0205)
19.ID	-1.765***
	(0.0205)
20.ID	0
	(0.0205)
21.ID	-1.765***
	(0.0205)
22.ID	-1.588***
	(0.0205)
23.ID	0
	(0.0205)
24.ID	0
	(0.0205)
25.ID	-1.765***
	(0.0205)
26.ID	-2.634***
	(0.0205)
27.ID	-1.980***
	(0.0205)
28.ID	-2.117***
	(0.124)
29.ID	-1.980***
	(0.0205)
30.ID	-1.980***
	(0.0205)
31.ID	-0.908***
	(0.0205)
32.ID	0
	(0.0205)
33.ID	-0.990
	(1.006)
34.ID	0
	(0.0205)
35.ID	-1.980***
	(0.0205)
36.ID	-1.980***
	(0.0205)
37.ID	-1.980***
	(0.0205)
38.ID	-1.980***
	(0.0205)
39.ID	0
	(0.0205)
40.ID	0
	(0.0205)
41.ID	-1.588***
	(0.0205)
42.ID	0
	(0.0205)
43.ID	-1.980***
	(0.0205)
46.ID	-1.765***
	(0.0205)
47.ID	-2.254***
	(0.0205)
48.ID	0
	(0.0205)
49.ID	0
	(0.0205)
50.ID	0
	(0.0205)
51.ID	-1.980***
	(0.0205)
52.ID	-1.765***
	(0.0205)
53.ID	0.254
	(0.241)
54.ID	-1.980***
	(0.0205)
55.ID	-1.980***
	(0.0205)
56.ID	0
	(0.0205)
57.ID	-1.980***
	(0.0205)
58.ID	0
	(0.0205)
59.ID	-1.307***
	(0.0205)
60.ID	-1.980***
	(0.0205)
61.ID	-1.980***
	(0.0205)
62.ID	-1.765***
	(0.0205)
63.ID	-1.980***
	(0.0205)
64.ID	0
	(0.0205)
65.ID	0
	(0.0205)
66.ID	-1.765***
	(0.0205)
67.ID	0
	(0.0205)
68.ID	-0.403***
	(0.0205)
69.ID	-1.980***
	(0.0205)
70.ID	0.509***
	(0.0205)
71.ID	0.509***
	(0.0205)
72.ID	0.509***
	(0.0205)
73.ID	-1.980***
	(0.0205)
74.ID	0
	(0.0205)
76.ID	-1.980***
	(0.0205)
77.ID	-1.765***
	(0.0205)
78.ID	-1.980***
	(0.0205)
79.ID	-1.980***
	(0.0205)
80.ID	0
	(0.0205)
81.ID	-1.980***
	(0.0205)
82.ID	-1.588***
	(0.0205)
83.ID	-1.765***
	(0.0205)
84.ID	0
	(0.0205)
85.ID	0
	(0.0205)
86.ID	0
	(0.0205)
87.ID	0
	(0.0205)
88.ID	0.509***
	(0.0205)
89.ID	-1.980***
	(0.0205)
90.ID	-1.980***
	(0.0205)
91.ID	-0.624***
	(0.0205)
92.ID	-2.634***
	(0.0205)
93.ID	-1.588***
	(0.0205)
94.ID	-1.980***
	(0.0205)
95.ID	0.509***
	(0.0205)
96.ID	-1.980***
	(0.0205)
97.ID	-2.896***
	(0.0205)
98.ID	-1.088***
	(0.0205)
99.ID	-1.872***
	(0.123)
100.ID	-1.765***
	(0.0205)
101.ID	-0.990
	(0.977)
102.ID	-2.634***
	(0.0205)
103.ID	-1.980***
	(0.0205)
104.ID	-1.980***
	(0.0205)
105.ID	-1.980***
	(0.0205)
106.ID	0.254
	(0.270)
107.ID	0.509***
	(0.0205)
108.ID	0.509***
	(0.0205)
109.ID	-1.765***
	(0.0205)
110.ID	-2.634***
	(0.0205)
111.ID	-2.634***
	(0.0205)
112.ID	0
	(0.0205)
113.ID	-1.980***
	(0.0205)
114.ID	0
	(0.0205)
115.ID	0
	(0.0205)
116.ID	-1.588***
	(0.0205)
117.ID	0
	(0.0205)
118.ID	0
	(0.0205)
119.ID	0.509***
	(0.0205)
120.ID	-0.756***
	(0.0205)
121.ID	0
	(0.0205)
122.ID	0.509***
	(0.0205)
123.ID	0.509***
	(0.0205)
125.ID	0
	(0.0205)
126.ID	0
	(0.0205)
127.ID	-2.634***
	(0.0205)
128.ID	-1.765***
	(0.0205)
129.ID	0
	(0.0205)
130.ID	-1.980***
	(0.0205)
131.ID	-1.765***
	(0.0205)
132.ID	-2.634***
	(0.0205)
133.ID	0
	(0.0205)
134.ID	-1.088***
	(0.0205)
135.ID	-0.990
	(0.977)
136.ID	-0.990
	(1.006)
137.ID	0
	(0.0205)
138.ID	0.509***
	(0.0205)
139.ID	-1.980***
	(0.0205)
140.ID	-1.588***
	(0.0205)
142.ID	-1.980***
	(0.0205)
144.ID	-1.980***
	(0.0205)
145.ID	-1.765***
	(0.0205)
146.ID	0
	(0.0205)
147.ID	0.509***
	(0.0205)
148.ID	0
	(0.0205)
149.ID	-2.634***
	(0.0205)
150.ID	-1.980***
	(0.0205)
151.ID	-1.872***
	(0.123)
152.ID	0
	(0.0205)
153.ID	0
	(0.0205)
154.ID	0
	(0.0205)
155.ID	-1.980***
	(0.0205)
156.ID	-0.990
	(0.977)
157.ID	0
	(0.0205)
158.ID	0
	(0.0205)
159.ID	-1.765***
	(0.0205)
160.ID	0
	(0.0205)
161.ID	0.286***
	(0.0205)
163.ID	-1.088***
	(0.0205)
164.ID	-1.980***
	(0.0205)
165.ID	-1.980***
	(0.0205)
166.ID	0
	(0.0205)
167.ID	-1.980***
	(0.0205)
168.ID	0
	(0.0205)
169.ID	0
	(0.0205)
170.ID	-0.882
	(0.898)
171.ID	-0.882
	(0.869)
172.ID	-1.980***
	(0.0205)
173.ID	0
	(0.0205)
174.ID	0
	(0.0205)
175.ID	-1.765***
	(0.0205)
176.ID	-1.980***
	(0.0205)
177.ID	0
	(0.0205)
178.ID	-2.307***
	(0.313)
179.ID	0
	(0.0205)
180.ID	-0.829***
	(0.0205)
181.ID	-2.444***
	(0.205)
182.ID	-1.980***
	(0.0205)
183.ID	-1.765***
	(0.0205)
184.ID	-1.980***
	(0.0205)
185.ID	0.509***
	(0.0205)
186.ID	-0.403***
	(0.0205)
187.ID	0.254
	(0.270)
188.ID	0
	(0.0205)
189.ID	-1.765***
	(0.0205)
190.ID	-1.980***
	(0.0205)
191.ID	-1.765***
	(0.0205)
192.ID	-1.980***
	(0.0205)
194.ID	0
	(0.0205)
196.ID	-1.980***
	(0.0205)
197.ID	0
	(0.0205)
198.ID	-1.980***
	(0.0205)
199.ID	-1.980***
	(0.0205)
200.ID	0
	(0.0205)
201.ID	-1.980***
	(0.0205)
202.ID	0
	(0.0205)
203.ID	0.509***
	(0.0205)
204.ID	0.509***
	(0.0205)
205.ID	0
	(0.0205)
206.ID	-1.980***
	(0.0205)
207.ID	-1.980***
	(0.0205)
208.ID	-1.980***
	(0.0205)
209.ID	0.254
	(0.270)
210.ID	-1.980***
	(0.0205)
212.ID	-1.980***
	(0.0205)
213.ID	0.509***
	(0.0205)
214.ID	-1.980***
	(0.0205)
217.ID	0
	(0.0205)
218.ID	-1.980***
	(0.0205)
219.ID	-1.765***
	(0.0205)
220.ID	0
	(0.0205)
221.ID	0
	(0.0205)
222.ID	0.509***
	(0.0205)
223.ID	0.254
	(0.270)
224.ID	0
	(0.0205)
225.ID	0
	(0.0205)
226.ID	-2.254***
	(0.0205)
227.ID	0
	(0.0205)
228.ID	0.509***
	(0.0205)
229.ID	0
	(0.0205)
230.ID	0
	(0.0205)
231.ID	0
	(0.0205)
232.ID	0
	(0.0205)
233.ID	-1.676***
	(0.104)
234.ID	0
	(0.0205)
235.ID	-0.544
	(0.559)
236.ID	0.509***
	(0.0205)
237.ID	0
	(0.0205)
238.ID	0
	(0.0205)
239.ID	0
	(0.0205)
240.ID	0
	(0.0205)
241.ID	0
	(0.0205)
242.ID	-1.980***
	(0.0205)
243.ID	-0.403***
	(0.0205)
244.ID	0
	(0.0205)
245.ID	-1.980***
	(0.0205)
246.ID	0
	(0.0205)
247.ID	0
	(0.0205)
248.ID	-1.588***
	(0.0205)
249.ID	-0.990
	(0.977)
250.ID	0.509***
	(0.0205)
251.ID	-1.980***
	(0.0205)
252.ID	-1.765***
	(0.0205)
253.ID	-1.980***
	(0.0205)
254.ID	-1.980***
	(0.0205)
255.ID	0.509***
	(0.0205)
256.ID	0
	(0.0205)
257.ID	0
	(0.0205)
258.ID	-1.980***
	(0.0205)
259.ID	0
	(0.0205)
260.ID	0
	(0.0205)
261.ID	-2.634***
	(0.0205)
263.ID	-1.980***
	(0.0205)
264.ID	0.254
	(0.241)
265.ID	0.509***
	(0.0205)
266.ID	0
	(0.0205)
267.ID	-1.765***
	(0.0205)
268.ID	0
	(0.0205)
269.ID	-0.990
	(0.977)
270.ID	0
	(0.0205)
271.ID	-0.990
	(0.977)
272.ID	0.509***
	(0.0205)
274.ID	-1.980***
	(0.0205)
275.ID	0.509***
	(0.0205)
276.ID	-0.403***
	(0.0205)
277.ID	0
	(0.0205)
278.ID	-2.426***
	(0.0205)
279.ID	-1.765***
	(0.0205)
280.ID	0
	(0.0205)
281.ID	0
	(0.0205)
282.ID	-2.254***
	(0.0205)
283.ID	-1.980***
	(0.0205)
284.ID	-1.980***
	(0.0205)
285.ID	-1.980***
	(0.0205)
286.ID	-1.980***
	(0.0205)
288.ID	0
	(0.0205)
289.ID	0
	(0.0205)
290.ID	0
	(0.0205)
291.ID	-1.980***
	(0.0205)
292.ID	0.143
	(0.158)
293.ID	-1.980***
	(0.0205)
294.ID	-1.588***
	(0.0205)
295.ID	-1.980***
	(0.0205)
296.ID	-1.307***
	(0.0205)
297.ID	0
	(0.0205)
298.ID	0
	(0.0205)
299.ID	0.509***
	(0.0205)
300.ID	0
	(0.0205)
301.ID	-1.980***
	(0.0205)
302.ID	0.509***
	(0.0205)
303.ID	-1.588***
	(0.0205)
304.ID	0.509***
	(0.0205)
305.ID	0
	(0.0205)
306.ID	-1.588***
	(0.0205)
307.ID	-1.601***
	(0.179)
308.ID	-1.088***
	(0.0205)
309.ID	-1.765***
	(0.0205)
310.ID	-1.980***
	(0.0205)
311.ID	-3.253***
	(0.0205)
312.ID	0
	(0.0205)
313.ID	-1.765***
	(0.0205)
314.ID	-1.980***
	(0.0205)
315.ID	-1.980***
	(0.0205)
316.ID	-1.602***
	(0.0155)
317.ID	0
	(0.0205)
318.ID	0
	(0.0205)
319.ID	0
	(0.0205)
320.ID	-1.765***
	(0.0205)
321.ID	-1.588***
	(0.0205)
322.ID	0.509***
	(0.0205)
323.ID	-1.765***
	(0.0205)
324.ID	0
	(0.0205)
325.ID	-1.980***
	(0.0205)
326.ID	0
	(0.0205)
327.ID	0
	(0.0205)
328.ID	0
	(0.0205)
329.ID	-1.980***
	(0.0205)
330.ID	0
	(0.0205)
331.ID	-1.980***
	(0.0205)
332.ID	0
	(0.0205)
333.ID	0
	(0.0205)
334.ID	-1.980***
	(0.0205)
335.ID	-1.980***
	(0.0205)
336.ID	-0.0686***
	(0.0205)
337.ID	-1.980***
	(0.0205)
338.ID	0
	(0.0205)
339.ID	0
	(0.0205)
340.ID	0.509***
	(0.0205)
341.ID	-1.765***
	(0.0205)
342.ID	-1.980***
	(0.0205)
343.ID	0
	(0.0205)
344.ID	-1.588***
	(0.0205)
345.ID	0.254
	(0.241)
346.ID	-3.253***
	(0.0205)
347.ID	-1.588***
	(0.0205)
348.ID	-1.980***
	(0.0205)
349.ID	-3.253***
	(0.0205)
350.ID	-1.980***
	(0.0205)
352.ID	0
	(0.0205)
353.ID	-0.403***
	(0.0205)
354.ID	-1.980***
	(0.0205)
355.ID	-1.588***
	(0.0205)
356.ID	-1.765***
	(0.0205)
357.ID	0
	(0.0205)
358.ID	-1.980***
	(0.0205)
359.ID	0
	(0.0205)
361.ID	-1.980***
	(0.0205)
364.ID	0.143
	(0.130)
365.ID	-1.980***
	(0.0205)
366.ID	0.509***
	(0.0205)
369.ID	0
	(0.0205)
370.ID	0
	(0.0205)
372.ID	0
	(0.0205)
373.ID	-1.980***
	(0.0205)
374.ID	0
	(0.0205)
375.ID	-1.980***
	(0.0205)
377.ID	-1.980***
	(0.0205)
378.ID	-1.980***
	(0.0205)
379.ID	-1.765***
	(0.0205)
381.ID	-2.634***
	(0.0205)
382.ID	-3.253***
	(0.0205)
383.ID	-1.980***
	(0.0205)
385.ID	0
	(0.0205)
386.ID	-2.634***
	(0.0205)
387.ID	-1.980***
	(0.0205)
388.ID	-1.676***
	(0.104)
389.ID	0
	(0.0205)
390.ID	0
	(0.0205)
391.ID	-1.980***
	(0.0205)
393.ID	0
	(0.0205)
394.ID	0
	(0.0205)
395.ID	0
	(0.0205)
396.ID	0
	(0.0205)
397.ID	-1.980***
	(0.0205)
398.ID	-2.634***
	(0.0205)
399.ID	-1.765***
	(0.0205)
400.ID	0
	(0.0205)
401.ID	-1.088***
	(0.0205)
402.ID	-1.980***
	(0.0205)
403.ID	-1.980***
	(0.0205)
404.ID	-1.588***
	(0.0205)
405.ID	-1.980***
	(0.0205)
406.ID	-0.201
	(0.188)
407.ID	0
	(0.0205)
408.ID	0.509***
	(0.0205)
409.ID	-2.634***
	(0.0205)
410.ID	-1.980***
	(0.0205)
411.ID	-2.254***
	(0.0205)
412.ID	0
	(0.0205)
413.ID	-1.588***
	(0.0205)
414.ID	-1.980***
	(0.0205)
415.ID	-1.980***
	(0.0205)
416.ID	-1.765***
	(0.0205)
417.ID	-2.634***
	(0.0205)
418.ID	0
	(0.0205)
419.ID	-1.980***
	(0.0205)
420.ID	-1.765***
	(0.0205)
421.ID	-1.980***
	(0.0205)
423.ID	0
	(0.0205)
424.ID	0
	(0.0205)
425.ID	0
	(0.0205)
426.ID	-1.980***
	(0.0205)
428.ID	-1.980***
	(0.0205)
429.ID	-1.980***
	(0.0205)
430.ID	0.509***
	(0.0205)
431.ID	-1.676***
	(0.104)
432.ID	0
	(0.0205)
433.ID	-1.980***
	(0.0205)
434.ID	-1.980***
	(0.0205)
435.ID	0.509***
	(0.0205)
436.ID	-0.882
	(0.898)
437.ID	-2.254***
	(0.0205)
438.ID	0
	(0.0205)
439.ID	0
	(0.0205)
440.ID	-1.765***
	(0.0205)
441.ID	0
	(0.0205)
442.ID	0
	(0.0205)
445.ID	-1.980***
	(0.0205)
446.ID	0
	(0.0205)
447.ID	-1.088***
	(0.0205)
448.ID	0
	(0.0205)
449.ID	0
	(0.0205)
450.ID	-1.980***
	(0.0205)
451.ID	0
	(0.0205)
452.ID	-1.765***
	(0.0205)
453.ID	0.254
	(0.241)
454.ID	-1.765***
	(0.0205)
455.ID	0
	(0.0205)
456.ID	-2.634***
	(0.0205)
457.ID	0.509***
	(0.0205)
458.ID	0.509***
	(0.0205)
459.ID	-1.765***
	(0.0205)
460.ID	-1.980***
	(0.0205)
461.ID	0.509***
	(0.0205)
462.ID	0
	(0.0205)
463.ID	0.509***
	(0.0205)
464.ID	0
	(0.0205)
465.ID	-1.088***
	(0.0205)
466.ID	0
	(0.0205)
467.ID	0
	(0.0205)
468.ID	0
	(0.0205)
469.ID	-1.980***
	(0.0205)
470.ID	0
	(0.0205)
471.ID	0.509***
	(0.0205)
472.ID	0.509***
	(0.0205)
473.ID	0
	(0.0205)
474.ID	0
	(0.0205)
475.ID	-1.980***
	(0.0205)
476.ID	0
	(0.0205)
477.ID	0.143
	(0.130)
478.ID	0.509***
	(0.0205)
479.ID	0
	(0.0205)
480.ID	-1.088***
	(0.0205)
481.ID	0
